Level	ForceID	MapID1	AreaID1	MapID2	AreaID2	MapID3	AreaID3	MapID4	AreaID4	MapID5	AreaID5	MapID6	AreaID6	MapID7	AreaID7	MapID8	AreaID8	MapID9	AreaID9	MapID10	AreaID10	MapID11	AreaID11	MapID12	AreaID12	MapID13	AreaID13	MapID14	AreaID14	MapID15	AreaID15	MapID16	AreaID16	MapID17	AreaID17	MapID18	AreaID18	MapID19	AreaID19	MapID20	AreaID20	MapID21	AreaID21	MapID22	AreaID22
28	1	8		8																																									
28	2	15		15																																									
28	3	8		8																																									
28	4	15		15																																									
28	5	6		6		6																																							
28	6	15		15																																									
28	8	6		6		6																																							
29	1	8		8																																									
29	2	15		15																																									
29	3	8		8																																									
29	4	15		15																																									
29	5	6		6																																									
29	6	15		15																																									
29	8	6		6																																									
30	0	13		13		13		12		9																																			
31	0	13		12		12		9																																					
32	0	13		10		10		9																																					
33	0	10		10		9		9																																					
34	0	13		13		13																																							
35	0	13		13		13																																							
36	0	13		13		9																																							
37	0	13		9		9																																							
38	0	9		9																																									
39	0	12		12		9																																							
40	0	12		12		9																																							
41	0	12		9																																									
42	0	12																																											
43	0	12		9		9		9		9																																			
44	0	12		9																																									
45	0	13		13		12																																							
46	0	13		13		10		9																																					
47	0	10		9																																									
48	1	5		5		9		9																																					
48	2	2		2		9		9																																					
48	3	11		11		9		9																																					
48	4	7		7		9		9																																					
48	5	16		16		16		9		9																																			
48	6	102		102																																									
48	7	122																																											
48	8	49																																											
48	9	159																																											
49	1	5																																											
49	2	2																																											
49	3	11																																											
49	4	7																																											
49	5	16																																											
49	6	102		102																																									
49	7	122																																											
49	8	49																																											
49	9	159																																											
50	0	8		15		6		23		23		23																																	
51	0	21		21																																									
52	0	21		21																																									
53	0	21		21		21																																							
54	0	21		21																																									
55	0	21		23																																									
56	0	23		23																																									
57	0	23		23																																									
58	0	23		21																																									
59	0	21																																											
60	0	22		30																																									
61	0	22		30																																									
62	0	22		22		30																																							
63	0	22		22		22		30																																					
64	0	22		22		30		30																																					
65	0	22		30																																									
66	0	22		30		25		25		25		27		27																															
67	0	35																																											
67	1	25		25		25																																							
67	2	27		27		27		27																																					
68	0	35		35																																									
68	1	25		30		22																																							
68	2	27		27		30		22																																					
69	0	35																																											
69	1	25		25		25		25		30		22																																	
69	2	27		27		30		22																																					
70	0	100		101																																									
70	1	25																																											
70	2	27																																											
71	0	100		101																																									
71	1	100																																											
71	2	101																																											
72	0	100		101		153		151										153		151																									
72	1	100																																											
73	0	100		101																																									
73	1	100																																											
74	0	102		108																																									
75	0	108		104		103																																							
76	0	108		104		103																																							
77	0	104		103		158																																							
78	0	104		103																																									
79	0	104		103																																									
81	0	156		139																																									
82	0	156		139																																									
83	0	156		139																																									
84	0	156		139																																									
85	0	139		156																																									
86	0	139		156																																									
87	0	139		156																																									
88	0	139		156																																									
89	0	139		156																																									
91	0	215		217		216		214																																					
92	0	215		217		216		214																																					
93	0	215		217		216		214																																					
94	0	215		217		216		214																																					

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
