ID	SkillName	IconID	Desc
85	鹰爪功	6	高力士随机选择一名玩家抓到手中，玩家持续受到伤害。高力士身上有“鹰爪”气劲，每次被击会消除气劲层数，当气劲完全被消除后或者10秒后，抓人被取消，BOSS此时每次被击都会将部分伤害转移给被抓的人。被抓玩家会叠加易伤不利气劲。
86	阴阳双流	8	高力士从自身释放出两条气体在地上游走，分别追击两名不同的玩家，两条气体先直线到达场地边缘，再回头追击。两条气体碰撞到一起后消失，追击过程触碰玩家爆炸造成范围伤害。
87	断山劈	5	安禄山朝向一名玩家，木棍砸地，以自身为中心向面向释放三条水花，玩家被击中会受到大量外功伤害并且倒地。
88	跃狼坐地	5	跳向场地中央位置，双手插木棍动作，水花从安禄山处向外延伸，分八个方向，玩家被击中会受到外功伤害并且眩晕。
89	鲁莽一掷	6	随机选择一名玩家，在其脚下有圆形范围标示。安禄山吟唱后将木棍投掷到圆形范围内，造成外功范围伤害并且将范围内的玩家击飞。
90	砸地猛击	6	安禄山定身一个玩家，然后冲向该玩家，并将玩家击倒。随后猛烈用木棍砸击多次，每次都受到大量伤害。
91	熔甲	1	普通攻击附带的外功不利效果，所有防御降低，不可叠加。
92	流云驭火	5	引导技，每秒对自身周围所有玩家造成外功伤害，每跳伤害增加。
93	举火烧天	6	若目标在6尺外，纵身一跃到目标位置，使其击晕并对周围敌人造成外功伤害，留下火圈持续45s。
94	火云_烧灼	5	若目标在6尺外，每秒造成阳性范围伤害。
95	龙战于野	5	若目标在6尺外，举火烧天后的连招，冲向第一仇恨，造成外功伤害，并击退路上的敌人。
96	神龙摆尾	5	如果随机选中的目标与BOSS过近（6尺内），则不释放举火烧天，而放神龙摆尾，将目标及周围玩家击飞，并造成外功伤害。
97	酒中仙	1	引导招式，每秒恢复部分生命，不可打断。引导结束后为自己增加“酣畅淋漓”气劲，强化其他招式。
98	酣畅淋漓	1	伤害增加，不可驱散，不可叠加。
99	烈焰焚城	8	饮酒之后使用，只放一次。对目标进行无情的打击，目标及范围内的所有玩家共同分担不利气劲，共同分担伤害。
100	炙热	5	每层吸收治疗若干点，每3s造成一次阳性伤害，不可驱散，可叠加。
101	天音化物	3	吟唱，可打断，所有友方NPC回复血量。
102	赐福	4	瞬发，场上随机一个NPC获得气劲：所有伤害提高，受到伤害降低，移动速度提高，永久持续，可驱散。
103	召唤	7	每隔一段时间召唤1只近战和1只远程小怪进入战斗。
104	敲山震虎	1	瞬发，对当前目标造成外功伤害，附带不利气劲崩坏。
105	崩坏	2	外功防御降低，受到治疗效果降低。
106	定海神针	6	瞬发，目标点范围技，范围内向随机一个目标扔出一发暗器，对目标及目标范围内所有玩家造成外功伤害并附带不利气劲重创。
107	重创	4	移动速度降低，可叠加；满层后对玩家造成外功伤害并定身，定身效果可驱散
108	雨钓江秋	3	吟唱，可打断，施放自身为中心的范围伤害，造成阳性内功伤害。
109	授人以渔	9	给全场玩家添加不利气劲经脉错乱，不可驱散，永久持续，直至治疗吸收盾消失。
110	经脉错乱	9	吸收若干点治疗量，盾存在期间，对玩家造成阳性内功伤害，同时提升玩家伤害。
111	增强	1	每隔一段时间，给自身添加一层伤害不利气劲，所有伤害增加，不可驱散，无限叠加。
112	寒冰气劲	8	在战斗范围内随机位置召唤出若干炸弹，几秒后爆炸。对小范围内的玩家造成大量阴性伤害。
113	乘风箭	6	随机跳到某个位置，并向随机玩家方向发射一支箭，造成线性范围伤害，并对命中玩家造成锁足的效果，无法驱散，附带一个dot效果，每秒造成伤害，可叠加，不可驱散，连续施放3次
114	雁返叠云	6	突袭一个玩家，将此玩家击飞，落地时再次击飞，三次后击杀此玩家。此时BOSS获得一个吸收若干点伤害的护盾，若护盾被击碎，则打断此招式。每被此招式击杀一个玩家，则BOSS的伤害提高，持续整个阶段，可叠加，不可驱散。
115	掷锤	5	读条，将手中巨锤掷出，对随机区域玩家造成伤害并击晕。掷锤后切换形态，打掉巨锤后回归武器形态。
116	敲山震虎	5	每次特殊攻击目标都会释放一个额外的范围伤害，由前方范围内的玩家分摊。
117	斩铁掌	1	每次特殊攻击目标都会给目标叠加一个增加外功易伤的气劲：每层使该目标受到的外功伤害增加，持续时间长，可叠加，不可驱散。
118	枯火	5	开场随机给多个玩家添加枯火不利气劲：每秒对周围玩家造成阳性内功伤害，不可驱散，不利气劲时间到，则传染给自身范围内的任意一个玩家。并给不利气劲所有者添加气劲涅槃，不利气劲枯尽。
119	涅槃	9	目标为输出心法则所有伤害提高;目标为防御心法则血量上限提高；目标为治疗心法则蓝耗降低,治疗效果提升
120	枯尽	2	每秒受到阳性内功伤害，长时间持续。
121	龙掌	2	对当前目标施放，对当前目标造成外功伤害
122	龙王爪击	5	对当前目标施放，扇形范围伤害，造成穿刺伤害
123	红尘落英炎	8	在自身周围创建若干炎点,炎点每秒施放一次招式，将玩家原地击飞，并叠加每秒造成阳性内功伤害的不利气劲
124	龙甩尾	3	吟唱，可打断，对自身周围所有玩家造成阳性内功伤害，并添加恐惧效果
125	龙爪手	6	随机目标施放，将目标抓到身边，并造成外功伤害
126	天龙灭世	5	一个小范围内、大范围外的范围伤害伤害，无视御、守如山效果
127	龙啸苍炎风	8	随即目标施放，召唤一个龙卷风，龙卷风每秒造成圆形范围内外功伤害，造成恐惧效果
128	龙相气劲	9	消耗所有内力，如果龙王蓝量大于98%，则施放龙吼功，否则选择仇恨最低的玩家施放龙相气劲·虚式
129	龙吼功	5	全屏范围范围伤害伤害，所有玩家沉默，龙王自身反弹混元内功伤害，免疫毒性内功伤害
130	龙相气劲·虚式	8	创建若干龙相气劲，每秒对自身周围造成范围伤害，若干秒后搜索玩家追击施放招式，之后判定目标是近战还是远程，近战则给自己添加“幻神露”，远程则施放“化蛊丹”
131	幻神露	1	标记气劲，有此气劲则龙王普通攻击附带穿刺效果
132	化盅丹	9	祛除自身所有毒性、阴性不利气劲，并免疫阴性、毒性伤害
133	龙象波若功	5	释放范围伤害，并施放龙相气劲·伤害，且根据玩家内力值不同，分别给龙王添加若干层“龙相气劲”气劲，并且扣掉玩家部分内力
134	龙相气劲·伤害	6	对单一目标造成阳性内功伤害
135	天香断续膏	8	龙王与韦柔丝距离过近时施放，回复血量
136	红尘落英掌	8	随机目标施放，若干秒后在目标脚下创建暗龙火冲，创建后每几秒施放一次招式，造成圆形范围内阳性内功伤害
137	龙相缚镖	6	随机选择第二仇恨施放，造成外功伤害，判定目标蓝量对目标造成阳性内功伤害,并扣除目标部分内力值
138	内力散射	5	血量低于一定程度时施放，自身大范围内被命中的目标如果为大侠，则降低所有伤害30%；如果命中远程有内力职业并且玩家蓝量低于一定程度，则给玩家添加沉默并使玩家失去对角色的控制。如果命中唐门职业，则给玩家添加沉默并使玩家失去对角色的控制；其它职业降低所有伤害
139	龙火术	8	一定距离外目标随机施放，在目标位置创建炎龙弹,造成自身范围内的阳性内功伤害
140	狼牙断刺	8	随机目标施放，在目标脚下创建刺,每秒造成外功伤害并附带击飞效果，如果目标身上有"龙相气劲气劲"，则目标获得一个不利气劲：一旦使用吟唱招式，则自身获得沉默效果并在自身范围产生一个阳性范围伤害，造成阳性内功伤害
141	力拔千钧	5	吟唱，扇形范围伤害，击中后眩晕玩家。
142	穷凶极恶	6	随机选择一名远程玩家追击，追到后在玩家处释放范围伤害，击倒附近玩家。招式打到的人数越多，伤害越高
143	极恶金身	6	追击玩家，会给自己加一层极恶金身的气劲，处于无敌状态。只能被重弩的招式攻击，被击中后原地眩晕
144	吞云吐纳	5	吟唱，击飞周围玩家。
145	减伤	9	叠加若干层减伤气劲，，每击退一批敌军，删除一层
146	传球	9	传球给附近骑兵，距离20码
147	射门	9	距离球门一定距离内释放。
148	冲撞	5	选择玩家当前点，向玩家冲击，打断玩家发球，造成扇形范围伤害伤害
149	冲撞	5	选择玩家当前点，向玩家冲击，打断玩家发球，造成扇形范围伤害伤害，附带击晕效果
150	敌方进球	9	NPC每进一球，独孤问俗获得一层气劲，外功伤害增加，回复一定血量，可叠加,不可驱散，气劲叠满后，开始给玩家删气劲
151	我方进球	9	玩家每进一球，挑战Boss的玩家获得一层气劲，所有伤害增加，可叠加。气劲叠满后，开始给敌方删气劲
152	震地	5	前方扇形范围伤害，外功伤害。
153	震地	5	前方扇形范围伤害，外功伤害，附带击晕效果
154	沙暴	5	随即选择非马球玩家丢不利气劲，在玩家位置爆炸造成范围伤害外功伤害。
155	沙暴	5	随即选择非马球玩家丢不利气劲，在玩家位置爆炸造成范围伤害外功伤害，附带眩晕效果
156	激励	7	每隔N秒时间召唤两个小怪走向观战台的大鼓，若小怪走到点敲响大鼓，则马球npc获得护盾气劲，不可叠加，可抵抗玩家一次截架。每人敲鼓成功给BOSS添加一层伤害吸收盾，吸收若干伤害。
157	干扰	5	独孤问俗血量小于一定程度进入第二阶段，随机选择玩家，向人群扔炸弹若干秒后爆炸，造成阳性内功范围伤害
158	干扰	5	独孤问俗血量小于一定程度进入第二阶段，随机选择玩家，向人群扔炸弹若干秒后爆炸，造成阳性内功范围伤害，附带眩晕效果
159	收队	5	独孤问俗血量小于一定程度,马球结束收队，全场玩家受到持续外功伤害
160	傀儡·天·攻击	9	对当前目标造成阳性内功伤害，每次攻击使目标叠加一层不利气劲：受到阳性内功伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标阳性内功伤害提高
161	傀儡·天·往生净土	5	在身后走过的区域留下一片白色的气劲路径，对上面的敌人造成阳性伤害，可以杀死地狱道召唤的尸怪。净土区域在每次合体后清除。每命中一次叠加善气劲。
162	傀儡·人·攻击	9	对当前目标造成混元内功伤害，每次攻击使目标叠加一层不利气劲：受到混元内功伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标混元内功伤害提高
163	傀儡·人·离愁	5	随机玩家添加气劲，不停对身边玩家造成混元伤害，并且击退效果。在和"饿鬼?饥"携带者重叠后消除。被打中的玩家叠加善气劲，自身不会受到影响，"饿鬼·饥"气劲携带者也不会叠加气劲。场上最多一名玩家持有
164	傀儡·修罗·攻击	9	对当前目标造成外功伤害，每次攻击使目标叠加一层不利气劲：受到外功伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标外功伤害提高
165	傀儡·修罗·寂灭	5	一组连续的范围伤害:目标方向吟唱后释放,造成扇形区域内外功伤害并附带减速效果，可叠加，不可驱散；其中会穿插近战范围的践踏范围伤害，造成外功伤害并附带眩晕，不可驱散，其余都是扇形随机方向范围伤害附带，减速。招式命中一次，叠加一次善气劲。
166	傀儡·畜生·攻击	9	对当前目标造成毒性伤害，每次攻击使目标叠加一层不利气劲：受到毒性伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标毒性伤害提高
167	傀儡·畜生·百生	5	随机玩家点名携带气劲，此玩家需要保持移动，否则会有触手从他身体里伸出，缠住周围的其他玩家锁足，造成一次性毒性内功伤害。被锁足的玩家叠加一层恶气劲。
168	傀儡·饿鬼·攻击	9	对当前目标造成阴性伤害，每次攻击使目标叠加一层不利气劲：受到阴性伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标阴性伤害提高
169	傀儡·饿鬼·饥	5	随机玩家添加气劲，每秒对身边玩家造成阴性伤害并减速，可叠加，不可驱散，吸收的血量会转移给傀儡，和离愁携带者重叠后消除，被招式命中的玩家叠加一层恶气劲。
170	傀儡·地狱·攻击	9	对当前目标造成外功伤害，每次攻击使目标叠加一层不利气劲：受到外功伤害提高，不可驱散，可叠加；并叠加一层气劲：每层使目标外功伤害提高
171	傀儡·地狱·森罗炼狱	5	召唤尸体爬起来攻击玩家，尸体被击杀时候会产生范围伤害，被范围伤害命中的人叠加善恶气劲。死亡时候爆炸有延时，可以提前躲开。
172	傀儡·天·攻击	2	对当前目标造成外功伤害
173	傀儡·天·天厄	5	招式释放时候，激活其它5个机甲并且逐渐升空，升至最高点时猛然下坠，形成范围伤害，覆盖范围较大。被命中的玩家受到大量伤害并触发结算招式“福祸”
174	傀儡·天·福祸相依·福	9	不断的从周围玩家身上吸取气血并且补充自己,不可驱散，吸血根据善的层数判定，结算招式：以善的最高层数决定招式效果。
175	傀儡·天·福祸相依·祸	9	自身不断的掉血，但是会治疗周围的玩家,不可驱散，掉血根据恶的层数相关，结算招式：以恶的最高层数决定招式效果。
176	傀儡·人·攻击	2	对当前目标造成外功伤害
177	傀儡·人·意乱	6	随机玩家点名，混乱状态，行为被控制，玩家来回突刺，突刺：线路上有范围伤害，被撞到的人触发结算招式“情殇”
178	傀儡·人·情殇·痴	9	持续持续伤害，离傀儡越近伤害越大。结算招式：以善的最高层数决定招式效果。持续伤害可叠加
179	傀儡·人·情殇·绝	9	持续伤害，离傀儡越远伤害越大。结算招式：以恶的最高层数决定招式效果。持续伤害可叠加,持续15s
180	傀儡·修罗·攻击	2	对当前目标造成外功伤害
181	傀儡·修罗·非天	6	急速冲向某玩家，中途被其他玩家截下后，截击的玩家会受到外功伤害，并降低移动速度，不可驱散。最终到目标玩家身边，会将此玩家熊抱并且击飞造成外功伤害，落地形成范围伤害，并且对周围玩家造成伤害，触发结算招式“形神”，中途每个被撞击的玩家都会受到单体伤害
182	傀儡·修罗·形神·形	9	血量提高，攻击强度降低，不可驱散，结算招式：以善的最高层数决定招式效果。
183	傀儡·修罗·形神·神	9	攻击强度提高，血量上限降低，不可驱散，结算招式：以恶的最高层数决定招式效果。
184	傀儡·畜生·攻击	2	对当前目标造成外功伤害
185	傀儡·畜生·针沼	9	随机方向，从脚下生长针刺，逐渐延伸至场景边缘，针刺的范围会逐渐扩大，被命中的玩家触发结算招式“针沼”。
186	傀儡·畜生·针沼·针	5	四周的针刺会向此玩家拉扯，并且发生爆炸，结算招式：以善的最高层数决定招式效果。
187	傀儡·畜生·针沼·沼	5	针刺会以此玩家为中心向外辐射四道新的针刺，结算招式：以恶的最高层数决定招式效果。
188	傀儡·畜生·饿鬼·攻击	2	对当前目标造成外功伤害
189	傀儡·畜生·饿鬼·啖	9	随机方向，吟唱技,不可打断，每秒对范围内目标消耗内力值，无内力职业则每秒受到阴性内功伤害。而后所中玩家获得“饿鬼障”效果。
190	傀儡·畜生·饿鬼·外障	9	“百虫蚀”每次被治疗叠加一层毒性持续伤害，可叠加，结算招式：以善的最高层数决定招式效果。
191	傀儡·畜生·饿鬼·内障	9	受治疗成效降低，并且降低携带者的血量上限，可叠加，不可驱散，结算招式：以恶的最高层数决定招式效果。
192	傀儡·地狱·攻击	2	对当前目标造成外功伤害
193	傀儡·地狱·阎罗	9	每个存活的玩家（当前目标除外）都会创建对应的独立恶鬼，追击对应所属玩家，当前玩家死亡则消失。可被击杀或者带到“天乐净土”消失。一旦恶鬼追击到玩家，则消失并且附身，触发生死劫效果
194	傀儡·地狱·生死劫·生	9	缓缓恢复血量，一旦满血则立即石化定身，若再次受到治疗，则直接死亡,结算招式：以善的最高层数决定招式效果。不可叠加
195	傀儡·地狱·生死劫·死	9	血量慢慢降低，若自然到零则立即满血并且气劲消失，结算招式：以恶的最高层数决定招式效果。不可叠加
196	傀儡·六道·六道轮回	8	所有傀儡恢复到初始位置，平衡所有傀儡血量，并且出现链接线。整个阵型缓缓转动，所有被联线撞上的玩家按照比例翻转血量，满血直接死亡，空血可瞬间满血，每中一人，所有BOSS回复部分血量，被命中的玩家可以消除所有的善恶气劲。
197	破伤击	1	对当前目标造成外功伤害，对被击倒的目标会造成额外的伤害。
198	军令如山	6	随机选择目标造成外功伤害并召唤一个虎盾死士。
199	士气大振	1	每次释放军令如山后，都会给自己叠加一层气劲，所有伤害增加，受到的伤害降低，不可驱散，永久持续。
200	破天重击	6	吟唱招式，随机选择一个目标定身，冲撞目标对其造成外功伤害，需要2人分摊伤害。
201	盾舞	4	挥舞手中的巨盾击打当前目标，造成外功伤害和击倒效果，降低目标外功防御，持续一段时间，可驱散。
202	无懈可击	3	血量到达一定时释放，吟唱招式，可以打断，成功吟唱则召唤10只小怪进入战斗且boss进入防御状态，获得“战力”气劲，30秒或者小怪全部死亡boss回到正常状态。
203	战力	2	反弹受到的伤害，随着层数的增加反弹伤害也会提高。
204	天罡断风斧	1	对当前目标造成外功伤害。
205	裂山诀	5	正面60度扇形半径20米的外功范围伤害，命中武器会引起武器爆炸。
206	火尖抛掷	6	随机选择玩家对点丢枪，对玩家造成外功伤害。
207	火舞金钢	9	吟唱2秒，可打断，打断后在自身位置释放一个半径10米的外功范围伤害；吟唱成功则引爆指定的武器，每引爆一把武器或者武器每爆炸一把，boss叠加一层伤害气劲爆燃，武器被引爆时，如果周围半径8米内有武器存在，会产生连锁反应，如果两把武器间隔小于5米，那么会自动引爆。该招式在boss血量低于20%后停止释放。
208	石斧气劲	5	武器每秒造成半径6尺的外功范围伤害。
209	自爆	5	武器自爆造成半径6尺的范围伤害。
210	爆燃	9	武器自爆后给boss叠加伤害气劲，每层提高boss的外功伤害，持续一段时间，不可驱散。
