ClassID	SubClassID	ID	ClassName	SubClassName	Title	Content	Link
3	10	2			NPC红名	<text>text="　　敌对关系，一旦您进入了该NPC的攻击范围，他就会主动攻击您。赶路的时候不要为了抄近路而从红色怪群中穿过哦。" font=162</text>	
3	10	3			NPC黄名	<text>text="　　中立关系，不会主动攻击您，但是遭到攻击后他们是会还击的，所以在使用范围性攻击时要小心“招惹”到他们。" font=162</text>	
3	10	4			NPC绿名	<text>text="　　友好关系，您不能攻击的对象，包括商人、任务NPC等等。" font=162</text>	
3	10	5			NPC强度	<text>text="　　游戏中，根据攻击强度不同，NPC可以分为普通、高手、头目、领袖四种，您可以通过他们不同的小头像外框和血条来分辨。简单说来记住一个规则，血条越长的NPC攻击强度越高。\\\n　　如果级别不是远高于对立的头目或领袖的话，最好不要尝试单独挑战他们，或者当被他们轻松干掉的时候您也会深刻得知这一点。\\\n　　付出与回报是相对应的，当你和同伴齐心协力推倒领袖级的战斗NPC时，通常会掉落较好的物品作为奖励。\\\n" font=162</text>	
3	10	6			NPC小头像类型	<text>text="观察NPC的小头像类型可以分辨对方的物种类型，例如人类、猛兽等。\\\n" font=162</text>	
3	11	0		常用快捷键		<text>text="　按C键会打开角色信息，其中包括您的装备、声望、坐骑和阵营界面；\\\n　按P键会打开武学界面，您可以查看武功技能和更改内功和奇穴；\\\n　按K键可以查看帮会信息，参加帮会活动等；\\\n　按O键查看好友、仇人、好友排名、同城好友推荐等；\\\n　按U键查看师徒界面，拜师收徒信息一应俱全。\\\n" font=162</text>	
11	0	0	交易组队				
11	1	0		交易		<text>text="　右键点击目标玩家的小头像，弹出的交互面板中选择‘交易’即可发送交易请求。对方收到交易请求后选择‘接受’即可打开交易界面；右键单击或拖拽背包内的物品即可将物品移至交易界面中。" font=162</text>	
11	2	0		组队		<text>text="　右键点击目标玩家的小头像，弹出的交互面板中选择‘组队’即可发送组队邀请或申请，对方收到请求后选择‘接受’即可加入组队。\\\n" font=162</text>	
12	0	0	聊天系统			<text>text="　　游戏中，您可以通过聊天系统与其他玩家进行轻松、方便的互动交流。并可在其中获取很多的交易和组队信息。除了文字交流以外，您还可以使用妙趣横生的表情动作和表情语言来增加交流时的乐趣。并且，您还可以通过聊天系统设置来打造自己独一无二的聊天窗口显示。" font=162</text>	
12	1	0		默认聊天窗口		<text>text="　　登录游戏，默认情况下系统会显示：综合、常用、战斗、其他、和师徒这五个聊天窗口。各个窗口所显示的聊天信息有所不同，几乎所有的频道、系统、环境、奖励、战斗信息都会在综合信息面板里显示出来，进入游戏时默认显示综合信息。您也可以根据自己想获取的信息来切换聊天窗口。\\\n" font=162</text>	
12	1	1			综合聊天窗口	<text>text="　　综合聊天窗口默认情况下显示拜师信息以外的所有频道的内容，是显示聊天信息最完整的一个窗口。" font=162</text>	
12	1	2			常用聊天窗口	<text>text="　　常用聊天窗口默认情况下显示玩家经常会使用的与其他玩家之间进行交流的聊天频道，例如：队伍频道、帮会频道、团队频道、好友频道、密聊频道等。具体可以在聊天设置界面中查看到。" font=162</text>	
12	1	3			战斗聊天窗口	<text>text="　　战斗聊天窗口默认情况下显示角色在战斗过程中的信息，包括使用的武功技能、技能的命中情况、技能所造成的伤害、获得的奖励情况等。具体可以在聊天设置界面中查看到。" font=162</text>	
12	1	4			其他聊天窗口	<text>text="　　其他聊天窗口在默认情况下包括了：近聊、密聊、地图、门派、和阵营频道的信息。\\\n" font=162</text>	
12	1	5			师徒聊天窗口	<text>text="　　师徒聊天窗口是专属于师徒系统的，包括了师徒频道和拜师信息的内容。" font=162</text>	
12	2	0		聊天频道		<text>text="　　聊天系统为您设置了八种不同用途的聊天频道，您可以针对不同场合以及聊天对象来选择频道。只要点击对话窗口左侧最下方的“聊天泡泡”或通过输入快捷指令（/XX）便可以轻松切换聊天频道。" font=162</text>	
12	2	1			近聊/s	<text>text="近聊\\\n　　在当前频道发布的信息，可以被当前视野附近的所有玩家看到。" font=162</text>	
12	2	2			地图/y	<text>text="地图\\\n　　在当前角色所在地图发布的信息，整个当前地图场景的玩家都可见。\\\n" font=162</text>	
12	2	4			世界/h	<text>text="世界\\\n　　游戏中所有的人都可看到此频道的发言，无论何时无论何地。" font=162</text>	
12	2	5			门派/f	<text>text="门派\\\n　　门派的专用频道，同门师兄弟们可在此频道交流心得，互通信息。" font=162</text>	
12	2	6			阵营/c	<text>text="阵营\\\n　　在阵营频道发言，同一阵营的人才可看到。\\\n" font=162</text>	
12	2	7			师徒/m	<text>text="师徒\\\n　　在师徒频道发言，只有自己的师父和同门师兄弟才可看到。" font=162</text>	
12	2	8			好友/o	<text>text="好友\\\n　　在好友频道发言，好友列表中的所有好友都可以看到。" font=162</text>	
12	2	9			密聊/w	<text>text="密聊\\\n　　和指定的某个玩家进行一对一交流，无论多远，沟通无极限。" font=162</text>	
12	3	0		聊天窗口设置		<text>text="　　打开聊天系统的设置界面，您可以按照自己的喜好方便的改变聊天文字的大小、颜色、窗口透明度等，打造自己个性化的聊天窗口。并且您还可以方便的对聊天窗口进行拆分，可同时查看几个窗口所显示的信息。" font=162</text>	
12	3	1			聊天文字设置	<text>text="　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，在其中的“聊天页面--界面设置”中可以看到字体、字号的选择列表，可以根据自身的需求来选择字体和字的大小。" font=162</text>	
12	3	2			颜色更改	<text>text="　　根据个人不同的需要，可以随意更改聊天窗口的背景颜色和各频道显示的信息的字体颜色。\\\n　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，在其中的“聊天页面--界面设置”中可以看到“调整背景颜色”这一项，左键点击文字后方的彩色圆球，会出现一个颜色选择卡。\\\n　　如果要更改频道的字体颜色，选择“聊天页面-频道颜色”可以在界面右侧看到各个频道的原始颜色，点击文字旁边的色块，进行选色就可以了。" font=162</text>	
12	3	3			调整窗口透明度	<text>text="　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，在其中的“聊天页面--界面设置”中可以看到“调整背景透明度”选项，左键点住滚动条进行拖动，调整到满意的透明度就可以了。" font=162</text>	
12	3	4			独立聊天窗口	<text>text="　　根据个人的需要，可以将各个聊天窗口从聊天整体窗口中拖拽出来成为一个独立的窗口。只要左键点住窗口的标签名字进行拖动即可。" font=162</text>	
12	3	5			调整聊天框大小	<text>text="　　鼠标放在聊天界面边框处变成“双向箭头”形状时，拖动即可调整聊天框比例和大小。" font=162</text>	
12	4	0		聊天频道设置		<text>text="　　您可以按照自身的需要任意增加或减少各聊天窗口所要包括的频道信息或是增加新的聊天窗口。也可方便的删除和恢复到系统默认的状态。" font=162</text>	
12	4	1			增加频道信息	<text>text="　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，点开“聊天窗口”一栏，选择需要增加信息的频道，例如：在战斗聊天窗口中需要增加队伍频道的信息。点击战斗，在界面右边可以看到可以勾选的频道，左键点击频道前方的小方格进行勾选即可。" font=162</text>	
12	4	2			减少频道信息	<text>text="　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，点开“聊天窗口”一栏，选择需要减少信息的频道，例如：在综合聊天窗口中需要减少队伍频道的信息。点击综合，在界面右边可以看到所有可以选择的频道，左键点击频道前方的小方格将勾选勾去即可。" font=162</text>	
12	4	3			新建聊天窗口	<text>text="　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，点开“聊天窗口”一栏，点击左下方的“新建”按钮，系统会弹出一个输入频道名称的输入框，输入并确定后，新的频道就建好了。然后勾选需要显示的信息即可。" font=162</text>	
12	4	4			删除聊天窗口	<text>text="　　如果需要删除某个聊天窗口，只需要左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，点开“聊天窗口”一栏，选择左侧中的某一窗口，例如：其他，然后点击界面左下角的“删除”按钮，再确定就可以了。" font=162</text>	
12	4	5			恢复默认设置	<text>text="　　可以根据自己的需要，将聊天界面，频道颜色和聊天窗口恢复成默认设置。\\\n　　左键点击频道界面边的齿轮按钮后会弹出聊天设置界面，选择“聊天页面--界面设置”，再点击左下角的“恢复默认”按钮，可将字体、字号、背景颜色和透明度恢复成默认。\\\n　　选择“聊天页面-频道颜色”，再点击左下角的“恢复默认”按钮，可将聊天窗口中显示的信息的字体颜色恢复成默认。\\\n　　选择“聊天窗口-综合”，再点击左下角的“恢复”按钮，可将聊天窗口中所要显示的频道信息恢复成默认。其他窗口同理。" font=162</text>	
12	5	0		聊天表情		<text>text="　　系统自带了很多妙趣横生的表情动作和表情语言，您可以使用这些来增加与他人交流时的乐趣。除了系统默认提供的表情语言之外，您还可以自己定义更丰富更个性化的表情语言。" font=162</text>	
12	5	1			表情动作	<text>text="表情动作\\\n　　除了文字交流以外，您还可以通过点击对话栏最右侧的“笑脸”图标或在聊天窗口中输入文字命令（/　XX）让自己的角色展示不同的动作。未来将不定期地加入更多动作来增加交流时的乐趣。\\\n" font=162</text>	
12	5	2			表情语言	<text>text="表情语言\\\n　　除了表情动作之外，还有妙趣横生的表情语言供您嬉笑怒骂，笑傲江湖，表情语言是只有文字表现的。鼠标悬停在语言按钮上时会显示语言内容。\\\n" font=162</text>	
12	5	3			自定义表情语言	<text>text="　　除了系统默认提供的表情语言之外，您还可以按“管理”按钮打开界面来自定义更丰富更个性化的表情语言。然后点击“新建”按钮，将右侧的需要填写的“指令、无目标用语、和有目标用语”填写完毕，点击右下角的确定就可以了。\\\n　　您还可以将已存在的表情语言进行删除，按“管理”按钮，点选其中的一个表情语言，再点击左下方的“删除”按钮，确定即可。" font=162</text>	
12	6	0		聊天栏操作		<text>text="　　您可以在聊天窗口中进行很多的快捷操作，例如：快速切换聊天频道、查看其它玩家链接到窗口的任务信息和物品信息。您也可以方便的通过聊天窗口将物品信息展示给其他玩家。同时，您可以通过对聊天窗口中的玩家角色名进行操作来方便的组队、密聊加好友等。" font=162</text>	
12	6	1			切换聊天频道	<text>text="　　点击对话窗口左侧最下方的“聊天泡泡”或通过输入快捷指令（/XX）可以切换聊天频道发言。" font=162</text>	
12	6	2			切换显示频道信息	<text>text="　　左键点击聊天栏上方的频道按钮可以切换显示不同聊天信息，分别是近聊、地图、帮会、世界、门派、阵营、密聊频道信息。\\\n　　几乎所有的频道、系统、环境、奖励、战斗信息都会在综合信息面板里显示出来，进入游戏时默认显示综合信息。\\\n　　而战斗信息则可以清晰地显示战斗中发生了什么，您和对手的战斗操作和造成的效果等，一个武林高手一定会善于分析战斗信息。" font=162</text>	
12	6	3			显示任务与物品信息	<text>text="　　通过Ctrl+左键点击任务面板里的“任务名”或背包内的“物品图标”时，可把该名称快速显示在聊天栏中。\\\n　　点击聊天信息中包含的“任务名”和“物品名”时，可以直接查看该任务或物品信息。" font=162</text>	
12	6	4			聊天栏中的快捷操作	<text>text="　　点击聊天信息中的其他玩家名称，可直接将其选择为密聊对象。\\\n　　点击聊天信息中的玩家名称，可对其进行密聊、组队、加为好友、屏蔽等快捷操作。当您屏蔽掉某个玩家时，您将不会再收到这个玩家发出的交互消息，除非您按O键打开社交界面的屏蔽列表，主动解除该玩家的屏蔽。\\\n　　点击“新建”按钮，输入表情语言指令、有目标和无目标时的显示用语，再点击“确认”即可新建一个自定义的表情语言。" font=162</text>	
13	0	0	任务系统			<text>text="　　做任务是了解游戏故事背景、升级、赚钱、获取装备、声望等等好处的重要途径之一。《剑网3》的游戏世界是一个动态可发展的、有历史变迁的世界，数千个多样化的任务可以使得您在做任务升级的同时，充分体验丰富的游戏乐趣，甚至影响到游戏世界的发展。" font=162</text>	
13	1	0		接交任务		<text>text="　　NPC头顶金色卷起的卷轴，表示有任务可接。\\\n　　金色展开的卷轴，表示有任务可交。" font=162</text>	
13	1	1			接任务	<text>text="　　尽管去找头上有关闭状金色卷轴标识的NPC对话吧，这表示他现在有一个或多个任务给您。\\\n　　1.　靠近NPC，将鼠标移动NPC身上，点击鼠标右键，可以打开任务对话界面。\\\n　　2.右键点击与其对话，在对话界面中选择任务。点击“接受任务”即可接受此任务。\\\n" font=162</text>	
13	1	2			交任务	<text>text="　　当看到NPC头上有打开状的金色卷轴标识时，这代表他们希望您带着任务物品或任务完成信息凯旋并与之对话，通常这意味着阅历、银两或丰厚的装备物品奖励等。　\\\n　　完成任务后，右键点击与其对话，在对话界面中选择任务。点击“完成任务”即可交付此任务，得到对应的奖励。" font=162</text>	
13	2	0		查看任务		<text>text="　　正在进行中的任务会出现在您的任务纪录里。按L键打开任务界面，可以看到现有的任务列表和每个任务的详细描述--包括任务目标、任务描述、任务奖励等。\\\n　　在任务描述的NPC对话内容中，我们贴心地把您关注的任务关键字用颜色加以区分：\\\n　　红色：需要杀死的怪物名称。\\\n　　蓝色：需要收集的物品名称。\\\n　　绿色：地名和需要寻找的任务NPC名称。" font=162</text>	
13	2	1			任务进展	<text>text="　　任务名后方将标出该任务的进行状态，包括“完成”或“失败”。当任务失败后，你可以尝试放弃这个任务后再重新接取。" font=162</text>	
13	2	2			任务类型	<text>text="　　有些较为特殊的任务会在任务名后方标注上任务类型，例如“秘境任务”、“日常任务”等等，一些挑战精英怪的任务也会在任务名方后标注“X人任务”，方便您拉帮结派前去挑战。" font=162</text>	
13	2	3			任务数量限制	<text>text="　　您的任务记录上可以记载的任务数量上限是25个。一旦达到了这个上限而您又要接新的任务，就必须放弃某个已经接到的任务。\\\n　　您可以随时放弃一个任务，当想做的时候再回去重新领取。" font=162</text>	
13	2	4			聊天栏显示任务名	<text>text="　　通过Ctrl+左键点击[任务名]，可把该[任务名]快速插入聊天栏的文字中，任何看到信息的玩家通过点击该对话中的[任务名]，即可看到该任务信息状态。" font=162</text>	
13	2	5			任务指引	<text>text="　　任务指引可以帮助您更快的查找到任务怪的所在或者是所要采集的任务物品，当您接取任务后，可以按“L”键打开任务面板，在任务内容中，可以看到需要您去干什么，例如：需要杀果子狸2个，在此文字后如果看到有一枚小旗帜的标志，这便是任务指引，您可以左键点击它，会自动打开所在地的地图，并在地图上以点的形式标识出怪物的所在或是任务物品的所在。" font=162</text>	
13	2	6			任务追踪	<text>text="　　默认情况下，系统会自动追踪您最近所接的5个任务并在任务列表和主界面上显示任务进展情况，您可以在选中某任务后点击追踪“取消追踪”按钮来取消追踪这个任务的进展。\\\n　　点击某个任务界面右上方的“关闭状卷轴”按钮可以打开大地图查看当前任务的接任务NPC地点。\\\n　　点击某个任务界面右上方的“打开状卷轴”按钮可以打开大地图查看当前任务的交任务NPC地点。\\\n" font=162</text>	
13	4	0		任务难度		<text>text="　　任务列表中的任务名和任务NPC的头顶卷轴都会用不同颜色来表明任务对玩家当前级别的难易程度。越低级的任务意味着越少的阅历（您可以把鼠标放在任务列表中的某低级任务名上察看递减的阅历值）。所以尽量完成与当前等级匹配的任务才是快速升级的好办法。\\\n　　灰色任务：任务等级比角色等级低9级以上，即使完成也基本拿不到阅历奖励，是时候放弃了。\\\n　　绿色任务：任务等级比角色等级低4-8级，任务阅历有所衰减，一个人也能轻易完成。\\\n　　黄色任务：任务等级与角色等级差距在3级以内，当前等级做这些任务性价比最高。\\\n　　橙色任务：任务等级比角色等级高4-5级，找上几个志同道合的伙伴会更有胜算。\\\n　　红色任务：任务等级比角色等级高6级以上，先升上几级再来挑战会更好。\\\n" font=162</text>	
13	4	1			金色卷轴	<text>text="金色关闭卷轴\\\n　　尽管去找头上有关闭状金色卷轴标识的NPC对话吧，这表示他现在有一个或多个任务给您。\\\n金色打开卷轴\\\n　　当看到NPC头上有打开状的金色卷轴标识时，这代表他们希望您带着任务物品或任务完成信息凯旋并与之对话，通常这意味着阅历、银两或丰厚的装备物品奖励等。" font=162</text>	
13	4	2			蓝色卷轴	<text>text="蓝色卷轴\\\n　　NPC头上有蓝色的关闭状卷轴时，表示有能重复完成的任务，一般代表各种声望任务。" font=162</text>	
13	4	3			灰色卷轴	<text>text="灰色卷轴\\\n　　NPC头上有灰色的关闭状卷轴时，表示该任务等级太低，即使完成也基本拿不到阅历奖励。" font=162</text>	
13	4	4			绿色卷轴	<text>text="绿色卷轴\\\n　　NPC头上有绿色的关闭状卷轴时，表示该任务等级对于您来说有点低了，即使完成该任务也会有一定的阅历衰减。\\\n" font=162</text>	
13	4	5			橙色卷轴	<text>text="橙色卷轴\\\n　　NPC头上有橙色的关闭状卷轴时，表示您当前等级还不能接收该任务。先升上几级后再来把！\\\n" font=162</text>	
13	4	6			小地图卷轴	<text>text="小地图卷轴\\\n　　小地图上会用打开状的金色卷轴显示附近可交任务的NPC位置。\\\n" font=162</text>	
13	6	0		任务协助		<text>text="　　当您帮助队友（同时也是您的好友），完成某个您已经完成的任务后，会获得一定的协助任务奖励。在任务界面右上方可以查看当前可协助任务状态。" font=162</text>	
13	6	1			任务协助条件	<text>text="　　协助者和被协助者必须组队。\\\n　　协助者必须在被协助者附近。\\\n　　协助者必须已完成该任务。\\\n　　协助者每天可完成的协助任务个数会随着等级增长不断增加，最高上限每天不超过18个。" font=162</text>	
13	6	2			任务协助奖励	<text>text="　　协助者和被协助者（同时也是好友）双方好感度增加5点。\\\n　　协助者将获得4点精力值和4点体力值。" font=162</text>	
13	7	0		任务共享		<text>text="　　某些任务能和附近的队友共享，您只需要按L键打开任务界面，选择某任务按下“共享”按钮即可。\\\n\\\n任务共享限制\\\n　　您的队友必须在您附近才能共享任务；\\\n　　您的队友必须也满足接受任务的条件，比如您已经完成到系列任务中的第二阶段，而您的队友尚处在第一阶段，则此任务无法共享；\\\n　　从掉落道具中引发的任务无法共享。具体可以打开任务面板进行查看，不可共享的任务，在面板下方的“共享”按钮是呈灰色状态的。" font=162</text>	
13	8	0		日常任务		<text>text="　　什么叫做日常任务？\\\n　　一天一次，刷新时间为每天早上7点。\\\n\\\n　　当看到NPC头上有蓝色的关闭状卷轴时，表示有能重复完成的任务。每日能完成的日常任务总数为20个。" font=162</text>	
13	8	1			活动日常	<text>text="　　活动日常分为长期活动和短期活动。\\\n　　长期活动是一直存在在游戏中的，例如：洛阳的擂台活动、扬州的狮王争霸。通过这些任务同样可以获得城市的声望奖励。\\\n　　短期活动是游戏中会根据现实生活中的节日定期推出相应的节日活动，会设立一些活动的日常任务，完成任务后，可以获得金钱和活动专用道具、货币等奖励。当活动结束后，便无法接到任务了，所以这类任务是有时间阶段限制的。具体的任务会因节日的不同而不同，可以查看当时的活动具体介绍。" font=162</text>	
13	8	2			城市日常	<text>text="　　在各大主城（扬州、长安等）也分别设立了各自的城市日常，完成城市的日常任务，可以增加对应城市的声望和金钱，例如：完成的是扬州的，则增加扬州城的声望。\\\n" font=162</text>	
13	8	3			势力日常	<text>text="　　游戏中除了城市日常，还有各个势力组织提供的日常任务，例如：长歌门、东篱寨、南洋商会、镖局等。完成不同势力的日常任务，可以增加对应势力的声望。详细内容可通过“人物属性”-“声望”面板，查看增加不同势力声望的方法以及不同的声望等级奖励。" font=162</text>	
13	8	4			阵营日常	<text>text="　　阵营分为恶人谷和浩气盟，当您加入了一方后，只可完成加入一方的日常任务。例如：加入恶人谷，则只可以做恶人谷的日常任务。\\\n　　其中恶人谷和浩气盟除了奖励声望的日常任务以外，还有奖励威望的日常任务。威望可以用来购买对应阵营的装备。" font=162</text>	
13	8	5			秘境日常	<text>text="秘境日常\\\n　　当角色达到满级时才可接取，除了大战任务奖励外，还会根据秘境所属势力的不同，会奖励对应势力的声望。" font=162</text>	
14	0	0	师徒系统			<text>text="　　江湖中遇一良师可以受益匪浅，收一顽徒亦可以增添乐趣。\\\n　　师徒系统给剑侠江湖中的各位侠士提供了一个拜师学艺、收徒传艺的方便的平台。通过拜师和收徒，徒弟一方不仅可以更快的熟悉游戏的各种操作和玩法，还可以获得饰品套装的奖励。而作为师父的一方，通过帮助徒弟，与徒弟一起完成师徒任务，不仅可以获得师徒值、修为等丰厚的奖励，更可以让自己的名字永存于隐元密鉴的排行榜中。\\\n　　各位侠士通过师徒系统不仅可以结识到与自己有缘的师父或徒弟，更可以认识其他的同门师兄弟和师姐妹。相约结伴，快意江湖。" font=162</text>	
14	1	0		如何收徒		<text>text="　　已满级的大侠便可招收自己的徒弟，可以通过多种途径进行收徒。例如：在聊天窗口中直接收徒、在师徒界面的“找徒弟”列表中寻找等。" font=162</text>	
14	1	1			聊天窗口快捷收徒	<text>text="　　您可以在聊天频道里直接右键点击角色名进行收徒，待徒弟方同意后收徒成功。\\\n　　具体操作如下：\\\n" font=162</text><image>path="ui\Image\JX3Library\名字收徒.UITex" frame=0</image>	
14	1	2			师徒界面收徒	<text>text="　　在师徒界面里寻找徒弟，新进的小侠会随机在师徒界面中显示。\\\n" font=162</text><image>path="ui\Image\JX3Library\师徒界面更换.Tga" frame=0</image>	
14	1	3			收附近玩家为徒	<text>text="　　收附近玩家为徒，可以直接右键点击对方的头像进行收徒，系统会发送一个收徒请求给对方，如果对方同意，则收徒成功。\\\n　　选中目标，右键点击角色栏，在出现的列表中选择收徒。\\\n" font=162</text><image>path="ui\Image\JX3Library\收徒弟.UITex" frame=0</image><text>text="\\\n" font=162</text>	
14	1	4			师徒频道收徒	<text>text="　　在师徒频道中，未拜师的小侠在每次登录时，系统都会自动发布信息，想要收徒的大侠可以在频道中寻找徒弟，右键点击角色名便可收徒。\\\n" font=162</text><image>path="ui\Image\JX3Library\快捷收徒.UITex" frame=0</image>	
14	1	5			发布收徒信息	<text>text="　　如果没有寻找到想要收的徒弟，可以在师徒界面中　“发布收徒”消息，系统会自动在师徒界面中发布，只要静等有缘人即可。\\\n　　1.按U键或是左键点击游戏界面右边的手掌合十的图标来打开师徒界面。\\\n　　2.在师徒界面中选择“找徒弟”一列，再点击左下角的“发布收徒”按钮即可。\\\n" font=162</text>	
14	2	0		如何拜师		<text>text="　　1-89级的小侠可以拜90级的大侠为师，每位小侠都有多种途径可以寻找到自己的师父。\\\n　　例如：频道喊话、拜附近的玩家为师、在师徒界面中寻找师父等。" font=162</text>	
14	2	1			聊天频道发言拜师	<text>text="　　可以通过在世界频道喊话来寻求师父，与您有缘的师傅自然会收您为徒。\\\n" font=162</text><image>path="ui\Image\JX3Library\世界频道.UITex" frame=0</image>	
14	2	2			聊天窗口快捷拜师	<text>text="　　可以在综合频道里，直接右键点击其他玩家角色名进行拜师，如果对方同意则拜师成功。\\\n" font=162</text><image>path="ui\Image\JX3Library\名字拜师.UITex" frame=0</image>	
14	2	3			师徒界面拜师	<text>text="　　在师徒界面里寻找师父，发布过收徒信息的大侠会在师徒界面中显示。\\\n" font=162</text><image>path="ui\Image\JX3Library\师徒界面更换.Tga" frame=0</image>	
14	2	4			拜附近玩家为师	<text>text="　　拜附近玩家为师，可以直接右键点击对方的头像进行拜师，系统会发送一个拜师请求给对方，如果对方同意，则拜师成功。\\\n　　选中目标，右键点击角色栏，在出现的列表中选择拜师。\\\n" font=162</text><image>path="ui\Image\JX3Library\拜师.UITex" frame=0</image>	
14	2	5			师徒频道拜师	<text>text="　　在师徒频道中，未收满徒地的大侠侠在每次登录时，系统都会自动发布信息，想要拜师的小侠可以在频道中寻找徒师父，同样右键点击角色名便可收徒。\\\n" font=162</text><image>path="ui\Image\JX3Library\快捷拜师.UITex" frame=0</image>	
14	2	6			发布拜师信息	<text>text="　　如果没有寻找到想要拜的师父，可以在师徒界面中　“发布拜师”消息，系统会自动在师徒界面中发布，只要静等有缘人即可。" font=162</text>	
14	3	0		师门互动		<text>text="　　结为师徒关系的双方，徒弟不仅可以很方便地邀请师父或是同门组队，并且每天还有3次召请师父前来帮助自己的机会。师徒之间更有特殊的师徒阵法可以开启。江湖之路将不再寂寞。" font=162</text>	
