LinkID	MapID	NpcID	Kind	x	y	z	NpcName
94	15	6274	长安丘石	55805	93639	1061696	丘石
95	8	6274	洛阳丘石	28975	90341	1060160	丘石
96	8	6271	洛阳丘怀	28781	90341	1060160	丘怀
97	6	6271	扬州丘怀	70997	46688	1052160	丘怀
98	6	6274	扬州丘石	70971	46447	1052160	丘石
99	27	8132	恶人谷董海健	51642	69366	1114151	董海健
100	25	8131	浩气王雨瑶	49542	40396	1125670	王雨瑶
101	6	7820	扬州玄字陆捌	92735	68463	1058990	玄字陆捌
101	8	7820	洛阳玄字陆捌	13721	85986	1064851	玄字陆捌
101	15	7820	长安玄字陆捌	56564	99611	1063851	玄字陆捌
102	6	1349	扬州玄字伍叁	92576	68439	1058991	玄字伍叁
102	8	1349	洛阳玄字伍叁	13566	86110	1064851	玄字伍叁
102	15	1349	长安玄字伍叁	56690	99585	1063876	玄字伍叁
103	6	7821	扬州李守财	92443	68448	1058991	李守财
103	8	7821	洛阳李守财	13416	85990	1064851	李守财
103	15	7821	长安李守财	56811	99614	1063826	李守财
104	6	13800	扬州新手少林接引	43826	32443	1049574	五毒长老
104	8	13800	洛阳新手少林接引	54914	21089	1080709	五毒长老
104	15	13800	长安新手少林接引	35346	44614	1061879	五毒长老
105	102	9340	五毒入门	34400	63970	1059592	艾黎
106	102	7055	五毒马商	24859	60750	1053632	叶宝驹
107	102	9331	五毒掌门	16865	90831	1075342	曲云
108	2	96	万花掌门	52406	39717	1244632	僧一行
109	5	640	少林掌门	45455	65287	1131136	玄钟
110	49	6627	藏剑叶英	74917	63941	11150008	叶晖
111	7	737	纯阳卓凤鸣	11416	7960	1171423	陆剑平
112	7	713	纯阳于睿	24896	12581	1159080	于睿
113	2	100	万花僧一行	48784	44309	1134441	逸尘
114	11	1646	天策曹雪阳	61521	18458	1052204	曹雪阳
115	11	1640	天策杨宁	54046	18465	1052204	杨宁
116	5	557	少林慧海	37256	40127	1122420	慧海
117	49	6632	藏剑叶松贤	79327	73665	1118271	叶松贤
118	49	6631	藏剑叶子轩	77748	73644	1118271	叶子轩
119	6	8808	扬州曾鑫	53738	56644	1051785	曾鑫
119	8	8808	洛阳曾鑫	35704	85106	1057166	曾鑫
119	15	8808	长安曾鑫	41578	102735	1063664	曾鑫
120	8	4714	洛阳玄字玖贰	12554	86990	1064837	玄字玖贰
120	15	4714	长安玄字玖贰	57050	100661	1063628	玄字玖贰
121	6	10212	扬州王露儿	53698	68372	1051840	王露儿
122	108	10697	长安马婧	76377	64855	1072128	马婧
123	6	10216	扬州余信鹏	53698	68372	1051840	余信鹏
124	15	10700	长安段小影	76377	64855	1072128	段小影
125	6	10416	扬州梅碧倪	49039	74710	1061440	梅碧倪
125	108	10416	长安梅碧倪	77212	64913	1072128	梅碧倪
126	6	10219	扬州周明蒙	53621	68328	1051840	周明蒙
127	74	77220	帮会关二爷	16860	10651	1105024	关二爷
128	74	7722	帮会邵卿城	16390	9523	1104280	邵卿城
129	74	9788	帮会家园李霖	9812	21364	1115271	李霖
130	74	9787	帮会家园郭语成				郭语成
131	74	10118	帮会家园祝宜枫	15896	12367	1104448	祝宜枫
132	74	7365	帮会韩荞生	24051	18844	1108525	韩荞生
133	74	7366	帮会黄剑翔	24203	18844	1108512	黄剑翔
134	6	10218	扬州卢荷泽	53621	68328	1051840	卢荷泽
135	108	10701	长安林荣晚	76377	64855	1072128	林荣晚
136	74	15178	帮会三石叔	16164	23037	1099940	三石叔
137	6	15902	扬州唐间竹	48359	33383	1049280	唐间竹
137	8	15902	洛阳唐间竹	54341	21902	1081088	唐间竹
137	15	15902	长安唐间竹	33864	45395	1060864	唐间竹
138	122	15203	唐老太太	68492	77856	1112403	唐老太太
140	6	16134	扬州茶馆老板娘	62976	45981	1053421	赵云睿
141	15	16134	长安茶馆老板娘	49997	83065	1059891	赵云睿
142	108	16134	成都茶馆老板娘	74557	69105	1070738	赵云睿
143	8	16134	洛阳茶馆老板娘	33540	66286	1052058	赵云睿
144	35	15675	白帝城外务府总管	74389	65897	1169728	宫关
145	35	15730	瞿塘峡贾公	71259	64153	1169712	贾公
146	30	15926	昆仑浩气盟调度史	69244	27076		浩气盟调度使
147	30	16349	昆仑隐元会使者	56498	5013		隐元会使者
148	30	15927	昆仑恶人谷调度史	32896	71400		恶人谷调度使
149	22	15926	南屏山浩气盟调度史	23882	24709		浩气盟调度使
150	22	16349	南屏山隐元会使者	89873	72423		隐元会使者
151	22	15927	南屏山恶人谷调度史	31450	65336		恶人谷调度使
152	30	16132	昆仑浩气盟进攻首领	68505	27703		可人
153	30	16031	昆仑恶人谷战旗	33604	71489		恶人谷战旗
154	22	16133	南屏山恶人谷进攻首领	30878	64274		莫雨
155	22	16030	南屏山浩气盟战旗	22775	26784		浩气盟战旗
156	6	15363	扬州莫离裳	71148	46580		莫离裳
157	8	15363	洛阳莫离裳	27802	89302		莫离裳
158	15	15363	长安莫离裳	51949	91731		莫离裳
159	12	15363	隐元追缉令·枫华谷·莫离裳	7948	36858		莫离裳
160	108	15363	成都莫离裳	71729	66334		莫离裳
161	15	7008	长安省试主考官	48361	106700		姚崇
162	8	7009	洛阳省试主考官	29058	93644		宋璟
163	6	7010	扬州省试主考官	90059	69267		张九龄
164	108	5097	成都跨服战场报名区域	68939	60060	1074216	浩气盟战场接引人
165	104	12963	月玲珑	45144	119916	1062175	月玲珑
166	104	12964	火龙	54397	119347	1059510	火龙
167	15	869	长安贡献昭示牌	45446	92839	1061636	秘境任务
168	8	869	洛阳贡献昭示牌	29541	80544	1053454	秘境任务
169	6	869	扬州贡献昭示牌	68230	62932	1052941	秘境任务
170	108	869	成都贡献昭示牌	70150	68193	1072653	秘境任务
171	15	14211	长安战魂牌	45601	92301	1061838	阵营任务
172	8	14211	洛阳战魂牌	29402	80855	1053454	阵营任务
173	6	14211	扬州战魂牌	68555	62657	1052941	阵营任务
174	108	14211	成都战魂牌	70579	68183	1072653	阵营任务
175	101	7968	花祁山	107771	32552	1061424	花祈山
176	6	7025	扬州科举省试考官	43486	22689		梅翥
177	8	7026	洛阳科举省试考官	55970	27363		章仲
178	15	7027	长安科举省试考官	32094	50685		刘惟微
179	12	6610	枫华谷孟康	77189	62393		孟康
180	9	6612	洛道林云冲	62075	64919		沐云冲
181	10	5843	濯垢奇蛛	37481	82307		濯垢奇蛛
182	13	5968	猿飞鬼助	44256	82980		炎之鬼助
183	27	36498	恶人谷前线支援	40177	25802		路乞明
184	25	36495	浩气盟前线支援	35992	45633		洛雨繁
195	151	36504	衣冠禽兽任务	29783	41360	1060800	莫云
198	151	36503	衣冠禽兽任务	11497	51285	1052096	莫白
202	108	36801	莫文君	71071	66746	1072960	莫问君
209	15	16539	长安苏慧蓉	47879	92707	1061696	苏慧蓉
210	108	16539	成都苏慧蓉	73802	69844	1070784	苏慧蓉
211	8	16539	洛阳苏慧蓉	30423	90190		苏慧蓉
212	6	16539	扬州苏慧蓉	70427	46549		苏慧蓉
213	23	16540	龙门荒漠凌燕丘	40751	37813		凌燕丘
214	15	6129	黄字零零捌	46872	29602		黄字零零捌
215	6	20001	扬州陆烟儿	43419	29241	1049728	陆烟儿
215	8	20001	洛阳陆烟儿	56754	22213	1082240	陆烟儿
215	15	20001	长安陆烟儿	34059	43943	1061120	陆烟儿
222	15	6810	春节活动	54706	93623	1061696	马莉颖
245	6	6810	春节活动	70768	47162	1052160	马莉颖
261	108	6810	春节活动	75000	72345	1071424	马莉颖
269	15	6804	长安叶飘零	54530	93637	1061696	叶飘零
271	108	6804	成都叶飘零	74645	72509	1071680	叶飘零
272	8	6804	洛阳叶飘零	29984	90090	1060160	叶飘零
273	6	6804	扬州叶飘零	70719	47325	1052160	叶飘零
275	15	6803	长安燕小霞	53210	93698	1061696	燕小霞
276	35	17207	瞿塘峡冷馨兰	90594	75994	1122432	冷馨兰
277	6	17612	扬州神秘老者	68208	63168	1052992	神秘老者
277	8	17612	洛阳神秘老者	29503	81256	1053504	神秘老者
277	15	17612	长安神秘老者	45593	92103	1061888	神秘老者
277	108	17612	成都神秘老者	70867	66763	1072896	神秘老者
278	105	16105	苍山洱海日常	69249	107165	1071703	乃古修
279	105	17770	苍山洱海任务起始	103136	108857	1108682	莫雨
283	15	6812	长安年华	54480	92772	1061696	年华
284	153	23538	浩气盟威望日常				月语堂
285	153	23539	恶人谷威望日常				火独
286	153	869	贡献昭示牌	41183	62659	1241221	秘境任务
287	153	6551	马嵬驿浩气战场接引人				浩气盟战场接引人
288	153	6892	马嵬驿恶人战场接引人				恶人谷战场接引人
290	108	16487	成都省试主考官	60615	70000	1072704	王凌枫
291	108	16486	成都会试主考官	60615	70000	1072704	张说
292	30	30673	昆仑押运粮草	18371	61054	1154155	宇文泽
293	22	30674	南屏山押运粮草	22984	20636	1110493	诸葛清
300	22	7606	南屏山烽烟再起浩气盟接引人	39396	11975		王洵
301	30	7604	昆仑烽烟再起恶人谷接引人	23553	50936		何非笑
302	30	7607	昆仑烽烟再起浩气盟接引人	90934	43037		王洵
303	22	7605	南屏山烽烟再起恶人谷接引人	57417	4195		何非笑
388	105	16505	赛马报名人	111064	17131	1079882	赛马报名人
389	6	16059	扬州名剑大会接引人	86865	73763	1055143	张英
390	108	16113	成都名剑大会接引人	69484	61105	1074061	上官玲
391	15	6561	长安冬至接引人尤泽煦	51240	91722	1062080	尤泽煦
392	6	6561	扬州冬至接引人尤泽煦	71280	46706	1052160	尤泽煦
393	8	6561	洛阳冬至接引人尤泽煦	30702	90632	1060160	尤泽煦
394	108	6561	成都冬至接引人尤泽煦	74796	71516	1070912	尤泽煦
395	150	52797	萧沙残魂	60292	80392	1247801	萧沙
396	158	52555	安禄山残魂	56115	49487	1052317	安禄山范围总控
767	2	74	万花谷花圣	77568	51457	1103257	宇晴
768	156	23669	长安·战乱赵云睿	44947	63332	1063414	赵云睿
769	151	23669	洛阳·战乱赵云睿	32351	65233	1052078	赵云睿
770	156	24249	长安_安史之乱·苏曼莎	48397	102428	1061760	苏曼莎
771	151	24232	洛阳_安史之乱·黑齿元祐	21293	83835	1060160	黑齿元佑
772	22	21878	南屏山浩气盟镖师	14997	15068	1110720	浩气盟镖师
773	22	21879	南屏山恶人谷镖师	11327	72765	1097920	恶人谷镖师
774	30	21878	昆仑浩气盟镖师	91570	42477	1133440	浩气盟镖师
775	30	21879	昆仑恶人谷镖师	23508	50582	1117504	恶人谷镖师
776	172	25844	长安内城沈眠风	111894	28603	1057600	沈眠风
777	139	25888	枫华谷·战乱阿史那从礼	55057	25785	1083136	阿史那从礼
780	156	25559	长安·战乱娄永才	45213	63581	1063451	娄永才
781	2	7706	万花东方欣	56276	45702	1133878	东方欣
782	5	7712	少林芋头	32157	56784	1127424	芋头
783	7	7707	纯阳柒柒	24753	12488	1159085	柒柒
784	11	7708	天策君傲城	59135	20095	1052204	君傲城
785	16	7709	七秀绣袖	30748	32579	1056951	绣袖
786	49	7710	藏剑千叶	77942	74056	1117967	千叶
787	102	9443	五毒容夏	33759	62912	1060110	容夏
788	122	15223	唐门唐怀信	79064	85938	1106749	唐怀信
789	150	19238	明教伊利亚斯	62023	67258	1158650	伊利亚斯
790	158	24444	天策战乱古月	56823	23830	1060131	古月
791	159	25513	丐帮崔永沅	64984	63801	1088672	崔永沅
792	5	0	少林门派事件	9702	56194	1143616	少林弟子
793	7	0	纯阳门派事件	25784	21580	1160256	纯阳弟子
794	11	0	天策门派事件	42154	17324	1049984	天策弟子
795	16	0	七秀门派事件	29167	31639	1057408	碧儿
797	102	0	五毒门派事件	42174	85666	1051968	五毒弟子
798	122	0	唐门门派事件	82035	77711	1076032	唐门弟子
799	150	0	明教门派事件	62512	17567	1097984	伪明教弟子
800	159	0	丐帮门派事件	41275	109264	1096704	丐帮弟子
801	158	42556	天策门派事件	65099	45576	1052480	天策弟子
801	158	0	天策门派事件	65099	45576	1052480	天策弟子
802	2	0	万花门派事件	32664	34812	1114368	万花弟子
803	6	2280	烹饪训练师	58566	56602	1051831	邵语秋
804	8	3504	烹饪训练师	30988	85189	1053454	苏小伦
805	15	3759	烹饪训练师	40573	97696	1063568	杨立德
806	108	9769	烹饪训练师	65382	68140	1072653	李虬髯
809	15	3751	医术训练师	39334	98200	1065749	邱星彩
810	108	9877	医术训练师	61403	68269	1072653	白首翰
811	6	2275	缝纫训练师	55576	58411	1052059	杜小红
814	108	9873	缝纫训练师	63330	63063	1073733	素怀绣
816	8	3508	铸造训练师	34741	85396	1057166	高振伟
818	108	9875	铸造训练师	61644	66370	1072653	欧无邪
819	6	36787	淬炼训练师	53509	58770	1051791	薛义
820	8	36787	淬炼训练师	34997	86211	1058384	薛义
821	15	36787	淬炼训练师	40215	103568	1063565	薛义
822	108	36787	淬炼训练师	62526	69040	1072645	薛义
823	108	7572	成都节日大使	71552	66756	1072475	节日大使
824	156	37597	长安·战乱银甲将军	43909	65947	1063488	银甲将军
825	151	37699	洛阳·战乱宋森雪	72534	67021	1084992	宋森雪
826	108	16505	赛马报名人	70388	66803	1072704	赛马报名人
827	35	16747	活动任务	71561	64425	1169711	活动任务
828	6	36801	莫问君	68393	63325	1052992	莫问君
829	16	17305	七秀习武区域	17304	16268	1057344	七秀大师姐
830	7	17308	纯阳习武区域	27384	15558	1159104	纯阳大师兄
831	11	17310	天策习武区域	54088	18276	1052224	天策大师兄
832	102	17312	五毒习武区域	28561	83529	1066496	五毒大师兄
833	5	17309	少林习武区域	41364	61735	1127488	少林大师兄
834	122	17313	唐门习武区域	82320	79948	1076032	唐门大师姐
835	2	17307	万花习武区域	46168	47141	1162176	万花大师兄
836	49	17311	藏剑习武区域	78532	80045	1114496	藏剑大师兄
837	150	20684	明教习武区域	55782	73454	1168064	明教大师兄
838	159	25558	丐帮习武区域	64716	63644	1088704	丐帮大师姐
839	193	40876	苍云习武区域	43641	23045	1070272	苍云大师兄
840	158	17310	天策习武区域	53934	17966	1052224	天策大师兄
841	6	16509	赛马报名人	68192	63344	1052992	熊大海
842	6	16747	活动任务	68295	62656	1052941	活动任务
843	108	16747	活动任务	70630	66766	1072724	活动任务
844	6	4714	扬州玄字玖贰	93744	69268	1059323	玄字玖贰
845	108	4714	成都玄字玖贰	71065	70267	1074862	玄字玖贰
846	193	40884	柳西月	46906	24332	1070319	柳西月
847	193	41633	东径关之战	100008	49944	1103104	燕忆眉
848	193	16747	活动任务	46926	24539	1070126	活动任务
849	108	27543	元宵活动	57763	79143	1085696	王樊
850	6	27543	元宵活动	58397	37472	1050304	王樊
851	8	6810	春节活动	30133	90009	1060160	马莉颖
852	194	16701	苏水心	23792	63897	1137408	苏水心
853	194	36801	觅宝会	23021	63095	1133670	莫问君
854	194	4714	帮会家园执事	19372	71699	1143498	玄字玖贰
855	194	869	贡献昭示牌	22814	62543	1133670	秘境任务
856	194	14211	战魂牌	22817	62275	1133670	阵营任务
857	194	16747	活动任务牌	22812	62802	1133670	活动任务
858	194	16509	赛马接引人	22828	62963	1133670	熊大海
859	194	17612	试炼之地接引人	22884	63089	1133670	神秘老者
860	194	6891	跨服战场报名区域	20106	59842	1143085	浩气盟战场接引人
861	194	16059	名剑大会接引人	19408	59344	1143097	张英
862	6	41752	羽霓虹	68230	62764	1052992	羽霓虹
863	108	41752	羽霓虹	70264	66777	1072704	羽霓虹
864	15	41752	羽霓虹	44993	92578	1061888	羽霓虹
865	172	41752	羽霓虹	59764	45245	1125440	羽霓虹
866	8	41752	羽霓虹	29453	80688	1053504	羽霓虹
867	194	41752	羽霓虹	15216	65876	1143198	羽霓虹
868	194	11735	乔万山	24988	67558	1137408	乔万山
869	194	7572	太原节日大使	23033	67049	1137387	节日大使
870	6	43074	儿童节活动	70705	46363	1052098	桃花仙
871	8	14326	儿童节活动	28386	89513	1060160	蛋叉叔叔
872	15	14326	儿童节活动	51199	92010	1062080	蛋叉叔叔
873	108	43074	儿童节活动	74378	71160	1070854	桃花仙
874	194	43074	儿童节活动	25714	65906	1137392	桃花仙
875	6	7369	端午节活动	70492	46036	1052160	沈农
876	194	7369	端午节活动	25712	67006	1137408	沈农
877	108	7369	端午节活动	72100	66774	1071808	沈农
878	159	43084	端午节活动	57191	37710	1104576	涟香
879	159	43015	端午节特殊事件	49924	40141	1092992	洞庭飘香鳄
880	16	43090	端午节活动	25614	58998	1055936	端午鱼篓
881	21	43090	端午节活动	21165	17381	1052800	端午鱼篓
882	13	43090	端午节活动	42232	48914	1049280	端午鱼篓
883	6	43090	端午节活动	76726	41486	1048832	端午鱼篓
884	6	26740					被欺负的村民
885	6	7					黑野猪
886	6	27584					藏剑弟子
887	6	9					流氓
888	6	11					稻香分舵游击山贼
889	6	45969	当世长歌·任务	67626	47389	1052098	张水倾
890	6	46161	当世长歌·日常任务	67032	45635	1052098	任莞
891	151	46093	当世长歌·公共事件	74483	64283	1085312	杨逸飞
892	217	46968	莫云	122653	31993	1074553	莫云
893	217	46969	莫白	123100	56123	1071719	莫白
894	194	45009	赵云睿	26842	60468	1133638	赵云睿
895	216	45009	赵云睿	47823	65369	1079285	赵云睿
896	216	46788	森九岚	37534	76722	1080128	森九岚
897	217	46766	韩非池	15824	55324	1075584	韩非池
898	214	46402	剑圣	113605	79153	1086400	剑圣
899	215	46794	永王李璘	35829	63420	1156352	李璘
900	194	16113	名剑大会报名人	19289	59397	1143097	上官玲
901	213	47821	长歌习武区域	85908	65730	1057664	长歌大师兄
902	194	47754	阴山商路物资募集官	70260	115586	1116864	褚禾
903	217	47744	阴山商路恶人谷起始点	110326	28630	1074663	谷艾
904	217	47858	阴山商路浩气盟起始点	103679	26099	1076634	宋涛
905	216	47888	阴山商路补货商	33218	30528	1090381	夏洛特
906	214	47749	阴山商路补货商	65527	35877	1057619	木博
907	214	46331	无遮会声望商	53247	76824	1183431	慧善
908	216	46332	回纥商队声望商	97259	86745	1079422	阿勿嘀荧
909	215	46330	淮南商行声望商	96691	69801	1156322	陈徽之
910	217	47857	跋汗族黑水城声望商	20839	65999	1077599	姜微
911	213	50310	长歌门派事件-晒书准备	117365	52365	1058515	收书先生
912	213	45786	长歌门派事件-学堂晒书	92762	53539	1058232	李白
913	213	50124	长歌门派事件-音律之试	28759	111140	1062336	赵宫商
914	2	77	万花门派事件	78259	52918	1103457	裴元
915	194	6561	太原冬至接引人尤泽煦	24918	67407	1137408	尤泽煦
916	194	16539	太原苏慧蓉	25667	66946	1137408	苏慧蓉
917	49	50300	藏剑门派事件	80817	76550	1113528	叶泊秋
918	49	0	藏剑门派事件	78528	74737	1117989	叶炜
919	16	50652	七秀门派事件·红袖飞花	34189	28977	1057355	白依依
920	16	50515	七秀门派事件·剑舞凝光	29733	38423	1057932	照萤
921	16	50152	七秀门派事件·东海来客	30107	42243	1056256	白璃予
922	193	50232	门派事件·苍云	51316	56869	1057152	燕宁
923	193	50819	门派事件·苍云	44421	21078	1070912	燕安
924	193	50391	门派事件·苍云	95249	53731	1076992	申屠远
925	193	50555	门派事件·苍云	46247	22752	1070125	长孙忘情
926	158	50535	天策门派事件	33504	63271	1073024	天策弟子
927	158	50301	天策门派事件	14020	66777	1080448	天策弟子
928	7	50302	纯阳门派事件·山门卫道	41106	9687	1129856	卓宁心
929	7	50841	纯阳门派事件·山门卫道	30205	29399	1160313	卓宁心
930	7	50842	纯阳门派事件·山门卫道	47704	26570	1146454	卓宁心
932	5	571	证道院	32563	58117	1127424	少林大师兄
933	5	574	达摩堂	55893	59143	1127424	少林大师兄
934	5	2713	少林寺门前	46029	34627	1122340	少林大师兄
935	5	2745	莲池旁	48953	56309	1127424	少林大师兄
936	194	6810	春节活动	25340	65497	1137408	马莉颖
937	159	50871	门派事件·丐帮	94386	96169	1095680	尹小荷
938	159	50861	蒋方文	62820	95055	1103298	蒋方文
939	159	50809	郭岩	17409	109408	1119825	郭岩
940	122	50929	门派事件	82070	77839	1075991	门派事件区域
941	150	50965	明教门派事件·漫漫朝圣路	27447	25637	1093504	瑶瑶
942	150	50627	明教门派事件·明尊大典	60374	81446	1247744	陆烟儿
943	150	50633	明教门派事件·血染红衣	31274	96183	1145152	安雨
944	102	50670	五毒门派事件·毒蚊幼虫	92100	27356	1051584	玛索
945	102	50666	五毒门派事件·天一阴谋	45789	93475	1051136	公治菱
946	102	50669	五毒门派事件·噬魂金虎	28684	78605	1061760	噬魂金虎
947	151	51339	永安行声望商	79280	68442	1091095	叶紫琼
948	151	51147	洛阳·神兵迷踪	65991	78641	1100263	凤息颜
949	7	51479	打坐区域	8676	11774	1173504	打坐区域
950	11	51479	打坐区域	58316	20503	1056304	打坐区域
951	213	51479	打坐区域	85615	63554	1058849	打坐区域
952	102	51479	打坐区域	21670	87509	1071493	打坐区域
953	2	51479	打坐区域	52532	39040	1244585	打坐区域
954	16	51479	打坐区域	18483	16607	1057309	打坐区域
955	150	51479	打坐区域	60303	80409	1247801	打坐区域
956	159	51479	打坐区域	64892	66582	1094661	打坐区域
957	49	51479	打坐区域	75568	65138	1112849	打坐区域
958	193	51479	打坐区域	46496	23259	1070241	打坐区域
959	5	51479	打坐区域	33804	57982	1127552	打坐区域
960	122	51479	打坐区域	81566	77782	1076032	打坐区域
961	158	51479	打坐区域	58316	20503	1056304	打坐区域
962	215	43090	端午节活动	100987	96370	1156032	端午鱼篓
963	213	43090	端午节活动	25752	19091	1057472	端午鱼篓
964	108	51559	驭兽师	81269	64261	1070355	秦玉川
965	6	51548	方士	42032	36446	1049670	南宫麒
