TabID	Name	Title	Image1	Note1	Image2	Note2	Image3	Note3	Description
27	加入恶人谷	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\大头.tga	<text>text="1.在恶人谷入口找到大头，接取任务［石舂主人］。\\\n恶人谷 " font=18</text><text>text="大头 " font=18 link="NPCGuide/68"</text>	ui\Image\Helper\王遗风.tga	<text>text="2.完成这一系列任务后即可找到王遗风，选择是否进入恶人谷。" font=18</text>			<text>text="恶人谷：\\\n        武林向来纷争诸多，正邪难辨，随着收容之人越来越多，雪魔王遗风带领的恶人谷势力一发不可收拾，已成江湖最大势力之一。他们不求一统江湖之类的虚幻目的，只求随心所欲，自由自在！\\\n        投身恶人谷，便要挣脱俗世束缚，或从此云淡风清，隐遁谷中俯瞰天下纷争，或从此刀光剑影，携书弹剑夜话风雨江湖。" font=18</text>
28	介绍	恭喜你到达新手镇，了解更丰富的江湖体验！	ui\Image\Helper\10级新手镇.tga						<text>text="出入江湖：\\\n        新手镇是三大主城（长安、洛阳、扬州）附近的小城镇，是你踏入江湖的起点。\\\n        侠士在查看各NPC位置时，需在新手镇才可查看到确认位置哦。      " font=18</text>
29	介绍	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\文字15级3.TGA						<text>text="八大门派：\\\n      八大门派师出名门，各有千秋，一旦拜入师门则不可半途退出。" font=18</text>
30	介绍	恭喜你达到20级，现在你可以学习骑术和购买马匹了！	ui\Image\Helper\20级策马天下.tga						<text>text="策马江湖：\\\n        策马扬鞭江湖行，漫漫旅途中最贴心的伙伴莫过于一匹你专属的宝马良驹。\\\n        加入门派的侠士可至门派武学训练师处学习骑术。" font=18</text>
35	介绍	恭喜你达到67级，现在你可以选择加入恶人谷或浩气盟！	ui\Image\Helper\文字60级.tga						<text>text="阵营：\\\n        江湖险恶，正邪之分自古难以言说，唯有浩气盟与恶人谷群豪并起，各霸一方，静候天下热血英雄！" font=18</text>
36	加入藏剑	恭喜你达到15级，现在你可以选择加入门派了！	ui\Image\Helper\藏剑接引.tga	<text>text="1.通过与新手镇的藏剑接引人对话，可以被送至藏剑码头。\\\n" font=18</text><text>text="藏剑接引人" font=18 link="NPCGuide/69"</text><text>text=" \\\n需在新手镇才可查看位置。" font=18</text>	ui\Image\Helper\藏剑门主.tga	<text>text="2.在藏剑山庄找到叶晖，就可以加入藏剑了。\\\n藏剑 " font=18</text><text>text="叶晖" font=18 link="NPCGuide/70"</text>			<text>text="藏剑：\\\n　　藏剑武学因为受到西湖天然山水的熏陶，所以形成轻盈若水的快剑和稳重若山的重剑两派。快剑矫若游龙，翩若飞鸿，身影穿梭间伤人于无形。而重剑则气势磅礴，雷霆万钧，力量爆发之时万夫不当。" font=18</text>
38	介绍	恭喜你达到18级，现在你可以进入武林秘境了。	ui\Image\Helper\18级武林秘境.tga						<text>text="武林秘境：\\\n        乃江湖中人鲜少进入之绝境，一般地处地理险要之地，易守难攻。其中多为势力教派的聚集之地。\\\n" font=18</text><text>text="        如果少侠能集结一群朋友，或由您的师傅带领进入秘境，将会获得更高的阅历以及更好的装备。" font=27</text>
40	普通秘境	恭喜你达到18级，现在你可以进入武林秘境了。	ui\Image\Helper\普通秘境.tga	<text>text="打开世界地图便可看到许多颜色呈灰色的地方，便是秘境所在，鼠标移上去便可看到相关的信息。" font=18</text>	ui\Image\Helper\空雾峰.tga	<text>text="点开秘境对应的地图，便可看到秘境的入口，形状为白色展开卷轴状，只要等级符合便可进入秘境。(以纯阳空雾峰为例)" font=18</text>			<text>text="普通秘境\\\n        秘境之中难度相对比较低。在角色到达70级的过程当中，都有对应的普通秘境可挑战。可谓是获得装备、阅历、材料的好去处。" font=18</text>
41	高级秘境	恭喜你达到18级，现在你可以进入武林秘境了。	ui\Image\Helper\角色等级70.tga	<text>text="1.角色达到70级时才可进入高级秘境。" font=18</text>	ui\Image\Helper\头像选择高级.tga	<text>text="2.右键点击自身头像，选择其中的“武林秘境难度”选项，勾选“高级”。" font=18</text>			<text>text="高级秘境：\\\n        进入高级秘境必须具备一定的条件，高级秘境只有70级的侠士才可进入，同时需要在头像右键菜单里选择秘境难度为“高级”便可。高级秘境在难度上难于普通秘境，更加考验5人小队的配合度。同时您也可以通过挑战首领来获得更高品质的装备和其他物品。 " font=18</text>
42	团队秘境	恭喜你达到18级，现在你可以进入武林秘境了。	ui\Image\Helper\团队秘境位置.tga	<text>text="团队秘境分为10人与25人模式，目前有三个：“战宝迦兰”、“宫中神武遗迹”和“持国天王殿”。分别地处洛阳城东南、寇岛和少林。" font=18</text>	ui\Image\Helper\团队秘境NPC.tga	<text>text="接取“阳宝哥”和“道海”给予的任务可顺利挑战战宝和持国天王殿；而与寇岛船夫“足利义满”对话方可进入“宫中神武遗迹”。" font=18</text>			<text>text="团队秘境\\\n        团队秘境分为10人团队秘境与25人团队秘境。为所有秘境中难度最大，首领最为厉害，同时也是奖励最丰厚的秘境。团队秘境需要多小队通力合作，配合默契才可通关。\\\n\\\n" font=18</text><text>text="阳宝哥" font=18 link="NPCGuide/75"</text><text>text="\\\n" font=18</text><text>text="足利义满" font=18 link="NPCGuide/76"</text><text>text="\\\n" font=18</text><text>text="道海" font=18 link="NPCGuide/77"</text>
43	介绍	角色七十级后，装备获得途径	ui\Image\Helper\70级提示.tga						<text>text="装备：\\\n      江湖之中，高手如云，想要成为一代高手除了要有精湛的操作，一身好装备也是必不可少的一部分。70级满级后，可通过挑战秘境、战场、声望换购、生活技艺等途径来提升装备的品质和属性。\\\n      70级后最先可挑战的秘境便是以下五门派英雄秘境：\\\n      英雄天地三才阵     英雄空雾峰\\\n      英雄天工坊            英雄灵霄峡\\\n      英雄无盐岛" font=18</text>
44	秘境类	角色七十级后，装备获得途径	ui\Image\Helper\普通秘境.tga	<text>text="挑战秘境首领可获得较好的装备，随着秘境的难度增大则掉落装备的品质越好。目前以英雄战宝迦兰掉落的装备为最。" font=18</text>	ui\Image\Helper\帮贡物资商.tga	<text>text="在三大主城的乙、丙、丁帮贡物资商处可换购到110、120、130品质的装备。" font=18</text>			<text>text="秘境类装备：\\\n       通过挑战秘境可获得各种品质的装备，要求越高的秘境能够获得装备也越好。70级秘境中属五门派英雄秘境最易，其次为四大野外英雄秘境、再次是普通团队秘境、最后就是英雄团队秘境。您可以循序渐进、逐步提高。" font=18</text>
45	竞技类	角色七十级后，装备获得途径	ui\Image\Helper\恶人谷声望军需.tga	<text>text="恶人谷侠士可到恶人谷烈风寨中的声望商人和军需官处购买声望和威望装备，可询问卫兵获得具体位置。" font=18</text>	ui\Image\Helper\浩气盟声望军需.tga	<text>text="浩气盟侠士可到浩气盟落雁城东北方的声望商人和军需官处购买声望和威望装备，可询问卫兵获得具体位置。" font=18</text>			<text>text="竞技向装备：\\\n       喜欢与他人切磋、竞技的侠士，可通过购买阵营声望装备和阵营威望装备来提升自身的战斗力，前提是您必须事先加入阵营才可。或者您也可以通过打战场获得的威望来换购需要的装备。" font=18</text>
46	休闲类	角色七十级后，装备获得途径	ui\Image\Helper\三大新手镇.tga	<text>text="三大新手镇均有各类生活技艺训练师，询问卫兵便可获知具体位置。生活技艺需要循序而进，不可一蹴而就。" font=18</text>	ui\Image\Helper\声望商.tga	<text>text="在城市的甲字与乙字声望商处可购买到装备和生活技艺配方。" font=18</text>			<text>text="休闲向装备：\\\n       不喜欢挑战秘境，也不喜欢与人争斗的侠士，依然可通过自己的努力来得到适合自身的装备。练就一身生活技艺的好手艺，不仅可以为自己打造一身装备，还能生产很多有用的物品。除了可以通过生活技艺获得装备外，还可通过提高三大主城的声望，到城市声望商处购买有用的装备和配方。" font=18</text>
47	秘境套装	角色七十级后，装备获得途径	ui\Image\Helper\七秀治疗剑茗.tga	<text>text="七秀门派治疗套装（高级团队秘境部分套装展示）" font=18</text>	ui\Image\Helper\天策剑茗.tga	<text>text="天策门派防御套装（高级团队秘境部分套装展示）" font=18</text>	ui\Image\Helper\纯阳剑茗.tga	<text>text="纯阳门派紫霞功内功套装（高级团队秘境部分套装展示）" font=18</text>	
48	阵营套装	角色七十级后，装备获得途径	ui\Image\Helper\浩气阵营.tga	<text>text="纯阳太虚剑意内功浩气盟阵营威望套装" font=18</text>	ui\Image\Helper\恶人谷套装.tga	<text>text="万花花间游内功恶人谷阵营威望套装" font=18</text>	ui\Image\Helper\浩气阵营装2.tga	<text>text="少林洗髓经内功浩气盟阵营威望套装" font=18</text>	
49	介绍	比翼双飞闯天下 千里姻缘一线牵	ui\Image\Helper\2013七夕节首页.tga						<text>text="      七夕，这个甜蜜的日子，若能与心爱之人执手共聚，自然是锦上添花。若不能也不必感慨。《剑网3》早已为侠士们准备了一场活动盛宴。\\\n       活动时间：即日起-2013.8.26早7点\\\n       活动地点：成都、扬州活动区。\\\n       活动奖励：400品紫色红线戒指、26格背包、海誓山盟、金鹊翎、大量修为、阅历、金钱等。\\\n       活动难度：最多五人便可轻松获得奖励。" font=18</text>
50	红线戒	比翼双飞闯天下，千里姻缘一线牵	ui\Image\Helper\2013七夕节外功.tga	<text>text="400品质紫色外功红线戒指。" font=18</text>	ui\Image\Helper\2013七夕节内功.tga	<text>text="400品质紫色内功红线戒指。更多戒指可至主城活动区“若初”处查看。" font=18</text>			<text>text="红线戒：\\\n       活动期间，各位侠士可在主城活动区找到“贺兰枫”接取“七夕兰枫情意浓”系列任务，其中“海誓山盟”任务中，侠士们需要使用【姻缘草】跟好感度三重及以上的好友结连理。经历了所有浪漫的爱情任务考验后，便可在“若初”处领取戒指兑换道具【红线】了。" font=18</text>
51	节日物品	节日物品	ui\Image\Helper\七夕贺兰枫.tga	<text>text="四大主城活动区NPC“贺兰枫”会给予侠士们任务，完成后可获的丰厚奖励。" font=18</text>	ui\Image\Helper\2013七夕节金鹊翎.tga	<text>text="活动期间，20级以上人形怪都会掉落【鹊翎】。活动期间，《天涯何处觅贼踪》任务在击杀盗宝贼后将会额外获得50个【鹊翎】的奖励。\\\n" font=18</text>			<text>text="寂寞七夕敖嗟叹 秘境深处藏奇人\\\n      活动期间内，各位侠士可收到以白帝城总管的名义发来的信件，请各位侠士协助进入秘境解救30个人质，成功击杀秘境首领后，需开启首领附近的宝箱，方可成功解救人质。\\\n      成功解救人质后，可获得【掉落的包裹】，开启后随机可获得以下奖励：大量阅历、大量金钱、修为、青铜钥匙、锡制钥匙、精铁钥匙。\\\n       每个箱子需要3个队友轮流操作。方可开启。因此至少需要3人组队进入秘境方可成功解救人质。每个侠士每日有10次开箱子的机会。" font=18</text>
53	节日物品	节日物品	ui\Image\Helper\山盟海誓.tga	<text>text="【海誓山盟】可对心上人使用，使用后会在世界公告，并放出绚丽的效果。" font=18</text>	ui\Image\Helper\2013七夕节鹊桥飞星.tga	<text>text="鹊桥飞星：115%跑速并可双人同骑的节日限定坐骑，可在【若初】处购买。" font=18</text>	ui\Image\Helper\2013七夕节兰夜锦盒.tga	<text>text="26格包裹【兰夜锦盒·乙】，绝对不容错过。" font=18</text>	
57	介绍		ui\Image\Helper\活动.TGA						<text>text="全新团队秘境即将陆续开放!\\\n25人宫中神武遗迹！25人持国天王殿！神秘的荻花圣殿秘境群！\\\n侠客们将迎来更为丰富，更具挑战的战斗。为让大家得到更多的能力提升途径，更好体验新内容，特开放本次活动：\\\n活动时间：8月28日--9月20日\\\n活动内容：1、挑战秘境可得九花玉露丸、五铢钱。2、觅宝会出售四类大幅提高能力物品，挑战战宝更加爽快。3、10人秘境首领掉落“紫陨”可用于换购“剑茗”套装。（紫陨可永久获得）" font=18</text>
58	活动物品		ui\Image\Helper\公测活动道具.tga	<text>text="此四类物品可在战宝或英雄战宝中大幅提升能力，挑战首领时将更加轻松。" font=18</text>	ui\Image\Helper\王雪儿.tga	<text>text="“王雪儿”处可购买到增加能力的物品。\\\n" font=18</text><text>text="长安王雪儿" font=18 link="NPCGuide/83"</text><text>text="       " font=18</text><text>text="洛阳王雪儿" font=18 link="NPCGuide/80"</text><text>text="\\\n" font=18</text><text>text="扬州王雪儿" font=18 link="NPCGuide/86"</text>			<text>text="       觅宝会地字掌柜“王雪儿”处出售四类紫色增强能力的物品，物品效果只在指定秘境和活动期间才可起效。购买需“五铢钱”。五铢钱可通过挖宝、挑战秘境首领获得，并且至少与一个玩家组队秘境首领才会掉落，每多一个好友或是帮众则可多获得一个，最多可获得两个。" font=18</text>
59	神物紫陨		ui\Image\Helper\紫陨.tga	<text>text="挑战10人团队秘境可获得“紫陨”，积累一定的数量后可到套装物资商处换购“剑茗”套装。" font=18</text>	ui\Image\Helper\剑茗套装商人.tga	<text>text="拥有足够的“紫陨”后，便可到门派“套装物资商”处换购了。" font=18</text>			<text>text="    " font=18</text><text>text="纯阳套装物资商" font=18 link="NPCGuide/88"</text><text>text="\\\n\\\n    " font=18</text><text>text="天策套装物资商" font=18 link="NPCGuide/89"</text><text>text="\\\n\\\n    " font=18</text><text>text="七秀套装物资商" font=18 link="NPCGuide/87"</text><text>text="\\\n\\\n    " font=18</text><text>text="万花套装物资商" font=18 link="NPCGuide/90"</text><text>text="\\\n\\\n    " font=18</text><text>text="少林套装物资商" font=18 link="NPCGuide/91"</text><text>text="\\\n\\\n    " font=18</text><text>text="藏剑套装物资商" font=18 link="NPCGuide/92"</text>
60	充值活动		ui\Image\Helper\充值葫芦.tga	<text>text="活动时间：8月28日-10月11日。\\\n充值累计达到或超过60元但不足120元时，可领取腰部挂件“六阳葫芦”、“暖羽”和背部挂件“剑归”、“鳍趣”及挂件包。" font=18</text>	ui\Image\Helper\充值马具.tga	<text>text="充值累计达到或超过120元时，可领取“六阳葫芦”、“暖羽”、“剑归”、“鳍趣”及“战魂”马具一套。" font=18</text>	ui\Image\Helper\充值背部.tga	<text>text="背部挂件“剑归”和“鳍趣”。" font=18</text>	
61	介绍		ui\Image\Helper\活动.TGA						<text>text="全新团队秘境即将陆续开放!\\\n25人宫中神武遗迹！25人持国天王殿！神秘的荻花圣殿秘境群！\\\n侠客们将迎来更为丰富，更具挑战的战斗。为让大家得到更多的能力提升途径，更好体验新内容，特开放本次活动：\\\n活动内容：1、挑战秘境可得九花玉露丸、五铢钱。2、觅宝会出售四类大幅提高能力物品，挑战战宝更加爽快。3、10人秘境首领掉落“紫陨”可用于换购“剑茗”套装。（紫陨可永久获得）" font=18</text>
62	活动物品		ui\Image\Helper\公测活动道具.tga	<text>text="此四类物品可在战宝或英雄战宝中大幅提升能力，挑战首领时将更加轻松。" font=18</text>	ui\Image\Helper\王雪儿.tga	<text>text="“王雪儿”处可购买到增加能力的物品。\\\n" font=18</text><text>text="长安王雪儿" font=18 link="NPCGuide/83"</text><text>text="      " font=18</text><text>text="洛阳王雪儿" font=18 link="NPCGuide/80"</text><text>text="\\\n" font=18</text><text>text="扬州王雪儿" font=18 link="NPCGuide/86"</text>			<text>text="       觅宝会地字掌柜“王雪儿”处出售四类紫色增强能力的物品，物品效果只在指定秘境和活动期间才可起效。购买需“五铢钱”。五铢钱可通过挖宝、挑战秘境首领获得，并且至少与一个玩家组队秘境首领才会掉落，每多一个好友或是帮众则可多获得一个，最多可获得两个。" font=18</text>
63	神物紫陨		ui\Image\Helper\紫陨.tga	<text>text="挑战10人团队秘境可获得“紫陨”，积累一定的数量后可到套装物资商处换购“剑茗”套装。" font=18</text>	ui\Image\Helper\剑茗套装商人.tga	<text>text="拥有足够的“紫陨”后，便可到门派“套装物资商”处换购了。" font=18</text>			<text>text="    纯阳套装物资商" font=18</text><text>text="\\\n" font=18 link="NPCGuide/88"</text><text>text="\\\n    " font=18</text><text>text="天策套装物资商" font=18 link="NPCGuide/89"</text><text>text="\\\n\\\n    " font=18</text><text>text="七秀套装物资商" font=18 link="NPCGuide/87"</text><text>text="\\\n\\\n    " font=18</text><text>text="万花套装物资商" font=18 link="NPCGuide/90"</text><text>text="\\\n\\\n    " font=18</text><text>text="少林套装物资商" font=18 link="NPCGuide/91"</text><text>text="\\\n\\\n    " font=18</text><text>text="藏剑套装物资商" font=18 link="NPCGuide/92"</text>
64	介绍		ui\Image\Helper\中秋广告.tga						<text>text="       一年一度中秋佳节又来到了！节日期间，《剑网3》为侠士们准备了各种富含中华传统的文化任务，极具趣味的物品、各色彩灯和戒指附魔物品，奖励多多，不容错过！\\\n       活动时间：即日起-2013.10.07\\\n       参与条件：20级及以上的侠士。\\\n       活动任务指引人：四大主城活动区节日大使。\\\n       活动奖励：戒指附魔物品、各色烟花彩灯、各种月饼及宴席物品等。     " font=18</text>
65	节日任务		ui\Image\Helper\2011中秋节1.tga	<text>text="长安城和成都城节日NPC所在位置，可接取节日任务和购买节日物品。" font=18</text>	ui\Image\Helper\2011中秋节2.tga	<text>text="洛阳城和扬州城节日NPC所在位置，可接取节日任务和购买节日物品。" font=18</text>			<text>text="月圆佳节福利多，欢欢喜喜闹中秋\\\n      中秋节又称“团圆节”，在这欢乐喜庆的节日里，丘怀和丘石现身四大主城，请求江湖义士帮些小忙，并且还为各位侠士准备了多种节日礼品哦！\\\n      此外，隐元会为感谢侠士们的支持，在此中秋佳节之际，特别为侠士准备了一份薄礼，聊表心意。侠士们可在信使处领取礼物。" font=18</text>
71	介绍		ui\Image\Helper\中秋.tga						<text>text="       一年一度中秋佳节又来到了！节日期间，《剑网3》为侠士们准备了各种富含中华传统的文化任务，极具趣味的物品、挂件和月夕佳话书籍，奖励多多，不容错过！\\\n       活动时间：2010.9.20-2010.9.27\\\n       活动任务指引人：节日大使\\\n       " font=18</text><text>text="长安节日大使" font=18 link="NPCGuide/81"</text><text>text="\\\n       " font=18</text><text>text="洛阳节日大使" font=18 link="NPCGuide/78"</text><text>text="\\\n       " font=18</text><text>text="扬州节日大使" font=18 link="NPCGuide/84"</text><text>text="\\\n       活动奖励：吉庆赏钱、团圆宴、贵妃宴、万寿宴及各种中秋商店出售物品。" font=18</text>
72	节日任务		ui\Image\Helper\中秋节长安.tga	<text>text="长安城节日NPC所在位置，可接取节日任务和购买节日物品。" font=18</text>	ui\Image\Helper\中秋节洛阳.tga	<text>text="洛阳城节日NPC所在位置，可接取节日任务和购买节日物品。" font=18</text>	ui\Image\Helper\中秋节扬州.tga	<text>text="扬州城节日NPC所在位置，可接取节日任务和购买节日物品。" font=18</text>	
73	趣味物品		ui\Image\Helper\鱼戏莲花灯.tga	<text>text="“鱼戏莲花灯”中秋特有物品，花前月下必备之物。" font=18</text>	ui\Image\Helper\戏火.tga	<text>text="“戏火”开启中秋礼盒有几率获得，使用可使口中喷火。" font=18</text>	ui\Image\Helper\望乡.tga	<text>text="挂件“望乡”开启中秋礼盒有几率获得。" font=18</text>	
74	节日商店		ui\Image\Helper\丘石.tga	<text>text="长安丘石" font=18 link="NPCGuide/94"</text><text>text="\\\n" font=18</text><text>text="洛阳丘石" font=18 link="NPCGuide/96"</text><text>text="\\\n" font=18</text><text>text="扬州丘石" font=18 link="NPCGuide/98"</text>	ui\Image\Helper\中秋商店1.tga	<text>text="丘石处出售中秋套书，各种烟花及物品，需要准备足够的“吉庆赏钱”哦。" font=18</text>	ui\Image\Helper\中秋商店2.tga	<text>text="中秋特有物品“鱼戏莲花灯”和称号。" font=18</text>	
75	介绍	战魂劫	ui\Image\Helper\战魂劫.tga						<text>text="      28号开放内容：\\\n      全新的阵营战阶系统：最是英雄用武时，通过不懈的努力终将获得那最高的荣誉。\\\n      全新阵营日常攻防战：攻守有序显神威，不破敌营誓不休。\\\n      全新的士气系统：士气低靡时，将有强力首领带领直击敌方要害，更有战魂效果，可使能力大幅提升。\\\n      阵营转换：隐元会提供的隐蔽服务，如有意向可前往三大主城帮会区寻找“玄字陆捌”和“玄字伍叁”。\\\n      战魂令：50000威望送给您。" font=18</text>
76	阵营战阶		ui\Image\Helper\战阶装备2.tga	<text>text="恶人谷最高战阶威望装（纯阳）与纯阳剑属性图展示。恶人谷战阶商人--" font=18</text><text>text="董海健" font=18 link="NPCGuide/99"</text>	ui\Image\Helper\战阶装备1.tga	<text>text="浩气盟最高战阶威望装（天策）与天策枪属性图展示。浩气盟战阶商人--" font=18</text><text>text="王雨瑶" font=18 link="NPCGuide/100"</text>			<text>text="阵营战阶：\\\n      大江东去浪淘尽，多少风流人物。七星战十恶，曾经是武林佳话。如今江湖上人才辈出，一份新的江湖英雄榜，再次掀起血雨腥风。\\\n      侠士参与战场，阵营攻防战，击杀敌对阵营玩家等各种PVP活动，都可以获得战阶积分。每一周，浩气盟和恶人谷会分别排出自己阵营的战阶等级，授予各位侠士。参与PVP越积极的侠士，获得的排名自然就越高。同时对应各个等级的战阶，侠士们还可以获得对应等级的高级作战用装备。" font=18</text>
77	阵营攻防战		ui\Image\Helper\阵营攻防战任务NPC.tga	<text>text="阵营攻防战任务给予NPC分别是：浩气盟的王洵和恶人谷的何非笑。" font=18</text>	ui\Image\Helper\攻防战任务奖励.tga	<text>text="侠士们可通过完成攻防战的日常任务获得丰厚的威望、战阶积分等奖励。" font=18</text>			<text>text="阵营攻防战：\\\n     浩气盟与恶人谷的大战一触既发。每周一，三，五恶人谷发出击杀令，攻打浩气盟落雁城，挑战武林七星。 而每周二，四，六浩气盟会反击恶人谷，直接杀向烈风集，誓要彻底铲除十大恶人。\\\n     此六日的13:00~14:00、19:00~20:00、21:00~22:00、0:00~1:00、2:00~3:00这5个时段，是武林高手们内功发挥的最佳时候。参战前可事先接取任务，或直接进入作战地图，系统将会自动接取任务，完成任务可获得丰厚的奖励。另：周日的19:00~24:00侠士们可自由击杀敌对阵营首领。" font=18</text>
