Index	NpcName	NpcID	CVName	CVPath1	Time1	CVPath2	Time2	CVPath3	Time3	CVPath4	Time4	CVPath5	Time5	CVPath6	Time6	CVPath7	Time7	CVPath8	Time8
148	剑心	11149																	
149																			
150	摩提耶罗	11150																	
151	塔丹茂伯	8656																	
152	鲍穆侠	8650																	
153	乌灵风	8655																	
154	鼠王	14129																	
155	蝠王	14135																	
156	智慧	14136																	
157	桃叶仙	13862																	
158	濯尘	12991																	
159	多多	13906																	
160	塔纳刀王	12779																	
161	水云	12780																	
162	苏髓	12781																	
163	藏·剑邪鸠	13816																	
164	剑心	13817																	
165																			
166	摩提耶罗	13818																	
167	塔丹茂伯	12885																	
168	鲍穆侠	12881																	
169	乌灵风	12884																	
170	柳惊涛	15961																	
171	机关骰子	16054																	
172	汉唐	16007																	
173	密室机关																		
174	牡丹	8117																	
175	塔洛马蒂	8118																	
176	姬无双	8119																	
177	慕容追风	8120																	
178	蛮熊之力	11683																	
179	贪狼之牙	11688																	
180	飞猿之影	11686																	
181	狂蟒之怒	11689																	
182	卫栖梧	8121																	
183	阿里曼执法长老	8125																	
184	阿萨辛	8123																	
185	卓婉清	11674																	
186	沙利亚	8124		data\sound\CV\沙利亚\对话\对话 - 01 - Audio - 1.mp3	11	data\sound\CV\沙利亚\对话\对话 - 02 - Audio - 2.mp3	8	data\sound\CV\沙利亚\对话\对话 - 03 - Audio - 3.mp3	7										
187	万花机甲	8629																	
188	牡丹	14531																	
189	塔洛马蒂	14532																	
190	姬无双	14533																	
191	慕容追风	14534																	
192	蛮熊之力	14620																	
193	贪狼之牙	14623																	
194	飞猿之影	14621																	
195	狂蟒之怒	14624																	
196	卫栖梧	14535																	
197	阿里曼执法长老	14539																	
198	阿萨辛	14537																	
199	卓婉清	14618																	
200	沙利亚	14538		data\sound\CV\沙利亚\对话\对话 - 01 - Audio - 1.mp3	11	data\sound\CV\沙利亚\对话\对话 - 02 - Audio - 2.mp3	8	data\sound\CV\沙利亚\对话\对话 - 03 - Audio - 3.mp3	7										
201	万花机甲	14568																	
202	牡丹	13461		data\sound\CV\牡丹\台词\阿萨辛大人！您的话语…… - 03.mp3	7	data\sound\CV\牡丹\台词\大人 - 03.mp3	6	data\sound\CV\牡丹\台词\别怪 - 02.mp3	8										
203	塔洛马蒂	13462																	
204	姬无双	13463																	
205	慕容追风	13464		data\sound\CV\慕容追风\对话\对话 - 12 - 你们这些幸福的人可知晓，.mp3	9	data\sound\CV\慕容追风\对话\对话 - 14 - 尸人未绝之前，我慕容追风绝不可以死！！.mp3	5	data\sound\CV\慕容追风\对话\对话 - 09 - 唉！或许，让你复生的法子根本就不存于世上.mp3	18	data\sound\CV\慕容追风\对话\对话 - 03 - 唉！情非得已，.mp3	10								
206	蛮熊之力	13550																	
207	贪狼之牙	13553																	
208	飞猿之影	13551																	
209	狂蟒之怒	13554																	
210	卫栖梧	13593	赵乾景	data\sound\CV\卫栖梧\对话\对话 - 01 - 我心为红颜.mp3	6	data\sound\CV\卫栖梧\对话\对话 - 05 - 几度红尘来去.mp3	9	data\sound\CV\卫栖梧\对话\对话 - 07 - 情丝虽如梦.mp3	12	data\sound\CV\卫栖梧\对话\对话 - 15 - 各位侠女豪杰，莫怪卫七为敌效命.mp3	11								
211	阿里曼执法长老	13469																	
212	阿萨辛	13467		data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 03 - 尔等无需挣扎.mp3	5	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 04 - 没有任何机会了.mp3	8	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 07 - 没有人可以.mp3	6	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 09 - 高呼吾名.mp3	4	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 05 - 我的掌下.mp3	9						
213	卓婉清	13548																	
214	沙利亚	13468		data\sound\CV\沙利亚\对话\对话 - 01 - Audio - 1.mp3	11	data\sound\CV\沙利亚\对话\对话 - 02 - Audio - 2.mp3	8	data\sound\CV\沙利亚\对话\对话 - 03 - Audio - 3.mp3	7	data\sound\CV\沙利亚\对话\对话 - 09 - Audio - 9.mp3	7	data\sound\CV\沙利亚\哭\哭 - 08 - Audio - 8.mp3	14	data\sound\CV\沙利亚\笑\笑 - 07 - Audio - 7.mp3	10	data\sound\CV\沙利亚\笑\笑 - 09 - Audio - 9.mp3	10		
215	万花机甲	13511																	
216	牡丹	14883		data\sound\CV\牡丹\台词\阿萨辛大人！您的话语…… - 03.mp3	7	data\sound\CV\牡丹\台词\大人 - 03.mp3	6	data\sound\CV\牡丹\台词\别怪 - 02.mp3	8										
217	塔洛马蒂	14884																	
218	姬无双	14885																	
219	慕容追风	14886		data\sound\CV\慕容追风\对话\对话 - 12 - 你们这些幸福的人可知晓，.mp3	9	data\sound\CV\慕容追风\对话\对话 - 14 - 尸人未绝之前，我慕容追风绝不可以死！！.mp3	5	data\sound\CV\慕容追风\对话\对话 - 09 - 唉！或许，让你复生的法子根本就不存于世上.mp3	18	data\sound\CV\慕容追风\对话\对话 - 03 - 唉！情非得已，.mp3	10								
220	蛮熊之力	14972																	
221	贪狼之牙	14975																	
222	飞猿之影	14973																	
223	狂蟒之怒	14976																	
224	卫栖梧	14887	赵乾景	data\sound\CV\卫栖梧\对话\对话 - 01 - 我心为红颜.mp3	6	data\sound\CV\卫栖梧\对话\对话 - 05 - 几度红尘来去.mp3	9	data\sound\CV\卫栖梧\对话\对话 - 07 - 情丝虽如梦.mp3	12	data\sound\CV\卫栖梧\对话\对话 - 15 - 各位侠女豪杰，莫怪卫七为敌效命.mp3	11								
225	阿里曼执法长老	14891																	
226	阿萨辛	14889		data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 03 - 尔等无需挣扎.mp3	5	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 04 - 没有任何机会了.mp3	8	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 07 - 没有人可以.mp3	6	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 09 - 高呼吾名.mp3	4	data\sound\CV\阿萨辛\对话\阿萨辛对话男人声 - 05 - 我的掌下.mp3	9						
227	卓婉清	14970																	
228	沙利亚	14890		data\sound\CV\沙利亚\对话\对话 - 01 - Audio - 1.mp3	11	data\sound\CV\沙利亚\对话\对话 - 02 - Audio - 2.mp3	8	data\sound\CV\沙利亚\对话\对话 - 03 - Audio - 3.mp3	7	data\sound\CV\沙利亚\对话\对话 - 09 - Audio - 9.mp3	7	data\sound\CV\沙利亚\哭\哭 - 08 - Audio - 8.mp3	14	data\sound\CV\沙利亚\笑\笑 - 07 - Audio - 7.mp3	10	data\sound\CV\沙利亚\笑\笑 - 09 - Audio - 9.mp3	10		
229	万花机甲	14920																	
230	慕容野狐	12171																	
231	殷青丝	12173																	
232	里赤梅	12241																	
233	苏贝德哈	12249																	
234	慕容野狐	14001																	
235	殷青丝	14002																	
236	里赤梅	14004																	
237	苏贝德哈	14005																	
238	慕容野狐	14020																	
239	殷青丝	14021																	
240	里赤梅	14023																	
241	苏贝德哈	14024																	
242	慕容野狐	13962																	
243	殷青丝	13963																	
244	里赤梅	13965																	
245	苏贝德哈	13966																	
246	白眉鼠王	12544																	
247	牡丹	12551																	
248	血眼龙王	12422																	
249	月神祭司	12549																	
250	剑三少	12545																	
251	蛇腹	15767																	
252	蛇腹	16168																	
253	胡鞑	15478																	
254	武逸青	15479																	
255	陆寻	15652																	
256	南之雷神	15607																	
257	醉蛛老人	16098																	
258	索笛尔	16417																	
259	千秋子	16761																	
260	乌蒙贵	17572																	
261	胡鞑	17293																	
262	武逸青	17292																	
263	陆寻	17321																	
264	南之雷神	15607																	
265	醉蛛老人	17378																	
266	索笛尔	17406																	
267	千秋子	17425																	
268	乌蒙贵	18369																	
269	提多罗吒	15943																	
270	萧沙	16325																	
271	提多罗吒	18281																	
272	萧沙	18309																	
273	狼牙守备官	16668																	
274	汪莽	6364																	
275	狼牙守备官	18065																	
276	汪莽	6364																	
277	问寒松	20155																	
278	辛然	20156																	
279	吴颖莲	20157																	
280	薛山	20158																	
281																			
282	问寒松	18919																	
283	辛然	18920																	
284	吴颖莲	18921																	
285	薛山	18922																	
286	西域狮王	18924																	
287	枯荣大师	17477																	
288	段宗公	18779																	
289	泰崇傣	18780																	
290	阁逻鸿	18781																	
291	萧沙	17028																	
292	摩提耶罗	17033																	
293	陈和尚	18926																	
294	康雪烛	18927																	
295	柳公子	18930																	
296	阁逻凤	17035																	
297																			
298	带锁的宝箱	3487																	
299	古锁宝箱	3552																	
300	枯荣大师	20360																	
301	段宗公	20382																	
302	泰崇傣	20383																	
303	阁逻鸿	20384																	
304	萧沙	20273																	
305	摩提耶罗	20278																	
306	陈和尚	20422																	
307	康雪烛	20423																	
308	柳公子	20426																	
309	阁逻凤	20280																	
310																			
311																			
312	带锁的宝箱	3597																	
313	古锁宝箱	3596																	
314	李倓	21595																	
315	詹素	24983																	
316	第五雍容	24997																	
317	詹毅	24999																	
318	詹素	23821																	
319	第五雍容	24094																	
320	詹毅	24168																	
321	苏清	23361																	
322	宁毅	23372																	
323	列缺	23384																	
324	霹雳	23385																	
325	尹素颜	23969																	
326	阿依努尔	23971																	
327	葛尔东赞	23978																	
328	苏清	21187																	
329	宁毅	21198																	
330	列缺	21210																	
331	霹雳	21211																	
332	尹素颜	22628																	
333	阿依努尔	22880																	
334	葛尔东赞	23185																	
335	英怀珠	21305																	
336	高力士	21349																	
337	安禄山	21322																	
338	闻人彦范	21882																	
339	岳承志	21883																	
340	卓力格图	21880																	
341	澹台枯火	21881																	
342	萧沙	22289																	
343	韦柔丝	22290																	
344	闻人彦范	21882																	
345	岳承志	21883																	
346	卓力格图	21880																	
347	澹台枯火	21881																	
348	萧沙	22289																	
349	韦柔丝	22290																	
350	何莘涯	18065																	
351	耶律燕	23220																	
352	独孤问俗	23411																	
353	六道傀儡	23328																	
354	剑圣	22916																	
355	无名	23749																	
356	伊玛目	22038																	
357	安禄山	22647																	
358	何莘涯	18065																	
359	耶律燕	23220																	
360	独孤问俗	23411																	
361	六道傀儡	23328																	
362	剑圣	22916																	
363	无名	23749																	
364	伊玛目	22038																	
365	安禄山	22647																	
366	席庶云	26755																	
367	关卡：固守天策府	13913																	
368	曹炎烈	26161																	
369	关卡：保护青骓牧场	13913																	
370	沙叱博	26275																	
371	阿史那从礼	26229																	
372	黑齿元佑	26001																	
373	苏曼莎	26458		data\sound\CV\苏曼莎\苏曼莎06e.mp3	8	data\sound\CV\苏曼莎\苏曼莎07b.mp3	9	data\sound\CV\苏曼莎\苏曼莎08c.mp3	7	data\sound\CV\苏曼莎\苏曼莎05b.mp3	7								
374	令狐伤	26459																	
375	席庶云	26755																	
376	关卡：固守天策府	13913																	
377	曹炎烈	26161																	
378	关卡：保护青骓牧场	13913																	
379	沙叱博	26275																	
380	阿史那从礼	26229																	
381	黑齿元佑	26001																	
382	苏曼莎	26458		data\sound\CV\苏曼莎\苏曼莎06e.mp3	8	data\sound\CV\苏曼莎\苏曼莎07b.mp3	9	data\sound\CV\苏曼莎\苏曼莎08c.mp3	7	data\sound\CV\苏曼莎\苏曼莎05b.mp3	7								
383	令狐伤	26459																	
384	牛介平	26055																	
385	安守忠	26391																	
386	阿史那承庆	26409																	
387	恶狼	26746																	
388	踏霆车	27668																	
389	兵俑阵	30393																	
390	白起	30398																	
391	地字一号	26119																	
392	史朝义	26169																	
393	黑鹰	26126																	
394	无名	26024																	
395	地字一号	36299																	
396	史朝义	36328																	
397	黑鹰	36306																	
398	无名	36284																	
399	王翦	27623																	
400	石麒麟	27676																	
401	探雪	30354																	
402	令狐伤	27717																	
403	安禄山	27644	赵乾景	data\sound\CV\安禄山\安禄山01.ogg	3	data\sound\CV\安禄山\安禄山02.ogg	1	data\sound\CV\安禄山\安禄山03.ogg	10	data\sound\CV\安禄山\安禄山04.ogg	8	data\sound\CV\安禄山\安禄山05.ogg	15	data\sound\CV\安禄山\安禄山06.ogg	1	data\sound\CV\安禄山\安禄山07.ogg	7		
404	王翦	36114																	
405	石麒麟	36142																	
406	探雪	36184																	
407	令狐伤	36169																	
408	安禄山	36125	赵乾景	data\sound\CV\安禄山\安禄山01.ogg	3	data\sound\CV\安禄山\安禄山02.ogg	1	data\sound\CV\安禄山\安禄山03.ogg	10	data\sound\CV\安禄山\安禄山04.ogg	8	data\sound\CV\安禄山\安禄山05.ogg	15	data\sound\CV\安禄山\安禄山06.ogg	1	data\sound\CV\安禄山\安禄山07.ogg	7		
409	崔乾佑	36522																	
410	安守忠	36506																	
411	严庄	36537																	
412	中田海	39218																	
413	拓跋离	39188																	
414	独孤问俗	39205																	
415	中田海	37366																	
416	拓跋离	36832																	
417	独孤问俗	37189																	
418	田布戈	36864																	
419	朝曦门防御战	40873																	
420	火龙摧城	36869																	
421	田布戈	40576																	
422	朝曦门防御战	40872																	
423	火龙摧城	40581																	
424	阿独鹿	36841																	
425	乌素尔	36842																	
426	可蒙	36843																	
427	安雨	37006																	
428	白陶	36844																	
429	史思明	36976																	
430	阿独鹿	40917																	
431	乌素尔	40918																	
432	可蒙	40919																	
433	安雨	40952																	
434	白陶	40920																	
435	史思明	40948																	

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
