ID	Activity	TimeRepresent	Class	Star	Level	Award	ShowPosition	IsHighlight	HightlightPath	Frame	ShowPriority	DetailPath	Hard	DetailMap	DetailAwards	Text	Event	nAdvancedTime	Label	BackgroundImage1	BackgroundImage2	Luckdraw	LuckPath	LuckFrame	LuckdrawText	DailyQuest	BuffID	TotalCount	FinishType	IsDouble	ExtraReward	DoubleStartTime	DoubleEndTime	CareerEvent	ShowLevel	Map	MapTip	IconFrame	BackgroundImage3
31	战场-云湖天池		3	4	95		5	0			1		10人对抗	<text>text="可前往" font=18</text><text>text="扬州" font=229 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=229 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队。" font=18</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和每日首胜额外奖励。\\\n" font=18</text>	3	30;10;0;	0	ui\Image\Active\活动场景\云湖天池.tga	ui\Image\Active\活动场景\云湖天池.tga						4122	1	1						0~999			25	ui\Image\Active\ActivityFistPage\RecommendSmall\RecommendSmall_YunHuTianChi.tga
32	冬至活动	每年的冬至日前后开放	1	5	20	1:100;3:100;4:100;7:100;8:100;	15	1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="      " font=168</text><text>text="长安" font=229 link="NPCGuide/391"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/392"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/394"</text><text>text="、" font=18</text><text>text="洛阳" font=229 link="NPCGuide/393"</text><text>text="、" font=18</text><text>text="太原" font=229 link="NPCGuide/915"</text>	<text>text="        各种PVE、轻功装备。" font=18</text>	<text>text="        " font=18</text><text>text="每日参与预计所需时间30分钟" font=168</text><text>text="\\\n        1、抛掷彩球意传情，福禄寿囍百味灵。武林豪杰战傲油，御厨套装有派头。\\\n        2、1040品紫色PVE御厨套装，星月万里轻功御厨套装活动期间倾情相送。" font=18</text>	4		2	ui\Image\Active\活动场景\冬至佳节方.tga	ui\Image\Active\ActivityFistPage\RecommendBig\冬至佳节长条.tga	0												209				16	ui\Image\Active\ActivityFistPage\RecommendBig\冬至佳节长条.tga
33	春节活动	每年的春节前开放，直至元宵后结束。	1	5	20	3:100;4:100;7:100;8:100;		1	ui\Image\Helper\Help—Bg.UITex	52	0		全民参与	<text>text="      " font=168</text><text>text="长安" font=229 link="NPCGuide/222"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/245"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/261"</text><text>text="、" font=18</text><text>text="洛阳" font=229 link="NPCGuide/851"</text><text>text="、" font=18</text><text>text="太原" font=229 link="NPCGuide/936"</text>	<text>text="红包" font=77 link="ItemLinkInfo/5/6055"</text><text>text="、" font=18</text><text>text="精制·年" font=74 link="ItemLinkInfo/8/11005"</text><text>text="、" font=18</text><text>text="月光宝盒·己" font=77 link="ItemLinkInfo/8/81"</text><text>text="、" font=18</text><text>text="毛茸茸的皮袋·己" font=74 link="ItemLinkInfo/8/80"</text><text>text="。" font=18</text>	<text>text="     预计参与所需总时间为60分钟" font=168</text><text>text="\\\n     1、20级以上的玩家每日可前往各主城活动区参与春节活动。\\\n     2、玩家可通过接取春节期间的活动任务获取红包，春节节日商人处正在售卖小金锤，玩家购买后用小金锤砸碎年兽陶罐可获得丰厚奖励。\\\n     3、活动期间每日的" font=18</text><text>text="整点" font=33</text><text>text="牛星罗将会带着他的机甲到成都广都镇北面挑战众侠士。\\\n     4、春节活动期间，侠士发红包和捡红包可获得" font=18</text><text>text="新春福袋" font=74 link="ItemLinkInfo/5/26266"</text><text>text="，每日最多可获得五个。\\\n     5、春节活动期间，玩家可在主城区天小灯处领取天街灯市船票进入春节场景天街灯市，同贺新春，还有机会获得五行石、监本印文等奖励。" font=18</text>	4		2	ui\Image\Active\活动场景\新春佳节.tga	ui\Image\Active\ActivityFistPage\RecommendBig\新春佳节.tga	0												235	0~999			16	ui\Image\Active\ActivityFistPage\RecommendBig\新春佳节.tga
34	端午节活动	每年的端午节前开放，持续两周。	1	5	20	8:60;	15	1	ui\Image\Helper\Help—Bg.UITex	53	0		全民参与	<text>text="        可前往" font=18</text><text>text="太原" font=229 link="NPCGuide/876"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/875"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/877"</text><text>text="等各大主城活动区参与活动，可前往" font=18</text><text>text="丐帮" font=229 link="NPCGuide/878"</text><text>text="、" font=18</text><text>text="巴陵县" font=229 link="NPCGuide/881"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/883"</text><text>text="、" font=18</text><text>text="七秀" font=229 link="NPCGuide/880"</text><text>text="、" font=18</text><text>text="金水镇" font=229 link="NPCGuide/882"</text><text>text="、" font=18</text><text>text="千岛湖" font=229 link="NPCGuide/962"</text><text>text="、" font=18</text><text>text="长歌门" font=229 link="NPCGuide/963"</text><text>text="参与端午节的钓鱼活动。" font=18</text>	<text>text="        各种特色粽子" font=18</text><text>text="瘦肉粽" font=77 link="ItemLinkInfo/5/6991"</text><text>text="、" font=18</text><text>text="蛋黄粽" font=74 link="ItemLinkInfo/5/10253"</text><text>text="、" font=18</text><text>text="桂花酒酿丸子粽" font=74 link="ItemLinkInfo/5/6992"</text><text>text="；\\\n        " font=18</text><text>text="珍贵挂" font=2</text><text>text="件" font=18</text><text>text="午" font=77 link="ItemLinkInfo/8/5584"</text><text>text="；\\\n        稀有戒指附魔道具" font=18</text><text>text="线刻·韬光" font=77 link="ItemLinkInfo/5/21473"</text><text>text="、" font=18</text><text>text="线刻·文壤" font=77 link="ItemLinkInfo/5/21469"</text><text>text="、" font=18</text><text>text="线刻·金鸣" font=77 link="ItemLinkInfo/5/21471"</text><text>text="、" font=18</text><text>text="线刻·涛海" font=77 link="ItemLinkInfo/5/21470"</text><text>text="、" font=18</text><text>text="线刻·旗偃" font=77 link="ItemLinkInfo/5/21472"</text><text>text="、" font=18</text><text>text="线刻·养晦" font=77 link="ItemLinkInfo/5/21474"</text><text>text="。" font=18</text>	<text>text="知天达命神算子，山珍不如亲耕种。\\\n1、阳宝哥不知何时学会了易卦算命之术，如今他已然在各大主城的活动区中摆出了卦师的架势，为人卜卦算命。只需付出小小银两就能解读前世今生。\\\n2、侠士们通过随身种植获得" font=18</text><text>text="粽叶" font=3 link="ItemLinkInfo/5/6971"</text><text>text="和" font=18</text><text>text="端午黍米" font=80 link="ItemLinkInfo/5/6972"</text><text>text="后，再从“沈正”处购买粽子馅材料，便可以亲自包香甜可口的美味粽子了！不同口味的粽子材料可获得使用效果不同的粽子，共有十二种南北口味的粽子等你来品尝哦！\\\n3、侠士们可从“沈正”处购买鱼饵，前往" font=18</text><text>text="丐帮" font=229 link="NPCGuide/878"</text><text>text="、" font=18</text><text>text="七秀" font=229 link="NPCGuide/880"</text><text>text="、" font=18</text><text>text="金水镇" font=229 link="NPCGuide/882"</text><text>text="、" font=18</text><text>text="扬州" font=229 link="NPCGuide/883"</text><text>text="、" font=18</text><text>text="巴陵县" font=229 link="NPCGuide/881"</text><text>text="、" font=18</text><text>text="千岛湖" font=229 link="NPCGuide/962"</text><text>text="、" font=18</text><text>text="长歌门" font=229 link="NPCGuide/963"</text><text>text="，找到“端午鱼篓”参与钓鱼活动。找到“小午”用钓得的鱼虾换得" font=18</text><text>text="艾草" font=77 link="ItemLinkInfo/5/23625"</text><text>text="用于购买节日商品，包括" font=18</text><text>text="清风朗月" font=74 link="ItemLinkInfo/8/19463"</text><text>text="挂件。\\\n4、" font=18</text><text>text="洞庭飘香鳄" font=229 link="NPCGuide/879"</text><text>text="被击败后会留下飘香宝藏，宝藏存在十分钟。拾取宝藏可以获得" font=18</text><text>text="一捆艾草" font=77 link="ItemLinkInfo/5/23627"</text><text>text="，更有可能获得" font=18</text><text>text="清风朗月" font=74 link="ItemLinkInfo/8/19463"</text><text>text="挂件。每天只能通过宝藏获得一次侠义值和江湖贡献值奖励。\\\n５、侠士可前往" font=18</text><text>text="七秀" font=229 link="NPCGuide/1020"</text><text>text="、" font=18</text><text>text="长歌门" font=229 link="NPCGuide/1022"</text><text>text="和" font=18</text><text>text="丐帮" font=229 link="NPCGuide/1021"</text><text>text="参与端午龙舟祭活动，赢取丰厚奖励。" font=18</text>	4		2	ui\Image\Active\活动场景\端午节.tga	ui\Image\Active\ActivityFistPage\RecommendBig\端午节长.tga	0												223				16	ui\Image\Active\ActivityFistPage\RecommendBig\端午节长.tga
35	科举-省试		2	4	10		1				1			<text>text="可前往" font=18</text><text>text="扬州梅翥" font=229 link="NPCGuide/163"</text><text>text="、" font=18</text><text>text="成都王凌枫" font=229 link="NPCGuide/290"</text><text>text="处参与考试。" font=18</text>		<text>text="1、达一定分数，即可获得会试的邀请函。\\\n2、周二早七点至周五晚上24点。" font=18</text>	3		2	ui\Image\Active\活动场景\科举.tga	ui\Image\Active\活动场景\科举.tga						10936	1							0~999			17	ui\Image\Active\活动场景\科举.tga
36	科举-会试	每周六晚上20点至周日晚上24点	4		20	6:100;7:100;	5				1		获得会试资格的玩家可参与	<text>text="        " font=202</text><text>text="有资格的玩家可前往" font=18</text><text>text="扬州" font=168 link="NPCGuide/163"</text><text>text="、" font=18</text><text>text="成都" font=101 link="NPCGuide/291"</text><text>text="考试区域的主考官处参与考试" font=18</text>	<text>text="        根据不同的分值，可获得" font=198</text><text>text="精铁宝箱" font=198 link="ItemLinkInfo/5/6255"</text><text>text="，" font=198</text><text>text="锡制宝箱" font=198 link="ItemLinkInfo/5/6254"</text><text>text="，海量" font=198</text><text>text="监本印文" font=198 link="ItemLinkInfo/5/6258"</text><text>text="，" font=198</text><text>text="翰林玉签·日" font=198 link="ItemLinkInfo/5/6346"</text>	<text>text="       预计所需时间5分钟" font=168</text><text>text="\\\n        1、经过省试获得会试资格的玩家可参与\\\n        2、按不同的分值，可获得精铁宝箱，锡制宝箱，30个监本印文，声望道具中的部分物品\\\n        3、会试前10名将在周日12点揭晓，奖励3个精铁宝箱，3个“翰林玉签·日”，“秀才”称号\\\n        4、 上榜玩家需在下周一24点之前前往主考大人处领取奖励，过期视为放弃奖品。" font=18</text>	3	30;0;	0	ui\Image\Active\kjhuishi1.tga	ui\Image\Active\kjhuishi2.tga						4125	1							0~999			17	ui\Image\Active\kjhuishi2.tga
37	科举-放榜	周一早7点至24点	2		20	776							全民可查看，会试前10名的玩家可领奖	<text>text="        " font=18</text><text>text="扬州城市内" font=168 link="NPCGuide/163"</text><text>text="考试区域。" font=18</text>	<text>text="        会试第1-10名奖励：统一奖励3个" font=198</text><text>text="精铁宝箱" font=198 link="ItemLinkInfo/5/6255"</text><text>text="；大声望道具" font=198</text><text>text="翰林玉签·日" font=198 link="ItemLinkInfo/5/6346"</text><text>text="3个；“秀才”称号。" font=198</text>	<text>text="        主考大人官务繁忙，物品只存在到周一晚上18点，如若过时不领，皆视为放弃奖品。" font=18</text>	3			ui\Image\Active\活动场景\科举.tga	ui\Image\Active\活动场景\科举.tga						4126	1							0~79			17	ui\Image\Active\活动场景\科举.tga
41	阵营攻防战	每周六、周日的13：00~15：00、19：00~21:00	3	5	95	82	53	0			1		大规模野外战斗	<text>text="浩气盟（周六）、恶人谷（周日）" font=18</text>	<text>text="        150金、1个" font=198</text><text>text="精铁宝箱" font=198 link="ItemLinkInfo/5/6255"</text><text>text="、5000点" font=198</text><text>text="威望" font=198 link="Library/17/3/0"</text><text>text="、500点" font=198</text><text>text="战阶积分" font=198 link="Library/17/4/0"</text>	<text>text="1、每周六活动地图为浩气盟，每周日活动地图为恶人谷\\\n2、攻防战期间活动地图击杀获得战阶积分不衰减\\\n3、击杀对立阵营首领越多下周威望获取获得加速越快，最多可加速20%\\\n4、战斗结束后，根据阵营战斗表现进行积分结算，更可获得高额阵营嘉奖！\\\n\\\n注：若整场活动获得的战阶数不足200，则视为贡献不足，无法领取结算奖励。\\\n" font=18</text>	3	30;0;	1	ui\Image\Active\活动场景\烽烟再起·南屏山.tga	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_ZhenYingGongFangZhan.tga						4128	1							0~999	25;27;	<text>text="战阶积分、威望、金币" font=198</text>	26	ui\Image\Active\ActivityFistPage\RecommendBig\RecommendBig_ZhenYingGongFangZhan.tga
42	中秋活动	每年的中秋前后开放	1	4	20		11	1	ui\Image\Helper\Help—Bg.UITex	50	0		全民参与	<text>text="       可前往" font=18</text><text>text="长安" font=186 link="NPCGuide/81"</text><text>text="、" font=18</text><text>text="洛阳" font=186 link="NPCGuide/78"</text><text>text="、" font=18</text><text>text="扬州" font=186 link="NPCGuide/84"</text><text>text="、" font=18</text><text>text="成都" font=186 link="NPCGuide/823"</text><text>text="、" font=18</text><text>text="太原" font=186 link="NPCGuide/869"</text><text>text="五大主城活动区参与活动。" font=18</text>	<text>text="       神秘的节日物品" font=198</text><text>text="随缘冥月" font=74 link="ItemLinkInfo/5/17537"</text><text>text="等" font=198</text><text>text="，" font=18</text><text>text="绚丽夺目的烟花" font=198</text><text>text="潮升明月" font=74 link="ItemLinkInfo/5/17542"</text><text>text="等" font=198</text><text>text="，" font=18</text><text>text="可提升戒指属性的" font=198</text><text>text="雕纹·惊涛" font=74 link="ItemLinkInfo/5/17529"</text><text>text="等" font=198</text><text>text="，" font=18</text><text>text="美味可口的" font=198</text><box>w=48 h=48 y=1 eventid=256 script=\"UpdataItemInfoBoxObject(this, 0, 5, 10768, 1)\"</box><text>text="等" font=198</text><text>text="。" font=18</text><text>text="更有机会进入中秋场景【素月清秋】赏月赏景" font=198</text>	<text>text="       各种美味的月饼，可送朋友可自食，同时记得给守卫们送去一些。\\\n       1、侠士们在主城活动区找到“丘石”和“丘怀”接取并完成相应节日任务后，可获得【吉庆赏钱】等奖励。持赏钱，可以在中秋商店“高百福”处购买中秋节月饼、特色称号、戒指附魔道具等物品。\\\n       2、全服务器的侠士都可以帮助小饼找制作月饼的材料，每晚20:00神厨饼痴将根据本服收集的材料制作大月饼，服务器内的所有侠士都可前往扬州食用此月饼。大月饼将于24:00消失。\\\n       3、秦月樱天资聪慧，医术了得。热心帮助她收集物品的侠士，将会得到她给出的信物“随缘冥月”；今后侠士有难之时只要有她给的信物她定会鼎力相助。\\\n       4、各大主城在中秋佳节来临之际都会举办绚丽夺目的烟花表演。      \\\n       5、侠士可从秦月樱处兑换珍贵的【素月香】，携带素月香可由节日大使介绍前往【素月清秋】赏月赏景。\\\n" font=18</text>	4		1	ui\Image\Active\活动场景\中秋佳节.tga	ui\Image\Active\ActivityFistPage\RecommendBig\中秋佳节.tga	0												203	0~999			16	ui\Image\Active\ActivityFistPage\RecommendBig\中秋佳节.tga
43	六一儿童节活动	每年的六一儿童节开放，持续两周。	1	5	20		3	1	ui\Image\Helper\Help—Bg.UITex	70	0		全民参与	<text>text="侠士可前往" font=18</text><text>text="扬州" font=229 link="NPCGuide/870"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/873"</text><text>text="或" font=18</text><text>text="太原" font=229 link="NPCGuide/874"</text><text>text="的桃花仙处参与活动。" font=18</text>	<text>text="童梦" font=77 link="ItemLinkInfo/8/10188"</text><text>text="、" font=18</text><text>text="丑丑的糖葫芦" font=77 link="ItemLinkInfo/8/13761"</text><text>text="、" font=18</text><text>text="龙须酥" font=74 link="ItemLinkInfo/5/23544"</text><text>text="、" font=18</text><text>text="七彩风车" font=74 link="ItemLinkInfo/8/17521"</text><text>text="\\\n" font=18</text>	<text>text="桃花仙和蛋叉叔叔准备了丰厚的礼品，打算送给有志于助幼儿成长的侠客，在主城活动区，期待侠士们的到来。" font=18</text>	4		2	ui\Image\Active\活动场景\六一儿童节2.tga	ui\Image\Active\ActivityFistPage\RecommendBig\六一儿童节长.tga	0																16	ui\Image\Active\ActivityFistPage\RecommendBig\六一儿童节长.tga
44	战场-云湖天池		3	4	95		5	0			1		10人对抗	<text>text="可前往" font=18</text><text>text="扬州" font=229 link="NPCGuide/58"</text><text>text="、" font=18</text><text>text="成都" font=229 link="NPCGuide/164"</text><text>text="或" font=18</text><text>text="太原" font=229 link="NPCGuide/860"</text><text>text="战场报名人处参加跨服战场排队。" font=18</text>		<text>text="1、满级的浩气盟、恶人谷玩家可组队或个人参与。\\\n2、中午12点~次日凌晨1点开放，12点开始时即可获得战阶积分和每日首胜额外奖励。\\\n" font=18</text>	3	30;10;0;	0	ui\Image\Active\活动场景\云湖天池.tga	ui\Image\Active\活动场景\云湖天池.tga						4122	1	1						0~999			25	ui\Image\Active\ActivityFistPage\RecommendSmall\RecommendSmall_YunHuTianChi.tga
45	逐鹿赛隐藏父活动		3		95	8	0	0			1			<text>text="扬州，成都擂台" font=18</text>		<text>text="11111" font=18</text>	3																		0~999				
46	帮会擂台逐鹿赛	每个月第一周的周一到周四，晚上8:30—10:30	3	3	95					50	1		个人比武	<text>text="        浩气盟玩家可前往" font=18</text><text>text="扬州王露儿" font=168 link="NPCGuide/121"</text><text>text="处报名参赛；恶人谷玩家可前往" font=18</text><text>text="成都马" font=32 link="NPCGuide/122"</text><text>text="婧" font=168 link="NPCGuide/122"</text><text>text="处报名参赛" font=18</text>	<text>text="        " font=198</text><text>text="人气投票赛晋级资格" font=198 link="TongActivity/2/5/0"</text>	<text>text="        1、 每月第一周，逐鹿帖使用排名前32位的选手，从周一到周四将进行代表帮会的擂台赛\\\n        2、浩气盟和恶人谷的比赛在不同地点同时进行\\\n        3、4天逐鹿赛共有4名浩气盟侠士和4名恶人谷侠士晋级到" font=18</text><text>text="人气投票赛" font=18 link="TongActivity/2/5/0"</text>	3			ui\Image\Active\contests1.tga															0~999				
49	争霸赛隐藏父活动		3		95	0	0	0			4						3																		0~999				
50	帮会擂台争霸赛	每月第二周的周一到周四，8:30—10:30	3		95			0			1		个人比武	<text>text="        扬州，成都擂台" font=18</text>		<text>text="        每月第二周，使用争霸帖报名的玩家，从周一到周四将进行代表各自帮会的擂台赛。" font=18</text>	3			ui\Image\Active\contests1.tga															0~999				
51	帮会擂台人气投票	每月第二周周四晚上10:30到每月第三周周五早上7:00	3		20	4:100;		0			2		人气投票	<text>text="        点击" font=18</text><text>text="擂台界面的投票分页" font=18 link="TongActivity/2/5/0"</text><text>text="下的月度竞猜按钮进行投票" font=18</text>	<text>text="        竞投的玩家获得擂台赛冠军，则自己可获得海量不占周上限的" font=198</text><text>text="江湖贡献" font=198 link="Library/17/1/0"</text>	<text>text="        预计所需时间5分钟" font=168</text><text>text="\\\n        1、每月第三周，对有资格竞技帮会擂台赛决赛的选手进行投票\\\n        2、得票最多的8位选手将获得最后进入决赛的资格" font=18</text>	3			ui\Image\Active\contests1.tga															0~999				
52	下月帮会擂台报名	每月第三周周一到周日	3		95	0	0	0			2			<text>text="不限" font=18</text>		<text>text="每月第三周，拥有争霸帖的玩家可以直接使用报名参加下月的帮会擂台赛。拥有逐鹿帖的玩家也可以使用帖子预报名。最后使用帖子最多的前32个玩家可以获得下月比赛资格。" font=18</text>	3																		0~999				
53	下月逐鹿帖争夺赛		3		95	0	0	0			4						3																		0~999				
54	帮会擂台决赛隐藏父活动		3		95	0	0	0			4						3																		0~999				
55	帮会擂台决赛	每月第四周周一到周四，晚上8:30-10:30	3		95	4:100;8:100;		0			1		个人比武	<text>text="有资格的玩家可前往" font=18</text><text>text="扬州擂台周明蒙" font=168 link="NPCGuide/126"</text><text>text="处参赛" font=18</text>	<text>text="特殊属性称号、高额帮会资金等" font=18</text>	<text>text="每月第四周，晋级决赛的选手进行积分循环赛。最后积分最高的浩气盟选手和恶人谷选手各一名可以获得参与周五总决赛的资格。" font=18</text>	3			ui\Image\Active\contests1.tga															0~999				
