ID	money	experience	contribution	justice	prestige	titlepoint	arenaaward	exteriorpiece	examprint	train	tongfund	tongresource	prestigelimit	contributionlimit	justicelimit	personalhighlevel	teamhighlevel	exitem1	exitem2	exitem3	exitem4	exdoubleitem
145																						
149																						
151	10		2500	400					50					5;19312;2								
152	10		2500	400					50					5;19312;2								
153	10		2500	400					50					5;19312;2								
154	10		2500	400					50					5;19312;2								
155	10		2500	400					50					5;19312;2								
156	10		2500	400					50					5;19312;2								
157	10		2500	400					50					5;19312;2								
158	10		2500	400					50					5;19312;2								
159	10		2500	400					50					5;19312;2								
160																						
161	300																	5;7873;1	5;7874;1	5;7875;1	5;7876;1	
162																						
163																						
164																						
168																						
170																						
171																						
172																						
173																						
174																						
175																						
176																						
177																						
180																						
181																						
182																						
183																						
184																						
185																						
186	10		2500	400					50					5;19312;2								
187																						
188	50		5000	500																		
189																						
190	10		2500	400					50									5;19312;2				
191																						
192	50		5000	360																		
193	50		5000	500																		
195																						
196									100													
197									200													
198									200													
200																						
201																						
202																						
203																						
205	24				600	150																
206	18				900	480																
209																						
210																						
211																						
212																						
213																						
214																						
219	50		5000	500																		
222																						
224																		5;21051;3	8;19303;1			
225					10000	2000							5;24827;23									
226																						
227																						
228																						
229																						
230																						
231																						
232																						
233																						
234																						
235	50				2000	1000						50										
236																						
237																						
238																						
239																						
240																						
241																						
244	150				1500	500					100	60										
245	300				5000	3000						5000	5;24827;5									
246					3000	1000																
248																						
249																						
250																						
251	0	0	0	0	0	0	0		0	0	0	0										
252	0	0	0	0	0	0	0		0	0	0	0										
253	0	0	0	0	0	0	0		0	0	0	0										
254	0	0	0	0	0	0	0		0	0	0	0										
255	0	0	0	0	0	0	0		0	0	0	0										
256	0	0	0	0	0	0	0		0	0	0	0										
257	0	0	0	0	0	0	0		0	0	0	0										
258	0	0	0	0	0	0	0		0	0	0	0										
259	0	0	0	0	0	0	0		0	0	0	0										
260	0	0	0	0	0	0	0		0	0	0	0										
261	0	0	0	0	0	0	0		0	0	0	0										
262	250	0	0	0	8000	5000	0		0	0	0	0										
263	250	0	0	0	8000	5000	0		0	0	0	0										
264	50	0	0	0	3500	1500	0		0	0	0	0										
265		0	0	0	3000	1000	0		0	0	0	0	5;19946;2									
266		0	0	0		0			0	0	0	0										
267	100	0	0	0	2000	1000	0		0	0	0	0										
268	0	0	0	0	0	0	0		0	0	0	0										
269	0	0	20000	800	10000	0	0		0	0	0	0						5;10334;5	5;19886;5			
270	50	0	0	0	500	300	0		0	0	0	0										
272	0	0	0	0	0	0	0		0	0	0	0										
273	0	0	0	0	0	0	0		0	0	0	0						5;20523;1	5;20524;1	5;22090;1	5;22085;1	
274	0	0	0	0	0	0	0		0	0	0	0						5;22146;100	8;16786;1	8;11838;1	8;11837;1	
276	15	0	5000		0	0	0		0	0	0	0						5;19406;2	5;22345;1	5;22343;1	5;22341;6	
277	15	0		600	0	0	0		0	0	0	0						5;19312;4	5;22343;1	5;22341;7		
278	0	0	0	0	0	0	0		0	0	0	0										
279	0	0	0	0	0	0	4000		0	0	0	0				200	200					
280																						
281	0	0	0	0	0	0	0		0	0	0	0										
282	0	0	0	0	0	0	0		0	0	0	0										
283																						
284	10		2500	400					50					5;19312;2								
285																						
286			5000	500	5000				50									5;21979;1				
287			5000	500	5000				50									5;20523;1	5;21979;1			
289																						
290			5000	500	5000				50									5;10869;1				
291																						
292	5																	5;22957;5				
293																						
294	100			500				5;24726;20														
295																						
296																						
298																						
299																						
300	50		2000	400														5;25798;100				
301																		5;19316;640	5;19308;1280			
302																						
303																						
304	50		2000	400														5;25798;100				
305	50		2000	400														5;25798;100				
306	0	0	0	0	0	0	0		0	0	0	0						5;22087;1	5;22086;1	5;22085;1	5;22084;1	
307																						
308	40		3000						40	2500								5;26188;20				
309																						
310																						
311			4000	500	4000				20									5;20533;1	5;24450;1	5;23224;1	5;24456;1	
312			3500	450														8;16683;1	8;16682;1	8;16684;1		
313	50		2000	400														5;25798;100				
314																						
315	50		6000	300																		
316	100				1500	1000					100							5;21243;3000				
317																						
318																						
319																						
320	20																	5;26188;100				
321	40		3000						40	2500								5;26188;20				
322	60		4000						50	3500								5;26188;30				
323	20																	5;26188;100				
324			3000						40	2500								5;26188;20				
325	60		4000						50	2500								5;26188;30				
326	20																	5;26188;100				
327	60		4000						50	2500								5;26188;30				
328	40		3000						40	2500								5;26188;20				
329	20																	5;26188;100				
330	40		3000						40	2500								5;26188;20				
331	60		4000						50	3500								5;26188;30				
332	20																	5;26188;100				
333	40		3000						40	2500								5;26188;20				
334	60		4000						50	3500								5;26188;30				
335	20																	5;26188;100				
336	40		3000						40	2500								5;26188;20				
337	60		4000						50	2500								5;26188;30				
338	20																	5;26188;100				
339	40		3000						40	2500								5;26188;20				
340	60		4000						50	2500								5;26188;30				
341	20																	5;26188;100				
342	40		3000						40	2500								5;26188;20				
343	60		4000						50	3500								5;26188;30				
344	20																	5;26188;100				
345	40		3000						40	2500								5;26188;20				
346	60		4000						50	3500								5;26188;30				
347	20																	5;26188;100				
348	40		3000						40	2500								5;26188;20				
349	60		4000						50	2500								5;26188;30				
350	20																	5;26188;100				
351	40		3000						40	2500								5;26188;20				
352	60		4000						50	2500								5;26188;30				
353	20																	5;26188;100				
354																						
355	60		4000						50	3500								5;26188;30				
356																						
357	50		2000	400														5;25798;100				
364																						
365	0	0	0	0	0	0	0		0	0	0	0						8;17534;1	8;17535;1			
366	0	0	0	0	0	0	0		0	0	0	0						5;22087;1	5;22086;1	5;22085;1	5;22084;1	
367									20									5;27160;40	5;26188;20			
368			3000	300																		
369	100		3500	350																		
370	20																	5;26188;100				
371	40		3000						40	2500								5;26188;20				
372	60		4000						50	3500								5;26188;30				
373	60		4000						50	3500								5;26188;30				
374																		5;24808;100	5;24816;50			
375			4000	500	4000				20									5;20533;1	5;27807;1	5;26982;1	5;27810;1	
378																						
379																						
380										10000												
381																						
383																		5;6258;100	5;6055;1	5;27834;50		
384																		5;26274;21	5;26275;21	5;26276;21	5;23637;21	
385																						
386																		5;26274;21	5;26275;21	5;26276;21	5;23637;21	
387																						
388																		5;27946;40	5;26188;20	5;6735;20	5;6258;20	5;24808;60
389																		5;27948;1	5;27947;2			
390																						
391																						
392																						
393																						
394																						
395							6400															
397																						
398																						
399																						
401																						
402																						
403																		5;28455;48	5;28456;10			
407																						
408																						
409					3000	1000																

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
