ID	TabType1	TabIndex1	StackNum1	Rate1	TabType2	TabIndex2	StackNum2	Rate2	TabType3	TabIndex3	StackNum3	Rate3	TabType4	TabIndex4	StackNum4	Rate4	TabType5	TabIndex5	StackNum5	Rate5	TabType6	TabIndex6	StackNum6	Rate6	TabType7	TabIndex7	StackNum7	Rate7	TabType8	TabIndex8	StackNum8	Rate8	RateType1	RateType2	RepresentType	ScriptName
26	5	7480	4	1048576	5	7481	4	1048576	5	7482	4	1048576	5	7483	4	1048576	5	7041	6	1048576	5	7161	5	0	5	6676	50	1048576	5	5256	40	1048576	2	2		
27	5	7999	1	209715	5	7998	1	209715	5	6029	5	314573	5	6032	5	314573	5	8039	1	104857	5	8043	1	104857	5	8045	1	104857	5	7994	1	10486	1	2		
28	8	2624	1	349526	8	2625	1	349525	8	2626	1	349525																					1	2		
29	8	2627	1	349526	8	2628	1	349525	8	2629	1	349525																					1	2		
30	8	2630	1	349526	8	2631	1	349525	8	2632	1	349525																					1	2		
31	5	6714	1	1048576	5	6720	1	1048576	5	6735	1	1048576	5	8829	1	1048576																	2	2		
32	5	6714	1	1048576	5	6726	1	1048576	8	4022	1	1048576	5	8835	1	1048576	5	8830	1	1048576													2	2		
33	5	6714	2	1048576	5	6732	2	1048576	8	33	1	1048576	5	10389	1	1048576	5	8836	1	1048576	5	8831	1	1048576									2	2		
34	5	6714	2	1048576	5	6733	2	1048576	8	4023	1	1048576	5	10389	1	1048576	5	8832	1	1048576													2	2		
35	5	6714	2	1048576	5	6735	2	1048576	8	4023	1	1048576	5	10389	1	1048576	5	8837	1	1048576	5	8833	1	1048576									2	2		
36	5	6714	2	1048576	5	6735	2	1048576	8	4023	1	1048576	5	10389	1	1048576	5	8834	1	1048576													2	2		
37	5	8875	2	1048576	5	6735	2	1048576	8	4023	1	1048576	5	10389	2	1048576	5	8838	1	1048576	5	17742	1	1048576									2	2		
38	5	7041	1	1048576	5	8844	1	1048576	5	8840	1	1048576																					2	2		
39	5	7041	1	1048576	5	24444	2	1048576	5	8845	1	1048576	5	8841	1	1048576																	2	2		
40	5	7041	1	1048576	5	24445	1	1048576	5	8846	1	1048576	5	8842	1	1048576																	2	2		
41	5	7041	1	1048576	5	24445	2	1048576	5	8847	1	1048576	5	8843	1	1048576																	2	2		
42	5	7041	1	1048576	5	24446	1	1048576	5	8848	1	1048576																					2	2		
43	5	5153	1	1048576	5	5154	1	1048576																									2	2		
44	5	5065	1	1048576	5	5066	1	1048576	5	5067	1	1048576																					2	2		
45	5	5103	1	1048576	5	5101	1	1048576	5	5102	1	1048576																					2	2		
46	5	5122	1	1048576	5	5123	1	1048576	5	5121	1	1048576																					2	2		
47	5	5118	1	1048576	5	5119	1	1048576	5	5117	1	1048576																					2	2		
48	5	5126	1	1048576	5	5127	1	1048576	5	5125	1	1048576																					2	2		
49	5	6714	5	1048576	5	6737	5	1048576	5	6735	20	1048576	5	24806	4	1048576	5	10389	7	1048576	8	4023	1	1048576	5	24442	20	1048576	5	10374	1	1048576	2	2		
50	5	6714	3	1048576	5	8875	5	1048576	5	6735	25	1048576	5	24806	4	1048576	5	10389	8	1048576	5	24442	50	1048576	5	8838	1	1048576	5	10375	1	1048576	2	2		
51	5	8876	5	1048576	5	6735	25	1048576	5	24806	4	1048576	5	10390	3	1048576					5	24832	10	1048576	8	4023	1	1048576	5	24442	100	1048576	2	2		
52	5	10867	1	1048576	5	10866	1	1048576	5	10865	1	1048576					5	17161	1	1048576	5	17160	1	1048576	5	17162	1	1048576					2	2		
53	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4018	1	1048576	5	11159	1	1048576													2	2		
54	5	6714	1	1048576	5	7156	1	1048576	5	6716	1	1048576	8	4019	1	1048576	5	11160	1	1048576													2	2		
55	5	6714	5	1048576	5	7156	1	1048576	5	6720	5	1048576	5	6721	5	1048576	5	6735	5	1048576	8	4020	1	1048576	5	6749	1	1048576					2	2		
56	5	5055	1	1048576	5	5054	1	1048576	5	5053	1	1048576																					2	2		
57	5	6712	2	1048576	5	6711	1	1048576	5	6716	2	1048576	8	4018	1	1048576	5	11602	1	1048576													2	2		
58	5	6740	2	1048576	5	6711	1	1048576	8	4019	1	1048576	5	6716	2	1048576	5	11603	1	1048576													2	2		
59	5	6720	2	1048576	5	6721	2	1048576	5	11600	10	1048576	5	6711	1	1048576	5	6714	3	1048576	5	11604	1	1048576	8	4006	1	1048576					2	2		
60	5	6714	3	1048576	5	6754	1	1048576	8	4022	1	1048576	8	514	1	1048576	5	7156	1	1048576	5	6750	1	1048576									2	2		
61	5	10389	5	1048576																													2	2		
62	5	5131	1	1048576	5	5130	1	1048576	5	5129	1	1048576																					2	2		
63	5	24806	1	1048576	5	24811	1	1048576	5	6258	1	1048576																					2	2		
64	5	24806	7	1048576	5	24811	7	1048576	5	6258	15	1048576																					2	2		
65	5	24806	21	1048576	5	24811	21	1048576	5	6258	45	1048576																					2	2		
66	5	24806	35	1048576	5	24811	35	1048576	5	6258	75	1048576																					2	2		
67	5	24806	70	1048576	5	24811	70	1048576	5	6258	150	1048576	8	4318	1	1048576																	2	2		
68	8	5485	0	1048576	8	5486	0	1048576	8	5487	0	1048576	8	5488	0	1048576	8	5489	0	1048576													2	2		
69	5	11683	1	1048576	5	10303	7	1048576	5	10304	5	1048576	5	6258	10	1048576	5	5256	15	1048576	5	6254	1	1048576									2	2	1	
70	5	11683	2	1048576	5	10302	7	1048576	5	16686	2	1048576	5	16687	5	1048576	5	6258	10	1048576	5	5256	25	1048576	5	6253	3	1048576	5	6254	1	1048576	2	2	1	
71	5	11683	2	1048576	5	6254	1	1048576	5	16690	2	1048576																					2	2	1	
72	5	11683	2	1048576	5	10304	3	1048576	5	17325	1	1048576																					2	2	1	
73	5	11683	1	1048576	5	10303	7	1048576	5	10304	3	1048576	5	5256	30	1048576																	2	2	1	
74	5	6714	1	1048576	8	4020	1	1048576	5	8828	1	1048576																					2	2		
75	5	6714	3	1048576	8	2836	1	1048576	5	10389	3	1048576	5	19877	1	1048576	5	19876	1	1048576													2	2		
76	5	5113	1	1048576	5	5115	1	1048576	5	5114	1	1048576																					2	2		
77	5	11999	1	1048576	5	11997	1	1048576	5	11998	1	1048576																					2	2		
78	5	24447	1	1048576	5	10303	10	1048576	5	10304	5	1048576	5	10297	1	1048576	5	6258	50	1048576	5	17454	1	1048576									2	2	1	
79	5	10389	1	1048576	5	11610	1	1048576	5	11609	1	1048576																					2	2		
80	5	18833	1	524288	5	18834	1	524288																									1	2		
81	5	24447	1	1048576	5	10302	10	1048576	5	10303	10	1048576	5	10304	5	1048576	5	6258	50	1048576	5	17454	1	1048576	5	18812	1	1048576					2	2		
82	5	24447	1	1048576	5	10302	10	1048576	5	10303	10	1048576	5	10304	5	1048576	5	6258	50	1048576	5	17454	1	1048576	5	6253	1	1048576					2	2		
83	5	18848	1	1048576	5	10309	1	1048576																									2	2		
84	5	10303	1	1048576	5	10304	1	1048576	5	6258	5	1048576																					2	2		
85	5	19309	10	1048576	5	19403	5	1048576	5	19943	10	1048576																					2	2		
86	5	10303	7	1048576	5	10304	5	1048576	5	6258	10	1048576	5	5256	15	1048576	5	6254	1	1048576	5	17454	2	1048576									2	2		
87	5	10302	7	1048576	5	16687	25	1048576	5	6258	10	1048576	5	5256	25	1048576	5	6253	3	1048576	5	6254	1	1048576	5	17454	2	1048576					2	2		
88	5	10303	7	1048576	5	10304	3	1048576	5	5256	30	1048576	5	17454	2	1048576																	2	2		
89	5	6735	50	1048576	5	10389	5	1048576	8	64	1	1048576	5	19878	1	1048576																	2	2		
90	8	10164	1	1048576	5	17741	1	1048576																									2	2		
91	8	10165	1	1048576	5	17741	1	1048576																									2	2		
92	8	10166	1	1048576	5	17741	1	1048576																									2	2		
93	8	10167	1	1048576	5	17741	1	1048576																									2	2		
94	8	10168	1	1048576	5	17741	1	1048576																									2	2		
95	8	10169	1	1048576	5	17741	1	1048576																									2	2		
96	5	19309	40	1048576	5	19403	35	1048576																									2	2		
97	5	19943	15	1048576	5	16686	5	1048576																									2	2		
98	5	19309	30	1048576	5	19403	15	1048576																									2	2		
99	5	11794	1	1048576	5	17741	1	1048576																									2	2		
100	5	19309	50	1048576	5	19403	18	1048576																									2	2		
101	5	19309	5	1048576	5	19403	5	1048576	5	6258	5	1048576																					2	2		
102	5	20527	1	524288	5	20528	1	524288																									1	2		
103	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	20523	1	1048576					2	2		
104	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	6253	1	1048576					2	2		
105	8	601	1	1048576																													2	2		
106	8	604	1	1048576																													2	2		
107	8	531	1	1048576																													2	2		
108	5	24447	1	1048576	5	19943	50	1048576	5	19309	50	1048576	5	19403	25	1048576	5	6258	50	1048576	5	17376	1	1048576	5	20523	1	1048576					2	2		
109	5	11637	1	1048576	5	11638	1	1048576	5	11639	1	1048576																					2	2		
110	5	16983	1	1048576	5	16984	1	1048576	5	16985	1	1048576																					2	2		
111	5	18791	1	1048576	5	18792	1	1048576	5	18793	1	1048576																					2	2		
112	8	5485	0	1048576	8	5486	0	1048576	8	5487	0	1048576	8	5488	0	1048576	8	5489	0	1048576	8	10967	0	1048576	8	10968	0	1048576					2	2		
113	5	10389	1	1048576	5	11610	1	1048576	5	11609	1	1048576																					2	2		
114	5	8025	1674	1048576																													2	2		
115	5	8025	1650	1048576																													2	2		
116	5	8025	1681	1048576																													2	2		
117	5	8025	1657	1048577																													2	2		
118	5	8025	1666	1048578																													2	2		
119	5	8025	1642	1048579																													2	2		
120	5	6237	2	1048576	5	10389	1	1048576	8	4023	1	1048576	5	21497	1	1048576																	2	2		
121	5	8835	1	1048576	5	21498	1	1048576																									2	2		
122	5	8836	1	1048576	5	21499	1	1048576																									2	2		
123	5	8837	1	1048576	5	21500	1	1048576																									2	2		
124	5	8838	1	1048576	5	21501	1	1048576																									2	2		
125	5	19877	1	1048576	5	21502	1	1048576																									2	2		
126	5	19878	1	1048576																													2	2		
127	5	10867	1	1048576	5	10866	1	1048576	5	10865	1	1048576																					2	2		
128	5	17161	1	1048576	5	17160	1	1048576	5	17162	1	1048576																					2	2		
129	5	22080	1	1048576	5	22081	1	1048576	5	22082	1	1048576																					2	2		
130	5	19943	5	1048576	5	16686	3	1048576	5	21243	1500	1048576																					2	2		
131	5	22173	1	1048576	5	22175	1	1048576	5	22178	1	1048576	8	4023	1	1048576	8	4023	1	1048576	8	4023	1	1048576	8	4023	1	1048576					2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
132	5	6258	1500	1048576	5	6735	300	1048576	5	11611	20	1048576	8	516	1	1048576																	2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
133	5	22941	1	1048576	5	22173	1	1048576	5	22179	1	1048576	5	22949	1	1048576	5	22950	1	1048576	5	22951	1	1048576	5	22953	10	1048576					2	2		scripts/Map/直升满级/box/LevelUpCommon.lua
134	5	8828	1	1048576	5	6029	10	1048576	5	6058	100	1048576																					2	2		
135	5	8828	1	1048576	5	6029	10	1048576	5	6058	100	1048576	5	23017	2	1048576																	2	2		
136	8	13738	1	1048576	5	7057	1	1048576	5	23416	1	1048576	5	6714	3	1048576																	2	2		
137	8	13739	1	1048576	5	7056	1	1048576	5	6735	4	1048576	5	10389	1	1048576	5	23417	1	1048576	5	6714	3	1048576									2	2		
138	8	13740	1	1048576	5	23424	1	1048576	5	6735	6	1048576	5	10389	1	1048576	5	23418	1	1048576	5	6714	3	1048576									2	2		
139	5	6735	10	1048576	5	10389	2	1048576	5	23419	1	1048576	5	6714	3	1048576																	2	2		
140	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	6735	15	1048576	5	10389	2	1048576	5	23420	1	1048576	5	6714	3	1048576					2	2		
141	8	13737	1	1048576	5	6735	15	1048576	5	10389	3	1048576	5	23421	1	1048576	5	6714	3	1048576													2	2		
142	5	6735	20	1048576	5	10389	4	1048576	5	23422	1	1048576	5	6714	3	1048576																	2	2		
143	8	13741	1	1048576	8	13742	1	1048576	5	23458	2	1048576	5	6735	20	1048576	5	10389	4	1048576	5	23423	1	1048576	5	6714	3	1048576					2	2		
144	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	6735	30	1048576	5	10389	4	1048576	5	6714	3	1048576									2	2		
145	8	13743	1	1048576	5	7057	1	1048576	5	23432	1	1048576	5	6714	3	1048576																	2	2		
146	8	13744	1	1048576	5	7056	1	1048576	5	6735	4	1048576	5	10389	1	1048576	5	23433	1	1048576	5	6714	3	1048576									2	2		
147	8	13745	1	1048576	5	23424	1	1048576	5	6735	6	1048576	5	10389	1	1048576	5	23434	1	1048576	5	6714	3	1048576									2	2		
148	5	6735	10	1048576	5	10389	2	1048576	5	23435	1	1048576	5	6714	3	1048576																	2	2		
149	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	6735	15	1048576	5	10389	2	1048576	5	23436	1	1048576	5	6714	3	1048576					2	2		
150	8	13737	1	1048576	5	6735	15	1048576	5	10389	3	1048576	5	23437	1	1048576	5	6714	3	1048576													2	2		
151	5	6735	20	1048576	5	10389	4	1048576	5	23438	1	1048576	5	6714	3	1048576																	2	2		
152	8	13746	1	1048576	8	13747	1	1048576	5	23458	2	1048576	5	6735	20	1048576	5	10389	4	1048576	5	23439	1	1048576	5	6714	3	1048576					2	2		
153	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	6735	30	1048576	5	10389	4	1048576	5	6714	3	1048576									2	2		
154	8	13749	1	1048576	5	7057	1	1048576	5	23441	1	1048576	5	6714	3	1048576																	2	2		
155	8	13748	1	1048576	5	7056	1	1048576	5	6735	4	1048576	5	10389	1	1048576	5	23442	1	1048576	5	6714	3	1048576									2	2		
156	8	13750	1	1048576	5	23424	1	1048576	5	6735	6	1048576	5	10389	1	1048576	5	23443	1	1048576	5	6714	3	1048576									2	2		
157	5	6735	10	1048576	5	10389	2	1048576	5	23444	1	1048576	5	6714	3	1048576																	2	2		
158	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	6735	15	1048576	5	10389	2	1048576	5	23445	1	1048576	5	6714	3	1048576					2	2		
159	8	13737	1	1048576	5	6735	15	1048576	5	10389	3	1048576	5	23446	1	1048576	5	6714	3	1048576													2	2		
160	5	6735	20	1048576	5	10389	4	1048576	5	23447	1	1048576	5	6714	3	1048576																	2	2		
161	8	13751	1	1048576	8	13752	1	1048576	5	23458	2	1048576	5	6735	20	1048576	5	10389	4	1048576	5	23448	1	1048576	5	6714	3	1048576					2	2		
162	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	6735	30	1048576	5	10389	4	1048576	5	6714	3	1048576									2	2		
163	8	13753	1	1048576	5	7057	1	1048576	5	23450	1	1048576	5	6714	3	1048576																	2	2		
164	8	13754	1	1048576	5	7056	1	1048576	5	6735	4	1048576	5	10389	1	1048576	5	23451	1	1048576	5	6714	3	1048576									2	2		
165	8	13755	1	1048576	5	23424	1	1048576	5	6735	6	1048576	5	10389	1	1048576	5	23452	1	1048576	5	6714	3	1048576									2	2		
166	5	6735	10	1048576	5	10389	2	1048576	5	23453	1	1048576	5	6714	3	1048576																	2	2		
167	5	5069	1	1048576	5	5070	1	1048576	5	5071	1	1048576	5	6735	15	1048576	5	10389	2	1048576	5	23454	1	1048576	5	6714	3	1048576					2	2		
168	8	13737	1	1048576	5	6735	15	1048576	5	10389	3	1048576	5	23455	1	1048576	5	6714	3	1048576													2	2		
169	5	6735	20	1048576	5	10389	4	1048576	5	23456	1	1048576	5	6714	3	1048576																	2	2		
170	8	13756	1	1048576	8	13757	1	1048576	5	23458	2	1048576	5	6735	20	1048576	5	10389	4	1048576	5	23457	1	1048576	5	6714	3	1048576					2	2		
171	5	23430	2	1048576	5	24446	3	1048576	5	6258	300	1048576	5	6735	30	1048576	5	10389	4	1048576	5	6714	3	1048576									2	2		
172	5	23525	1	419430	5	23527	1	209716	5	23529	1	209715	5	23535	1	209715	5	23538	1	104858	5	23544	1	20972	5	23545	1	41943	8	13761	1	5243	1	1		
173	5	24824	15	1048576	5	24804	10	1048576	5	21243	3000	1048576																					2	2		
174	8	13918	1	1047528	8	13919	1	1048																									1	1		
175	5	19943	10	1048576	5	19309	10	1048576	5	19403	5	1048576	5	19886	2	548576	5	24447	1	248576													2	2		
176	5	25809	1	1048576	5	25810	1	1048576	5	25811	1	1048576																					2	2		
177	5	25812	1	1048576	5	25813	1	1048576	5	25814	1	1048576																					2	2		
178	5	24808	40	1048576	5	24816	30	1048576																									2	2		
179	5	24824	15	1048576	5	24804	5	1048576																									2	2		
180	5	24808	60	1048576	5	24816	15	1048576																									2	2		
181	5	24808	60	1048576	5	24816	15	1048576	5	11640	1	1048576																					2	2		
182	5	24808	40	1048576	5	24816	30	1048576	5	11640	3	1048576																					2	2		
183	5	24824	15	1048576	5	24804	5	1048576	5	11640	3	1048576																					2	2		
184	5	24824	15	1048576	5	24804	10	1048576	5	21243	3000	1048576	5	11640	2	1048576																	2	2		

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
