SubType	RepresetID	ItemID	Name
11	82	2812	龙牙刺
11	83	2813	引魂笛
11	84	2814	灵犀角
11	85	2815	灵蝠暗翼
11	86	2818	血胴
11	87	2819	鬼面
11	88	2821	阴阳坠
11	89	2823	牵魂索
11	90	2825	檀墨坠
11	91	2828	三秋
11	92	2829	参与商
11	93	3875	攻无不克·刃
11	94	3874	战无不胜·刃
11	95	3877	帝俊号角
11	96	4164	玉脂紫阳瓶
11	97	4165	洞天壶
11	98	4166	真黄之眼
11	99	4167	迷经之卷
11	100	4168	碧血
11	101	4169	碧玉圣蛇
11	102	4209	马牌
11	103	4251	团圆
11	104	4320	清音幽韵
11	105	4322	犹梦婆娑
11	106	4768	斩思
11	107	4769	独当一面
11	108	4827	双鱼佩囍
11	109	4829	大福元宝
11	110	5347	碧海亮银壶
11	111	5348	双凰灿金佩
11	112	5349	天魅破煞
11	113	5350	白骨哀
11	114	5351	震日
11	115	5357	碧落青冥·龙威佩剑
11	116	5358	苍天鹤血·虎怒佩剑
11	117	5583	金钱令
11	118	5770	激焰
11	119	5771	九幻黑莲
11	120	5774	七杀刀
14	1	621	娃娃
14	2	359	珠玑
14	3	4009	天字·护花书笈
14	4	809	輪
14	4	106	破损不堪的装备
14	5	1245	潺
14	5	107	破损不堪的装备
14	6	808	拂尘
14	6	108	破损不堪的装备
14	7	4006	西山宝库·罗曼琴
14	7	109	破损不堪的装备
14	8	111	红竹背箱
14	9	112	弓
14	10	113	琴
14	11	115	曼罗琴
14	12	118	蓑衣
14	13	123	沽
14	14	619	琴
14	15	624	包裹
14	16	4011	天字·昆吾盾
14	17	626	冷月伞
14	18	627	烟雨伞
14	19	628	画篓
14	20	355	屠狼箭
14	21	368	胡琴
14	22	620	书箱
14	24	630	锅铲
14	25	114	葫芦
14	26	616	大红花
14	27	617	风车
14	28	615	风筝
14	29	4008	天字·如意架
14	30	1247	画卷
14	31	4010	天字·极乐帽
14	32	4014	天字·歃血盾
14	33	4030	隐元秘宝·前尘如风
14	34	4029	隐元秘宝·云胡听醉
14	35	4031	隐元秘宝·阮溪琴吟
14	36	4032	天字·乐志帽
14	37	4033	天字·霓裳架
14	38	4034	天字·玉果篮
14	39	1244	霸王弩
14	40	1242	霸王钳
14	41	1246	焰
14	42	1626	食
14	43	4325	情人枕·天下之雄
14	43	1752	飞狐
14	44	117	书箱
14	45	101	小邪子的福娃娃
14	46	4007	西山宝库·蓑衣
14	47	1881	祥枕
14	48	1880	佑安
14	49	1884	福燕
14	50	1885	徊
14	51	2018	剑归
14	52	2020	鳍趣
14	53	1697	龙鸣笙
14	54	1719	孟秋砚
14	55	2248	瀚海雄风·弓
14	56	2250	铁血丹心·弓
14	57	2427	夺命三千
14	58	2428	渔·临渊
14	59	2777	踏尽·葫芦
14	60	2790	纸鸢
14	61	229	金粉玉颜
14	61	5489	金粉玉颜
14	62	105	小悟空
14	63	2805	天字·冥鹫轮
14	64	2802	盘龙碧
14	65	2804	千蛛刺
14	66	2832	乾元葫芦
14	67	2816	黑天
14	68	2817	霜刃残
14	69	2820	剑流星
14	70	2822	牛角盾
14	71	2824	玲珑甲
14	72	2826	星辰
14	73	2827	灵符葫芦
14	74	2830	蛮衣
14	75	2831	青葫篓
14	76	3873	攻无不克·盾
14	77	3872	战无不胜·盾
14	78	3876	蚩尤蓑
14	79	3878	蝶恋筝
14	79	5485	蝶恋筝
14	80	4170	蓝晶魔脸
14	81	4171	炎风鼓
14	82	2833	端
14	83	4210	行囊
14	84	4318	嫡榕转
14	85	4319	顺瑜情
14	86	4321	丹枫鸣
14	87	4323	诳世
14	88	4324	弥天
14	89	4767	二师兄
14	90	4770	蓝涡
14	91	4771	解剑拜仇
14	92	4772	化蝶岚
14	92	5486	化蝶岚
14	93	4826	倾橙之恋
14	93	5487	倾橙之恋
14	94	4828	金龙跃云
14	95	4961	血踪万里
14	96	5253	陌上梨花·蝶
14	96	5488	陌上梨花·蝶
14	97	5343	果萌萌
14	98	5344	暮春寒
14	99	5345	龙蟠红缨
14	100	5346	忘情寒玉树
14	101	5352	挑天
14	102	5353	摄心凌魄
14	103	5354	赤缨无回
14	104	5355	碧落青冥·龙腾四海
14	105	5356	苍天鹤血·虎威八方
14	106	5437	紫翼东升 
14	107	5438	金风急雨
14	108	5439	剑胆琴心
14	109	5581	永动小鸡
14	110	5582	罗伞·烟雨情
14	111	5584	午
14	112	5772	夜话·白鹭
14	113	5773	因花生
14	114	5775	追风紫罗带
17	1	2624	如意帘·一帆风顺
17	2	2625	如意帘·二龙戏珠
17	3	2626	如意帘·三阳开泰
17	4	2627	如意帘·四季平安
17	5	2628	如意帘·五福同寿
17	6	2629	如意帘·六六大顺
17	7	2630	如意帘·七巧玲珑
17	8	2631	如意帘·八面春风
17	9	2632	如意帘·九九同心
17	10	2633	如意帘·恭喜发财
17	12	5596	面纱·幻
17	13	5597	面纱·绚
17	14	5598	面纱·妄
17	15	5599	面纱·灵
17	16	5600	面纱·魅
17	17	5601	面纱·墨
17	18	5604	天字·飞狐面具
17	19	5603	天字·探花巾
17	19	5602	红色面罩
17	20	4769	独当一面

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
