Index	Name	NameFrame	Level	Quality	Class	Star	Type	Source	BgPath	OutputDes	Desc	Show	OnlyHaveShow	LimitTime	ModelID	ColorChannelTable	ColorChannel	ModelScale	IconID	X	Y	Z	LookAtX	LookAtY	LookAtZ	CoinShopScale	CoinShopPosY	IdentityYS	YSDes
10	鸡小蒙	38	3	3	2	3	3	7	ui\Image\Pets\kp_鸡小蒙.tga	<text>text="获取线索：无量宫中，此蛋也是一宝。" font=168</text>	<text>text="它用湿润润的小黑眼珠盯着你" font=27</text>	1		0	29675			1.5	3563	0	80	-300	0	100	150	1.5			
11	吉祥虎	39	6	4	3	5	2	6	ui\Image\Pets\kp_吉祥虎.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="众宠起始，祥瑞之降，吉祥小虎，山林之王。" font=27</text>	1		0	5919			0.5	3562	0	80	-300	0	100	150	0.5			
12	兔瑞瑞·白	57	6	4	3	4	2	6	ui\Image\Pets\kp_兔瑞瑞白.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="粉白白的兔瑞瑞爱萝卜" font=27</text>	1		0	21796			1.1	6107	0	80	-300	0	100	150	1.1			
13	兔瑞瑞·灰	58	6	4	3	4	2	6	ui\Image\Pets\kp_兔瑞瑞灰.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="灰蒙蒙的兔瑞瑞也爱吃萝卜" font=27</text>	1		0	22123	0	2	1.1	6105	0	80	-300	0	100	150	1.1			
14	兔祥祥·白	59	6	4	3	4	2	6	ui\Image\Pets\kp_兔祥祥白.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="粉白白的兔祥祥吃菜菜" font=27</text>	1		0	21795			1.1	6108	0	80	-300	0	100	150	1.1			
15	兔祥祥·灰	60	6	4	3	4	2	6	ui\Image\Pets\kp_兔祥祥灰.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="灰蒙蒙的兔祥祥讨厌吃菜菜" font=27</text>	1		0	22122	0	2	1.1	6106	0	80	-300	0	100	150	1.1			
16	兔轶轶·灰	62	3	2	3	3	2	9	ui\Image\Pets\kp_兔轶轶灰.tga	<text>text="获取线索：辛卯年春节活动。" font=168</text>	<text>text="灰蒙蒙的兔轶轶既爱萝卜又吃菜菜" font=27</text>	1		0	22045	0	2	1.1	3560	0	80	-300	0	100	150	1.1			
17	兔轶轶·白	61	3	2	3	3	2	9	ui\Image\Pets\kp_兔轶轶白.tga	<text>text="获取线索：辛卯年春节活动。" font=168</text>	<text>text="粉白白的兔轶轶表示什么都吃" font=27</text>	1		0	21797			1.1	3559	0	80	-300	0	100	150	1.1			
18	祥兔阿甘	63	6	4	4	4	4	6	ui\Image\Pets\kp_瑞兔阿甘.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="咔。。咔。。“祥兔阿甘”很活泼，一刻都不想停下来。" font=27</text>	1		0	22128			0.6	2286	0	80	-300	0	100	150	0.6			
19	瑞兔阿甘	54	6	4	4	5	4	6	ui\Image\Pets\kp_祥兔阿甘.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="咔。。咔。。“瑞兔阿甘”很聪明，就是没有“祥兔阿甘”勤快，懒洋洋的。" font=27</text><text>text="\\\n具有【行囊机关】，开启机关后可找其换购趣味道具。" font=18</text>	1		0	22049			0.6	2286	0	80	-300	0	100	150	0.6			
20	比翼	15	4	3	2	4	3	6	ui\Image\Pets\kp_比翼.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="两只比翼小鸟，环绕在你的周围" font=27</text><text>text="\\\n" font=18</text><text>text="双飞比翼，心有灵犀。在天愿作比翼鸟 在地愿为连理枝。" font=27</text>	1		0	25113			0.7	3564	0	150	-300	0	170	150	0.7			
21	阿宝	10	6	4	3	4	2	6	ui\Image\Pets\kp_熊猫阿宝.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="滚来滚去滚来滚去的圆滚滚的熊猫阿宝。养肥了就变超级强力熊猫人，不过切忌今天俯卧，明天撑哦。" font=27</text>	1		0	26410			0.4	3565	0	80	-300	0	100	150	0.4			
22	孔明灯·碧	43	4	3	4	4	4	6	ui\Image\Pets\kp_孔明灯碧.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="绿色的孔明灯随身飞舞，寄托思念，忆起往事。江湖路依然，诚挚祈福侠者一路平安。" font=27</text>	1		0	38270			0.4	6102	0	80	-300	0	100	150	0.4			
23	孔明灯·苍	44	4	3	4	4	4	6	ui\Image\Pets\kp_孔明灯苍.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="蓝色的孔明灯随身飞舞，寄托思念，忆起往事。江湖路依然，诚挚祈福侠者万事如意。" font=27</text>	1		0	29897			0.4	6103	0	80	-300	0	100	150	0.4			
24	孔明灯·朱	45	4	3	4	4	4	6	ui\Image\Pets\kp_孔明灯朱.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="红色的孔明灯随身飞舞，寄托思念，忆起往事。江湖路依然，诚挚祈福侠者吉祥如意。" font=27</text>	1		0	29896			0.4	6101	0	80	-300	0	100	150	0.4			
25	执子之手	83	6	4	4	5	4	6	ui\Image\Pets\kp_执子之手.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="死生契阔，与子成说。执子之手，与子偕老。" font=27</text>	1		0	29898			0.4	6104	0	80	-300	0	100	150	0.4			
26	御灯龙·吉	82	6	4	4	5	4	6	ui\Image\Pets\kp_御灯龙吉.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="灯，等灯等灯～金龙赐吉，吉祥安康。" font=27</text><text>text="\\\n具有【行囊机关】，开启机关后可找其换购趣味道具。" font=18</text>	1	0	0	26687			1.3	3323	0	80	-300	0	100	150	1.3			
27	御灯龙·福	81	6	4	4	5	4	6	ui\Image\Pets\kp_御灯龙福.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="灯，等灯等灯。祥龙送福，万事如意。" font=27</text>	1	0	0	26687			1.3	3323	0	80	-300	0	100	150	1.3			
28	灯龙宝宝	24	5	3	4	5	4	6	ui\Image\Pets\kp_灯龙宝宝.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="御龙行千里，华灯照万家。" font=27</text>	1	0	0	26681			1.3	3324	0	80	-300	0	100	150	1.3			
29	机关猪毒箭	34	6	4	4	4	4	8	ui\Image\Pets\kp_机关猪毒箭.tga	<text>text="获取线索：限唐门弟子，唐家堡。" font=168</text>	<text>text="唐门秘制机关猪,会卖子弹会卖萌。" font=27</text>	1		0	25835			1.3	8357	0	80	-300	0	100	150	1.3			
30	机关猪短刀	35	6	4	4	4	4	8	ui\Image\Pets\kp_机关猪短刀.tga	<text>text="获取线索：限唐门弟子，唐家堡。" font=168</text>	<text>text="唐门秘制机关猪,会卖子弹会卖萌。" font=27</text>	1		0	26073			1.3	8356	0	80	-300	0	100	150	1.3			
31	机关猪飞镖	36	6	4	4	4	4	8	ui\Image\Pets\kp_机关猪飞镖.tga	<text>text="获取线索：限唐门弟子，唐家堡。" font=168</text>	<text>text="唐门秘制机关猪,会卖子弹会卖萌。" font=27</text>	1		0	26075			1.3	8355	0	80	-300	0	100	150	1.3			
32	机关猪竹简	37	6	4	4	4	4	8	ui\Image\Pets\kp_机关猪竹简.tga	<text>text="获取线索：限唐门弟子，唐家堡。" font=168</text>	<text>text="唐门秘制机关猪,会卖子弹会卖萌。" font=27</text>	1		0	26074			1.3	8354	0	80	-300	0	100	150	1.3			
33	旺财		5	3	3	4	2		ui\Image\Pets\kp_旺财.tga	<text>text="获取线索：未知" font=168</text>	<text>text="旺财旺财，汪汪叫的旺财。" font=27</text>	0		0	26555			1	272	0	80	-300	0	100	150	1			
34	喵喵	47	5	4	3	4	2	10;11;	ui\Image\Pets\kp_喵喵.tga	<text>text="获取线索：多种运营活动。" font=168</text>	<text>text="“喵……喵……我是喵喵叫的‘喵喵’。天大地大，喵喵陪伴主人满月后要去浪迹天涯！就是这样喵！”" font=163</text><text>text="\\\n【限时类跟宠】" font=18</text>	1		1	30209			0.3	3872	0	80	-300	0	100	150	0.3			
35	球球	52	6	4	3	4	2	8	ui\Image\Pets\kp_球球.tga	<text>text="获取线索：限明教弟子，明教总坛。" font=168</text>	<text>text="“当我团成一团的时候，你就知道我叫什么名字了……”" font=163</text>	1		0	30206			0.3	3871	0	80	-300	0	100	150	0.3			
36	花花	30	6	4	3	4	2	8	ui\Image\Pets\kp_花花.tga	<text>text="获取线索：限明教弟子，明教总坛。" font=168</text>	<text>text="“叮当叮当……小铃铛会干扰我抓老鼠的，喵”" font=163</text>	1		0	30207			0.3	3874	0	80	-300	0	100	150	0.3			
37	桃桃	56	6	4	3	4	2	8	ui\Image\Pets\kp_桃桃.tga	<text>text="获取线索：限明教弟子，明教总坛。" font=168</text>	<text>text="“太阳落山之后，就是桃桃的江湖，喵”" font=163</text>	1		0	30208			0.3	3873	0	80	-300	0	100	150	0.3			
38	测试22222		6	4	3	5	2	5		<text>text="获取线索：白龙过山，小诺报一饭之恩。" font=168</text>	<text>text="测试" font=18</text>	0		0	32483			1	6097	0	80	-300	0	100	150	1			
39	测试333333		6	4	3	5	2	5		<text>text="获取线索：红衣显露真凶相，少女安危寄善良" font=168</text>	<text>text="吃饭，睡觉，打PP" font=18</text>	0		0	32482			1	6099	0	80	-300	0	100	150	1			
40	测试1111111		5	3	1	4	1	5		<text>text="获取线索：桃花村外醉老翁，美酒忽然不见！" font=168</text>	<text>text="酒客\\\n\\\n\\\n" font=18</text>	0		0	32481			1	3560	0	80	-300	0	100	150	1			
41	小白	64	6	4	1	5	1	6	ui\Image\Pets\kp_小白.tga	<text>text="获取线索：积分回馈" font=168</text>	<text>text="主人，小青怎么不见了？\\\n" font=65</text><text>text="具有【行囊机关】，开启机关后可找其换购趣味道具。" font=18</text>	1		0	33212			1	4232	0	80	-300	0	100	150	1			
42	小青	70	6	4	1	5	1	6	ui\Image\Pets\kp_小青.tga	<text>text="获取线索：积分回馈" font=168</text>	<text>text="主人，小白跑哪里去了？\\\n" font=65</text><text>text="具有【行囊机关】，开启机关后可找其换购趣味道具。" font=18</text>	1		0	33213			1	4233	0	80	-300	0	100	150	1			
43	清清	51	5	4	1	4	1	9	ui\Image\Pets\kp_清清.tga	<text>text="获取线索：癸巳蛇年春节活动。" font=168</text>	<text>text="清清是一条漂亮的小青蛇。\\\n“渔夫的鱼篓丢了？……不是我拿的……你再追问我我就拿鱼篓砸你了！”" font=163</text>	1		0	33215			1	4233	0	80	-300	0	100	150	1			
44	泊泊	16	5	4	1	4	1	9	ui\Image\Pets\kp_泊泊.tga	<text>text="获取线索：癸巳蛇年春节活动。" font=168</text>	<text>text="泊泊是一条有气质的小白蛇。\\\n“我以前去过好多地方，比如说西湖…还有…西湖…”" font=163</text>	1		0	33214			1	4232	0	80	-300	0	100	150	1			
45	不二	17	8	5	3	5	2	6	ui\Image\Pets\kp_不二.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="谢云流早年间在苍山洱海三绝峰顶仅凭一招一刀流之“居合”式击败南诏猛将独孤横。此猴在树丛中暗自习得半招拔刀术，自此执树枝足以抗巨兽，众猴引以为王。而其性日益狷狂，终因挑战巨蟒重伤，幸遇松石老者搭救方免一死。因感松石老者恩德慈爱，痊愈后也不离去，终日追随。老者见此猴灵性非常，便赠其“卷中剑”、“静气袍”，赐名“不二”。\\\n后有诗号云：\\\n小猴无心觅剑宗，\\\n也执细桠逐长虹，\\\n生来若懂不二法，\\\n何须妄念藐天公。" font=27</text>	1		0	35794			1.5	4876	0	80	-300	0	100	150	1.5			
46	蟹将	72	5	3	1	3	1	5	ui\Image\Pets\kp_蟹将.tga	<text>text="获取线索：枫华沙场，潜伏的身影是谁？" font=168</text>	<text>text="蟹壳上刻着一个大大的“将”字\\\n胜不妄喜，败不惶馁，胸有激雷而面如平湖者，可拜上将军。" font=65</text>	1		0	35796			0.4	6137	0	80	-300	0	100	150	0.4			
47	蟹帅	75	6	4	1	3	1	5	ui\Image\Pets\kp_蟹帅.tga	<text>text="获取线索：潜伏的黑影，又有了新的委托。" font=168</text>	<text>text="蟹壳上刻着一个大大的“帅”字\\\n“儒表法里，道本兵用”，为帅之道也。" font=65</text>	1		0	35797			0.4	6140	0	80	-300	0	100	150	0.4			
48	小灰	67	5	3	2	3	3	5	ui\Image\Pets\kp_小灰.tga	<text>text="获取线索：长安战乱后，鹅少年寻鹅鹅不得。" font=168</text>	<text>text="一只摇摇摆摆的小灰鹅。\\\n既然我是一只小灰鹅，那么我就要做一只快乐的小灰鹅！" font=65</text>	1		0	35798			1	4912	0	80	-300	0	100	150	1			
49	小锦	68	5	3	3	4	2	5	ui\Image\Pets\kp_小锦.tga	<text>text="获取线索：皇架仓皇过处，宫中之物落民间。" font=168</text>	<text>text="毛茸茸的一只锦毛小兔。\\\n“长这么大，还是第一次离开望咸宫！原来墙外边的草，也是可以吃的……”" font=65</text>	1		0	35799			1.1	3559	0	80	-300	0	100	150	1.1			
50	阿里	12	5	3	3	4	2	5	ui\Image\Pets\kp_阿里.tga	<text>text="获取线索：逃兵难，东都人心惶惶！" font=168</text>	<text>text="一只不能长大的小马驹。\\\n“如果我能长大，我就能载着主人在这个江湖上奔跑了……我那个时候能跑多快呢？”" font=65</text>	1		0	35801			0.48	1898	0	80	-300	0	100	150	0.48			
51	阿飞	11	6	4	3	4	2	5	ui\Image\Pets\kp_大飞.tga	<text>text="获取线索：血染天策，一步不退！" font=168</text>	<text>text="啊！阿飞！" font=65</text>	1		0	35802			1	4937	0	80	-300	0	100	150	1			
52	飞鸿	25	6	4	2	4	3	8	ui\Image\Pets\kp_飞鸿.tga	<text>text="获取线索：限丐帮弟子，君山总舵。" font=168</text>	<text>text="一只红翼的隼。" font=65</text><text>text="\\\n" font=18</text><text>text="无论你的旅行走到哪里，不管是江南还是大漠，抬头望去，飞鸿一定在云端盘旋。\\\n“一叶飞鸿，千里随行。”" font=65</text>	1		0	35803			3	4911	0	80	-600	0	100	-150	3			
53	白凤	14	6	4	2	4	3	8	ui\Image\Pets\kp_白凤.tga	<text>text="获取线索：限丐帮弟子，君山总舵。" font=168</text>	<text>text="一只白翼的隼。" font=65</text><text>text="\\\n" font=18</text><text>text="雪白的羽翼是白凤的标志，月光下白凤划过夜空的身影，是一种让人无法忘却的华丽。\\\n“素羽皓月，凤翼飞梭。”" font=65</text>	1		0	35804			2.7	4913	0	80	-600	0	100	-150	2.7			
54	紫翎	84	6	4	2	4	3	8	ui\Image\Pets\kp_紫翎.tga	<text>text="获取线索：限丐帮弟子，君山总舵。" font=168</text>	<text>text="一只紫翼的隼。" font=65</text><text>text="\\\n" font=18</text><text>text="迅捷的速度，近乎不能被人察觉……唯有那一抹紫翼的模糊身影，让你知道是你的隼从天空飞过。\\\n“无影无踪，迅极紫翎。”" font=65</text>	1		0	35805			2.7	4914	0	80	-600	0	100	-150	2.7			
55	赤箭	19	6	4	2	4	3	8	ui\Image\Pets\kp_赤箭.tga	<text>text="获取线索：限丐帮弟子，君山总舵。" font=168</text>	<text>text="一只红翼的隼。" font=65</text><text>text="\\\n" font=18</text><text>text="掠过天空的赤色飞翼，如箭如电！\\\n“赤羽掠空，迅箭无影！”" font=65</text>	1		0	35807			3	4915	0	80	-600	0	100	-150	3			
56	栖夜	49	6	4	2	4	3	8	ui\Image\Pets\kp_栖夜.tga	<text>text="获取线索：限丐帮弟子，君山总舵。" font=168</text>	<text>text="一只黑翼的隼。\\\n黑色的翅膀展开的时候，栖夜拥有着撕破天空的力量。\\\n“墨翼惊空，栖夜迅影。”" font=65</text>	1		0	35806			3	4917	0	80	-600	0	100	-150	3			
57	哈皮	27	6	4	3	4	2	5	ui\Image\Pets\kp_哈皮.tga	<text>text="获取线索：天府之地，小狗趴在草窝里。" font=168</text>	<text>text="一只爱犯迷糊的巴哥犬。\\\n巴哥犬是一种可爱的小犬。原产东北地区，当地人也称其为哈叭狗。\\\n“如果哈皮犯迷糊了，也是不可以打它的哦。”" font=65</text>	1		0	38415			1	4986	0	80	-300	0	100	150	1		1	二级驭兽宠物
58	小果	65	5	3	3	3	2	5	ui\Image\Pets\kp_小果.tga	<text>text="获取线索：少室山下，乞丐葫芦。" font=168</text>	<text>text="一只小刺猬，背上长满了尖尖的刺。\\\n“啊呀，小果！你不要过来蹭我！”" font=65</text>	1		0	38416			1	4987	0	80	-300	0	100	150	1		1	二级驭兽宠物
59	蟹仔	78	4	3	1	2	1	5	ui\Image\Pets\kp_蟹仔.tga	<text>text="获取线索：从有寄居蟹的地方来。" font=168</text>	<text>text="寄居蟹会从沙滩上找各种各样的贝壳，甚至是瓶子，罐子背在背上，作为自己的屋子。\\\n小蟹仔背在背上的，是它在上一次郊游时候找到的空贝壳。\\\n“借屋借屋，从不交租。”" font=65</text>	1		0	38417			1	4988	0	80	-300	0	100	150	1			
60	稻稻	23	2	2	3	1	2	5	ui\Image\Pets\kp_稻稻.tga	<text>text="获取线索：中原各地，果子狸并不罕见。" font=168</text>	<text>text="有一段时间，稻香村的果子狸很可怜，因为过往的侠士总是会抓住它取走一杯血作调查。\\\n现在果子狸从稻香村溜了出来，要和大家一起闯荡江湖。\\\n“希望这一次，会被好好对待了吧？”" font=65</text>	1		0	38418			1	4989	0	80	-300	0	100	150	1			
61	机关赤兔	32	6	4	4	4	4	9	ui\Image\Pets\kp_机关赤兔.tga	<text>text="获取线索：午马年春节活动。" font=168</text>	<text>text="一只机关木马，由赤榴木制成，因此命名为赤兔。\\\n“新春大吉，马年吉祥”" font=65</text>	1		0	39088			1	5361	0	80	-300	0	100	150	1			
62	机关玉狮子	33	6	4	4	5	4	6	ui\Image\Pets\kp_机关玉狮子.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="一只机关木马，用素橡木所制，其木色白如玉，因此此马被命名为玉狮子。\\\n“新春大吉，马年吉祥！”\\\n" font=65</text><text>text="具有【行囊机关】，开启机关后可找其换购趣味道具。" font=18</text>	1		0	39089			1	5362	0	80	-300	0	100	150	1			
63	精制·年	41	6	4	4	4	4	9;10	ui\Image\Pets\kp_精制年.tga	<text>text="获取线索：过年时候，才有年兽。" font=168</text>	<text>text="欢欢喜喜闹大年，不过我不是大年兽，我是人畜无害的小年兽！" font=65</text><text>text="\\\n【限时类跟宠】" font=18</text>	1		1	39124			0.08	5366	0	80	-300	0	100	150	0.08			
64	一杠	80	6	4	3	5	2	5	ui\Image\Pets\kp_一杠.tga	<text>text="获取线索：万花谷偷书，胆子不小。" font=168</text>	<text>text="有人见其机灵，笑问其名。捉一木棍，在面前沙地上长长画了一道杠。故此人们叫它一杠。\\\n最爱吃面，尤其是一种北方产的脆面。谁如果在它附近吃面被它听到了，那么它死活都要去讨一口，不然绝不离开。" font=65</text>	1		0	39416			1.5	5385	0	80	-300	0	100	150	1.5			
65	小花	66	5	3	3	4	2	5	ui\Image\Pets\kp_小花.tga	<text>text="获取线索：东都树下，丢了泥娃娃。" font=168</text>	<text>text="每次见到这只小刺猬，它头上都顶着一簇鲜花。次次都这样，不知道它从哪里采来的。" font=65</text>	1		0	39418			1	6098	0	80	-300	0	100	150	1		1	三级驭兽宠物
66	小极		6	4	2	4	3		ui\Image\Pets\kp_小极.tga		<text>text="沈剑心大侠遇海难漂流数月，在极南之地的冰川浮岛上发现的奇特异鸟。以其生活在极南之地的冰川附近，因此起名 小极。平时它待在玄冰架上，以架上的深潭寒冰裹身降温。偶尔会出来走走跑跑，活动身体。" font=65</text><text>text="\\\n" font=18</text>	0		0	39499			1	5391	0	80	-300	0	100	150	1			
67	南南	48	6	4	2	5	3	6	ui\Image\Pets\kp_南南.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="和沈剑心一起漂流来到中原。是小异鸟的父亲，一直尽力照顾小鸟们。沈剑心北行前往寻找北冥冰珠的时候，南南不愿留下，背负鱼骨为刀随行。最终在北方冰海之下，探寻到冰珠踪迹，协助沈剑心潜入冰海深处历尽艰辛将其取回。\\\n“这里果然和以前的星星不一样啊……不过只要和小极在一起，就是最美好的家。”" font=65</text>	1		0	39546			1.5	5392	0	80	-300	0	100	150	1.5			
68	糖豆	55	6	4	3	4	2	11	ui\Image\Pets\kp_糖豆.tga	<text>text="获取线索：官网”英雄聚义“运营活动。" font=168</text>	<text>text="糖豆最喜欢吃糖豆，糖豆一直觉得糖豆最好吃了。\\\n糖豆和不二猴是很好的朋友，它们一起历经八十一难从西山糖豆店“取”走了很多糖豆，因此糖豆可以很幸福地吃很多糖豆了。\\\n“报案吶！店里的糖豆全不见了！”" font=65</text>	1		0	39547			1.2	5390	0	80	-300	0	100	150	1.2			
69	极极	40	6	4	2	5	3	6	ui\Image\Pets\kp_极极.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="沈剑心大侠遇海难漂流数月，在极南之地的冰川浮岛上发现的奇特异鸟。因为其不适应温暖环境，需要时刻以深潭寒冰裹身降温。后来沈大侠前往北冥之地，带回可以维持寒气的北冥冰珠，才让极极可以安然待在中土。\\\n“爸比~这里的小星星，和以前看到的不一样啊。”" font=65</text>	1		0	39551			1	5391	0	80	-300	0	100	150	1			
70	蟹相	76	4	3	1	3	1	5	ui\Image\Pets\kp_蟹相.tga	<text>text="获取线索：红叶飘落处，棋谱何人遗落？" font=168</text>	<text>text="蟹壳上刻着一个大大的“相”字\\\n北魏《元英墓志》：“出将入相，朝望攸居。”" font=65</text>	1		0	39558			0.4	6141	0	80	-300	0	100	150	0.4			
71	蟹象	77	4	3	1	3	1	5	ui\Image\Pets\kp_蟹象.tga	<text>text="获取线索：苍山小径边，可见过一本棋谱？" font=168</text>	<text>text="蟹壳上刻着一个大大的“象”字\\\n北魏《元英墓志》：“出将入相，朝望攸居。”" font=65</text>	1		0	39557			0.4	6142	0	80	-300	0	100	150	0.4			
72	大哈	20	3	2	1	1	1	5	ui\Image\Pets\kp_大哈.tga	<text>text="获取线索：幼小的青蛙？不，我是蛤蟆。" font=168</text>	<text>text="咕呱~咕呱~我是一只灰皮癞蛤蟆，不要嫌我丑，不要嫌我吵，我只是会牢牢跟着自己的主人~咕呱~" font=65</text>	1		0	39559			0.22	6100	0	80	-300	0	100	150	0.22			
73	如意	53	6	4	3	4	2	6	ui\Image\Pets\kp_如意.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="一只幼小的白狮子。\\\n汉张骞通西域，而传狮兽至中土。而其中白色狮子最为罕见，人以其为祥瑞，逢之有如意顺福之意。" font=65</text>	1		0	39878			0.35	5988	0	80	-300	0	100	150	0.35		1	五级驭兽宠物
74	绿豆	46	6	4	3	4	2	6	ui\Image\Pets\kp_绿豆.tga	<text>text="获取线索：积分回馈。" font=168</text>	<text>text="“清暑开胃，老少皆宜，包治百病！绿豆很厉害的！”\\\n“怎么用？生吞？”\\\n“煮汤。”\\\n“哦。”\\\n“……等等，不是我！不是说我！是豆子啊，豆子！”" font=65</text>	1		0	40088			1.2	5389	0	80	-300	0	100	150	1.2			
75	咕咕	26	6	4	2	5	3	11	ui\Image\Pets\kp_咕咕.tga	<text>text="获取线索：官网2014年6月9日-7月21日充值活动。" font=168</text>	<text>text="分隔天涯海角天各一方，这是江湖遥远的距离。\\\n但有我在，距离就不能阻碍你的联络。\\\n飞越千山万水，划过天际云间，\\\n传递的是喜怒哀乐，见证的是悲欢离合。\\\n我是负载期待的使者。\\\n飞来只为了你的期待，飞去为传递你的期待。\\\n我是一只信鸽，\\\n我叫咕咕。\\\n咕~咕~咕咕咕~咕咕~" font=27</text><text>text="\\\n此信鸽宠物可【飞鸽传书】传递信件包裹。" font=18</text>	1		0	40179			2	6072	0	180	-500	0	350	300	1	-30		
76	蟹炮	73	4	3	1	3	1	5	ui\Image\Pets\kp_蟹炮.tga	<text>text="获取线索：蜀军大营外，炮声震耳欲聋。" font=168</text>	<text>text="蟹壳上刻着一个大大的“炮”字\\\n“霹雳如火，性急如炮。" font=65</text>	1		0	40402			0.4	6139	0	80	-300	0	100	150	0.4			
77	蟹砲	74	4	3	1	3	1	5	ui\Image\Pets\kp_蟹砲.tga	<text>text="获取线索：伏龙融天之地，谁遗一书？" font=168</text>	<text>text="蟹壳上刻着一个大大的“砲”字\\\n“马走日字象走田，车走直线砲翻山。" font=65</text>	1		0	40403			0.4	6138	0	80	-300	0	100	150	0.4			
78	小诺	69	6	4	3	5	2	5	ui\Image\Pets\kp_小诺.tga	<text>text="获取线索：白龙过山，小诺报一饭之恩。" font=168</text>	<text>text="小诺是一只勇敢的小豹子，而豹子都跑得很快。\\\n从扬州到长安，千里路程，小诺只要一息就能到达，厉害吧！\\\n“小诺，快给我从地图上下来！”" font=65</text>	1		0	40353			0.35	6097	0	80	-300	0	100	150	0.35		1	四级驭兽宠物
