dwID	nPriority	szName	UserData	szDes	dwFrame	szLinkFrame	nPreTime	szStartTime	szEndTime	nResTime	szLinkIni	szLinkWidget	szActivityExplain	Show
10	96	12.12年终盛典		DoubleTwelve	5	ui/Image/OperationActivity/OperationAcitivty11.UITex	1481180400	1481500800;1481180400	1481587200;1483599600	1481612400	ui/Config/Default/Double12Day.ini	Wnd_Double12Day	<text>text="1、300%积分回馈！" font=65</text><text>text="\\\n       活动时间： 2016年12月12日0点-24点\\\n       史上最高积分返还，全场3倍24小时，一次赚足畅爽一年！\\\n\\\n       注：以下充值消耗方式才可获得积分回馈：\\\n       " font=18</text><text>text="充值时间：" font=68</text><text>text="直接充值游戏时间、游戏币购买通宝时间、通宝兑换时间\\\n       " font=18</text><text>text="消耗通宝：" font=68</text><text>text="通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n       " font=18</text><text>text="实物购买：" font=68</text><text>text="商城购买实体周边\\\n\\\n\\\n" font=18</text><text>text="2、百款精美发型  全天9折酬宾！" font=65</text><text>text="\\\n       活动时间： 2016年12月12日0点-24点\\\n       包括金发、白发在内的百多款精美发型优惠酬宾，12月12日年终盛典，全天九折！\\\n\\\n" font=18</text><text>text="3、捏脸妆容全场5折！" font=65</text><text>text="\\\n       活动时间： 2016年12月12日0点-24点\\\n       各种易容脸型、自定义五官、捏脸贴花、脸部装饰物，全场5折，仅限一天！\\\n\\\n" font=18</text><text>text="4、大图谱包限时上架！ " font=65</text><text>text="\\\n       活动时间： " font=18</text><text>text="2016年12月8日维护后-2017年1月5日" font=65</text><text>text="维护前\\\n       全新大图谱包，随机开出兵甲图谱，快速激活各部位外观收集！\\\n\\\n" font=18</text><text>text="5、3000万回馈到账 消耗领好礼" font=65</text><text>text="\\\n       制作人累计壕送的30亿通宝（价值3000万人民币）同步到账！为让侠士在消耗这些通宝时多一份福利，充值消耗达一定金额即可免费领取精美腰部背部挂件以及鹿拉雪橇坐骑！详见运营活动“充值送豪礼·12月”。\\\n" font=18</text>	
11	500	好友招募		FriendsRecruit	4	ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800			1861945200	ui/Config/Default/FriendsRecruit.ini	Wnd_FriendsRecruit	<text>text="\\\n" font=18</text><text>text="活动简介：" font=164</text><text>text="\\\n\\\n        招募新老玩家一同体验3D武侠扛鼎之作《剑网3》，赢取虚位交椅等海量精美奖品！\\\n        活动永久开启，无需抢码，流程更简单，领奖更方便，点击即可发送邀请，你还在等什么！\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n\\\n        奖励以积分形式兑换，当侠士成功招募好友达成绑定关系后，被招募好友在全区全服充值消耗（代付除外），招募人即可获得招募积分（全区全服共用）。\\\n        正常情况下被招募账号每花费1元，招募账号可获得1招募积分，部分活动招募积分会有更高返还比。\\\n        同时，被招募账号角色未满级时，还将获得强力辅助效果，自身杀怪所得阅历、声望、修为获取提高10%！ \\\n\\\n" font=18</text><text>text="活动流程：" font=164</text><text>text="\\\n\\\n一、发起招募：\\\n        您可通过以下3种方式招募好友：\\\n        1、在游戏内运营活动界面输入好友邮箱地址点击招募，我们会替您给好友邮箱发送一封精美的招募邮件；\\\n        2、直接复制运营活动界面中您的招募链接，通过QQ、YY、微信、微博等其他渠道分享给好友；\\\n        3、在好友界面（O）通过可招募标记，点击招募，我们会替您给好友邮箱发送一封精美的邀请邮件。\\\n\\\n二、成功招募：\\\n        好友打开您的招募链接后，可注册一个新的剑网3账号，也可登录一个30天（含）以上未登录剑网3游戏的账号，即可与您成功绑定招募关系！\\\n        该绑定关系持续90天，90天内被招募账号在全区全服充值消耗（代付除外），招募账号可获得招募积分。\\\n        您最多同时与10名好友保持招募关系，被您招募的好友也可以通过本活动招募绑定他自己的好友。\\\n\\\n三、解除绑定：\\\n        成功绑定招募关系后，招募关系保持90天，90天到期，则自动断开招募关系，此后被招募账号充值消耗，招募账号将不再获得招募积分。\\\n\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n\\\n        被招募账号以下充值消耗途径有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间、通宝兑换游戏时间。\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名。\\\n        实物购买：商城购买实体周边。\\\n\\\n        注：他人代付所消耗通宝不计算在本活动内。\\\n\\\n\\\n" font=18</text>	
12	96	充时返通宝		RechargeRebate	6	ui/Image/OperationActivity/OperationAcitivty11.UITex	1484809200	1484809200	1487574000	1488178800	ui/Config/Default/RechargeRebate.ini	Wnd_RechargeRebate	<text>text="活动简介：\\\n\\\n        100%诚意回馈！充值游戏时间，每月返还通宝！\\\n        1月19日7点-2月20日7点，大区内充值游戏时间金额满足条件，即可在接下来12个月每月获得返还通宝，最高累计返还72000通宝，返还比例高达100%！\\\n\\\n充值有效时间：\\\n        " font=18</text><text>text="2017年1月19日7点-2017年2月20日7点" font=71</text><text>text="\\\n\\\n返还通宝说明：\\\n\\\n        活动期间，大区内累计充值游戏时间金额达60、180、360、720元时，即可根据档次获得返还通宝。最高充值720元游戏时间，可累计获得72000通宝，返还比例高达100%！\\\n        自3月6日起，每月6日7点返还通宝到充值大区，持续12个月（即最后一次为2018年2月6日7点）。\\\n        60≤充值时间＜180   累计返还6000通宝  每月返还500通宝持续12个月\\\n        180≤充值时间＜360  累计返还18000通宝  每月返还1500通宝持续12个月\\\n        360≤充值时间＜720  累计返还36000通宝  每月返还3000通宝持续12个月\\\n        充值时间≥720       累计返还72000通宝  每月返还6000通宝持续12个月\\\n\\\n\\\n充值说明：\\\n\\\n        本活动仅计算充值游戏时间金额（按大区计算），包括以下途径：\\\n        1、各渠道直接充值游戏时间；\\\n        2、游戏内通宝兑换游戏时间；\\\n        3、游戏内金币购买游戏时间；\\\n\\\n" font=18</text>	
13	350	台湾版充值送好礼		TaiwanCZ	14	ui/Image/UICommon/BigBtn.UITex	1418799600	1425106800	1426489200	1427094000	ui/Config/Default/ChargeGiftTaiWan.ini	Wnd_ChargeGiftTaiWan	<text>text="活动简介：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        制作人壕送2000万人民币为广大侠士买单的20亿通宝即将清点完毕，12月18日同步到账！\\\n        为让侠士在消耗这些通宝时多一份福利，2014年12月18日7点-2015年1月19日7点，充值消耗达一定额度还将获得精美腰部、背部挂件，以及水陆双栖还可双人同骑的趣味乌龟坐骑！第一周还有150%积分回馈！\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="充值有效时间：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        " font=18</text><text>text="2014年11月24日7点-2015年1月19日7点\\\n" font=166</text><text>text="\\\n" font=196</text><text>text="150%积分时间：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        2014年12月18日7点-2014年12月25日7点\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        同一账号同大区以下充值消耗方式金额有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="活动奖励：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        60≤充值消耗＜120   可领取  腰部挂件【应有骨】或【喙朝天】\\\n        120≤充值消耗＜180  可领取  背部挂件【惊声尖叫】或【黑羽千华】\\\n        180≤充值消耗＜240  可领取  腰部挂件【应有骨】或【喙朝天】\\\n        240≤充值消耗＜300  可领取  背部挂件【惊声尖叫】或【黑羽千华】\\\n        充值消耗≥300           可领取  水陆双栖双人同骑坐骑【百年苍郁】\\\n        以上充值奖励领取时为不绑定限时道具礼盒，可交易，打开礼盒后获得真正的充值奖励（拾取绑定的永久挂件/跟宠/坐骑等）。道具礼盒消失时间为每次活动结束后2周，充值消耗达到对应额度方可打开道具礼盒。\\\n\\\n        注：领奖界面将于活动结束后一周消失，请及时领取奖励。\\\n" font=18</text>	
14	600	登录送神雕坐骑		SixYearsEaglesReward	7	ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800	1251442800	1451545200	1451545200	ui/Config/Default/EaglePresent.ini	Wnd_EaglePresent	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        六年充值时间，累计回馈！\\\n        自剑网3运营起，至2015年12月31日7点，六年多时间里侠士在剑网3全区全服所有充值时间均会累积计算，侠士根据自身充值时间金额可免费领取坐骑。\\\n\\\n" font=18</text><text>text="充值有效时间：" font=164</text><text>text="\\\n\\\n        " font=18</text><text>text="2009年8月28日-2015年12月31日7点" font=33</text><text>text="\\\n" font=166</text><text>text="\\\n" font=18</text><text>text="充值时间说明：" font=164</text><text>text="\\\n\\\n        同一账号全区全服以下充值消耗方式金额有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间、通宝转换时间\\\n        \\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n\\\n       " font=18</text><text>text=" 六年充值时间金额≥120元 ，达到20级的所有角色" font=33</text><text>text="都可领取【六年之约】奖励道具，完成对应任务剧情线即可获得六周年特殊坐骑。\\\n        \\\n        注：领奖界面将于2015年12月31日维护后消失，请及时领取奖励。\\\n" font=18</text>	
15	395	充消送优惠券		SendCards	8	ui/Image/OperationActivity/OperationAcitivty11.UITex	1472108400	1472108400	1472713200	1472713200	ui/Config/Default/SendCards.ini	Wnd_SendCards	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        充值消耗添福利  七九折扣乐不疲！\\\n        活动期间全区全服充值时间、消耗通宝金额累积计算，每满200元即可获得一张7.9折折扣券，在购买非限量、非限时商品时可享受7.9折超级优惠！无获取数量限制！\\\n\\\n\\\n" font=18</text><text>text="充值有效时间：" font=164</text><text>text="\\\n\\\n        " font=18</text><text>text="2016年8月25日7点-2016年9月1日7点" font=166</text><text>text="\\\n" font=18</text><text>text="\\\n" font=166</text><text>text="友情提示：" font=164</text><text>text="\\\n\\\n侠士满足折扣券资格后，可在活动期间登录任意角色从运营活动界面领取，领取后7.9折折扣券有效时间为72小时，请注意及时使用。活动界面将于9月1日7点消失。\\\n7.9折折扣券不能和新角色6.8折特权叠加使用。\\\n\\\n\\\n" font=18</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n\\\n        同一账号全区全服以下充值消耗方式金额有效，充值消耗后无需小退游戏！\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n" font=18</text>	
16	30	每日签到		SignIn	9	ui/Image/OperationActivity/OperationAcitivty11.UITex	1251442800			1882594800	ui/Config/Default/SignIn.ini	Wnd_SignIn	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        所有玩家福利，每日登陆即可翻牌领奖！\\\n        \\\n" font=18</text><text>text="奖励说明：" font=164</text><text>text="\\\n\\\n        奖励道具丰富多样，均为侠士行走江湖可用之物。运气好的侠士还可以获得非常珍惜的物品。\\\n        连续登陆5次，获得珍惜物品的概率提高。" font=18</text>	
18	600	新角色养成		FightForAchievements	11	ui/Image/OperationActivity/OperationAcitivty11.UITex	1443078000			1445842800	ui/Config/Default/FightForAchievements.ini	Wnd_FightForAchievements	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n       8月27日维护后-剑胆琴心资料片维护前，所有新建角色，隐元秘鉴成就点数达到15000，并且完成指定成就，即可根据名次获得华美披风【定风波·烽火连城】、经典红发【红发·彤霞】、精美外装【贺华岁·情阅】、功能背挂【天工匣·祥腾】奖励！\\\n\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="活动要求：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        1、必须是8月27日维护后-剑胆琴心资料片维护前新创建的角色；\\\n        2、角色隐元秘鉴成就点数达到15000，并且完成【小玩意！五十】成就以及【侠义！大唐】系列成就。" font=18</text><text>text="\\\n" font=166</text><text>text="\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n\\\n第1档奖励：\\\n        电信全区1~50名、网通全区1~10名达到要求的角色，可获得华美披风【定风波·烽火连城】、经典红发【红发·彤霞】、精美外装【贺华岁·情阅】三选一道具；\\\n\\\n第2档奖励：\\\n        电信全区51~300名、网通全区11~60名达到要求的角色，可获得经典红发【红发·彤霞】、精美外装【贺华岁·情阅】二选一道具；\\\n\\\n第3档奖励：\\\n        电信全区301~1000名、网通全区61~200名达到要求的角色，可获得精美外装【贺华岁·情阅】；\\\n\\\n第4档奖励：\\\n        电信全区1000名以后、网通全区200以后名达到要求的角色，可获得趣味功能背部挂件【天工匣·祥腾】；\\\n\\\n注：以上奖励均为拾取绑定；资料片开启后奖励将通过邮件发送。" font=18</text>	
19	405	全民冲级赛		95LevelUp	12	ui/Image/OperationActivity/OperationAcitivty11.UITex	1445842800	1445842800	1448262000	1448866800	ui/Config/Default/LevelUpMatch.ini	Wnd_LevelUpMatch	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n       2015年10月26日-2015年11月23日期间，各服各门派前100名升到95级的玩家可获得挂件【雅瑟雄韬】奖励，前5名更有五甲称号！\\\n\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="活动" font=164</text><text>text="时间" font=32</text><text>text="：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="       " font=18</text><text>text=" 2015年10月26日-2015年11月23日\\\n" font=33</text><text>text="\\\n\\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n  \\\n       背部挂件" font=18</text><text>text="【雅瑟雄韬】\\\n" font=33</text><text>text="\\\n\\\n注：领奖界面将于2015年11月30日消失，请及时领取奖励。" font=18</text>	
20	399	双11·充值福利		Pay3	13	ui/Image/OperationActivity/OperationAcitivty11.UITex	1447052400	1447200000	1449471600	1450076400	\ui\Config\Default\ChargGift6.ini	Wnd_ChargGift6	<text>text="活动简介：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="       充值送好礼，精美挂件、双人马车坐骑免费拿！活动期间全区全服累计充值时间、消耗通宝金额总和达到相应额度，即可在任意区服免费领取精美腰部挂件【卷云不散】、【轻烟绕梁】，背部挂件【情玉流磐】、【南瑞自来】，以及双人马车坐骑【红匣舆】！“双11·大惠战”再增特效背挂【白鹿游仙】奖励！\\\n       充值游戏时间、消耗通宝同样有效，活动第1天更有300%积分回馈（回馈积分仍以大区计算）！" font=18</text><text>text="\\\n" font=227</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="充值有效时间：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="      " font=18</text><text>text="  2015年10月19日7点-2015年12月7日7点\\\n" font=166</text><text>text="\\\n" font=196</text><text>text="300%积分时间：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        2015年11月11日0点-2015年11月12日0点\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="充值消耗说明：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="        同一账号全区全服以下充值消耗方式金额有效，充值消耗后无需小退游戏！\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间\\\n        消耗通宝：通宝购买成衣、易容、挂件、坐骑、宠物等外观，武器、外装收集，角色改名、角色分离、角色转服、帮会改名、他人代付（付费方）\\\n\\\n活动奖励：\\\n\\\n        60≤充值消耗＜120   可领取  腰部挂件【卷云不散】或【轻烟绕梁】\\\n        120" font=18</text><text>text="≤" font=227</text><text>text="充值消耗＜180  可领取  背部挂件【情玉流磐】或【南瑞自来】\\\n        180≤充值消耗＜240  可领取  腰部挂件【卷云不散】或【轻烟绕梁】\\\n        240≤充值消耗＜300  可领取  背部挂件【情玉流磐】或【南瑞自来】\\\n        300≤充值消耗＜360  可领取  双人马车坐骑【红匣舆】\\\n        充值消耗≥360           可领取  特效背部挂件【白鹿游仙】\\\n        以上充值奖励领取时为不绑定限时道具礼盒，可交易，打开礼盒后获得真正的充值奖励（拾取绑定的永久挂件/跟宠/坐骑等）。道具礼盒消失时间为每次活动结束后2周，充值消耗达到对应额度方可打开道具礼盒。\\\n\\\n        注：领奖界面将于活动结束后一周消失，请及时领取奖励。\\\n" font=18</text>	
21	101	遗失的美好		YSDMHReward	15	ui/Image/OperationActivity/OperationAcitivty11.UITex	1461826800	1461826800	1463641200	1464246000	ui/Config/Default/EverGift.ini	Wnd_EverGift	<text>text="活动简介：" font=164</text><text>text="\\\n\\\n        充值时间，累计回馈，重温遗失的美好！\\\n        活动时间里侠士在剑网3全区全服所有充值时间均会累积计算，侠士根据自身充值时间金额可免费领取【西山秘宝·遗失的美好】。\\\n\\\n" font=18</text><text>text="充值有效时间：" font=164</text><text>text="\\\n\\\n        " font=18</text><text>text="2016年4月28日-2015年5月19日7点" font=33</text><text>text="\\\n" font=166</text><text>text="\\\n" font=18</text><text>text="充值时间说明：" font=164</text><text>text="\\\n\\\n        同一账号全区全服以下充值消耗方式金额有效：\\\n        充值时间：直接充值游戏时间、游戏币购买通宝时间、通宝转换时间\\\n        \\\n" font=18</text><text>text="活动奖励：" font=164</text><text>text="\\\n\\\n       " font=18</text><text>text=" 4月28日7:00-5月19日7:00期间时间金额≥1８0元 ，" font=33</text><text>text="都可领取【西山秘宝·遗失的美好】奖励道具。\\\n        \\\n        注：领奖界面将于201６年５月２６日维护后消失，请及时领取奖励。\\\n\\\n        【西山秘宝?遗失的美好】可选道具：\\\n        宠物：吉祥虎、兔祥祥?白、瑞兔阿甘/祥兔阿甘、比翼、阿宝\\\n        背部挂件：隐元秘宝·阮溪琴吟、剑归、鳍趣、小悟空、二师兄\\\n        腰部挂件：隐元秘宝·风骨霸刀、六阳葫芦、暖羽、团圆、斩思\\\n        面部挂件：如意帘\\\n        坐骑：汗血宝马、小毛驴、太白仙鹿、\\\n        马饰：赤金挂饰、厢妆挂饰\\\n        马具3件套：隐元秘密?战魂马具（头饰、鞍饰、足饰）\\\n" font=227</text>	
22	399	鹤羽诉情	2	PreOrderBuy	15	ui/Image/OperationActivity/OperationAcitivty11.UITex	1495234800	1495234800	1496444400	1496444400	ui/Config/Default/OperatPreOrder.ini	Wnd_PreOrder	<text>text="活动简介：" font=164</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="       通过收集寰灵青羽可获得购买鹤影天青礼盒资格。" font=18</text><text>text="\\\n" font=227</text><text>text="\\\n" font=18</text><text>text="\\\n" font=227</text><text>text="     " font=18</text><text>text="\\\n" font=196</text>	1
33		实名认证					1495436400	1495436400	1497855600	1497855600				0

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
