PQID	MapID	WatchNPC	MiddleMapType	Reward	QuestList	MinShowLevel	JoinMethod	ImageFile	nFrame	MainTitle	MainText	MainIcon	SubTitle	SubText	Tip	ValueText1	ValueType1	ValueColour1	Icon1	ValueMax1	ValueText2	ValueType2	ValueColour2	Icon2	ValueMax2	ValueText3	ValueType3	ValueColour3	Icon3	ValueMax3	ValueText4	ValueType4	ValueColour4	Icon4	ValueMax4	ValueText5	ValueType5	ValueColour5	Icon5	ValueMax5	ValueText6	ValueType6	ValueColour6	Icon6	ValueMax6
14	194	37886	129			90	交材料任务	ui/Image/UICommon/PqUI4.UITex	2	朝曦门		3	备战待敌·朝曦门	为抵挡狼牙军队做准备	坚守城池的同时，我们需利用契机尽快完善防御！请找朝曦门瓮城上王伦旁边的后勤官欧阳建接取任务。	重建进度	2	1	1	2000																									
15	194	37887	130			90	击败武啸威，击杀占据贮木场的武家家仆和狼牙军	ui/Image/UICommon/PqUI4.UITex	3	溜柁贮木场		4	援助贮木场	帮助门派弟子夺回贮木场	贮木场现又被武啸威夺了回去，狼牙兵已将此地占领。请即刻援助贮木场，与苍云弟子、七秀弟子一同，将狼牙兵赶出贮木场！	击败武啸威	3	1	10	100	击杀武家家仆和狼牙军	2	1	17	500	保护援助的门派弟子	2	2	1	50															
16	194	37888	131			90	击败白璃宫、默尔海，击杀狼牙运木车	ui/Image/UICommon/PqUI4.UITex	3	溜柁贮木场		4	抢夺木材	抢夺运往狼牙军营的木材	“M”键可查看狼牙运木车车队的位置。狼牙兵搜集木材运往高秀岩营寨，请侠士速助我们前往夺回木材，切不可让如此重要物资落入狼牙之手！	击败白璃宫	3	1	10	100	击败默尔海	3	1	10	100	击杀狼牙运木车	3	1	15	100	阻止运输队到达营寨	2	2	13	1	剩余时间：	4	2							
17	194	37889	132			90	击败进攻的默尔海、白璃宫，击杀进攻的狼牙军	ui/Image/UICommon/PqUI4.UITex	3	溜柁贮木场		1	守卫贮木场	阻止狼牙军夺取贮木场	贮木场现已被我方夺得，武啸威与狼牙兵随时会对贮木场发起进攻，我们必须要坚守住！	阻挡敌军	2	1	1	500	保护门派弟子	2	2	1	100																				
18	194	37890	133			90	击杀阻挡的狼牙军	ui/Image/UICommon/PqUI4.UITex	3	溜柁贮木场		4	运送木料	保护唐军将木料运送至西城	木料是战争的重要物资，我们需护卫七秀和苍云弟子将这一批木料安全送达怀德门！	保护唐军运木车	3	2	15	100	护送运木车至西城	2	1	1	1																				
19	194	37891	134			90	击杀占据矿场的狼牙军	ui/Image/UICommon/PqUI4.UITex	8	东山矿场		2	突袭矿场	帮助门派弟子夺回矿场	狼牙兵虽嚣张狂妄，但有叶三庄主带着藏剑弟子前来相助，我们又多了许多胜算。请侠士即刻协助我们突袭矿场，将狼牙兵赶出矿场！	击杀狼牙兵	2	1	17	500	击杀收集煤矿的狼牙兵	2	1	17	6	保护进攻的门派弟子	2	2	1	100															
20	194	37892	135			90	击败进攻的花拔秃，击杀进攻的狼牙军	ui/Image/UICommon/PqUI4.UITex	8	东山矿场		1	守卫矿场	阻止狼牙军夺取矿场	矿场现已被我方夺回，狼牙兵随时会对矿场发起进攻，我们必须要坚守住！	阻挡敌军	2	1	17	500	保护门派弟子	2	2	1	100																				
21	194	37893	136			90	击败花拔秃，击杀狼牙运煤车	ui/Image/UICommon/PqUI4.UITex	8	东山矿场		4	抢夺矿石	抢夺运往狼牙军营的矿石	“M”键可查看狼牙运煤车车队的位置。狼牙兵搜集煤矿正运往牛廷玠营寨，请侠士速助我们前往夺回煤矿，切不可让如此重要物资落入狼牙之手！	击败花拔秃	3	1	10	100	击杀狼牙运煤车	3	1	15	100	阻止运输队到达营寨	2	2	13	1	剩余时间：	4	2												
22	194	37894	137			90		ui/Image/UICommon/PqUI4.UITex	8	东山矿场		4	运送矿石	运送矿石		击败月华	3	1	12	100	阻挡敌军	2	1	12	500	保护进攻的丐帮弟子	2	2	12	100															
23	194	37895	138			90		ui/Image/UICommon/PqUI4.UITex	6	建宁铁卫		5	李倓的援军	李倓的援军		帮助建宁铁卫穿过河谷	2	1	13	60	保护建宁铁卫	2	2	1	40																				
24	194	37896	139			90	击败石萧翼或击杀据守营寨的狼牙军	ui/Image/UICommon/PqUI5.UITex	1	建宁铁卫		2	进击·史朝义营寨	击溃史朝义营寨	“M”键打开地图可查看位置。可赶往史朝义营寨会合唐军，协助袭营反攻！	击败石萧翼	3	1	10	100	或 击杀敌军	2	1	17	500	保护进攻的唐军	2	2	1	100															
25	194	37897	140			90		ui/Image/UICommon/PqUI4.UITex	4	建宁铁卫		5	汾桥阻击战	汾桥阻击战		击退敌军	2	1	1	500	阻止敌军修桥	3	1	17	100																				
26	194	37898	141			90		ui/Image/UICommon/PqUI4.UITex	4	建宁铁卫		5	突袭汾桥	突袭汾桥		摧毁汾桥	3	1	17	100	敌方援军到达	4	2	13	100																				
27	194	37899	142			90		ui/Image/UICommon/PqUI5.UITex	2	天门关		3	一夫当关：天门关	一夫当关：天门关																															
28	194	37900	143			90	击败王苍浪，击杀狼牙物资车	ui/Image/UICommon/PqUI5.UITex	2	天门关		4	天门关·狼牙援军	拦截天门关狼牙援军	“M”键可查看狼牙物资车车队的位置。狼牙的援军正从天门关前往高秀岩营寨。	王苍浪	3	1	10	100	击杀狼牙物资车	3	1	15	100	阻止运输队到达营寨	2	2	13	1	剩余时间：	4	2												
29	194	37901	144			90		ui/Image/UICommon/PqUI5.UITex	0	石岭关		3	一夫当关：石岭关	一夫当关：石岭关																															
30	194	37902	145			90	击败万广翎 ，击杀狼牙物资车	ui/Image/UICommon/PqUI5.UITex	0	石岭关		4	石岭关·狼牙援军	拦截石岭关狼牙援军	“M”键可查看狼牙物资车车队的位置。狼牙的援军正从石岭关前往高牛廷阶营寨。	万广翎 	3	1	10	100	击杀狼牙物资车	3	1	15	100	阻止运输队到达营寨	2	2	13	1	剩余时间：	4	2												
31	194	37903	146			90	击败郜孝严或击杀据守营寨的狼牙军	ui/Image/UICommon/PqUI4.UITex	5	太原联军的反攻		2	进击·高秀岩营寨！	进击·高秀岩营寨！		击败营寨守将	3	1	10	100	或 击杀敌军	2	1	17	800	保护进攻的唐军士兵	2	2	1	150															
32	194	37904	147			90	击败尤肖杰或击杀据守营寨的狼牙军	ui/Image/UICommon/PqUI4.UITex	9	太原联军的反攻		2	进击·牛延阶营寨！	进击·牛延阶营寨！		击败营寨守将	3	1	10	100	或 击杀敌军	2	1	17	800	保护进攻的唐军士兵	2	2	1	150															
33	194	37905	148			90	击败德霄财或击杀据守营寨的狼牙军	ui/Image/UICommon/PqUI4.UITex	0	太原联军的反攻		2	进击·蔡希德营寨！	进击·蔡希德营寨！		击败营寨守将	3	1	10	100	或 击杀敌军	2	1	17	800	保护进攻的唐军士兵	2	2	1	150															
34	194	37906	149			90		ui/Image/UICommon/PqUI4.UITex	3	溜柁贮木场		3	重建贮木场	帮助贮木场的重建	多亏了侠士与苍云弟子和七秀弟子的相助，我们才得以夺下贮木场。现在赶紧收集木材运往太原城，否则过不久狼牙兵来骚扰，又是一场硬仗。请找贮木场接头人武峰旁边的张万千接取任务。“M”键打开地图，勾选活动，即可显示接头人的位置。	重建伐木场	2	1	1	1000																									
35	194	37907	150			90		ui/Image/UICommon/PqUI4.UITex	8	矿场之争		3	重建矿场	帮助矿场的重建	多亏了侠士与叶三庄主相助我明教弟子，我们才得以夺回矿场。现在赶紧把煤矿运去太原城，否则过不久狼牙兵来骚扰，又是一场硬仗。请找矿场接头人元孝方旁边的曹琥接取任务。“M”键打开地图，勾选活动，即可显示接头人的位置。	重建矿场	2	1	1	1000				12	100				12	100															
36	194	38167	151			90		ui/Image/UICommon/PqUI4.UITex	8	占位		3	重建矿场	帮助矿场的重建	多亏了侠士与叶三庄主相助我明教弟子，我们才得以夺回矿场。现在赶紧把煤矿运去太原城，否则过不久狼牙兵来骚扰，又是一场硬仗。请找矿场接头人元孝方旁边的曹琥接取任务。“M”键打开地图，勾选活动，即可显示接头人的位置。	重建矿场	2	1	1	1000																									
37	193	41626	153	各种有		20	帮助苍云军防守东径关	ui/Image/UICommon/PqUI4.UITex	8	东陉关之战	帮助苍云军防守东陉关	3			多亏了侠士与叶三庄主相助我明教弟子，我们才得以夺回矿场。现在赶紧把煤矿运去太原城，否则过不久狼牙兵来骚扰，又是一场硬仗。请找矿场接头人元孝方旁边的曹琥接取任务。“M”键打开地图，勾选活动，即可显示接头人的位置。	苍云军士气	2	1	1	3000	击败高秀岩	3	1	10	100	剩余时间：	4	2																	
38	35	43710	157				击败宇文画	ui/Image/UICommon/PqUI5.UITex	1		瞿塘侠影	2	宇文画的挑战	击败宇文画		宇文画	3	1	10	100	剩余时间：	4	2																						
39	0	44827	158			1	示例pq:中地图说明文字	ui/Image/UICommon/PqUI5.UITex	1	示例PQ：主标题	示例PQ：主标题说明文字	2	示例PQ：副标题	示例PQ：副标题说明文字		示例PQ：boss血量（宇文画）	3	1	10	100	示例PQ：倒计时	4	2																						
40	216	44918	158		14831		回纥商队需要将马匹运往大唐	ui/Image/UICommon/PqUI4.UITex	7	回纥商队		10	运送马匹	协助小七与药罗葛思伦护送商队走出阴山。	回纥商队·运送马匹	商队走出阴山	2	1	21	1				0					0					0											
41	216	44919	158		14831		回纥商队需要将茶绢运回部族	ui/Image/UICommon/PqUI4.UITex	7	回纥商队		10	运送茶绢	协助小七与药罗葛思伦护送商队回到部族。	回纥商队·运送茶绢	商队回到部族	2	1	21	1				0					0					0											
42	216	44920	158		14831		回纥商队需要将马匹运往大唐	ui/Image/UICommon/PqUI4.UITex	7	回纥商队		3	补给	从运补给品的马匹处获取水和马草，也可从路边采摘马草，给马儿喂水喂草。	回纥商队·休整队伍	休整队伍	2	1	13	500	本轮结算时间：	4	4	0					0					0											
43	216	44921	158		14831		回纥商队需要将马匹运往大唐	ui/Image/UICommon/PqUI4.UITex	7	回纥商队			遭遇突袭	路上突然出现了狼牙军。	回纥商队·狼牙突袭	击退狼牙军	2	2		1500	本轮结算时间：	4	4	0					0					0											
44	216	44922	158		14831		回纥商队需要将马匹运往大唐	ui/Image/UICommon/PqUI4.UITex	7	回纥商队			遭遇突袭	金狼王帐的人前来抢劫茶绢。	回纥商队·遭遇突袭	击退敌人	2	2		1500	本轮结算时间：	4	4	0					0					0											
45	216	44923	158		14831		回纥商队需要将马匹运往大唐	ui/Image/UICommon/PqUI4.UITex	7	回纥商队		5	路障	前方有路障，商队无法通行，摧毁它。	回纥商队·遭遇路障	路障血量	3	2	10	100	本轮结算时间：	4	4	0	600				0					0											
46	216	44924	158		14831		回纥部族庆祝商队归来的集会	ui/Image/UICommon/PqUI4.UITex	7	回纥部族		3	篝火会	参与篝火会的各项活动，可以喝酒、吃肉、与勇士摔跤、与美女跳舞。	回纥部族·篝火会	事件进度	2	1	13	2500	本轮结算时间：	4		13	400				0					0											
47	214	44925	158		14831		名僧会筹备中	ui/Image/UICommon/PqUI4.UITex	7	无遮大会		11	运送材料	协助众僧运送所需的材料，从山脚下运送材料到山顶上的佛光寺。	从山脚下运送材料到山上	运送材料	2	1	22	1500	本轮结算时间：	4		13	600				0					0											
48	214	44926	158		14831		名僧会筹备中	ui/Image/UICommon/PqUI4.UITex	7	无遮大会			守卫佛像	击退前来抢夺佛像的吐蕃僧和狼牙军，阻止吐蕃僧抢夺佛像。	击退前来抢夺佛像的吐蕃僧	击退敌人	2	2		1000	佛像剩余个数	2		1	10				0					0											
49	215	44927	168		14831		汤泉泉水沸且清，仙源遥自丹砂生。沐日浴月泛灵液，微波细浪流踪峥	ui/Image/UICommon/PqUI4.UITex	7	温泉战倭		5	大战倭寇	击杀在此泡温泉的倭寇和倭寇头目，将那些永王手下和温泉侍女一并除去。	击杀在此泡温泉的倭寇和倭寇头目，将那些永王手下和温泉侍女一并除去。	击杀倭寇	2	2		6000	失败倒计时：	4			600				0					0											
50	215	44928	169		14831		汤泉泉水沸且清，仙源遥自丹砂生。沐日浴月泛灵液，微波细浪流踪峥	ui/Image/UICommon/PqUI4.UITex	7	温泉战倭		3	温泉泡澡	击杀在隔壁岛集结的倭寇和倭寇头目，也可在汤岛泡温泉。	击杀在隔壁岛集结的倭寇和倭寇头目，也可以在汤岛泡温泉。	事件进度	2	4	13	1000	本轮结算时间：	4	3	0	600				0					0											
60	213	45863	182		14621|14622|14623|14624|14625|14626|14627|14628|14629	95	门派事件-长歌-学堂晒书	ui/Image/UICommon/PqUI4.UITex	7	门派事件·长歌		3	学堂晒书	长歌正举行持续一小时的学堂晒书	长歌正举行学堂晒书，侠士可前往参与，拾取书籍并上交书画札记、完成特殊小任务，感受长歌文化。	晒书进度	2	4	13	1000	本轮结算时间：	4	4	13	900				0					0											
62	151	46040	183				相救李倓	ui/Image/UICommon/PqUI4.UITex	5	相救李倓		2	相救李倓	长歌门人欲救建宁王	击退敌人	击退敌人	2	4		5000	本轮结束时间	4		0	600				0					0											
63	217	0	188										浩气盟晶矿		每3秒增加20晶矿。																														
64	217	0	188										浩气盟晶矿		每3秒增加20晶矿。																														
65	217	0	188										浩气盟晶矿		每3秒增加20晶矿。																														
66	217	0	188										浩气盟晶矿		每3秒增加20晶矿。																														
67	217	0	188										浩气盟晶矿		每3秒增加20晶矿。																														
68	217	0	189										恶人谷晶矿		每3秒增加20晶矿。																														
69	217	0	189										恶人谷晶矿		每3秒增加20晶矿。																														
70	217	0	189										恶人谷晶矿		每3秒增加20晶矿。																														
71	217	0	189										恶人谷晶矿		每3秒增加20晶矿。																														
72	217	0	189										恶人谷晶矿		每3秒增加20晶矿。																														
73	217	0	190										无人的晶矿		占领晶矿可帮助本阵营收集晶矿。																														
74	217	0	190										无人的晶矿		占领晶矿可帮助本阵营收集晶矿。																														
75	217	0	190										无人的晶矿		占领晶矿可帮助本阵营收集晶矿。																														
76	217	0	190										无人的晶矿		占领晶矿可帮助本阵营收集晶矿。																														
77	217	0	190										无人的晶矿		占领晶矿可帮助本阵营收集晶矿。																														
78	217	46952	191		14727|14728|14729|14730		押送晶矿·浩气盟	ui/Image/UICommon/PqUI4.UITex	3			4	押送晶矿·浩气盟		本阵营需守护矿车，矿车到达终点可获得奖励；对立阵营击毁矿车可获得奖励。	浩气盟矿车耐久	3	2	15	100	矿车到达浩气盟营地	2	1	1	1																				
79	217	46953	192		14727|14728|14729|14730		押送晶矿·恶人谷	ui/Image/UICommon/PqUI4.UITex	3			4	押送晶矿·恶人谷		本阵营需守护矿车，矿车到达终点可获得奖励；对立阵营击毁矿车可获得奖励。	恶人谷矿车耐久	3	2	15	100	矿车到达恶人谷营地	2	1	1	1																				
80	217	46954	193		14727|14728|14729|14730			ui/Image/UICommon/PqUI4.UITex	7			5	收集晶矿·浩气盟		占据晶矿点或击碎晶矿，可帮助本阵营完成收集。	晶矿	2	1	13	10000				0					0					0											
81	217	46955	194		14727|14728|14729|14730			ui/Image/UICommon/PqUI4.UITex	7			5	收集晶矿·恶人谷		占据晶矿点或击碎晶矿，可帮助本阵营完成收集。	晶矿	2	1	13	10000				0					0					0											
82	217	44929	195		14831		清理沿途的碎石和枯木，使用冒烟的火把将隐藏在遮蔽物中的敌人熏出。		7	沙漠杀机		5	清理道路	清理沿途的碎石和枯木，使用冒烟的火把将隐藏在遮蔽物中的敌人熏出。	公共事件：清理道路	清理道路	2	4		500	本轮结算时间：	4	4	0	600																				
83	217	44930	196		14831		护送补给车队前往寒池北边的跋汉族营地		7	沙漠杀机		9	护送物资	护送补给车队前往寒池北边的跋汉族营地。	公共事件：护送物资	护送补给车队到达营地	2	1	20	1	补给物资	3	1	1	100				0					0											
84	213	45863	182			95	门派事件-长歌-交换书籍	ui/Image/UICommon/PqUI4.UITex	7	门派事件·长歌		5	交换书籍	可前往长歌参与学堂晒书	长歌正举行学堂晒书，侠士可前往参与，感受长歌文化。	活动剩余时间：	4	4	13	3600				0					0					0											
85	213	50120	212			95	门派事件-长歌-弟子笃学	ui/Image/UICommon/PqUI4.UITex	7	门派事件·长歌		5	弟子笃学	长歌门派正在万书楼为学堂晒书做准备	侠士可前往长歌参与，挑战晒才弟子，上交套书，感受长歌文化。	上交套书或挑战长歌弟子	2	4		1000	活动剩余时间：	4	4	13	900				0					0											
86	213	50122	213			95	门派事件-长歌-音律之试	ui/Image/UICommon/PqUI4.UITex	7	门派事件·长歌		5	音律之试	可前往玉林岛参与事件	赵宫商正以琴会杨青月，并请韩非池听音，侠士可前往参与。	赵宫商的影子	2	4		4	古琴	3	4	10	100	活动剩余时间：	4	4	13	3600															
87	5	50155	214							门派事件·少林		3	山雨欲来	考校弟子，准备迎接东瀛使团	少林·山雨欲来	考校证道院高级弟子	2	1		200	考校达摩堂高级弟子	2	1		200	抄录佛经	2	1		200	惩戒一刀流武士	2	1		200	本轮结算时间：	4	1	13						
88	5	50160	215							门派事件·少林		3	禅武较量	在禅武较量中战胜仲虚念	少林·禅武较量	在禅斗中战胜仲虚念	2	1		1	在武斗中战胜仲虚念	2	1		1			1	0				1	0											
89	5	50580	216							门派事件·少林		3	荡除心魔	炼制六阳正气丹并荡除仲虚念的心魔	少林·荡除心魔	六阳正气丹	2	1	13	250	东瀛的自傲	2	1		1	武士的尊严	2	1		1	一刀流的荣耀	2	1		1	禅武的执念	2	1	17	1					
90	16	50136	221				门派事件·七秀·红袖飞花			门派事件·七秀		3	红袖飞花	可以协助跳跃的剑舞弟子练习，收集花瓣放入花篮，救助受伤的剑舞弟子。	可以协助跳跃的剑舞弟子练习，收集花瓣放入花篮，救助受伤的剑舞弟子。	帮助七秀弟子习舞	2	4	13	1500	本轮结算时间：	4	4	13																					
91	16	50137	222				门派事件·七秀·剑舞凝光			门派事件·七秀		3	剑舞凝光·一	参与三个弟子的考核。	七秀正在举行剑舞考核，玩家可以参与考核弟子的试炼。	夏年	3	4	10	100	结算倒计时：	4	4	13	900																				
92	16	50138	223				门派事件·七秀·东海来客			门派事件·七秀		3	东海来客	击退前来捣乱的东海来客。	击退前来捣乱的东海来客。	白璃予	3	4	10	100	结算倒计时：	4	4	13	100																				
93	5																																												
94	5																																												
95	2	50333	218	门派事件·万花	13439|13447|8090|8092	95	照料奇花异草，协助采草炼药			门派事件·万花	青岩万花之晴昼海，奇花异草汇集，乃是天下闻名的奇景之地。	3	奇花藏花海	照料花海中的奇花异草，帮采药弟子背草药回落星湖上交。	青岩万花之晴昼海，奇花异草汇集，乃是天下闻名的奇景之地。药王和花圣常常派遣弟子在花海中培育草药和花卉。	悉心护花草	2	1	13	1500	百草炼丹药	2	1	13	1500	本轮结算时间：	4	4	13	900															
96	2	50336	219	门派事件·万花	13439|13447|8090|8092	95	协助医治伤患			门派事件·万花	感于天下不宁，百姓罹难，病症伤患者缺医少药，万花谷主东方宇轩决定开谷，接引伤患百姓入内就医。	3	开谷济苍生	使用药箱，汤药炉，在落星湖附近协助照料伤患。	中原战乱数年未休，东方宇轩感于天下不宁，百姓罹难，病症者缺医术少药，朝不保夕。决定在此日开放青岩万花谷，让百姓入谷就医。以失一谷之清静，换万千百姓之安宁。一时，长安附近的病患伤者，纷纷入谷求医。此事由药王花圣和一众弟子主持，伤患被安排在落星湖附近，由万花弟子带人医治。	开谷济苍生	2	1	13	1500	本轮结算时间：	4	4	13	900																				
97	2	50338	253	门派事件·万花	13439|13447|8090|8092	95	移植花草，修复被烧花海			门派事件·万花	花海被烧之事被百姓得知，纷纷带来自家寻找的花草，协助万花修复晴昼海。	3	献花复晴昼	从花圣面前的花盆中取出花苗，在花圣指定的地方种下，以修复花海	周边地区被救助过的百姓们，听闻花海被烧一事，纷纷带着花种花苗赶来万花谷，希望能协助恢复晴昼花海。盛情难却，花圣派遣弟子将花苗在花海中种下。花海很快恢复生机。	献花复晴昼	2	1	13	1500	活动剩余时间：	4	4	13	900																				
98	7	50208	226				门派事件·纯阳·山门卫道			门派事件·纯阳		4	山门卫道	协助纯阳弟子，将运送祭典用品的物资车护送到纯阳宫正门。	协助纯阳弟子，将运送祭典用品的物资车护送到纯阳宫正门。	运送物资	2	1	15	1	物资车	3	1	10	100	上交物资进度：	2	1	13	1000															
99	7						将物资上交给祁进			门派事件·清点物资		3	清点物资	将祭典用物资上交给祁进	纯阳·清点物资	物资上交进度	2	1	13	1000	上交倒计时：	4			600																				
100	7						将丹药上交给上官博玉			门派事件·纯阳		3	炼制丹药	炼制丹药，并将丹药上交给上官博玉	纯阳·炼制丹药	丹药上交进度	2	1	13	1																									
101	158	50259	239				门派事件·筹备·收集材料	ui/Image/UICommon/PqUI5.UITex	1	门派事件·筹备	筹备阶段，为迎接即将到来的大战。天策辎重营积极准备中。	3	收集材料	将收集到的机关残骸交给天策物资官。	天策物资官正在天枪残阵收集残破机关中可用的材料，侠士可前往参与，协助收集。	收集材料	2	1	13	1000	本轮结算时间：	4	4	13	900																				
102	158	50260	229				门派事件·筹备·修复机关	ui/Image/UICommon/PqUI5.UITex	1	门派事件·筹备	筹备阶段，为迎接即将到来的大战。天策辎重营积极准备中。	5	修复机关	前往药师观门口，保护天策工匠修复损坏的机关。	机关材料终于运送而来，侠士可前往保护药师观的天策工匠修复损坏的机关。	保护天策工匠	1	1	1	18	等待修理完成	4	1		900			2	13																
103	158	50261	233				门派事件·阻击·接应阶苔	ui/Image/UICommon/PqUI5.UITex	1	门派事件·阻击	接应天策密探阶苔归来	5	接应阶苔	接应阶苔归来		接应阶苔	2	1	13	1	阶苔血量	3	2	10	100																				
104	150	50229	263				门派事件·明教	ui/Image/UICommon/PqUI5.UITex	1	门派事件·明教		9	漫漫朝圣路	帮助明教，使其即将举行的明尊大典胜利进行。	各地的朝圣者正赶往明教参与明尊大典，红衣教派弟子拦阻，需要侠士前往帮助。	帮助朝圣者或消灭红衣弟子	2	1		1500	活动剩余时间	4																							
105	49	50172	232			95	门派事件-藏剑-熔炼寒铁			门派事件·藏剑			熔炼寒铁	将门口的寒玉铁搬运至炼天炉前交给叶泊秋，并向炉中注入剑气协助熔炼。		熔炼寒铁	2	1	13	1500	注入剑气	2	3	13	1500	清除宵小	2	2	17	500	活动剩余时间：	4	4	13	900										
