Command	CommandDesc	ID	Tips	IconID
193	阿里·吉祥	50		
194	阿飞·欢乐	51		
195	阿飞·吉祥	51		
196	阿飞·平安	51		
197	阿飞·如意	51		
198	飞鸿·欢乐	52		
199	飞鸿·吉祥	52		
200	飞鸿·平安	52		
201	飞鸿·如意	52		
202	白凤·欢乐	53		
203	白凤·吉祥	53		
204	白凤·平安	53		
205	白凤·如意	53		
206	紫翎·欢乐	54		
207	紫翎·吉祥	54		
208	紫翎·平安	54		
209	紫翎·如意	54		
210	赤箭·欢乐	55		
211	赤箭·吉祥	55		
212	赤箭·平安	55		
213	赤箭·如意	55		
214	栖夜·欢乐	56		
215	栖夜·吉祥	56		
216	栖夜·平安	56		
217	栖夜·如意	56		
218	落下\放飞	52		
219	落下\放飞	53		
220	落下\放飞	54		
221	落下\放飞	55		
222	落下\放飞	56		
223	喂食	52		
224	喂食	53		
225	喂食	54		
226	喂食	55		
227	喂食	56		
228	逗隼	52		
229	逗隼	53		
230	逗隼	54		
231	逗隼	55		
232	逗隼	56		
233	喵喵·欢乐	34		
234	喵喵·吉祥	34		
235	喵喵·平安	34		
236	喵喵·如意	34		
237	抓尾巴	34		
238	清洁，喵	34		
239	好困啊	34		
240	哈皮·欢乐	57		
241	哈皮·吉祥	57		
242	哈皮·平安	57		
243	哈皮·如意	57		
244	小果·欢乐	58		
245	小果·吉祥	58		
246	蟹仔·欢乐	59		
247	蟹仔·吉祥	59		
248	稻稻·欢乐	60		
249	挠一挠	60		
250	吼一吼	60		
251	哈皮·打滚	57		
252	哈皮·咬尾巴	57		
253	哈皮·站	57		
254	哈皮·撒尿	57		
255	哈皮·啃	57		
256	蟹仔·横行	59		
257	蟹仔·醉拳	59		
258	蟹仔·吃货	59		
259	蟹仔·蟹钳舞	59		
260	装死/起身	59		
261	小果·蹭一蹭	58		
262	小果·转个圈	58		
263	小果·打个滚	58		
264	小果·啃苹果	58		
265	装死/起身	58		
266	哈皮·凶	57		
267	哈皮·粘人	57		
268	趴下/起身	57		
269	赤兔·跟不上	61		
270	玉狮子·跟不上	62		
271	赤兔·撒欢	61		
272	玉狮子·撒欢	62		
273	赤兔·踢！	61		
274	玉狮子·踢！	62		
275	赤兔·舞蹈	61		
276	玉狮子·舞蹈	62		
277	赤兔·跳跃	61		
278	玉狮子·跳跃	62		
279	收缩/展开	61		
280	收缩/展开	62		
281	赤兔·欢乐	61		
282	赤兔·吉祥	61		
283	赤兔·平安	61		
284	赤兔·如意	61		
285	玉狮子·欢乐	62		
286	玉狮子·吉祥	62		
287	玉狮子·平安	62		
288	玉狮子·如意	62		
289	年·欢乐	63		
290	年·吉祥	63		
291	年·平安	63		
292	年·如意	63		
293	小极·张望	66		
294	小极·转圈	66		
295	小极·摔倒	66		
296	小极·踢踏	66		
297	南南·张望	67		
298	南南·转圈	67		
299	南南·摔倒	67		
300	南南·踢踏	67		
301	极极·张望	69		
302	极极·转圈	69		
303	极极·摔倒	69		
304	极极·踢踏	69		
305	一杠·欢乐	64		
306	一杠·吉祥	64		
307	一杠·平安	64		
308	一杠·如意	64		
309	一杠·挑衅	64		
310	小花·欢乐	65		
311	小花·吉祥	65		
312	小花·蹭一蹭	65		
313	小花·转个圈	65		
314	小花·打个滚	65		
315	废弃	38		
316	一杠·庆祝	64		
317	一杠·哭泣	64		
318	一杠·惊吓	64		
319	一杠·摇摆	64		
320	蟹相·欢乐	70		
321	蟹相·吉祥	70		
322	耀武扬威	70		
323	蟹象·欢乐	71		
324	蟹象·吉祥	71		
325	耀武扬威	71		
326	大哈·欢乐	72		
327	糖豆·欢乐	68		
328	糖豆·吉祥	68		
329	糖豆·平安	68		
330	糖豆·如意	68		
331	糖豆·陀螺	68		
332	糖豆·吓一跳	68		
333	糖豆·翻滚	68		
334	糖豆·倒立	68		
335	装死/起身	65		
336	大哈·捕食	72		
337	南南·欢乐	67		
338	南南·吉祥	67		
339	南南·平安	67		
340	南南·如意	67		
341	极极·欢乐	69		
342	极极·吉祥	69		
343	极极·平安	69		
344	极极·如意	69		
345	如意狮·欢乐	73		
346	如意狮·吉祥	73		
347	如意狮·平安	73		
348	如意狮·如意	73		
349	狮子吼	73		
350	绿豆·欢乐	74		
351	绿豆·吉祥	74		
352	绿豆·平安	74		
353	绿豆·如意	74		
354	绿豆·陀螺	74		
355	绿豆·吓一跳	74		
356	绿豆·翻滚	74		
357	绿豆·倒立	74		
358	咕咕·欢乐	75		
359	咕咕·吉祥	75		
360	咕咕·平安	75		
361	咕咕·如意	75		
362	飞鸽传书	75		

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
