ID	PathTitle	PathContent	Note	Sound
26	ui\Image\ChaptersTga\10.tga	ui\Image\ChaptersTga\10damo.tga	大漠卷黄沙，龙门藏客栈	data/sound/界面/Chapters.ogg
27	ui\Image\ChaptersTga\11.tga	ui\Image\ChaptersTga\11nanping.tga	盟谷争霸图，策马南屏道	data/sound/界面/Chapters.ogg
28	ui\Image\ChaptersTga\11.tga	ui\Image\ChaptersTga\11kunlun.tga	盟谷争霸图，卧雪昆仑域	data/sound/界面/Chapters.ogg
29	ui\Image\ChaptersTga\12.tga	ui\Image\ChaptersTga\12haoqi.tga	浩气贯长空，江天洗剑气	data/sound/界面/Chapters.ogg
30	ui\Image\ChaptersTga\12.tga	ui\Image\ChaptersTga\12sanshenglu.tga	不悔三生路，笑看人世春	data/sound/界面/Chapters.ogg
31	ui\Image\ChaptersTga\13.tga	ui\Image\ChaptersTga\13baidicheng.tga	谷峡流清泉，白帝傲临江	data/sound/界面/Chapters.ogg
32	ui\Image\ChaptersTga\14.tga	ui\Image\ChaptersTga\14chuanjiao.tga	传教乱四蛮，神算落红衣	data/sound/界面/Chapters.ogg
33	ui\Image\ChaptersTga\15.tga	ui\Image\ChaptersTga\15bailonggudao.tga	白龙忽探首，法王隐悄然	data/sound/界面/Chapters.ogg
34	ui\Image\ChaptersTga\16.tga	ui\Image\ChaptersTga\16youqingnanyuan.tga	有情人难会，蕴谋尸漫园	data/sound/界面/Chapters.ogg
35	ui\Image\ChaptersTga\17.tga	ui\Image\ChaptersTga\14wangjia.tga	天南大王家，巴蜀起风云	data/sound/界面/Chapters.ogg
36	ui\Image\ChaptersTga\18.tga	ui\Image\ChaptersTga\18tulonghui.tga	云烧天尽头，变生屠龙会	data/sound/界面/Chapters.ogg
37	ui\Image\ChaptersTga\19.tga	ui\Image\ChaptersTga\19heilongze.tga	大泽黑龙怒，绝域战淤沼 	data/sound/界面/Chapters.ogg
38	ui\Image\ChaptersTga\20.tga	ui\Image\ChaptersTga\20cangshan.tga	苍空云逐月，碧海听龙吟	data/sound/界面/Chapters.ogg
39	ui\Image\ChaptersTga\2.tga	ui\Image\ChaptersTga\3feisha.tga	飞沙连大漠，圣火怜世人	data/sound/界面/Chapters.ogg
40	ui\Image\ChaptersTga\8.tga	ui\Image\ChaptersTga\8jianning.tga	奸佞暗离间，祈盛愿太平	data/sound/界面/Chapters.ogg
41	ui\Image\ChaptersTga\2.tga	ui\Image\ChaptersTga\3gaibang.tga	四海皆兄弟，为侠义当先	data/sound/界面/Chapters.ogg
42	ui\Image\ChaptersTga\8.tga	ui\Image\ChaptersTga\8yuantaihuiqunying.tga	辕台会群英，英雄出少年	data/sound/界面/Chapters.ogg
43	ui\Image\ChaptersTga\21.tga	ui\Image\ChaptersTga\21chognweixuezhanji.tga	重围血战急，尽忠报国恩	data/sound/界面/Chapters.ogg
44	ui\Image\ChaptersTga\22.tga	ui\Image\ChaptersTga\22fengyucuichenglai.tga	风雨摧城来，快意断恩仇	data/sound/界面/Chapters.ogg
45	ui\Image\ChaptersTga\23.tga	ui\Image\ChaptersTga\23huangkongjingcijian.tga	皇龙经此间，将士百战死	data/sound/界面/Chapters.ogg
46	ui\Image\ChaptersTga\24.tga	ui\Image\ChaptersTga\24fenglinjuesizhan.tga	枫林决死战，马革裹尸还	data/sound/界面/Chapters.ogg
47	ui\Image\ChaptersTga\25.tga	ui\Image\ChaptersTga\25chongyunyanshengji.tga	重云掩圣迹，西京暗消魂	data/sound/界面/Chapters.ogg
48	ui\Image\ChaptersTga\26.tga	ui\Image\ChaptersTga\望尽长安道，始知天子尊.tga	望尽长安道，始知天子尊	data/sound/界面/Chapters.ogg
49	ui\Image\ChaptersTga\2.tga	ui\Image\ChaptersTga\2pingshadanghulu.tga	平沙荡胡虏，卷雪镇雁关	data/sound/界面/Chapters.ogg
50	ui\Image\ChaptersTga\8.tga	ui\Image\ChaptersTga\8saibeixuefenfen.tga	塞北雪纷纷，平地起黑烟	data/sound/界面/Chapters.ogg
51	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27wusaichonglongcheng.tga	五塞冲龙城，有情长相忆	data/sound/界面/Chapters.ogg
52	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27qingyeyingxionghui.tga	清野英雄会，沧浪东海仙	data/sound/界面/Chapters.ogg
53	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27changfengdaojianxiao.tga	长风刀剑啸，一别已经年	data/sound/界面/Chapters.ogg
54	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27juntianxietieyi.tga	均天携铁意，不辞下皇厅	data/sound/界面/Chapters.ogg
55	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27danxidixingyun.tga	旦夕帝星陨，大燕几蒙霜	data/sound/界面/Chapters.ogg
56	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27changgeyingxiongzhi.tga	长歌英雄志，莫问怎相知	data/sound/界面/Chapters.ogg
57	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27taotaojinheshui.tga	滔滔晋河水，莽莽太原城	data/sound/界面/Chapters.ogg
58	ui\Image\ChaptersTga\27.tga	ui\Image\ChaptersTga\27qiongcangaolongxian.tga	穹苍傲龙现，不解汉王言	data/sound/界面/Chapters.ogg
59	ui\Image\ChaptersTga\2.tga	ui/Image/ChaptersTga/3xiangzhiwenguyi.tga	相知闻古意，莫问湖下锋	data/sound/界面/Chapters.ogg
60	ui\Image\ChaptersTga\8.tga	ui/Image/ChaptersTga/8lingxuezizhengchun.tga	凌雪自争春，茶韵香满园	data/sound/界面/Chapters.ogg
61	ui\Image\ChaptersTga\28.tga	ui/Image/ChaptersTga/28chanlinyonganyun.tga	禅林涌暗云，佛门宝生光	data/sound/界面/Chapters.ogg
62	ui\Image\ChaptersTga\29.tga	ui/Image/ChaptersTga/29shangluqifenzheng.tga	商路起纷争，圣泉难寻觅	data/sound/界面/Chapters.ogg
63	ui\Image\ChaptersTga\30.tga	ui/Image/ChaptersTga/30shamoyunyoutie.tga	沙漠蕴幽铁，戈壁起风云	data/sound/界面/Chapters.ogg
64	ui\Image\ChaptersTga\31.tga	ui/Image/ChaptersTga/31weiwenhejumao.tga	未闻荷菊茂，又见棠棣残	data/sound/界面/Chapters.ogg
65	ui\Image\ChaptersTga\2.tga	ui\Image\ChaptersTga\2fengluotaihangshan.tga	凤落太行山，静霄起风雷	data/sound/界面/Chapters.ogg
66	ui\Image\ChaptersTga\8.tga	ui\Image\ChaptersTga\8beishanwenjiuyin.tga	北山闻旧音，魂断鸿声里	data/sound/界面/Chapters.ogg
67	ui\Image\ChaptersTga\32.tga	\ui\Image\ChaptersTga\32yueyinyeweiming.tga	月隐夜微明，朔风动洛城	data/sound/界面/Chapters.ogg

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
