ID	Name	Type	TypeName	SubType	SubTypeName	MinLevel	MaxPlayerNum	Camp	MapID	QuestsID	Priority	Day	StartTime	LastTime	PraiseType
162	杀人诛心	6	精英任务	4	71-80	73	5			6506	65				
163	血战仙踪	6	精英任务	4	71-80	73	5			7144	66				
164	严惩叛徒	6	精英任务	4	71-80	75	5			7142	67				
165	风风的请求	6	精英任务	4	71-80	77	5			7145	68				
166	狼牙擂·荣耀	6	精英任务	5	81-90	80	5			9620	102				
167	诛杀监军	6	精英任务	5	81-90	80	5			9548	103				
168	于其惩而毙后患	6	精英任务	5	81-90	80	5			10239	104				
169	不惩其心难平民怨	6	精英任务	5	81-90	82	5			10612	105				
170	红颜命薄	6	精英任务	5	81-90	81	5			11836	106				
171	三狼聚会谋大计	6	精英任务	5	81-90	85	5			11153	107				
172	忆·雁门之殇	6	精英任务	1	1-30	25	5			12689	172			
173	雁门关之役	1	小队秘境	3	安史之乱	25	5		196		173				
174	英雄雁门关之役	1	小队秘境	3	安史之乱	90	5		195		174				
175	太原·夜守孤城	2	团队秘境	3	安史之乱	90	10		191		175				
176	太原·逐虎驱狼	2	团队秘境	3	安史之乱	90	10		192		176				
177	英雄太原·夜守孤城	2	团队秘境	3	安史之乱	90	25		198		177				
178	英雄太原·逐虎驱狼	2	团队秘境	3	安史之乱	90	25		199		178				
179	10人挑战·夜守孤城	2	团队秘境	3	安史之乱	90	10		211		179				
180	10人挑战·逐虎驱狼	2	团队秘境	3	安史之乱	90	10		212		180				
181	25人挑战·夜守孤城	2	团队秘境	3	安史之乱	90	25		205		181				
182	25人挑战·逐虎驱狼	2	团队秘境	3	安史之乱	90	25		206		182				
183	英雄璨翠海厅	1	小队秘境	3	安史之乱	90	5		200		183				
184	挑战璨翠海厅	1	小队秘境	3	安史之乱	90	5		222		184				
185	天泣林	1	小队秘境	4	剑胆琴心	91	5		203		185				
186	微山书院	1	小队秘境	4	剑胆琴心	91	5		219		186				
187	阴山圣泉	1	小队秘境	4	剑胆琴心	91	5		204		187				
188	梵空禅院	1	小队秘境	4	剑胆琴心	91	5		209		188				
189	引仙水榭	1	小队秘境	4	剑胆琴心	91	5		218		189				
190	英雄天泣林	1	小队秘境	4	剑胆琴心	95	5		224		190				
191	英雄微山书院	1	小队秘境	4	剑胆琴心	95	5		225		191				
192	英雄阴山圣泉	1	小队秘境	4	剑胆琴心	95	5		227		192				
193	英雄梵空禅院	1	小队秘境	4	剑胆琴心	95	5		228		193				
194	英雄引仙水榭	1	小队秘境	4	剑胆琴心	95	5		229		194				
195	永王行宫·仙侣庭园	2	团队秘境	4	剑胆琴心	95	10		220		195				
196	永王行宫·花月别院	2	团队秘境	4	剑胆琴心	95	10		221		196				
197	英雄永王行宫·仙侣庭园	2	团队秘境	4	剑胆琴心	95	25		230		197				
198	英雄永王行宫·花月别院	2	团队秘境	4	剑胆琴心	95	25		231		198				
199	正邪不两立	6	精英任务	1	1-30	18	5			14385	199			
200	狼牙大将	6	精英任务	6	91-95	91	5			13845	200				
201	无上剑道	6	精英任务	6	91-95	91	5			13853	201				
202	擒贼须得先擒王	6	精英任务	6	91-95	91	5			14101	202				
203	釜底抽薪诛魁首	6	精英任务	6	91-95	91	5			14201	203				
204	棋逢敌手	6	精英任务	6	91-95	91	5			14032	204				
205	对战敌首	6	精英任务	6	91-95	91	5			14054	205				
206	敌首莫张狂	6	精英任务	6	91-95	91	5			14692	206				
207	大蛇显神威	6	精英任务	6	91-95	91	5			14569	207				
208	10人挑战·仙侣庭园	2	团队秘境	4	剑胆琴心	95	10		234		199				
209	10人挑战·花月别院	2	团队秘境	4	剑胆琴心	95	10		235		200				
210	25人挑战·仙侣庭园	2	团队秘境	4	剑胆琴心	95	25		236		201				
211	25人挑战·花月别院	2	团队秘境	4	剑胆琴心	95	25		237		202				
212	白帝水宫	1	小队秘境	4	剑胆琴心	95	5		242		185				
213	挑战白帝水宫	1	小队秘境	4	剑胆琴心	95	5		244		186				
214	夕颜阁	1	小队秘境	5	风骨霸刀	20	5		256		1				
215	英雄夕颜阁	1	小队秘境	5	风骨霸刀	95	5		257		2				
216	挑战夕颜阁	1	小队秘境	5	风骨霸刀	95	5		260		3				
217	上阳宫·观风殿	2	团队秘境	5	风骨霸刀	95	10		240		1				
218	上阳宫·双曜亭	2	团队秘境	5	风骨霸刀	95	10		241		2				
221	魂没夕颜	6	精英任务	1	风骨霸刀	24	5			15862	5				
222	英雄上阳宫·观风殿	2	团队秘境	5	风骨霸刀	95	25		248		3				
223	英雄上阳宫·双曜亭	2	团队秘境	5	风骨霸刀	95	25		249		4				
224	刀轮海厅	1	小队秘境	5	风骨霸刀	95	5		262		4				
225	挑战刀轮海厅	1	小队秘境	5	风骨霸刀	95	5		275		5				
226	风雷刀谷·锻刀厅	2	团队秘境	5	风骨霸刀	95	10		263		5				3
227	风雷刀谷·千雷殿	2	团队秘境	5	风骨霸刀	95	10		264		6				3
228	试炼风雷刀谷·锻刀厅	2	团队秘境	5	风骨霸刀	95	25		273		7				3
229	试炼风雷刀谷·千雷殿	2	团队秘境	5	风骨霸刀	95	25		270		8				3
230	英雄风雷刀谷·锻刀厅	2	团队秘境	5	风骨霸刀	95	25		271		9				3
231	英雄风雷刀谷·千雷殿	2	团队秘境	5	风骨霸刀	95	25		270		10				3
232	大师赛海选赛3对3	4	名剑大会			95	3				209	5;6;7;	12	12	5

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
