LEVEL_ID	DESCRIPTION
10	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
11	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
12	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
13	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
14	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
15	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
16	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
17	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
18	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
19	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
20	<text>text="足踏试练地，小试手中刀。\\\n20层前，为侠士们接受初阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
21	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
22	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
23	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
24	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
25	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
26	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
27	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
28	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
29	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
30	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
31	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
32	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
33	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
34	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
35	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
36	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
37	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
38	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
39	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
40	<text>text="武中入佳境，剑下生死斗。\\\n21到40层，为侠士们接受中阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
41	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
42	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
43	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
44	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
45	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
46	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
47	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
48	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
49	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
50	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
51	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
52	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
53	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
54	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
55	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
56	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
57	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
58	<text>text="翻手布云雨，枪魂皆鬼雄。\\\n41到60层，为侠士们接受高阶强度挑战之地。\\\n可能出现的关卡：\\\n十二连环坞\\\n九色鹿\\\n地鼠门的宝藏\\\n天一教\\\n南之雷神\\\n推石头\\\n五行阵\\\n吸血鬼的拥抱\\\n九宫迷局\\\n美人计\\\n此地乃强者试剑之所！\\\n此地乃勇士争锋之地！\\\n此地乃怯懦者的埋骨场！\\\n此地乃传说的诞生之源！\\\n"</text>
