TempleteId	MapId	AreaID	ActivityID	Positions
22	1			15917,26912,1054768
22	247			15917,26912,1054768
34	2			63454,32405,1101843;72947,42428,1099837;62775,31985,1102933;65123,38451,1104312;67181,33210,1101189;61344,34583,1103842;60614,29011,1101318;63108,33471,1103956;69915,36339,1101642;68032,35579,1099957;70942,38505,1100139;64040,35653,1102245;66444,38783,1102337;71944,39564,1100598;65934,42480,1103644;73493,43189,1099199;67239,40876,1105809;68926,42290,1105045;70458,42364,1103418;66702,32232,1100903;66562,36752,1101278;65130,31612,1099765;64533,29201,1100601;68239,47283,1103551;60723,31560,1102643;62689,37092,1103566;64828,39744,1104343;69521,37053,1100887;64499,31170,1098467;70440,47422,1104659
35	2			79100,47051,1100198;73272,57456,1101867;70391,53526,1099688;71758,56647,1099485;78702,58075,1106458;79053,57710,1105175;74874,51539,1101278;74881,52316,1101671;74962,47347,1099553;76073,45754,1099545;73713,59598,1101636;71111,51299,1099519;71953,50190,1099509;72825,49495,1099579;77290,50656,1103250;84647,48096,1100291;83775,47943,1099685;82999,47638,1100085;81421,47375,1100964;80259,47350,1100891;77725,46660,1099696;77137,45897,1099845;74995,46514,1099283
37	2			27822,23498,1124954
38	2			79288,45592,1104585;74521,44314,1099382;74521,44314,1099382;81825,52772,1104659;81106,59424,1112276;80576,58312,1104926;77971,58510,1107681;77795,59027,1108585;76753,58410,1104863;75502,59127,1105465;75224,58388,1102923;73459,59647,1102126;73128,58830,1101412;72692,57921,1101515;70378,57881,1104971;69969,58231,1104586;69707,55802,1104722;69531,54951,1103582;68102,54840,1106456;70306,51212,1102030;66585,56804,1104013;64521,55568,1103612;65729,53965,1103575;73754,45903,1099515;75049,44706,1100356;75789,43487,1099662;80248,44862,1108085;79905,47112,1100789;82271,47041,1100556;83915,46651,1102205;84986,45515,1103322;85790,43575,1113300;87153,42638,1119998;85314,42453,1115609;84014,43261,1107654;77438,45287,1100614;78593,45374,1104210;77128,46373,1100480;79593,44859,1106092;80564,47434,1100194;80564,45689,1106078;80555,46681,1103265;81416,46681,1102549;82145,47195,1099990;76167,45287,1100167;77112,44773,1099564;78788,45972,1103981;78788,45136,1103587;79410,46410,1102750;80159,45135,1107292;76366,45135,1099769;75514,46202,1099287;77990,46706,1099493
39	2			73612,44193,1098812;78743,38330,1103325;79515,41268,1105523;75414,44600,1101148;74534,46801,1100382;71952,47740,1102808;73091,48064,1101865;69708,50557,1104236;67839,51856,1103967;68593,52164,1104592;69192,52676,1103841;68481,53955,1104068;69010,54246,1103955;69301,57473,1105176;68930,59152,1103689;70461,58964,1104575;71097,59941,1104467;72054,60157,1104789;73916,60740,1102057;73001,57922,1101455;81982,45589,1104772;81921,44296,1107554;83249,43160,1106580;82113,41818,1108176;78884,44463,1103481;77979,44252,1102273;78551,43240,1104186;77639,41989,1103571;74558,46656,1100190;74660,42919,1100426;73280,42085,1100095;72839,41236,1100249;72246,39856,1100592;70028,59530,1104054;70393,61272,1104924;71283,49661,1101397;83775,45529,1103967;79521,42584,1105043;74888,45373,1100164
40	2			78547,50606,1103235;79133,50948,1103263;78546,49764,1102591;79988,50368,1103662;77785,50318,1103268
41	2			55643,40937,1133812
42	2			32995,47060,1114040;40003,39796,1112259;32798,39136,1113972;35219,47035,1114180;37156,45992,1113656;37291,43119,1113608;39284,43799,1111759;29804,41858,1112725;38722,37104,1113938;23053,47649,1114370;27044,35373,1115104;35399,34512,1114258;30896,45885,1113595;46505,27132,1111550;28168,49259,1112267;45653,34030,1110827;41465,36152,1111955;42600,23941,1116889;29235,47741,1111946;30389,40694,1111815
43	2			38785,42125,1111721;39213,41341,1111761;38851,39775,1111996;39543,47168,1111619;35387,45404,1113386;34307,39863,1112644;26507,44665,1112686;45218,39806,1116684;44734,39827,1116594;45279,39671,1116593;39825,40501,1112004;41945,34826,1114803;37358,36953,1115080;34967,39136,1113603;37250,43439,1113840;34994,47657,1114565;25613,46397,1114524;37284,40420,1112786;37330,42242,1112436;37002,41141,1113354;38151,37560,1113091;40996,38966,1111411;36180,42641,1112409;35465,41282,1112570;42297,37887,1110982;41636,38108,1111255
44	2			16981,63488,1111257
47	2			16980,63628,1111178
48	2			24429,67673,1114427;24945,67956,1114725
51	2			37320,46674,1112934;37501,45137,1114915;34939,47228,1114325;38766,41786,1111816
52	2			57958,38206,1133727;57827,38351,1133727;57739,38147,1133727
53	2			57461,38560,1134035
54	2			57455,38621,1134031
56	2			57820,38936,1133727;57672,38745,1133727;57534,38841,1133727
57	100			71668,52410,1049199
61	2			76652,50314,1103016
62	2			78147,52930,1103798
62	47			17702,5838,1056034
63	2			78155,52846,1103823
64	2			78156,52882,1103809
65	2			72373,53698,1097511;71635,52072,1098146;72365,50426,1098608;73778,56237,1097977;76652,56902,1097976;82579,55736,1096864;84177,55857,1095921;82508,56561,1096933
66	2			78341,65063,1102297
67	2			62310,19210,1103930;60113,19555,1106737;59190,23376,1101524;59515,27701,1102842
68	2			24826,68032,1114715
69	2			49924,18008,1079837;43556,16767,1079670;46466,14398,1079942;43091,12223,1079885;42713,10441,1079801;37520,15040,1079476;57612,12565,1079746;56836,14736,1079756;47969,6874,1080036;58503,10813,1079913;54110,12799,1079729;55144,11605,1079564;56022,16551,1080077;46691,10758,1080117;53363,9739,1079419;50799,11433,1079653;46282,16663,1079416;52828,14991,1079702;52098,8011,1080947;45775,6891,1084007;41262,11871,1079862;38812,14978,1079768;51465,18395,1079576;37846,16785,1079726;52651,11166,1079564;50048,6839,1080689;48419,8918,1080328;47577,18627,1079099;53075,18097,1079874;42500,14062,1079904
70	2			44508,71577,1137267;45435,59456,1133846;40846,69916,1150269;33346,67289,1147748;36087,54621,1146126;43564,72284,1137749;38727,62832,1147098;37492,58854,1149771;42178,60189,1148864;31037,62722,1147902;34334,60043,1147915;30120,64833,1147756;34625,64351,1147817;46545,61132,1133826;39239,60101,1147498;44707,70772,1136418;42077,52928,1124747;47721,54956,1122623;39190,66435,1148946;30848,56118,1147811
71	2			41279,66470,1148614
72	2			45537,56913,1135315
73	2			38358,56358,1149770
74	2			30663,66828,1147631
75	2			32638,23783,1094259;13268,29389,1096482;33962,23386,1097035;19418,24597,1095910;32871,23507,1094087;21787,34770,1092469;17894,36151,1093511;21202,37596,1095180;28890,21458,1096821;24524,35101,1094153;29479,20089,1096326;38824,28385,1090836;21826,41306,1099363;37408,31271,1090942;37448,26016,1091087;30133,22994,1095905;29000,22416,1096959;29583,21867,1095409;31473,21042,1094046;32377,20827,1095347;31166,22900,1094410;31453,23859,1096235;32336,22842,1095627;33488,22229,1095693;29640,23557,1096754;33084,24281,1093310;32737,25436,1095478;33761,25185,1093107;32266,24867,1095443
77	2			67126,68041,1125171
79	2			23483,22101,1131572
80	2			37673,56610,1149762
84	2			72099,45013,1102139;73292,57900,1102729
85	2			68556,46114,1103757
86	2			56756,41454,1133775
87	2			56615,38720,1133724
88	2			55766,39920,1133730
90	2			49520,44163,1133789
91	2			52751,45238,1134292
92	2			51225,43471,1133755
93	2			47673,48025,1136527
94	2			45838,46684,1162233
95	2			52515,47020,1189327
96	2			47636,48003,1136802
97	2			51830,48092,1159838
98	2			55344,45311,1189214
99	2			47607,48096,1136758
100	2			42574,36625,1111774;34683,40035,1113678;23767,53478,1114384
101	2			47690,48054,1136859
102	2			42573,36624,1112029;23743,53572,1114432;34669,40118,1113754
103	2			42649,36571,1111768;34750,40058,1113543;40128,18369,1083317
104	2			50809,21039,1121262
105	2			82945,69528,1156826;80063,66715,1102598
124	8			57154,26849,1081637
126	8			48916,25408,1076131;47538,28551,1076933;47878,26671,1076105;46414,26343,1076292;51175,27485,1074771;46198,23455,1076116;50288,22599,1077021;51425,24449,1076783;48838,23092,1076753;48765,23736,1076650;44979,25276,1076588;53042,25540,1076761;51459,27645,1075275;51589,24340,1077074;50034,22515,1077012;49372,25388,1076061;47161,28977,1076968;45807,24156,1076528;47188,28625,1076676;46541,26539,1076183;46297,26477,1076225;47702,26914,1076218;51785,18018,1078496;53166,20758,1078694;51179,19512,1079016;46212,18611,1075821;55323,19037,1080928;53375,17695,1080213;53922,14756,1080333;55678,15686,1080496;56594,18465,1080794;55834,21240,1080954;51726,17655,1078376;56207,15403,1080136;53693,17960,1080636;48591,16976,1078587;46456,18509,1075870;46138,16113,1078033;45283,17748,1075636;46500,18759,1075828;46280,15769,1078460;50572,16153,1078381;53341,14644,1080736;55291,16003,1080645;56282,18408,1080755;55396,19250,1080975;53732,21042,1081180;45946,23294,1075778;46323,24668,1076551;48944,25746,1075723;48205,26832,1075795;56205,20339,1080867;52097,17817,1078314;53650,17512,1080533;48649,16542,1078614
128	8			59216,16905,1083637
129	8			40872,50092,1058159
133	8			71114,85370,1076734
134	6			59956,14136,1048810
135	6			44210,34242,1049010;43473,28540,1049166;43055,28743,1050025;43651,28981,1049209;43346,29126,1049754;44061,33300,1048849;43632,33870,1049146;43842,34202,1049050;44899,34426,1049049;45517,33708,1048810;45911,33823,1049092;47585,33370,1049053;41732,19498,1050503;41470,19017,1050786;41226,18719,1050788
136	7			16636,41546,1162538;14770,42592,1163005;13223,38473,1174434;16150,45696,1160535;23351,43493,1161213;10783,41012,1167934;18335,36719,1166540;20536,41200,1161635;16468,48531,1160915;13073,37245,1174880;18809,40171,1162587;16626,39251,1164176
143	1			33671,38108,1062323;33324,38124,1062048;33233,38172,1062094;33703,37941,1062132;33853,37894,1062437
143	247			33671,38108,1062323;33324,38124,1062048;33233,38172,1062094;33703,37941,1062132;33853,37894,1062437
144	1			26962,24230,1048669;26107,23794,1048376;25995,24254,1048512
144	247			26962,24230,1048669;26107,23794,1048376;25995,24254,1048512
145	2			48515,57858,1132645
147	2			22039,52111,1112832;24936,43709,1113570;26673,49375,1113532;21868,50117,1111722;24463,41214,1113918;26984,41923,1112827;30698,49498,1112873;33131,45347,1113538;22417,47786,1114459
148	2			28328,50489,1112768;25699,51799,1112699;33549,45450,1113336;30274,45712,1113130;24102,41849,1114680;26283,44733,1112816;31884,46427,1114029;26461,48910,1112482;29910,49956,1111665
149	1			3238,31250,1068721
149	247			3238,31250,1068721
150	6			18256,46965,1065832;29801,34291,1060537;25613,43337,1066054;26959,53259,1060189
154	6			91955,29157,1047592;90019,33735,1052657;90074,33848,1052567;89800,33730,1052841;90010,33595,1052683;92072,29393,1047815;91799,29303,1048025;91892,29111,1047587;91856,29201,1047805
155	6			49145,44740,1051071;50303,35565,1049521;49220,37212,1053137;45819,35736,1049535;46174,39544,1049972;49577,41960,1050993;46809,42807,1051173;44999,44857,1052128;41907,41073,1052145;39917,37881,1053321;43001,38390,1050169;45598,47544,1052662;47155,47445,1053000;52363,45697,1053938;50933,44313,1051061;54351,41836,1051626;56399,41092,1049751;58191,43013,1048909;58704,45168,1053254;59978,43762,1049904;56058,38374,1050038;54246,36612,1051633;59323,36145,1050609;59545,37809,1049798;62372,35153,1049874;65359,35943,1049169;66310,38442,1049655;65275,39954,1050941;63822,39669,1049998;62554,41326,1050084;60675,37535,1049298;56803,34416,1051513;48257,42377,1050886;47743,43835,1051219;50015,44414,1051220;49627,40705,1050354;44598,41073,1050521;50195,46854,1054269;49049,47481,1051127;48173,47309,1050568;47011,45998,1052084;46544,40893,1049743;50620,40955,1050710;53660,46466,1053884;57216,42857,1049685;57446,41311,1048731;58536,38430,1049855;56585,39368,1049317;52102,38396,1049480;50974,45753,1051288;58971,44238,1048816;61398,36243,1048836;53692,37021,1051428;41548,39926,1049298;42509,47018,1049625;45992,46882,1049985;52056,45246,1050333;59212,39566,1049668
156	6			57295,26743,1048430;57333,26471,1048330
157	6			33327,45648,1059848;33446,45784,1059867;33344,45793,1059422;33250,43966,1059580;33297,44048,1059528;34049,44784,1059295;19278,11787,1054645;26489,13582,1064876;33280,45473,1059392
157	74			17383,23098,1100747
158	6			65352,24940,1048900;63327,22649,1048832;62110,23210,1049123;60947,26336,1048716;62187,25565,1048390;63124,27045,1048443;62107,28033,1049104;63725,26404,1048634;64613,27318,1048387;65776,26269,1048444;66512,25157,1048708;66052,22251,1048377;67535,26115,1048825;68312,25153,1048831;66901,23809,1049088;66871,21474,1048586;67849,20047,1049178;67375,17869,1048663;66140,18495,1048649;66771,15588,1048790;65744,16768,1048767;63682,17640,1048569;63501,23225,1048778;61800,17695,1049023;62714,18741,1049200;61166,18834,1048432;61600,20952,1049279;62556,21785,1048910;62178,19503,1048589;63963,20907,1048584;62872,17016,1048775;61722,15792,1048668;65398,17252,1048579;63733,15764,1048894;64201,16433,1048614;67693,16913,1048675;69109,19222,1052333;67687,19268,1048596;66059,19775,1048738;64590,18663,1048430;68595,21337,1049035;67423,23145,1048687;65442,22001,1048580;61335,24755,1048326;60918,23135,1048571;63417,24898,1048766;62612,26463,1048652;63695,27744,1048493;65860,28124,1049411;61048,28282,1049315;68152,26616,1048699;67737,27928,1049240;65209,26474,1048416;65206,23832,1048495;68187,14656,1048871;65182,15196,1049061;60992,16905,1048388;61765,14388,1049334;64316,19478,1048336;69526,17171,1053680;69679,26264,1053405;69247,28071,1049775;69313,24387,1053173
159	6			49002,44403,1050360;48913,41980,1048954;45099,41151,1049366;44268,40071,1049084;51827,40049,1049476;46169,45649,1052040
161	6			72758,33976,1050325;70824,18590,1051209;69800,21487,1054521;71303,21580,1051299;69907,23241,1054693;71843,25006,1051031;70454,26050,1050931;70404,27378,1053448;72226,26374,1050071;72169,33757,1053422;72797,32940,1049901;73285,31893,1050268;73068,30371,1051347;70735,31383,1049767;70741,31371,1049772;73413,34727,1050029;73354,35389,1050175;73021,35833,1050332;72419,36009,1052003;73457,36321,1049996;70598,23737,1050909;73708,38715,1050526;70648,25435,1050836;72422,36601,1052026;73504,41881,1050408;71321,22139,1050824;70495,21800,1051191;72031,21013,1049995;72553,40417,1053156;73450,36377,1050000;73059,30455,1051206;74196,43008,1049671;72482,22400,1050003;73278,34005,1049783;71767,24992,1051082;75301,43375,1049721;73769,40438,1050535;74102,42033,1050264;72397,42336,1053261;73142,31444,1050710;72060,31936,1053249;71985,41029,1052643;71367,32830,1052827;72574,37991,1053383;73429,43370,1050416
162	6			78009,24063,1042479;78606,20644,1041995;77648,20662,1043478;77942,19264,1043680;76736,19387,1046991;76859,20791,1046340;80253,23368,1040598;76564,22826,1047390;79174,25865,1040570;77920,25655,1043146;76849,24938,1046928;76315,26766,1047915;77262,27037,1045442;79502,28731,1040653;77273,31436,1044509;80083,40884,1041504;78448,41231,1043090;77687,40479,1045351;78314,42875,1045202;78899,44502,1044791;77379,39169,1046443;80294,36976,1041929;80597,34190,1040402;77419,20032,1044269;78727,20617,1041988;78292,21735,1042245;79875,20394,1041929;77894,22552,1042834;79687,23596,1040432;78785,24808,1040571;80013,25867,1040047;79249,22569,1041312;80583,22486,1041650;80490,25071,1040044;78618,27105,1041547;80521,27699,1040671;79628,28221,1040704;78201,29341,1040641;77136,28960,1042281;78233,30510,1040454;79826,30164,1040313;79511,31608,1039984;78572,32309,1042158;77355,32388,1044441;77753,34142,1044273;79024,33633,1041629;79729,33360,1040462;77555,35287,1044539;78955,35318,1042266;78908,36794,1041906;77589,36159,1043988;78080,37470,1043274;79673,35742,1041636;78507,39363,1042334;79647,38507,1041216;78826,38114,1041937;79859,39770,1041118;81063,38913,1042286;79336,42215,1042299;81198,41727,1040683;79715,43467,1042308;78529,47204,1044377;78588,45681,1044332;80764,45050,1039502;79755,45780,1040755;81470,42450,1039905;81975,44474,1041088;80571,43882,1039954
163	6			90058,14889,1040772
165	6			84225,26814,1043980;82227,26182,1046085;82606,26241,1042587
166	6			19198,78098,1048106
168	6			82694,26596,1042345
169	6			56362,16503,1048659;59398,18719,1049174;58142,15409,1048977;52884,18369,1049132;53927,20299,1048808;59494,15451,1049169;59302,17316,1049164;59537,25361,1048822;58113,26699,1048677;55691,28065,1048895;54299,26151,1048636;56150,22933,1048659;54900,15749,1048639;53937,28454,1049206;52525,26163,1048971;59327,28455,1049172;57382,26605,1048425;55747,26486,1048579;54698,23712,1048666;57625,23739,1048669;59470,23503,1049160;59176,21372,1049145;56459,19598,1048754;52488,22316,1048935;54296,21599,1048751;52421,20096,1049163;48510,18331,1048724;50397,17656,1049136;54884,16784,1048705;52613,15051,1048837;55245,14559,1048706
171	6			14865,80785,1048802;15472,73912,1046639;14380,75985,1047209;13061,73821,1047950;13009,77368,1047982;13030,80200,1050464;12976,82120,1048692;11916,81786,1048876;11507,79739,1048837;14189,81342,1048639;17261,81416,1049207;18243,81263,1048214;17938,77447,1048073;15355,77105,1047052;20316,77542,1048620;20737,79599,1049540;19549,80422,1048319;19623,81984,1049350;17927,82677,1050261;13345,70327,1047310;13229,72092,1047747;15299,71925,1046523;15073,68458,1045545;17191,67225,1045358;16074,65622,1045388;20224,69449,1047131;24307,72220,1045984;25131,75406,1047846;22879,76631,1047526;15512,80982,1050002;16958,80174,1048212;13769,79849,1049919;13640,80632,1048685;12471,79146,1048799;12378,80570,1048721
174	6			75537,39294,1049374;72598,22373,1050006;74793,23656,1049364;74491,24749,1049247;74280,20770,1049311;75116,18150,1048745;74733,26636,1049411;74692,28173,1048704;73388,31270,1049757;72999,32788,1049659;75074,34555,1048733;72776,34829,1050355;73836,36202,1049468;74082,38155,1049933;73875,39217,1049759;74005,40181,1049651;76445,39996,1049136;74262,41421,1049473;75634,40303,1049479;74744,22533,1049367;75408,21822,1048746;75334,20595,1048701;75728,24368,1048773;75458,26049,1048662;75374,27615,1048672;75469,31409,1048945;75748,32249,1048675;75857,33062,1048674;75614,34116,1048696;73875,34784,1049473;75473,37289,1048883;76721,45250,1049023;77025,44215,1048743;74445,42487,1049558;76392,41783,1049146;75388,40097,1049481;76428,40597,1048919;76598,38524,1048148
175	6			20651,43800,1065051;36091,30235,1053759;30547,34326,1061020;27265,29110,1054621;21232,31479,1054847;19759,30758,1056209;18924,39037,1057551;23525,42048,1060039;24050,45802,1060598;19645,45500,1065289;18621,46399,1065748;15649,46731,1063410;16295,44639,1065493;17109,41425,1065076;17917,41509,1064276;20161,40896,1066171;21202,41946,1065903;21483,43941,1065599;23530,47737,1061818;26679,50636,1062256;31049,51212,1058991;29008,44008,1065590;28727,45318,1064822;25901,44246,1065577;28872,41813,1065380;25707,45957,1063077;33301,46384,1059834;35276,45271,1059079;35026,43818,1059543;32789,42645,1060260;30315,41300,1058766;27892,38074,1063660;24053,38747,1065601;23948,36731,1065559;26117,36878,1063416;28536,36404,1062055;29618,34973,1060817;28103,48796,1063647;31623,34304,1055042;30091,31147,1053947;25490,28485,1055470;25237,31216,1057216;22399,30632,1055431;22196,35124,1055571;20278,37376,1055144;19990,39668,1057823;22555,40768,1058891;23954,40640,1058626;23632,44191,1060219;21179,47232,1062967;18990,47535,1063878;15826,46716,1063341;16196,45746,1064670;20253,45509,1064419;24693,47700,1062090;28332,45216,1065052;26118,52418,1060888;28293,52647,1059601;30081,50584,1061553;30935,48797,1063011;32342,45699,1059374;30763,44091,1059773;26825,43855,1065444;26453,42166,1065619;27822,41837,1065359;28911,37993,1063209;27438,36827,1062504;25121,38329,1065810;25028,36180,1063952
176	6			27209,48294,1063428;27176,48198,1063396;27097,48204,1063387;27696,48398,1063485;27612,48365,1063457;27554,48302,1063419;27050,48201,1063365;26981,48333,1063389;27132,48449,1063489;26921,48270,1063330
177	6			28509,43289,1065734;28372,43295,1065698;28370,43266,1065696;28384,43349,1065709;28384,43086,1065688;28263,43073,1065666;28245,43197,1065669;28184,43056,1065650;28786,43059,1065653;28671,43227,1065770;28846,43049,1065604;28562,43322,1065754
178	6			56401,20361,1048743
180	6			33859,15858,1061106
182	6			74921,27851,1048829;74940,28203,1048554;75974,30512,1048402;75457,27868,1048538;74348,28303,1048904;74645,22739,1049608;75317,20762,1048738;75703,23710,1048834;75694,25583,1048670;75406,31325,1049040;75961,32849,1048495;75690,32191,1048737;75006,34482,1048911;75562,37126,1048744;75448,39169,1049410;76330,40127,1049225;76325,41707,1049297;76633,40783,1048746;77202,44230,1048776;74194,41369,1049557;76599,45191,1049094;74203,38302,1049880;73625,36680,1049504;73650,34926,1049491;73280,33554,1049466;75903,33340,1048542;73529,31278,1049653;74671,26595,1049489;75334,26013,1048827;74410,24664,1049411;74692,23666,1049497;70981,23672,1051021;72516,22513,1050001;71425,21145,1050020;74197,20641,1049432;73967,19636,1049240;75204,18060,1048715;74546,16590,1049554
183	2			78265,54769,1103699
183	5			33969,51812,1127824;75826,60475,1144011
183	6			42409,25698,1049572;58584,56215,1051831
183	7			27146,23948,1160222
183	8			60914,21070,1083622;30595,84730,1053461
183	9			18876,31810,1057494
183	10			37159,62451,1092508;46365,16149,1064609
183	11			57627,30566,1052092
183	12			80011,46180,1079511
183	13			58127,64083,1051027;19441,38941,1056791
183	15			33469,47376,1060864;40433,97655,1063612
183	16			23521,37186,1057266
183	21			40939,43478,1059373
183	22			33796,25616,1096852;33771,24961,1096852;40286,11669,1110656;90948,71851,1121459;30814,53692,1055985
183	23			38081,37916,1049623
183	25			49529,27856,1121860;49780,27855,1121860
183	27			53344,57336,1088802;45181,30067,1076029
183	30			96212,43301,1134220;54938,9736,1053239;13081,55119,1151728
183	35			78401,112549,1172972;61012,40419,1130308
183	49			72612,67199,1112856
183	102			37278,70058,1051538;29685,86767,1066451
183	108			65495,68259,1072653
183	122			101158,75789,1079541;101892,74218,1079509
183	150			25238,28426,1093789;48760,105990,1049586;54628,81392,1168145
183	159			89577,107710,1104849
183	194			16837,76763,1137858
185	2			28118,42295,1113655;24590,38562,1114143;36340,45432,1113700;35531,42192,1112460;34102,44375,1113082;34295,47293,1114285;31911,48915,1114138;29330,48720,1111543;29084,46229,1112646;33718,43009,1112453;36810,41954,1112448;30688,41463,1111437;26341,43761,1112647;24389,42203,1114360;28361,38733,1113270;26079,40961,1113173;25364,49042,1115703;22639,49444,1112346;22400,52462,1113249;22400,52462,1113249
186	2			40520,68091,1149198
187	2			30632,54877,1150435
188	2			53847,66808,1116037
189	2			87005,42473,1120401
206	5			34326,54711,1127849;34472,54330,1127858;34039,54383,1127859;34038,54281,1127855;33589,9760,1069956;33860,9712,1069965;34821,54792,1127852;34873,54719,1127852;34263,54673,1127852
206	12			79435,46294,1079952
206	13			35332,70326,1061707;19336,39538,1057310;34923,70229,1061712
207	5			51992,41205,1122428
208	5			39536,45091,1123681
