SetID	UIID	ReplaceUIID
478	43209	48379
478	43235	48407
478	43261	48435
478	43287	48463
478	43313	48491
478	43339	48519
479	43210	48380
479	43236	48408
479	43262	48436
479	43288	48464
479	43314	48492
479	43340	48520
480	43227	48397
480	43253	48425
480	43279	48453
480	43305	48481
480	43331	48509
480	43357	48537
481	43228	48398
481	43254	48426
481	43280	48454
481	43306	48482
481	43332	48510
481	43358	48538
482	43205	48375
482	43231	48403
482	43257	48431
482	43283	48459
482	43309	48487
482	43335	48515
483	43206	48376
483	43232	48404
483	43258	48432
483	43284	48460
483	43310	48488
483	43336	48516
484	43435	48621
484	43461	48649
484	43487	48677
484	43513	48705
484	43539	48733
484	43565	48761
485	43426	48612
485	43452	48640
485	43478	48668
485	43504	48696
485	43530	48724
485	43556	48752
486	43425	48611
486	43451	48639
486	43477	48667
486	43503	48695
486	43529	48723
486	43555	48751
487	43431	48617
487	43457	48645
487	43483	48673
487	43509	48701
487	43535	48729
487	43561	48757
488	43432	48618
488	43458	48646
488	43484	48674
488	43510	48702
488	43536	48730
488	43562	48758
489	43423	48609
489	43449	48637
489	43475	48665
489	43501	48693
489	43527	48721
489	43553	48749
490	43429	48615
490	43455	48643
490	43481	48671
490	43507	48699
490	43533	48727
490	43559	48755
491	43419	48605
491	43445	48633
491	43471	48661
491	43497	48689
491	43523	48717
491	43549	48745
492	43420	48606
492	43446	48634
492	43472	48662
492	43498	48690
492	43524	48718
492	43550	48746
493	43437	48623
493	43463	48651
493	43489	48679
493	43515	48707
493	43541	48735
493	43567	48763
494	43438	48624
494	43464	48652
494	43490	48680
494	43516	48708
494	43542	48736
494	43568	48764
495	43415	48601
495	43441	48629
495	43467	48657
495	43493	48685
495	43519	48713
495	43545	48741
496	43416	48602
496	43442	48630
496	43468	48658
496	43494	48686
496	43520	48714
496	43546	48742
535	46659	46660
535	46667	46668
535	46675	46676
535	46683	46684
535	46691	46692
535	46699	46700
540	47066	47296
540	47068	47294
540	47070	47298
540	47072	47302
540	47074	47300
540	47076	47292
550	47308	48401
550	47310	48429
550	47312	48457
550	47314	48485
550	47316	48513
550	47318	48541
551	47324	48627
551	47326	48655
551	47328	48683
551	47330	48711
551	47332	48739
551	47334	48767
627	53323	53325
627	53331	53333
627	53339	53341
627	53347	53349
627	53355	53357
627	53363	53365
628	53327	53329
628	53335	53337
628	53343	53345
628	53351	53353
628	53359	53361
628	53367	53369
631	53419	53451
631	53423	53455
631	53427	53459
631	53431	53463
631	53435	53467
631	53439	53471
632	53421	53453
632	53425	53457
632	53429	53461
632	53433	53465
632	53437	53469
632	53441	53473
633	53662	53817
633	53664	53815
633	53666	53819
633	53668	53823
633	53670	53821
633	53672	53813
639	53829	53993
639	53831	53995
639	53833	53997
639	53835	53999
639	53837	54001
639	53839	54003
640	53845	54009
640	53847	54011
640	53849	54013
640	53851	54015
640	53853	54017
640	53855	54019
1849	101211	101213
1849	101215	101217
1849	101219	101221
1849	101223	101225
1849	101227	101229
1849	101231	101233
1850	101210	101212
1850	101214	101216
1850	101218	101220
1850	101222	101224
1850	101226	101228
1850	101230	101232
1855	101275	101277
1855	101279	101281
1855	101283	101285
1855	101287	101289
1855	101291	101293
1855	101295	101297
1856	100929	100931
1856	100933	100935
1856	100937	100939
1856	100941	100943
1856	100945	100947
1856	100949	100951
1857	101274	101276
1857	101278	101280
1857	101282	101284
1857	101286	101288
1857	101290	101292
1857	101294	101296
1858	100928	100930
1858	100932	100934
1858	100936	100938
1858	100940	100942
1858	100944	100946
1858	100948	100950
1859	101243	101245
1859	101247	101249
1859	101251	101253
1859	101255	101257
1859	101259	101261
1859	101263	101265
1860	100897	100899
1860	100901	100903
1860	100905	100907
1860	100909	100911
1860	100913	100915
1860	100917	100919
1861	101242	101244
1861	101246	101248
1861	101250	101252
1861	101254	101256
1861	101258	101260
1861	101262	101264
1862	100896	100898
1862	100900	100902
1862	100904	100906
1862	100908	100910
1862	100912	100914
1862	100916	100918
1863	100842	101114
1863	100844	101116
1863	100846	101118
1863	100848	101120
1863	100850	101122
1863	100852	101124
1864	100843	101115
1864	100845	101117
1864	100847	101119
1864	100849	101121
1864	100851	101123
1864	100853	101125
1867	100865	100867
1867	100869	100871
1867	100873	100875
1867	100877	100879
1867	100881	100883
1867	100885	100887
1868	100710	100712
1868	100714	100716
1868	100718	100720
1868	100722	100724
1868	100726	100728
1868	100730	100732
1869	100709	100711
1869	100713	100715
1869	100717	100719
1869	100721	100723
1869	100725	100727
1869	100729	100731
1870	100864	100866
1870	100868	100870
1870	100872	100874
1870	100876	100878
1870	100880	100882
1870	100884	100886
1871	100776	100778
1871	100780	100782
1871	100784	100786
1871	100788	100790
1871	100792	100794
1871	100796	100798
1872	100775	100777
1872	100779	100781
1872	100783	100785
1872	100787	100789
1872	100791	100793
1872	100795	100797
1881	100412	100436
1881	100416	100440
1881	100420	100444
1881	100424	100448
1881	100428	100452
1881	100432	100456
1882	100410	100434
1882	100414	100438
1882	100418	100442
1882	100422	100446
1882	100426	100450
1882	100430	100454
1883	100388	100389
1883	100392	100393
1883	100396	100397
1883	100400	100401
1883	100404	100405
1883	100408	100409
1884	100386	100387
1884	100390	100391
1884	100394	100395
1884	100398	100399
1884	100402	100403
1884	100406	100407
1885	100280	100281
1885	100284	100285
1885	100288	100289
1885	100292	100293
1885	100296	100297
1885	100300	100301
1886	100278	100279
1886	100282	100283
1886	100286	100287
1886	100290	100291
1886	100294	100295
1886	100298	100299
1887	100256	100257
1887	100260	100261
1887	100264	100265
1887	100268	100269
1887	100272	100273
1887	100276	100277
1888	100254	100255
1888	100258	100259
1888	100262	100263
1888	100266	100267
1888	100270	100271
1888	100274	100275
1901	99425	99426
1901	99429	99430
1901	99435	99436
1901	99445	99446
1901	99449	99450
1901	99453	99454
1902	99391	99392
1902	99395	99396
1902	99401	99402
1902	99411	99412
1902	99415	99416
1902	99419	99420
1903	98810	98811
1903	98814	98815
1903	98820	98821
1903	98830	98831
1903	98834	98835
1903	98838	98839
1904	98776	98777
1904	98780	98782
1904	98785	98786
1904	98795	98796
1904	98799	98800
1904	98803	98804
1935	100304	100305
1935	100308	100309
1935	100312	100313
1935	100316	100317
1935	100320	100321
1935	100324	100325
1936	100302	100303
1936	100306	100307
1936	100310	100311
1936	100314	100315
1936	100318	100319
1936	100322	100323
2266	117102	117217
2266	117125	117240
2266	117148	117263
2266	117171	117286
2266	117194	117309
2267	117103	117218
2267	117126	117241
2267	117149	117264
2267	117172	117287
2267	117195	117310
2268	117104	117219
2268	117127	117242
2268	117150	117265
2268	117173	117288
2268	117196	117311
2269	117105	117220
2269	117128	117243
2269	117151	117266
2269	117174	117289
2269	117197	117312
2270	117106	117221
2270	117129	117244
2270	117152	117267
2270	117175	117290
2270	117198	117313
2271	117107	117222
2271	117130	117245
2271	117153	117268
2271	117176	117291
2271	117199	117314
2272	117108	117223
2272	117131	117246
2272	117154	117269
2272	117177	117292
2272	117200	117315
2273	117109	117224
2273	117132	117247
2273	117155	117270
2273	117178	117293
2273	117201	117316
2274	117110	117225
2274	117133	117248
2274	117156	117271
2274	117179	117294
2274	117202	117317
2275	117111	117226
2275	117134	117249
2275	117157	117272
2275	117180	117295
2275	117203	117318
2276	117112	117227
2276	117135	117250
2276	117158	117273
2276	117181	117296
2276	117204	117319
2277	117113	117228
2277	117136	117251
2277	117159	117274
2277	117182	117297
2277	117205	117320
2278	117114	117229
2278	117137	117252
2278	117160	117275
2278	117183	117298
2278	117206	117321
2279	117115	117230
2279	117138	117253
2279	117161	117276
2279	117184	117299
2279	117207	117322
2280	117116	117231
2280	117139	117254
2280	117162	117277
2280	117185	117300
2280	117208	117323
2281	117117	117232
2281	117140	117255
2281	117163	117278
2281	117186	117301
2281	117209	117324
2282	117118	117233
2282	117141	117256
2282	117164	117279
2282	117187	117302
2282	117210	117325
2283	117119	117234
2283	117142	117257
2283	117165	117280
2283	117188	117303
2283	117211	117326
2284	117120	117235
2284	117143	117258
2284	117166	117281
2284	117189	117304
2284	117212	117327
2285	117121	117236
2285	117144	117259
2285	117167	117282
2285	117190	117305
2285	117213	117328
2286	117122	117237
2286	117145	117260
2286	117168	117283
2286	117191	117306
2286	117214	117329
2287	117123	117238
2287	117146	117261
2287	117169	117284
2287	117192	117307
2287	117215	117330
2288	117124	117239
2288	117147	117262
2288	117170	117285
2288	117193	117308
2288	117216	117331
2396	118711	119595
2396	118717	119601
2396	118723	119607
2396	118729	119613
2396	118735	119619
2396	118741	119625
2397	118712	119596
2397	118718	119602
2397	118724	119608
2397	118730	119614
2397	118736	119620
2397	118742	119626
2398	118713	119597
2398	118719	119603
2398	118725	119609
2398	118731	119615
2398	118737	119621
2398	118743	119627
2399	118714	119598
2399	118720	119604
2399	118726	119610
2399	118732	119616
2399	118738	119622
2399	118744	119628
2400	118715	119599
2400	118721	119605
2400	118727	119611
2400	118733	119617
2400	118739	119623
2400	118745	119629
2401	118716	119600
2401	118722	119606
2401	118728	119612
2401	118734	119618
2401	118740	119624
2401	118746	119630

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
