ID	Name	FromAchievementID	FromOtherItemID	Quality	CanChatShow	Desc
77	千古	1099		4		<text>text="仁哉善哉，伟哉高哉。惠德长存，芳华永定。" font=100 </text>
78	洪福		5292	2		<text>text="大富大贵，洪福齐天。事事如意，事事顺心。" font=100 </text>
79	吉祥	1245		2		<text>text="鸿运当头，吉祥如意。好运连年，洪福齐天。" font=100 </text>
80	千锋	1365		4		<text>text="神功万式，宝剑千锋。矫龙翩凤，侠影萍踪。" font=100 </text>
81	名震天下			5		<text>text="名人堂最强帮会帮主\\\n"font=100</text><text>text="泰山北斗，武林霸主。龙姿凤采，天下共尊。" font=100 </text>
82	名扬四海			4		<text>text="名人堂百强帮会帮主\\\n"font=100</text><text>text="鹏飞万里，骏驰千山。四海扬名，五岳皆知。" font=100 </text>
83	武林天骄			5		<text>text="浩气盟第十四级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="功耀武林，名震九霄。侠肝义胆，一代天骄。" font=100 </text>
84	九州大侠			5		<text>text="浩气盟第十三级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="义聚天下，名动九州。侠之大者，功盖千秋。" font=100 </text>
85	辅道天丞			5		<text>text="浩气盟第十二级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="长剑在手，正气独行。功高盖世，辅道天丞。" font=100 </text>
86	明威天相			5		<text>text="浩气盟第十一级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="威风八面，名动四方。神机天相，定国安邦。" font=100 </text>
87	匡正太师			5		<text>text="浩气盟第十级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="匡正除恶，扫灭流毒。身居正意，笑傲江湖。" font=100 </text>
88	七曜总判			5		<text>text="浩气盟第九级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="七星耀熠，纵横天涯。善恶总判，秋毫无差。" font=100 </text>
89	赏善左使			5		<text>text="浩气盟第八级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="仁心常驻，善念长存。扬善惩恶，舍我谁人。" font=100 </text>
90	罚恶右使			4		<text>text="浩气盟第七级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="铁面无私，嫉恶如仇。摧坚除恶，片甲不留。" font=100 </text>
91	天行君			4		<text>text="浩气盟第六级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="天行刚健，君子自强。长刀所向，毕露锋芒。" font=100 </text>
92	执令使			4		<text>text="浩气盟第五级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="赏罚决断，执令如山。情深似海，义若金坚。" font=100 </text>
93	落雁客			4		<text>text="浩气盟第四级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="平沙落雁，自在江湖。仗剑携酒，此生何求。" font=100 </text>
94	诛邪			4		<text>text="浩气盟第三级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="明分善恶，快意恩仇。刀锋过处，邪尽伏诛。" font=100 </text>
95	扶正			4		<text>text="浩气盟第二级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="天地正气，仁者无敌。浩气存心，所向披靡。" font=100 </text>
96	义魁			4		<text>text="浩气盟第一级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="心生侠义，势争首魁。扬鞭策马，肝胆相随。" font=100 </text>
97	极道魔尊			5		<text>text="恶人谷第十四级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="源尊极道，神鬼伏倾。万象归寂，万魔归宗。" font=100 </text>
98	祸世魔君			5		<text>text="恶人谷第十三级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="万马齐喑，山河俱动。魔君降世，祸乱苍生。" font=100 </text>
99	灭天魔王			5		<text>text="恶人谷第十二级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="天人共灭，玉石俱焚。遮空蔽日，遍野孤魂。" font=100 </text>
100	残道邪侯			5		<text>text="恶人谷第十一级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="大道无形，正邪相轻。残云翻涌，血气难平。" font=100 </text>
101	摧星邪尊			5		<text>text="恶人谷第十级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="降尊邪行，暗月摧星。寒光过处，影动风惊。" font=100 </text>
102	十恶总司			5		<text>text="恶人谷第九级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="十殿阎罗，总司善恶。天道难书，人心难测。" font=100 </text>
103	镇谷鬼帅			5		<text>text="恶人谷第八级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="镇谷枭雄，夺命鬼帅。浴血江湖，但求一败。" font=100 </text>
104	巡谷凶神			4		<text>text="恶人谷第七级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="睥睨苍生，神目如电。法眼巡天，无私铁面。" font=100 </text>
105	祸海龙			4		<text>text="恶人谷第六级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="翻江倒水，天地动容。风雷电掣，祸海狂龙。" font=100 </text>
106	啸山虎			4		<text>text="恶人谷第五级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="声若雷霆，势如猛虎。力拔山岳，威震此谷。" font=100 </text>
107	恶谷狼			4		<text>text="恶人谷第四级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="潜牙伏爪，迹匿形藏。仰天啸月，凶谷恶狼。" font=100 </text>
108	鬼雄			4		<text>text="恶人谷第三级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="生自人杰，死亦鬼雄。魑魅魍魉，各有其能。" font=100 </text>
109	杀星			4		<text>text="恶人谷第二级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="刀光暗灭，天煞孤星。不见其影，难觅其踪。" font=100 </text>
110	凶煞			4		<text>text="恶人谷第一级战阶，名剑大会场地内属性无效\\\n"font=100</text><text>text="穷凶极恶，煞气满盈。何惧蜚语，仗剑独行。" font=100 </text>
111	碧玉貂蝉		7511	4		<text>text="官方认证美女称号。" font=100 </text>
112	红袖昭君		7512	4		<text>text="官方认证美女称号。" font=100 </text>
113	青娥西子		7513	4		<text>text="官方认证美女称号。" font=100 </text>
114	倾国飞燕		7514	4		<text>text="官方认证美女称号。" font=100 </text>
115	粉黛玉环		7515	4		<text>text="官方认证美女称号。" font=100 </text>
116	阵营战武魂		7517	4		<text>text="阵营活动特殊称号。" font=100 </text>
117	阵营守护者		7516	4		<text>text="阵营活动特殊称号。" font=100 </text>
118	佳人		7522	3		<text>text="云想衣裳，瑶台月下。艳露凝香，一代佳人。" font=100 </text>
119	天下第一帮		8312	4		<text>text="帮会擂台冠军帮会。" font=100 </text>
120	济世菩萨	1707		4		<text>text="济民众生，菩萨心底。仗义疏财，活佛在世。\\\n"font=100</text><text>text="每分钟向周围10个玩家发放一次金钱，只能对同阵营玩家使用。" font=100 </text>
121	仙笛	1749		4		<text>text="天南异域，仙笛流声。七彩云影，留吾仙踪。" font=100 </text>
122	天下无敌			5		<text>text="帮会擂台冠军\\\n"font=100</text><text>text="每月根据帮会擂台活动获得此称号" font=100 </text>
123	称雄江湖			5		<text>text="帮会擂台亚军\\\n"font=100</text><text>text="每月根据帮会擂台活动获得此称号" font=100 </text>
124	斗酒	1650		4		<text>text="情悲白发，朝如三更，平乐三餐，斗酒千姿。" font=100 </text>
125	野席	1661		4		<text>text="野席兰琴，山台桂酒。枰移昼景，六著宵钟。" font=100 </text>
126	义心	1921		4		<text>text="义者游方，侠义四野。齐心协力，共创佳绩。" font=100 </text>
127	终南	1920		4		<text>text="人传入道，二仙相遇，于今终南，殿阁凌烟。" font=100 </text>
128	北斗	2431		4		<text>text="北斗神威，名震天下。七星拱瑞，灵动四方。" font=100 </text>
129	大理	1882		3		<text>text="西南骄龙，国富民强，大理段氏，名震四方。" font=100 </text>
130	塔纳	1883		3		<text>text="情非得已，不堪回首，天若有情，知我心伤。" font=100 </text>
131	凤舞	1884		3		<text>text="九霄玄凤，清鸣瑶池。五色灵彩，火羽辉煌。" font=100 </text>
132	拜火	1886		3		<text>text="百步九折，雄飞雌从。以火为圣，朝夕拜之。" font=100 </text>
133	霸刀	1880		3		<text>text="夭矫空碧，飞云化龙。兵家利器，齐名藏剑。" font=100 </text>
134	镇南	1888		3		<text>text="剑阁峥嵘，侧身西望。黄鹤之飞，镇煞南方。" font=100 </text>
135	九黎	1887		3		<text>text="云丝四面，荡漾水波。沙岸平展，九黎宁静。" font=100 </text>
136	禅心	1879		3		<text>text="古木参天，俯听寺钟。如禅定身，邪念皆空。" font=100 </text>
137	轩辕	2396		3		<text>text="轩辕连天，蛟龙出没。息声影绝，清风吹空。" font=100 </text>
138	大逃杀			4		<text>text="正在参加大逃杀活动。" font=100 </text>
139	绝世倾城		10323	4		<text>text="美女认证称号。" font=100 </text>
140	战无不胜		10320	4		<text>text="帮会跨服PK赛冠军帮会。" font=100 </text>
141	横扫千军		10321	4		<text>text="帮会跨服PK赛亚军帮会。" font=100 </text>
142	雷霆雄师		10322	4		<text>text="帮会跨服PK赛季军帮会。" font=100 </text>
143	幻相	2603		3		<text>text="云中龙凤，隐鳞藏羽。红尘掩容，幻相难辨。" font=100 </text>
144	百变	2599		3		<text>text="鹏游蝶梦，鱼龙百变。韬形灭影，超凡入圣。" font=100 </text>
145	CBT开阔者			4		
146	CBT终结者			4		
147	拿汀			4		<text>text="马来西亚荣誉称谓。" font=100 </text>
148	拿督			4		<text>text="马来西亚荣誉称谓。" font=100 </text>
149	雀翎	2715		4		<text>text="武冠唐门，蜀中地灵。精巧雀翎，侠踪幻影。" font=100 </text>
150	天竺	2767		3		<text>text="西天广庙，亲聆梵音。无忧无怖，静解经纶。" font=100 </text>
151	吹雪	2768		3		<text>text="山峦叠去，郁郁苍苍。雪夜归人，引笛吹息。" font=100 </text>
152	寒江	2916		3		<text>text="身披草衣，独坐楼船。引杆独钓，寒江水冷。" font=100 </text>
153	踏月	2917		3		<text>text="弯月随云，足间风影。溪中拂水，纵意漫歌。" font=100 </text>
154	黄泉	2918		3		<text>text="幽幽黯黯，有相思意。沉沉吟吟，黄泉路远。" font=100 </text>
155	浩然	2919		3		<text>text="山城耸立，楼间阁连。浩然千里，气冲星斗。" font=100 </text>
156	青冥	2920		3		<text>text="朝饮珍露，暮餐霞气。弹冠笑语，步踏青冥。" font=100 </text>
157	断肠	2921		3		<text>text="白发三千，未化弄清。春雨落处，相思断肠。" font=100 </text>
158	长恨	2922		3		<text>text="东流之水，西返之帆。即归已迟，恨水难西。" font=100 </text>
159	海内	2923		3		<text>text="塞上鸣箫，江南束发。四海踏破，路远人近。" font=100 </text>
160	冰弦	2950		3		<text>text="凛风萧立，拥琴独眠。夜露霜重，冰凝弦音。" font=100 </text>
161	罗刹	2924		3		<text>text="生而纵云，长时乘风。飞空潜地，罗刹持刀。" font=100 </text>
162	孤鸾	2981		3		<text>text="春神之使，赤色五彩。与凤和鸣，音声锵锵。" font=100 </text>
163	血踪万里			4		<text>text="尘染璎袍，孰人逆锋，星夜笑语，淡看生亡。" font=100 </text>
164	至圣先师			4		<text>text="其人功过，冠盖千年。已达已至，大道先贤。" font=100 </text>
165	桃李满园			3		<text>text="阳春三月，莺飞草发。彼人桃李，遍于江湖。" font=100 </text>
166	薪尽火传			3		<text>text="灼灼之火，明暗生灭。其薪固尽，其火相传。" font=100 </text>
167	青出于蓝 			4		<text>text="天下侠者，修行明道。束身修行，日胜一日。" font=100 </text>
168	老江湖		16952	5		<text>text="你若不离，我便不弃。感谢有你，一路相伴。" font=100 </text>
169	南国	3120		3		<text>text="苍山洱海，世间佳境。南国守护，无愧南灵。" font=100 </text>
170	百折	493		3		<text>text="通关试炼之塔第十层。" font=100 </text>
171	不摧	501		3		<text>text="通关试炼之塔第二十层。" font=100 </text>
172	虎威	500		3		<text>text="通关试炼之塔第三十层。" font=100 </text>
173	铁骨	499		3		<text>text="通关试炼之塔第四十层。" font=100 </text>
174	悍勇	497		3		<text>text="通关试炼之塔第五十层。" font=100 </text>
175	破竹	498		3		<text>text="通关试炼之塔第六十层。" font=100 </text>
176	不悔	495		3		<text>text="通关试炼之塔第七十层。" font=100 </text>
177	九死	3143		3		<text>text="通关试炼之塔第八十层。" font=100 </text>
178	祥麟威凤			4		<text>text="风云录本门派过关成绩排行前十名。\\\n"font=100</text><text>text="使用当前称号，试炼之地中翻牌收益大幅度提升。" font=100 </text>
179	百炼精钢			4		<text>text="风云录本门派过关成绩排行第十一名到第五十名。\\\n"font=100</text><text>text="使用当前称号，试炼之地中翻牌收益大幅度提升。" font=100 </text>
180	龙渊	1885		3		<text>text="龙渊泽泽，黒木丛生，矫矫英雄，天南王家。" font=100 </text>
181	离恨	3185		3		<text>text="不堪回首，依有怨意，天若有眼，知我恨离。" font=100 </text>
182	明子	3291		4		<text>text="怜我世人，飘零无助，惟光明子，泽被万物。" font=100 </text>
183	南天枭霸			4		<text>text="片土称王，一隅雄主。争雄起念，魂散流雾。\\\n"font=100</text><text>text="克服了重重阻碍，最终击败了暴走的南诏大将军阁逻鸿之后，南疆一带已无人不知你的伟业。" font=100 </text>
184	倾世美人			4		<text>text="仿佛兮若轻云之蔽月，飘摇兮若流风之回雪。\\\n"font=100</text><text>text="七秀内外坊之会甄选出的大唐第一美人。" font=100 </text>
185	神捕			4		<text>text="本周抓捕杀手排名第1-3名的捕快。" font=100 </text>
186	名捕			4		<text>text="本周抓捕杀手排名第4-10名的捕快。" font=100 </text>
187	捕头			3		<text>text="本周抓捕杀手排名第11-50名的捕快。" font=100 </text>
188	大唐捕快			3		<text>text="具备捕快身份，可以抓捕红名玩家。" font=100 </text>
189	惩奸除恶	3431		4		<text>text="击伤100名开启屠杀的恶徒。" font=100 </text>
190	不差钱			3		<text>text="对沈剑心使用20次鲜花或鸡蛋。" font=100 </text>
191	财大气粗			4		<text>text="对沈剑心使用100次鲜花或鸡蛋。" font=100 </text>
192	高富帅			5		<text>text="对沈剑心使用200次鲜花或鸡蛋。\\\n"font=100</text><text>text="使用当前称号，会提高福禄宝箱开出化玉玄晶的几率一点点。" font=101 </text>
193	白富美			5		<text>text="对沈剑心使用200次鲜花或鸡蛋。\\\n"font=100</text><text>text="使用当前称号，会提高福禄宝箱开出化玉玄晶的几率一点点。" font=101 </text>
194	福星高照			4		<text>text="获得沈剑心的包裹3次以上。" font=100 </text>
195	虚空仙子			4		<text>text="乘坐虚空交椅即可获得。\\\n"font=100</text><text>text="杏带柔丝，踏月眠雾。虚空生电，仙子御风。" font=100 </text>
196	虚空行者			4		<text>text="乘坐虚空交椅即可获得。\\\n"font=100</text><text>text="傲剑青衫，鸣萧醉饮。苍松垂风，行者熏熏。" font=100 </text>
197	长醉	3435		4		<text>text="迷离幻梦，难醒难眠。长醉千年，天涯放浪。" font=100 </text>
198	八荒	3453		4		<text>text="六合出云，八荒游龙。今日明朝，把臂狂歌。" font=100 </text>
199	无齿	3507		4		<text>text="齿之有无，面之青黄。行正义路，走杀生道。" font=100 </text>
200	拔营	3542		3		<text>text="连营吹角，马踏战地。拔三军旗，为座上客。" font=100 </text>
201	仁心	3543		3		<text>text="芳芳华华，中分碧草。径流幽深，心怀善意。" font=100 </text>
202	颜家	3544		3		<text>text="大义为先，身危不念。千古颜氏，一脉风骨。" font=100 </text>
203	兵部	3545		3		<text>text="点拨军械，传达战事。兵之本部，凌冽煞杀。" font=100 </text>
204	皇室	3546		3		<text>text="至高之地，无上之人。凡尘极致，皇者至尊。" font=100 </text>
205	关山	3547		3		<text>text="万里飘萍，关山栖雾。重林杂树，绿野仙踪。" font=100 </text>
206	拔牙	3548		3		<text>text="头痛医首，脚痛医足。若非无治，暂莫拔牙。" font=100 </text>
207	凌烟阁	3549		3		<text>text="名将垂暮，美人白首。凌烟之上，无无过人。" font=100 </text>
208	靖难	3614		4		<text>text="江山欲倒，大厦将倾。谁挥素手，靖难之人。" font=100 </text>
209	仗义十方		20483	4		<text>text="温酒暖胃，牵丝补衣。陋檐遮雨，把手倾心。" font=100 </text>
210	追梦人		20517	5		<text>text="燕赵苦寒，南国红袖。十年一梦，江湖风雨。" font=100 </text>
211	大燕	3894		3		<text>text="北地强豪，遨游京城。夜半引弦，梦回燕京。" font=100 </text>
212	昭华	3895		3		<text>text="金箱铜匣，健马铁车。旌旗舒展，昭华古城。" font=100 </text>
213	忠贞	3896		3		<text>text="仁厚君子，贤良廉士。不畏流言，唯守忠贞。" font=100 </text>
214	侠义	3897		3		<text>text="一分侠情，三分仁义。他虽不仁，我犹全义。" font=100 </text>
215	知兵	3927		3		<text>text="短匕袖手，长刀悬腰。暗箭匣藏，缨枪枕鞍。" font=100 </text>
216	英灵	3928		3		<text>text="古英雄汉，今意气人。有通灵念，会英灵殿。" font=100 </text>
217	大唐巡捕		21059	4		<text>text="亭户冒法，私鬻不绝，巡捕之卒，遍于州县。" font=100 </text>
218	凛风堡主			4	1	<text>text="朔风凛冽，不动吾心。醉笑红尘，独寄豪情。" font=100 </text>
219	龙门镇主			4	1	<text>text="云压寒空，征雁难度。黄沙百战，千载留名。" font=100 </text>
220	飞沙关统领			4	1	<text>text="狂沙漫天，胡月不见。铁甲犹在，可踏连营。" font=100 </text>
221	世外坡督军			4	1	<text>text="鼓角争鸣，声震百里。铁骑无双，风碎残云。" font=100 </text>
222	扶风郡守			4	1	<text>text="化鹏碎云，遮掩山河。碧血未冷，壮志当酬。" font=100 </text>
223	神池岭主			4	1	<text>text="万里烽烟，神池生波。一将功成，万骨乃枯。" font=100 </text>
224	烈日岗督军			4	1	<text>text="烈日势隆，辉耀群峰。宏图霸业，江山无疆。" font=100 </text>
225	惊虬谷主			4	1	<text>text="流霞仙岭，风起云涌。惊虬怒目，气吞山河。" font=100 </text>
226	凤鸣堡主			4	1	<text>text="朝阳东升，瑞气氤氲。凤鸣澹水，天下皆知。" font=100 </text>
227	卧龙坡督军			4	1	<text>text="绝壁擎天，白龙时舞。铁衣火刃，名动风雷。" font=100 </text>
228	日月崖主			4	1	<text>text="苍林连绵，狼啸可闻。冲袭日月，八荒称臣。" font=100 </text>
229	霜戈堡主			4	1	<text>text="飞将霜戈，纵横沙场。威震无量，扬名四海。" font=100 </text>
230	澜沧城主			4	1	<text>text="月隐澜沧，仙舞玉璧。剑光流转，照彻九霄。" font=100 </text>
231	啖杏林主			4	1	<text>text="折冲千里，所向披靡。奋勇当先，力可摧岳。" font=100 </text>
232	枫湖寨主			4	1	<text>text="枫如赤血，临危不惧。骁勇善战，谈笑撼山。" font=100 </text>
233	不空关统领			4	1	<text>text="万霞当空，铁锁横江。英姿豪气，磅礴斗牛。" font=100 </text>
234	激流坞主			4	1	<text>text="乘风破浪，鱼龙皆惊。称雄激流，谁与争锋。" font=100 </text>
235	金门关统领			4	1	<text>text="雄毅方严，屹如金门。身经百战，勇力无匹。" font=100 </text>
236	青云坞主			4	1	<text>text="天纵妙华，意气轩昂。仗剑万里，屠龙斩蛟。" font=100 </text>
237	秋雨堡主			4	1	<text>text="千里关河，秋雨弥空。雄心常在，山河开辟。" font=100 </text>
238	红莲岗督军			4	1	<text>text="烈火燎原，赤河漂杵。汗血惊尘，红莲赫绽。" font=100 </text>
239	盘龙坞主			4	1	<text>text="盘龙只影，独傲群雄。顶天立地，丹心许国。" font=100 </text>
240	逐鹿坪督军			4	1	<text>text="浮云起灭，天意无情。赤霄归心，断蛇逐鹿。" font=100 </text>
241	大理山城主			4	1	<text>text="灵台不留，飞仙飘然。笑傲羲轩，超然万象。" font=100 </text>
242	千岩关统领			4	1	<text>text="千岩当关，万夫莫开。磊落青云，精忠常在。" font=100 </text>
243	武王城主			4	1	<text>text="跃马冲阵，武王无双。柱国之才，百世之勋。" font=100 </text>
244	越南版·专属称号1（蓝）		21535	5		<text>text="越南版[名震天下]蓝色特效版本。" font=100 </text>
245	越南版·专属称号1（红）		21536	5		<text>text="越南版[名震天下]红色特效版本。" font=100 </text>
246	越南版·专属称号1（紫）		21537	5		<text>text="越南版[名震天下]紫色特效版本。" font=100 </text>
247	越南版·专属称号2（蓝）		21538	5		<text>text="越南版[老江湖]蓝色特效版本。" font=100 </text>
