TempleteId	MapId	AreaID	ActivityID	Positions
14	1			8874,31476,1068314;8708,30495,1068229;8379,31350,1068262;8728,30924,1068163;10248,31147,1067786;9437,31759,1070007;9504,32888,1072314;10209,31377,1068549;9872,31290,1068297;8578,30222,1068311;9063,32456,1072383;8342,32434,1072476;9478,30705,1068155;8719,29817,1068247;9447,30612,1068154;9047,31831,1069673;10326,32489,1071151;8368,32572,1072552;8371,32212,1075292
15	1			27021,10947,1047738;26341,10978,1047838;26091,11276,1048211;27642,10297,1047572;27250,10448,1047640;25825,11004,1048082;27427,9530,1047756;25975,9849,1047936;25678,10535,1047967
17	1			18129,24500,1053977
19	1			38130,30656,1062904;33888,28647,1057152;36324,30113,1061464;37641,31191,1062769;39474,30825,1064853;40014,32089,1065416;31370,35464,1060531;33155,34472,1060467;32343,33385,1059611;32241,35482,1062145;33160,37750,1062066;32860,38587,1062041;33839,37615,1062303;32957,38104,1062046;33505,37590,1062103;34174,36915,1062430;34449,37182,1062389;32864,30259,1057440;32521,28964,1057112;32711,28259,1056784;32622,30362,1057596;33720,29266,1056928;34686,27917,1056693;33738,28398,1057227;34355,30688,1059315;35240,29282,1059630;35536,31589,1060480;36183,29835,1061085;37201,29503,1061547;37261,32402,1062389;37289,31197,1062643;39695,29727,1062388;38681,28914,1060597;39301,29778,1062552;38671,32013,1064827;39627,32619,1065416;32070,33165,1059826;32812,32960,1059406;31697,34544,1060796;33519,35130,1061939;32786,35655,1062094;31878,36168,1061696;18648,4245,1062909;24542,6510,1055925;21333,4761,1061025;19644,5101,1060279;20468,4308,1060670;20302,2546,1066776;19142,3850,1063267;18204,7148,1054147;18989,8096,1055108;20285,8522,1054852;22761,8969,1053116;22464,4793,1060529;23504,4831,1059498;23311,6707,1057782;21991,6455,1057791;20288,6645,1057302;23830,5605,1057664;24774,7092,1054511;24689,7141,1054548;25648,8105,1052277;23532,9924,1051646;22089,9944,1050466;19775,9227,1054199;21502,9355,1053066;22362,7639,1056250;23319,8161,1054648;21224,3632,1061274;21129,3623,1061245;20270,7719,1055987;21664,5584,1059254;18249,3196,1064985;40473,30782,1064387;38153,28716,1061035;39498,31015,1064969;40311,31087,1064494;33007,34233,1060563
20	1			16302,4328,1055273;15969,4346,1055556
20	158			59686,19739,1052722;59527,20336,1052201
21	6			26011,67239,1047074;32914,66325,1042701;34527,63763,1042947;31894,59039,1043121;37044,66772,1040839;28694,69131,1046830;30836,61974,1042917;27471,60167,1042982;28068,64199,1043893;24310,62466,1044525;21343,66128,1044008;25635,69493,1047068;23767,68660,1046432;27196,71201,1047275;22475,74766,1048142;17348,71422,1046006;16124,69272,1045222;21672,72203,1046590;27815,67121,1045968;33041,61939,1043086;34027,57486,1043451;30299,67164,1044796;21941,63145,1045564;23833,77043,1047581;27993,75231,1045510;35620,59659,1043470;16607,65762,1045512;13689,72038,1047323;29564,65418,1044295;34778,61523,1043418;24394,71376,1046429
23	1			19046,26652,1051811
24	1			21060,26149,1051105
25	1			19127,24529,1054107
26	1			3310,30008,1068725
27	1			12911,37754,1077423
28	1			16497,26806,1053946
29	1			22725,18033,1047459
30	1			15155,28063,1055397
31	1			11090,35668,1076304
32	1			3487,30037,1068718
33	74			15382,25062
34	74			15337,25036
35	1			17688,26476,1053895
36	1			17031,28137,1054377
37	1			17020,26405,1053895
38	1			10371,37284,1076736
39	1			30357,27350,1051685
40	1			26619,9776,1047676
41	1			14558,26093,1054916;14342,25865,1055078
42	1			15951,27011,1054601;17036,26286,1053890;15865,27005,1054695
44	1			34017,29184,1056753;22460,22147,1047570;22710,22294,1047560;20879,31472,1048814;22229,31278,1047457;16581,20719,1047071;35640,19678,1047209;35402,19676,1047400;35083,18983,1047470;34758,19609,1047363;35335,29159,1059622;36094,29985,1061125;35526,31350,1060632;37483,30965,1062677;33864,28348,1057111;39478,32542,1065416;38030,28877,1061175;34481,30438,1059398;34180,30587,1059192;32290,29012,1057088;32523,28490,1056880;32106,33402,1059770;32994,34477,1060600;37033,32506,1062359;39633,30959,1064894;40511,31046,1064408;35763,31545,1060309;33682,37380,1062243;32622,38172,1062018;32708,37787,1062088;34525,36825,1062403;20001,29385,1049581;17574,24722,1053895;18257,30150,1054208;29918,27100,1050004;33000,26077,1050097;10689,35203,1075629;20439,29393,1049491;30070,26528,1049432;30339,27491,1051682;30493,27363,1051672;31316,25695,1050665;11084,35214,1075663;21048,25317,1051981;20739,24023,1051876;32597,30143,1057493
45	1			12071,28276,1058839
46	1			20049,29603,1049431
48	1			16064,28611,1054519
50	1			20057,27671,1050926
50	5			12030,7900,1053164
50	15			56935,34842,1061336
51	1			9869,27906,1059108
57	36			2954,24948
58	1			17589,24050,1053935
62	1			12414,38139,1076876
63	1			17564,23928,1053895
64	1			17566,23924,1053895
64	74			16251,26069
65	1			19131,28517,1049645
66	1			19556,28924,1049673
67	1			20060,4851,1060624;33648,38056,1062217;33589,38188,1062206;33867,37859,1062440;33326,38175,1062513;33708,37957,1062148;31271,36760,1061708;35499,31093,1060550;40012,29212,1062399;30926,34226,1059741;30673,33884,1060180;30752,33996,1059860;31207,33553,1061192;31342,33530,1061144;31345,33708,1060158;34195,30160,1059394;25215,6385,1054729;22929,6434,1057918;23093,6369,1058118;23824,5008,1059212;23827,4810,1059036;23750,4957,1060504;20528,5267,1060986;20317,5246,1060833;19942,4941,1060659;20033,4984,1061930;20057,5045,1060702;20936,4232,1060978;21000,4233,1062199;21121,4318,1060917;21047,4341,1060907;31201,36825,1061379
67	22			67843,30117;66770,32692
69	1			20177,29604,1049379
70	2			85841,73615,1169293
72	2			78241,64072,1102106
73	2			78363,64324,1102295
74	2			77568,51457,1103263
75	2			77763,54858,1103503
76	2			72089,45055,1100767
76	21			52890,29347,1062170
77	2			78259,52918,1103457
78	2			78973,52374,1103260
79	2			77992,51384,1103347
80	2			78440,54731,1103736
81	2			74982,53302,1101484
82	2			73987,47303,1100657
83	2			52021,47665,1189643
84	2			74052,38575,1099571
85	2			78430,63940,1102062
86	2			52462,47218,1189457
87	2			12420,10341,1141126
88	2			52748,22501,1121490
89	2			49542,14160,1124971
90	2			18983,55793,1117775
91	2			24507,67655,1114410
92	2			17406,63863,1111179
93	2			18428,55253,1115543
94	2			23359,52912,1113009
95	2			17048,63647,1111171
96	2			52406,39717,1244632
97	2			54724,49339,1200835
98	2			54637,49262,1200855
99	2			46332,47544,1162265
100	2			48784,44309,1134441
101	2			46035,46437,1162150
102	2			44991,39578,1116515
103	2			50288,45837,1133717
104	2			56936,37907,1133721
105	2			55269,41960,1133721
106	2			48999,44876,1133699
107	2			54790,49434,1200861
108	2			54493,49241,1200847
109	2			56135,45704,1133891
110	2			56496,39215,1133728
111	2			87033,42557,1120201
112	2			49416,44340,1133719
113	2			57617,38372,1133727
114	2			57500,42194,1134462
115	2			56878,42732,1133718
116	2			52616,43082,1133812
117	2			42672,48593,1124437
118	2			31436,61175,1147719
119	2			71620,62400,1103966;70616,59477,1104318;69927,60754,1105095;77011,63678,1102079;76391,64591,1103640;76057,63883,1103235;74126,64259,1105153;76025,59059,1106156;71619,62751,1103940;75106,64957,1104525;74903,67089,1103347;73705,67929,1105608;75012,68043,1104909;74319,62563,1104578;74860,65869,1104276;71487,59247,1105990;70872,58922,1104695;69075,57602,1105456;71103,58917,1104942;68869,57619,1105811;68981,57766,1105398;69111,58802,1103689;68893,59960,1103911;71372,62498,1103832;69674,62023,1108339;73460,62094,1105659;72784,62509,1104744;73499,61951,1105860;73913,64198,1105046;72070,63096,1104390;77714,65520,1103745;72776,60384,1109855;71886,63484,1104111
120	2			60075,59475,1104838;63940,59524,1105130;64038,58810,1104713;64501,53182,1106013;64645,52917,1106611;60665,62453,1114113;65531,60304,1114652;64043,62101,1112494;63290,62433,1112955;60369,63124,1113672;60140,62779,1113891;60223,62356,1114818;64007,62702,1112595;63833,62380,1112586;66516,52480,1103727;67725,52248,1103832;66162,50364,1103013;67486,49871,1104043;66354,48946,1103474;67896,49025,1104187;68609,48974,1104608;69558,49424,1104765;69144,51020,1104531;69194,52554,1103901;59793,60452,1104752;59406,58589,1104255;59137,57802,1104829;58355,56657,1103043;58294,56035,1102925;58554,55089,1101643;58900,55528,1102416;60375,55711,1104029;60311,55112,1102753;57216,55357,1101725;62678,57655,1103792;60084,56961,1107074;62818,55783,1103599;64358,56307,1103662;66102,54072,1103716;66726,59155,1103023;66941,61939,1112278;66862,62653,1111780;65264,62752,1112309;59380,64448,1113732;61292,64044,1115624;65955,62002,1112412
121	2			75519,39522,1101650;75260,40028,1101392;76817,41092,1101313;77634,37416,1101641;79120,39099,1103255;76463,36363,1102311;73698,38080,1099293;74791,38524,1100648;74369,36129,1099791;75952,35612,1101512;77281,35357,1102211;77870,37287,1101811;79037,44658,1103816;78017,45873,1100485;80399,38934,1105805;81391,37961,1107169;77760,42186,1103838;71414,32830,1100096;68557,32770,1100416;71574,34138,1100632;75402,32236,1100909;77211,32746,1103151;78625,32699,1103836;77296,30713,1101451;77599,43651,1101756;70315,31943,1100603;76275,42836,1099200;74297,40318,1099255;76521,43089,1099219;87369,36764,1124018;75295,37646,1099203;75072,37294,1099236;74141,36713,1099203;79657,35243,1103226;82001,43891,1107259;82208,43669,1107252;81702,43906,1107420;74649,37076,1099179
122	2			74794,46960,1100364;76332,45597,1099190;75781,45068,1101061;76097,43731,1099296;75239,42107,1099212;73812,41332,1099247;72748,38985,1099208;72198,38389,1099246;72912,36679,1099229;71695,39626,1100915;72595,41966,1100564;72949,43114,1098785;74018,44112,1098794;74479,43425,1099862;72881,44384,1099408;70780,44401,1102270;72598,47766,1102123;70986,47054,1103503;71797,46653,1102979;67717,43821,1104324;67550,42249,1106829;67268,41089,1105398;65773,40773,1104843;66142,38621,1102947;65682,37117,1102458;64753,35552,1102325;63651,37263,1103928;63041,34829,1104746;61694,33243,1103245;61642,31333,1102786;61357,30170,1101809;61124,29030,1100723;69886,37700,1100901;69700,36639,1100967;71211,36007,1101294;70529,34901,1101638;74902,47042,1100199;74623,47099,1100563;75044,47107,1099862;74884,47237,1099990;72239,37589,1099218
123	2			75135,31377,1100183;68742,31378,1100589;69223,34533,1101861;70387,31005,1100376;71248,32690,1100421;72793,30711,1100901;75358,29150,1101257;74269,26249,1102424;77355,28280,1104333;78419,31805,1103867;76212,33378,1101968;77752,29257,1102455;79507,27088,1102481;80780,31835,1104598;77099,37904,1100659;75159,40390,1100696;69075,33597,1100907;70715,33099,1100289;67092,31174,1101238;68346,32603,1100423;72322,35387,1100891;73653,34863,1100230;73444,32727,1099497;75550,32806,1101582;76928,37565,1100783;78376,41466,1104565;76591,36967,1101793;69537,27054,1100344;67878,26429,1100853;67882,29205,1100967;69522,30948,1100506;74431,39230,1099988;70645,37876,1101435;76278,40597,1099972;73825,34061,1100604;74294,38507,1099976;75080,38549,1100920;68111,42043,1105638;75798,39932,1101238
124	2			76547,39116,1101528;70652,35506,1101730;70215,34280,1101742;73694,33601,1100518;74720,33592,1101547;69118,39772,1101627;68629,39492,1101783;72323,41844,1100799;70170,37644,1101439;75519,29604,1101122;76608,32870,1102384;76070,32503,1101848;76829,38423,1100919;77229,36716,1102357;72628,30187,1100899;74939,30864,1100975;79101,31156,1102832;79223,27436,1102391;70873,31561,1100942;69971,31646,1100271;68461,31038,1101060;75364,38436,1100798;75057,39366,1101176;74203,39063,1099672;72603,35000,1100974;72623,42218,1100389;70347,38274,1100828;79408,33222,1102987;79060,33698,1102640;78763,40139,1104351;79362,41028,1105405;78826,42738,1104927;73256,43156,1098868;74251,26852,1102361
125	2			67871,28940,1100835;68730,28841,1100375;65671,21812,1102151;59050,21875,1101731;69330,24155,1101377;70710,23863,1101869;65077,21061,1101862;59705,25252,1101079;67548,29964,1101450;66779,29536,1101467;68893,29757,1101151;64374,22445,1101333;68274,28242,1100418;68952,34310,1101396;61091,21829,1103500;71023,32072,1101125;65017,20499,1101746;70898,23887,1101908;59876,30298,1102089;71230,33133,1099987;60846,23178,1102133;68799,30312,1101346;68118,30320,1101527;61275,22518,1102839;67832,27802,1100306;63823,21547,1101659;66823,28395,1100582;59262,23269,1101527;70281,22751,1102777;59195,22525,1101448;70682,32625,1100735;64252,20545,1101247;60207,22438,1103191;69967,33045,1100307;59937,21283,1102859;60275,23517,1101800;60198,27401,1102046;60197,28952,1101245;70198,24459,1101048;69298,23341,1101851;65236,22295,1101358;64619,21149,1101621;60948,20790,1103155;70036,32344,1100421;63663,20594,1101357;65359,28883,1101019;63568,20910,1101308;65684,26681,1101604;64294,19774,1102720
126	2			78824,34237,1102097;78253,33560,1103471;78634,33157,1103624;79212,32798,1103417;79813,33038,1102873;80101,33865,1102798;79619,37789,1103020;80451,37447,1104857;78909,37112,1102024;78985,36303,1102865;79942,36116,1104020;80892,36719,1104523;76628,27114,1102819;76908,26745,1101880;77444,27898,1104154;76689,28241,1103913;76089,28294,1103373;75164,28077,1102193;76093,26234,1102166;80849,29985,1106026;82135,28603,1107748;82709,28766,1109699;82448,29472,1109874;81803,30356,1108445;80176,24263,1100528;81553,23708,1102343;82518,25598,1103619;81747,26159,1102571;74173,35195,1099650;72400,30672,1100463;73610,29842,1102309;71675,27908,1101443;71252,26223,1101756;73303,26142,1102603;70661,29172,1100011;82639,19393,1107495;81932,20423,1106097;81403,19421,1106064;81125,21231,1104258;82577,21692,1106740;77721,31821,1103619;76824,31677,1102211;75839,33076,1101753;77015,33510,1102916;77385,27215,1102694;75169,26725,1101732;80881,28844,1105953;80732,25466,1102303;82632,24458,1104565
127	2			34750,44563,1113020;28213,37756,1113495;26934,47553,1112190;38269,40351,1112530;33464,43460,1112943;42482,21839,1117661;44181,25319,1115818;48012,23284,1117367;48595,24851,1115802;44954,28474,1110073;47536,28571,1112094;49624,28683,1113967;47252,29577,1112332;45854,34043,1110935;42905,33786,1113401;35666,36962,1113964;27003,41101,1113093;25486,41410,1113240;26438,39765,1113520;27352,35889,1113869;26870,37771,1113453;36469,42140,1112370;37455,48496,1113143;34990,43043,1112546;35454,45638,1113446;34392,47058,1114135;24331,43879,1114213;28883,47337,1112035;28625,49428,1111762;22094,49351,1112286;27629,42775,1113228;31523,40769,1113795;31423,38840,1115424;35760,40997,1112670;39405,45108,1111726;34187,45729,1113256;35069,48713,1114021;29998,41400,1112460;30948,46355,1113580;29192,42384,1113474;32933,47692,1114287;37584,37882,1112854
128	2			24894,49064,1115737;34941,38484,1113467;35981,47062,1113801;33733,42167,1111636;25930,43206,1112919;23362,47235,1114493;26730,44674,1112560;36273,44261,1113101;32698,46228,1113987;33268,48941,1114454;24205,46190,1113548;22372,47970,1114443;26865,50494,1113668;32500,44531,1113549;31702,49130,1114072;36976,46440,1113159;39874,39540,1112048;38885,37209,1113642;39048,46499,1112444;37355,42907,1113329;38543,47724,1112063;39001,49052,1112402;29548,38958,1112492;24716,37453,1114053;24774,39696,1113252;28410,39616,1113462;24334,41825,1114520;41820,35816,1111896;43271,32409,1112246;44686,31448,1113265;48353,31129,1111597;42777,23822,1116755;46024,23161,1118061;46535,26844,1111726;49516,27232,1114555;34012,39354,1113368;30206,48231,1112403;25099,51623,1112884;31054,44588,1112984;37580,41384,1112742;31415,47802,1113399
129	2			46333,9916,1080706;49830,7971,1080656;41782,13135,1079721;47421,10655,1079987;45406,11078,1079964;45224,9047,1080032;46432,7203,1080194;48234,7086,1080200;46708,11448,1080004;48480,11080,1080018;48705,9185,1080593;47415,8006,1080044;41028,10926,1079541;42838,14275,1079881;40372,16429,1079849;50910,9131,1079856;43462,8900,1079702;47842,8714,1079638;45560,12574,1079748;44493,12600,1079890;46032,8306,1079657;40457,13427,1079646;44580,10873,1079598
130	2			45761,16091,1079759;42978,16199,1080026;48068,16009,1079999;48228,15727,1080083;46692,14151,1079993;44650,16649,1079767;45533,16911,1079633;45811,13991,1080033;49390,19523,1079772;43254,17915,1079823;48949,18439,1079968;47476,14522,1079655;43638,15416,1080004;41887,17877,1079702;45920,18634,1079682;47451,17712,1079637;44985,18017,1079890;47435,14802,1079619;43378,16805,1079717;46403,17539,1079599;45458,14893,1079909;46301,13603,1080000;48748,17292,1079548
131	2			51501,47855,1136294
132	2			54391,11508,1079641;51870,12621,1079958;56904,9095,1080635;55891,9195,1079987;51230,11386,1079915;52199,10796,1079934;56450,11887,1079791;54143,10346,1079690;50954,9618,1079888;56663,11163,1079824;53515,8876,1079948;56816,13786,1079705;57387,12356,1080145;56121,11717,1079672;52894,10369,1080021;54206,12842,1079766;55278,15061,1080009;56992,12228,1079682;51303,13885,1079758;53146,14116,1079982;55565,12646,1079608
133	2			53257,17173,1079877;55845,16359,1080005;52973,14651,1080071;54551,17061,1080005;48672,16202,1080093;50127,18307,1079987;50407,17006,1079638;51493,18083,1079560;54078,19349,1079800;57219,18015,1080095;54869,17167,1080012;55203,15494,1080033;50818,19601,1080047;47769,18027,1079735;56202,17316,1080055;55225,18900,1079984;51573,15694,1080072;48894,18883,1080045
134	2			56693,19004,1080142
135	2			31332,60222,1147755;46776,60595,1133801;45992,57532,1134998;41485,69407,1149726;42460,66261,1148574;31173,56835,1147810;31210,56996,1147810;31289,60460,1147702;30324,66193,1147638;30343,66472,1147628;31891,65252,1147625;32045,65255,1147627;41818,63009,1145069;41502,57240,1150311;45265,64823,1132870;45501,65947,1132290;45078,66388,1131848;44248,72375,1137280;43900,71410,1136714;38609,59726,1148320;33975,61647,1147731;34022,61416,1147836;30635,58397,1148778;39090,63346,1147019;35473,54725,1146343;46458,69225,1119541;51351,66723,1115516;51017,68208,1115653;49306,64657,1115029;46193,71238,1116610;46229,71057,1116546;32776,57303,1147771;33709,60525,1147652;33093,62921,1147970;36226,56785,1145320;33588,57976,1146257;43887,72398,1137525;39010,63136,1146948;32184,55866,1147811
136	2			33090,63056,1147945;31820,60016,1147963;32773,57178,1147771;33546,57875,1146227;36121,56819,1145146;31459,64015,1147802;32123,59431,1148387;49427,64617,1114932;34873,59703,1147702;52322,66718,1115769;51022,68348,1115645;46628,69326,1119232;39447,60181,1147334;39410,60377,1147226;30977,66084,1147563;35985,57862,1146114;31175,58906,1148675;31213,59066,1148740;40987,58113,1148196;45506,67333,1131775;45333,68420,1132724;45034,69585,1134284;44179,70269,1135980;41144,57084,1150486;41756,63915,1145243;46699,58083,1133206;33901,62751,1147689;33842,62531,1147726;38941,57006,1148995;38557,57039,1148879;31952,66372,1147598;31915,66089,1147607;32069,60054,1148084;32717,55302,1147814;33194,55260,1147809;42332,67026,1148454;40393,69258,1150663;46255,59129,1133708;46737,59952,1133726
137	2			40864,66258,1148614;45952,60665,1133708;46027,60233,1133708;45403,56719,1135343;40478,65680,1148614;40219,65396,1148614;39665,64328,1148550;37966,59709,1149664;39669,56424,1149757;39048,56335,1149760;41429,68233,1148889;41924,68319,1148512;41542,67734,1149145;31638,60891,1147698;31807,61187,1147698;31136,66713,1147616;31335,62911,1147901;34267,64249,1147972;30561,65139,1147622;30514,64975,1147608;39341,59553,1147888;39051,59120,1147814;41408,61127,1147606;41221,61239,1147555;39933,57409,1148602;39780,57400,1148542;34596,58439,1147710;34398,58396,1147632;48128,69758,1116131;45236,61351,1133793;35342,54726,1146341;45631,59553,1133746;51061,67518,1115759;51745,69778,1115296;51462,66816,1115512;52189,66680,1115582;33756,54868,1146961;34131,57187,1145707;51036,66982,1115892
138	2			33173,65940,1147875;32700,64304,1147703;34173,57079,1145626;50878,63638,1115200;34737,59734,1147741;33593,54866,1147180;52217,66826,1115695;45447,61165,1133679;48307,69707,1115929;34919,59596,1147663;39686,64453,1148525;42329,63729,1144164;42423,63789,1144025;46612,63467,1131498;46458,63430,1131535;50927,63677,1115170;52544,68591,1115327;52583,68523,1115339;46072,71136,1116681;33963,58998,1147789;33795,58968,1147808;40936,60430,1147720;40940,60240,1147608;37775,59039,1149816;39776,59340,1147922;39569,58931,1147995;33380,65992,1147882;33522,65747,1147828;34407,64131,1147744;31202,63054,1147874;31494,66713,1147608;37927,56563,1149770;38222,56487,1149767;42456,60367,1148933;41885,59863,1148932;42097,59044,1148933;40876,66667,1148614;45315,56884,1135365
139	2			42620,60212,1148936;45690,56947,1135314;43158,52794,1122748;46425,54356,1120113;48154,56762,1128296;47660,57812,1131908;41248,66642,1148614;41156,66310,1148614;42660,60510,1148934;42084,59973,1148912;42215,59235,1148938;42361,58982,1148933;42033,59716,1148933;37975,56180,1149757;38112,56319,1149764;37951,56368,1149767;43615,53477,1121029;45358,53445,1119447;37607,58902,1149780;37597,59092,1149784;39298,59325,1147621;39530,59380,1147992;39591,63383,1146797;41536,63240,1145292;40621,63998,1146805;40444,61942,1146181;49748,66095,1114629;47070,71026,1116224;45473,62960,1133636;46262,65978,1127864;46150,63847,1131390;48695,68071,1116157;47874,67225,1115367;52706,65517,1114792;51486,65535,1115309;42767,52757,1123371;44388,52934,1120505;46808,59525,1133804;50321,69039,1115440
140	2			50150,67497,1115808;46980,57673,1132575;46294,66854,1125293;50645,64544,1113983;51673,64368,1115111;50414,65472,1114795;48700,65974,1114625;48459,68655,1115979;46196,64743,1130773;46321,67940,1121586;43449,63251,1140411;49238,70715,1115663;49695,69896,1115329;49740,68235,1115801;49442,67217,1115322;49955,66559,1115209;39379,64633,1148614;39525,59154,1147785;44657,53702,1119627;46232,58658,1133717;42252,52281,1124154;42547,52317,1124145;39493,56189,1149757;39311,56185,1149757;39292,56364,1149767;39466,56371,1149757;37796,59665,1149770;37911,59874,1149800;39456,65565,1148552;39471,65048,1148613;41249,68795,1148785;41837,67920,1148547;39340,59091,1147722;48017,57325,1130124;42360,52832,1124053;46247,60485,1133717;45495,54472,1119747;47260,55453,1123113;47804,56055,1125384
141	2			31322,66717,1147611
142	2			25547,23108,1128192;14211,15634,1137220;13139,21614,1137117;13419,25225,1139272;11865,26330,1139201;14740,23142,1138445;23573,20346,1134816;24467,21814,1131773;26818,22310,1127592;27485,24502,1124420;32386,12007,1138130;24966,13104,1137231;23199,15511,1140444;22712,13125,1137191;22192,15272,1141811;18564,20446,1140338;26325,24939,1125247;24875,19532,1134310;25978,28565,1122280;26520,28153,1122233;27177,30773,1122333;30052,26960,1122305;31995,29659,1122343;31011,26526,1109526;32736,28925,1115150;19156,12630,1141100;18190,11634,1140878;12025,19292,1141001;22132,12537,1141055;27399,27559,1122269;16611,13919,1137267;25290,21401,1130988
143	2			23318,22674,1131795;16223,14196,1137267;11027,16594,1141073;20854,13353,1141336;10846,20021,1140728;11663,17620,1140690;25670,30638,1109540;27250,32917,1114596;25806,29332,1122463;28066,32253,1122280;27743,27287,1122279;29336,26230,1122376;28559,26648,1122288;30926,28205,1122353;21016,22070,1134965;25593,25475,1125280;17728,19319,1140555;22358,14740,1140562;25647,11791,1137278;31698,12576,1139548;30657,13229,1139478;29822,13570,1138125;22926,24883,1128345;24163,24020,1128207;24776,26427,1124263;22218,21254,1134779;22575,23300,1131056;12613,25768,1139888;13416,20334,1137117;13817,15885,1137220
144	2			16784,20527,1138445;15016,17695,1137106;13876,19193,1137117;12152,20262,1137228;12413,23091,1137175;13953,15256,1137220;15751,20649,1137117;17396,8956,1141066;16680,17549,1140256;15599,11739,1141055;18530,16210,1140256;20458,14840,1140514;23105,12661,1137145;21982,11898,1138182;23816,13921,1137117;10837,26602,1138446;14652,25044,1138445;16460,22065,1138271;23819,18947,1137248;24316,22861,1131856;28515,13188,1137933;30021,16505,1137210;27843,14110,1137967;26019,17407,1137216;27885,15743,1137117;24205,14923,1137866;18236,22826,1137201;16124,23577,1137326;16183,26110,1137298;23296,16880,1141660;22073,18099,1142040;20406,19180,1141820;17595,18142,1141660;30174,31128,1122273;16190,16157,1137168;13197,11916,1140816;10237,15436,1140831;14923,13549,1140840;17677,14602,1137168;16381,13574,1137267
145	2			25038,15935,1137959;15975,13838,1137267;29723,14856,1138143;25442,24446,1124979;14101,14089,1140700;17677,10640,1140826;12578,14310,1140863;13623,17187,1137323;18950,20005,1141660;21536,18429,1141900;20930,18791,1141825;23967,17141,1140544;15157,26845,1137288;15658,24808,1137336;17454,23467,1137263;18934,22302,1137244;26856,16838,1137158;24934,18167,1137378;26581,15057,1137791;33271,11594,1138096;31156,15427,1137210;22307,20056,1137251;20297,21300,1137117;26925,26521,1125023;15804,22521,1138271;17596,21724,1138446;14034,24121,1138440;10558,27520,1138443;25424,14033,1137117;26947,13039,1137117;20679,12664,1138232;21606,14048,1140514;21256,13676,1137374;16159,11325,1140665;19510,15515,1140598;10959,13139,1141113;17574,16886,1140256;13537,15624,1137220;14293,22089,1137117;11372,21544,1137186;14672,19924,1138122
146	2			15496,8709,1140855
147	2			9067,12892,1140828
