setid	uiid	pos
1068	90017	AMULET
1068	90032	PENDANT
1068	90047	LEFT_RING
1068	90047	RIGHT_RING
1069	90018	AMULET
1069	90033	PENDANT
1069	90048	LEFT_RING
1069	90048	RIGHT_RING
1070	90019	AMULET
1070	90034	PENDANT
1070	90049	LEFT_RING
1070	90049	RIGHT_RING
1071	90050	AMULET
1071	90065	PENDANT
1071	90080	LEFT_RING
1071	90080	RIGHT_RING
1072	90051	AMULET
1072	90066	PENDANT
1072	90081	LEFT_RING
1072	90081	RIGHT_RING
1073	90052	AMULET
1073	90067	PENDANT
1073	90082	LEFT_RING
1073	90082	RIGHT_RING
1074	90053	AMULET
1074	90068	PENDANT
1074	90083	LEFT_RING
1074	90083	RIGHT_RING
1075	90054	AMULET
1075	90069	PENDANT
1075	90084	LEFT_RING
1075	90084	RIGHT_RING
1076	90055	AMULET
1076	90070	PENDANT
1076	90085	LEFT_RING
1076	90085	RIGHT_RING
1077	90056	AMULET
1077	90071	PENDANT
1077	90086	LEFT_RING
1077	90086	RIGHT_RING
1078	90057	AMULET
1078	90072	PENDANT
1078	90087	LEFT_RING
1078	90087	RIGHT_RING
1079	90058	AMULET
1079	90073	PENDANT
1079	90088	LEFT_RING
1079	90088	RIGHT_RING
1080	90059	AMULET
1080	90074	PENDANT
1080	90089	LEFT_RING
1080	90089	RIGHT_RING
1081	90060	AMULET
1081	90075	PENDANT
1081	90090	LEFT_RING
1081	90090	RIGHT_RING
1082	90061	AMULET
1082	90076	PENDANT
1082	90091	LEFT_RING
1082	90091	RIGHT_RING
1083	90062	AMULET
1083	90077	PENDANT
1083	90092	LEFT_RING
1083	90092	RIGHT_RING
1084	90063	AMULET
1084	90078	PENDANT
1084	90093	LEFT_RING
1084	90093	RIGHT_RING
1085	90064	AMULET
1085	90079	PENDANT
1085	90094	LEFT_RING
1085	90094	RIGHT_RING
1195	93246	AMULET
1195	93249	PENDANT
1195	93252	LEFT_RING
1195	93252	RIGHT_RING
1197	93263	AMULET
1197	93266	PENDANT
1197	93269	LEFT_RING
1197	93269	RIGHT_RING
1200	93297	AMULET
1200	93300	PENDANT
1200	93303	LEFT_RING
1200	93303	RIGHT_RING
1202	93314	AMULET
1202	93317	PENDANT
1202	93320	LEFT_RING
1202	93320	RIGHT_RING
1208	93432	AMULET
1208	93435	PENDANT
1208	93438	LEFT_RING
1208	93438	RIGHT_RING
1210	93449	AMULET
1210	93452	PENDANT
1210	93455	LEFT_RING
1210	93455	RIGHT_RING
1216	93541	AMULET
1216	93544	PENDANT
1216	93547	LEFT_RING
1216	93547	RIGHT_RING
1217	93550	AMULET
1217	93553	PENDANT
1217	93556	LEFT_RING
1217	93556	RIGHT_RING
1289	94899	AMULET
1289	94947	PENDANT
1289	94995	LEFT_RING
1289	94995	RIGHT_RING
1290	94900	AMULET
1290	94948	PENDANT
1290	94996	LEFT_RING
1290	94996	RIGHT_RING
1291	94901	AMULET
1291	94949	PENDANT
1291	94997	LEFT_RING
1291	94997	RIGHT_RING
1292	94902	AMULET
1292	94950	PENDANT
1292	94998	LEFT_RING
1292	94998	RIGHT_RING
1293	94903	AMULET
1293	94951	PENDANT
1293	94999	LEFT_RING
1293	94999	RIGHT_RING
1294	94904	AMULET
1294	94952	PENDANT
1294	95000	LEFT_RING
1294	95000	RIGHT_RING
1295	94905	AMULET
1295	94953	PENDANT
1295	95001	LEFT_RING
1295	95001	RIGHT_RING
1296	94906	AMULET
1296	94954	PENDANT
1296	95002	LEFT_RING
1296	95002	RIGHT_RING
1297	94907	AMULET
1297	94955	PENDANT
1297	95003	LEFT_RING
1297	95003	RIGHT_RING
1298	94908	AMULET
1298	94956	PENDANT
1298	95004	LEFT_RING
1298	95004	RIGHT_RING
1299	94909	AMULET
1299	94957	PENDANT
1299	95005	LEFT_RING
1299	95005	RIGHT_RING
1300	94910	AMULET
1300	94958	PENDANT
1300	95006	LEFT_RING
1300	95006	RIGHT_RING
1301	94911	AMULET
1301	94959	PENDANT
1301	95007	LEFT_RING
1301	95007	RIGHT_RING
1302	94912	AMULET
1302	94960	PENDANT
1302	95008	LEFT_RING
1302	95008	RIGHT_RING
1303	94913	AMULET
1303	94961	PENDANT
1303	95009	LEFT_RING
1303	95009	RIGHT_RING
1304	94914	AMULET
1304	94962	PENDANT
1304	95010	LEFT_RING
1304	95010	RIGHT_RING
1305	95043	AMULET
1305	95091	PENDANT
1305	95139	LEFT_RING
1305	95139	RIGHT_RING
1306	95044	AMULET
1306	95092	PENDANT
1306	95140	LEFT_RING
1306	95140	RIGHT_RING
1307	95045	AMULET
1307	95093	PENDANT
1307	95141	LEFT_RING
1307	95141	RIGHT_RING
1308	95046	AMULET
1308	95094	PENDANT
1308	95142	LEFT_RING
1308	95142	RIGHT_RING
1309	95047	AMULET
1309	95095	PENDANT
1309	95143	LEFT_RING
1309	95143	RIGHT_RING
1310	95048	AMULET
1310	95096	PENDANT
1310	95144	LEFT_RING
1310	95144	RIGHT_RING
1311	95049	AMULET
1311	95097	PENDANT
1311	95145	LEFT_RING
1311	95145	RIGHT_RING
1312	95050	AMULET
1312	95098	PENDANT
1312	95146	LEFT_RING
1312	95146	RIGHT_RING
1313	95051	AMULET
1313	95099	PENDANT
1313	95147	LEFT_RING
1313	95147	RIGHT_RING
1314	95052	AMULET
1314	95100	PENDANT
1314	95148	LEFT_RING
1314	95148	RIGHT_RING
1315	95053	AMULET
1315	95101	PENDANT
1315	95149	LEFT_RING
1315	95149	RIGHT_RING
1316	95054	AMULET
1316	95102	PENDANT
1316	95150	LEFT_RING
1316	95150	RIGHT_RING
1317	95055	AMULET
1317	95103	PENDANT
1317	95151	LEFT_RING
1317	95151	RIGHT_RING
1318	95056	AMULET
1318	95104	PENDANT
1318	95152	LEFT_RING
1318	95152	RIGHT_RING
1319	95057	AMULET
1319	95105	PENDANT
1319	95153	LEFT_RING
1319	95153	RIGHT_RING
1320	95058	AMULET
1320	95106	PENDANT
1320	95154	LEFT_RING
1320	95154	RIGHT_RING
1427	97344	AMULET
1427	97392	PENDANT
1427	97440	LEFT_RING
1427	97440	RIGHT_RING
1428	97345	AMULET
1428	97393	PENDANT
1428	97441	LEFT_RING
1428	97441	RIGHT_RING
1429	97346	AMULET
1429	97394	PENDANT
1429	97442	LEFT_RING
1429	97442	RIGHT_RING
1430	97347	AMULET
1430	97395	PENDANT
1430	97443	LEFT_RING
1430	97443	RIGHT_RING
1431	97348	AMULET
1431	97396	PENDANT
1431	97444	LEFT_RING
1431	97444	RIGHT_RING
1432	97349	AMULET
1432	97397	PENDANT
1432	97445	LEFT_RING
1432	97445	RIGHT_RING
1433	97350	AMULET
1433	97398	PENDANT
1433	97446	LEFT_RING
1433	97446	RIGHT_RING
1434	97351	AMULET
1434	97399	PENDANT
1434	97447	LEFT_RING
1434	97447	RIGHT_RING
1435	97352	AMULET
1435	97400	PENDANT
1435	97448	LEFT_RING
1435	97448	RIGHT_RING
1436	97353	AMULET
1436	97401	PENDANT
1436	97449	LEFT_RING
1436	97449	RIGHT_RING
1437	97354	AMULET
1437	97402	PENDANT
1437	97450	LEFT_RING
1437	97450	RIGHT_RING
1438	97355	AMULET
1438	97403	PENDANT
1438	97451	LEFT_RING
1438	97451	RIGHT_RING
1439	97356	AMULET
1439	97404	PENDANT
1439	97452	LEFT_RING
1439	97452	RIGHT_RING
1440	97357	AMULET
1440	97405	PENDANT
1440	97453	LEFT_RING
1440	97453	RIGHT_RING
1441	97358	AMULET
1441	97406	PENDANT
1441	97454	LEFT_RING
1441	97454	RIGHT_RING
1442	97359	AMULET
1442	97407	PENDANT
1442	97455	LEFT_RING
1442	97455	RIGHT_RING
1443	97488	AMULET
1443	97536	PENDANT
1443	97584	LEFT_RING
1443	97584	RIGHT_RING
1444	97489	AMULET
1444	97537	PENDANT
1444	97585	LEFT_RING
1444	97585	RIGHT_RING
1445	97490	AMULET
1445	97538	PENDANT
1445	97586	LEFT_RING
1445	97586	RIGHT_RING
1446	97491	AMULET
1446	97539	PENDANT
1446	97587	LEFT_RING
1446	97587	RIGHT_RING
1447	97492	AMULET
1447	97540	PENDANT
1447	97588	LEFT_RING
1447	97588	RIGHT_RING
1448	97493	AMULET
1448	97541	PENDANT
1448	97589	LEFT_RING
1448	97589	RIGHT_RING
1449	97494	AMULET
1449	97542	PENDANT
1449	97590	LEFT_RING
1449	97590	RIGHT_RING
1450	97495	AMULET
1450	97543	PENDANT
1450	97591	LEFT_RING
1450	97591	RIGHT_RING
1451	97496	AMULET
1451	97544	PENDANT
1451	97592	LEFT_RING
1451	97592	RIGHT_RING
1452	97497	AMULET
1452	97545	PENDANT
1452	97593	LEFT_RING
1452	97593	RIGHT_RING
1453	97498	AMULET
1453	97546	PENDANT
1453	97594	LEFT_RING
1453	97594	RIGHT_RING
1454	97499	AMULET
1454	97547	PENDANT
1454	97595	LEFT_RING
1454	97595	RIGHT_RING
1455	97500	AMULET
1455	97548	PENDANT
1455	97596	LEFT_RING
1455	97596	RIGHT_RING
1456	97501	AMULET
1456	97549	PENDANT
1456	97597	LEFT_RING
1456	97597	RIGHT_RING
1457	97502	AMULET
1457	97550	PENDANT
1457	97598	LEFT_RING
1457	97598	RIGHT_RING
1458	97503	AMULET
1458	97551	PENDANT
1458	97599	LEFT_RING
1458	97599	RIGHT_RING
1615	103758	AMULET
1615	103812	PENDANT
1615	103866	LEFT_RING
1615	103866	RIGHT_RING
1616	103759	AMULET
1616	103813	PENDANT
1616	103867	LEFT_RING
1616	103867	RIGHT_RING
1617	103760	AMULET
1617	103814	PENDANT
1617	103868	LEFT_RING
1617	103868	RIGHT_RING
1618	103761	AMULET
1618	103815	PENDANT
1618	103869	LEFT_RING
1618	103869	RIGHT_RING
1619	103762	AMULET
1619	103816	PENDANT
1619	103870	LEFT_RING
1619	103870	RIGHT_RING
1620	103763	AMULET
1620	103817	PENDANT
1620	103871	LEFT_RING
1620	103871	RIGHT_RING
1621	103764	AMULET
1621	103818	PENDANT
1621	103872	LEFT_RING
1621	103872	RIGHT_RING
1622	103765	AMULET
1622	103819	PENDANT
1622	103873	LEFT_RING
1622	103873	RIGHT_RING
1623	103766	AMULET
1623	103820	PENDANT
1623	103874	LEFT_RING
1623	103874	RIGHT_RING
1624	103767	AMULET
1624	103821	PENDANT
1624	103875	LEFT_RING
1624	103875	RIGHT_RING
1625	103768	AMULET
1625	103822	PENDANT
1625	103876	LEFT_RING
1625	103876	RIGHT_RING
1626	103769	AMULET
1626	103823	PENDANT
1626	103877	LEFT_RING
1626	103877	RIGHT_RING
1627	103770	AMULET
1627	103824	PENDANT
1627	103878	LEFT_RING
1627	103878	RIGHT_RING
1628	103771	AMULET
1628	103825	PENDANT
1628	103879	LEFT_RING
1628	103879	RIGHT_RING
1629	103772	AMULET
1629	103826	PENDANT
1629	103880	LEFT_RING
1629	103880	RIGHT_RING
1630	103773	AMULET
1630	103827	PENDANT
1630	103881	LEFT_RING
1630	103881	RIGHT_RING
1631	103774	AMULET
1631	103828	PENDANT
1631	103882	LEFT_RING
1631	103882	RIGHT_RING
1632	103775	AMULET
1632	103829	PENDANT
1632	103883	LEFT_RING
1632	103883	RIGHT_RING
1650	104636	AMULET
1650	104690	PENDANT
1650	104744	LEFT_RING
1650	104744	RIGHT_RING
1633	104619	AMULET
1633	104673	PENDANT
1633	104727	LEFT_RING
1633	104727	RIGHT_RING
1634	104620	AMULET
1634	104674	PENDANT
1634	104728	LEFT_RING
1634	104728	RIGHT_RING
1635	104621	AMULET
1635	104675	PENDANT
1635	104729	LEFT_RING
1635	104729	RIGHT_RING
1636	104622	AMULET
1636	104676	PENDANT
1636	104730	LEFT_RING
1636	104730	RIGHT_RING
1637	104623	AMULET
1637	104677	PENDANT
1637	104731	LEFT_RING
1637	104731	RIGHT_RING
1638	104624	AMULET
1638	104678	PENDANT
1638	104732	LEFT_RING
1638	104732	RIGHT_RING
1639	104625	AMULET
1639	104679	PENDANT
1639	104733	LEFT_RING
1639	104733	RIGHT_RING
1640	104626	AMULET
1640	104680	PENDANT
1640	104734	LEFT_RING
1640	104734	RIGHT_RING
1641	104627	AMULET
1641	104681	PENDANT
1641	104735	LEFT_RING
1641	104735	RIGHT_RING
1642	104628	AMULET
1642	104682	PENDANT
1642	104736	LEFT_RING
1642	104736	RIGHT_RING
1643	104629	AMULET
1643	104683	PENDANT
1643	104737	LEFT_RING
1643	104737	RIGHT_RING
1644	104630	AMULET
1644	104684	PENDANT
1644	104738	LEFT_RING
1644	104738	RIGHT_RING
1645	104631	AMULET
1645	104685	PENDANT
1645	104739	LEFT_RING
1645	104739	RIGHT_RING
1646	104632	AMULET
1646	104686	PENDANT
1646	104740	LEFT_RING
1646	104740	RIGHT_RING
1647	104633	AMULET
1647	104687	PENDANT
1647	104741	LEFT_RING
1647	104741	RIGHT_RING
1648	104634	AMULET
1648	104688	PENDANT
1648	104742	LEFT_RING
1648	104742	RIGHT_RING
1649	104635	AMULET
1649	104689	PENDANT
1649	104743	LEFT_RING
1649	104743	RIGHT_RING
1650	104636	AMULET
1650	104690	PENDANT
1650	104744	LEFT_RING
1650	104744	RIGHT_RING
1705	104065	AMULET
1705	104119	PENDANT
1705	104173	LEFT_RING
1705	104173	RIGHT_RING
1706	104066	AMULET
1706	104120	PENDANT
1706	104174	LEFT_RING
1706	104174	RIGHT_RING
1707	104067	AMULET
1707	104121	PENDANT
1707	104175	LEFT_RING
1707	104175	RIGHT_RING
1708	104068	AMULET
1708	104122	PENDANT
1708	104176	LEFT_RING
1708	104176	RIGHT_RING
1709	104069	AMULET
1709	104123	PENDANT
1709	104177	LEFT_RING
1709	104177	RIGHT_RING
1710	104070	AMULET
1710	104124	PENDANT
1710	104178	LEFT_RING
1710	104178	RIGHT_RING
1711	104071	AMULET
1711	104125	PENDANT
1711	104179	LEFT_RING
1711	104179	RIGHT_RING
1712	104072	AMULET
1712	104126	PENDANT
1712	104180	LEFT_RING
1712	104180	RIGHT_RING
1713	104073	AMULET
1713	104127	PENDANT
1713	104181	LEFT_RING
1713	104181	RIGHT_RING
1714	104074	AMULET
1714	104128	PENDANT
1714	104182	LEFT_RING
1714	104182	RIGHT_RING
1715	104075	AMULET
1715	104129	PENDANT
1715	104183	LEFT_RING
1715	104183	RIGHT_RING
1716	104076	AMULET
1716	104130	PENDANT
1716	104184	LEFT_RING
1716	104184	RIGHT_RING
1717	104077	AMULET
1717	104131	PENDANT
1717	104185	LEFT_RING
1717	104185	RIGHT_RING
1718	104078	AMULET
1718	104132	PENDANT
1718	104186	LEFT_RING
1718	104186	RIGHT_RING
1719	104079	AMULET
1719	104133	PENDANT
1719	104187	LEFT_RING
1719	104187	RIGHT_RING
1720	104080	AMULET
1720	104134	PENDANT
1720	104188	LEFT_RING
1720	104188	RIGHT_RING
1721	104081	AMULET
1721	104135	PENDANT
1721	104189	LEFT_RING
1721	104189	RIGHT_RING
1722	104082	AMULET
1722	104136	PENDANT
1722	104190	LEFT_RING
1722	104190	RIGHT_RING
1723	104926	AMULET
1723	104980	PENDANT
1723	105034	LEFT_RING
1723	105034	RIGHT_RING
1724	104927	AMULET
1724	104981	PENDANT
1724	105035	LEFT_RING
1724	105035	RIGHT_RING
1725	104928	AMULET
1725	104982	PENDANT
1725	105036	LEFT_RING
1725	105036	RIGHT_RING
1726	104929	AMULET
1726	104983	PENDANT
1726	105037	LEFT_RING
1726	105037	RIGHT_RING
1727	104930	AMULET
1727	104984	PENDANT
1727	105038	LEFT_RING
1727	105038	RIGHT_RING
1728	104931	AMULET
1728	104985	PENDANT
1728	105039	LEFT_RING
1728	105039	RIGHT_RING
1729	104932	AMULET
1729	104986	PENDANT
1729	105040	LEFT_RING
1729	105040	RIGHT_RING
1730	104933	AMULET
1730	104987	PENDANT
1730	105041	LEFT_RING
1730	105041	RIGHT_RING
1731	104934	AMULET
1731	104988	PENDANT
1731	105042	LEFT_RING
1731	105042	RIGHT_RING
1732	104935	AMULET
1732	104989	PENDANT
1732	105043	LEFT_RING
1732	105043	RIGHT_RING
1733	104936	AMULET
1733	104990	PENDANT
1733	105044	LEFT_RING
1733	105044	RIGHT_RING
1734	104937	AMULET
1734	104991	PENDANT
1734	105045	LEFT_RING
1734	105045	RIGHT_RING
1735	104938	AMULET
1735	104992	PENDANT
1735	105046	LEFT_RING
1735	105046	RIGHT_RING
1736	104939	AMULET
1736	104993	PENDANT
1736	105047	LEFT_RING
1736	105047	RIGHT_RING
1737	104940	AMULET
1737	104994	PENDANT
1737	105048	LEFT_RING
1737	105048	RIGHT_RING
1738	104941	AMULET
1738	104995	PENDANT
1738	105049	LEFT_RING
1738	105049	RIGHT_RING
1739	104942	AMULET
1739	104996	PENDANT
1739	105050	LEFT_RING
1739	105050	RIGHT_RING
1740	104943	AMULET
1740	104997	PENDANT
1740	105051	LEFT_RING
1740	105051	RIGHT_RING
1761	102562	AMULET
1761	102568	PENDANT
1761	102574	LEFT_RING
1761	102574	RIGHT_RING
1762	102561	AMULET
1762	102567	PENDANT
1762	102573	LEFT_RING
1762	102573	RIGHT_RING
1763	102544	AMULET
1763	102550	PENDANT
1763	102556	LEFT_RING
1763	102556	RIGHT_RING
1764	102543	AMULET
1764	102549	PENDANT
1764	102555	LEFT_RING
1764	102555	RIGHT_RING
1775	102418	AMULET
1775	102424	PENDANT
1775	102430	LEFT_RING
1775	102430	RIGHT_RING
1776	102417	AMULET
1776	102423	PENDANT
1776	102429	LEFT_RING
1776	102429	RIGHT_RING
1777	102400	AMULET
1777	102406	PENDANT
1777	102412	LEFT_RING
1777	102412	RIGHT_RING
1778	102399	AMULET
1778	102405	PENDANT
1778	102411	LEFT_RING
1778	102411	RIGHT_RING
1790	102288	AMULET
1790	102294	PENDANT
1790	102300	LEFT_RING
1790	102300	RIGHT_RING
1791	102287	AMULET
1791	102293	PENDANT
1791	102299	LEFT_RING
1791	102299	RIGHT_RING
1792	102270	AMULET
1792	102276	PENDANT
