ID	Name	Introduction	Describe
15	第十五步：大侠之路·加入帮会	了解帮会并加入一个帮会。	　　单枪匹马行走江湖，可是个技术活儿！俗话说得好，“众人拾柴火焰高”，若是你与志同道合的侠士组成帮会，以后遇到困难之时，也好有人照应一二，总比有事之时孤身无援好！
16	第十六步：大侠之路·帮会家园	了解帮会家园并进入帮会家园。	　　如果帮会拥有帮会家园，就等于多了个避世桃源。帮会家园里面可以储藏各种珍贵物资，还可以参加各种活动，这对帮会成员来说都是件大好事！可以去找主要城镇里的帮会家园执事玄字玖贰，他自会领你进去帮会家园。
17	第十七步：大侠之路·鱼竿鱼饵	找李霖购买鱼竿和鱼饵。	　　古往今来，钓鱼既可怡情又可消愁，乃休闲生活的重要部分。现在帮会领地后山唱晚池内已经开放了钓鱼。钓鱼既可获得的鱼儿做成美味佳肴，又能为帮会建设和发展做贡献。不过，若想钓鱼首先要在唱晚池附近的钓鱼商李霖处购买鱼竿和鱼饵。
18	第十八步：大侠之路·池边垂钓	找李霖购买鱼竿和鱼饵后在唱晚池边钓鱼。	　　李霖得意地说道：“这位侠士，不是跟你吹牛皮！方圆几百里都知道我这卖的鱼饵鱼儿最喜欢吃！准保你今天钓到条大鱼！你就在我身边钓鱼就好了！”
19	第十九步：大侠之路·购买种子	去东侧山水田园那里的郭语成处购买种子。	　　侠士可向往“采菊东篱下，悠然见南山”的山水田园生活？帮会领地东侧山水田园有一些田地可供种菜！不过播种之前，侠士首先需在田地附近的种子商郭语成处购买各种种子。事不宜迟，侠士快去买种子吧！
20	第二十步：大侠之路·归园田居	找郭语成购买种子然后在东边的山水田园种菜。	　　帮会领地东侧山水田园有一些田地可供种菜，侠士首先需在田地附近的种子商郭语成处购买各种种子。菜地可以通过不断的种植和收获果实来提高菜地的熟练度和等级。帮会领地中的菜地只允许本帮会的成员进行种植哦！
21	第二十一步：大侠之路·帮会群书	查阅帮会大厅后面的书库里收录的秘籍。	　　帮会领地之中好东西不少，比如说大厅后面的书库，里面收集了不少江湖上珍贵的武学秘籍，这都是帮会前辈们留下来的宝藏！
22	第二十二步：大侠之路·善用秘籍	查看秘籍。	　　秘籍乃是前人留下的瑰宝，每一本都会让人受益匪浅。（鼠标左键点击右下角入口或按快捷键“P”即可打开技能界面，鼠标右键点击技能图标即可查看此技能的秘籍情况。鼠标右键点击秘籍图标即可装备或取消装备秘籍，每个技能最多可装备四本秘籍。）
23	第二十三步：大侠之路·考前准备	右键点击背包内的科举考试宝典查看科举考试规则。	　　天下兴亡，匹夫有责！如今国家局势动荡，江湖纷争不断。值此危难之时，正是朝廷用人之际，故在扬州的再来镇和成都的广都镇设置科举考试。请侠士仔细阅读《科举考试宝典》上面的说明，然后去参加那科举考试。
24	第二十四步：大侠之路·科举考试	根据《科举考试宝典》所述参与一次科举考试。	　　天下兴亡，匹夫有责！如今国家局势动荡，江湖纷争不断。值此危难之时，正是朝廷用人之际，故在扬州的再来镇和成都的广都镇设置科举考试。请侠士仔细阅读《科举考试宝典》上的说明，然后去参加那科举考试，成为国之栋梁！
25	第二十五步：大侠之路·勤修不辍	完成一次“勤修不辍”任务。	　　书柜中的秘籍，需要用监本印文兑换。监本印文可以通过门派的勤修不辍任务获得，每个门派都有专门负责发布日常任务的弟子，侠士可前往门派或者各主城的活动任务公告牌处接取勤修不辍任务。
26	第一步：大侠之路·秘境任务	前往各大主城的秘境任务公告牌处了解江湖基本事宜。	　　听闻在各大主城里有一些江湖物资商，专门兜售一些品相不错的装备，不过需要用你的江湖贡献值来兑换。至于江湖贡献值的获得嘛，那就要看你是否勤勉了。每日辰时起，巡捕都会在主城内日常任务区的秘境任务公告牌上发布每日的“大战任务”榜单，揭榜并完成榜单上的击杀名单，便可获得大量江湖贡献值的奖励。你这就前往各主城的秘境任务告示牌处查看详情吧。
27	第二步：大侠之路·“大战”日常	按照秘境任务公告牌上的指引完成一次“大战任务”。	　　每日辰时起，巡捕都会在主城内日常任务区的秘境任务公告牌上发布每日的“大战任务”榜单，揭榜并完成榜单上的击杀名单，便可获得大量江湖贡献值的奖励。你这就前往各主城的秘境任务告示牌处查看详情吧。另，秘境所在之处都凶险异常，还望各位侠士组队前往，千万小心！
28	第三步：大侠之路·蹑云逐月	将轻功蹑云逐月修习至第四重。	　　轻功能大幅度提高奔跑和跳跃能力，甚至可以站立或行动于水面甚至悬浮于空中。其中的一门功夫名为“蹑云逐月”便是可以让人向前冲刺一段距离，冲刺过程中不受招式控制。蹑云逐月这门功夫共分为四重，前三重很容易修行，只需要慢慢累积修为即可成功。但是第四重便颇有难度。传言少林后山的慧言精通此功法，你可前去请教他。
29	第四步：大侠之路·扶摇直上	将轻功扶摇直上修习到十一重。	　　江湖轻功适用范围很广，不仅可使人跳很高跑很快，更可以使人身法更加灵活。其中的一门功夫名为“扶摇直上”便是可以让人身轻如燕，能跳的更高，并能施展踏云。然而这门功夫分为十一重，普通人只能修习到七重，其余的四重便要看机缘了。赵轻混迹江湖多年，认得些轻功极好的隐士高人。
30	第五步：大侠之路·世界首领	参与一次击杀世界首领。	　　为民除害，是每位侠客闯荡江湖的必修之课，赶快拿起手中的刀剑击杀世界首领，确保一方水土平安。（世界首领会在每周三晚8：00出现在黑戈壁和五台山，每周五晚8：00出现在阴山大草原和千岛湖。如果要参与击杀世界首领，最好提前进入相应的地图。要参与战斗6分钟以上才有奖励。）
31	第六步：大侠之路·勇探秘境	完成一次十人参与的秘境探索。	　　江湖上有很多人烟稀少的秘境，里面可能藏着一个大奸大恶之人，也可能只是封印了一段记忆。不过这些秘境通常都十分艰险，万万不能只身前往。而且，通常越是艰险之地便需要越多的人一起探索才安全。侠士便去个需要十人方能同去的秘境一探究竟吧！
32	第七步：大侠之路·勇闯江湖	完成一次二十五人参与的秘境探索。	　　江湖上有很多人烟稀少的秘境，里面可能藏着一个大奸大恶之人，也可能只是封印了一段记忆。不过这些秘境通常都十分艰险，万万不能只身前往。而且，通常越是艰险之地便需要越多的人一起探索才安全。侠士便去个需要二十五人方能同去的秘境一探究竟吧！
33	第一步：大侠之路·加入阵营	选择加入浩气盟或者恶人谷。	　　江湖上有两大阵营：恶人谷和浩气盟。恶人谷内恶人汇聚，号称“一入此谷，永不受苦”，历来为天下正义之人所不容。而浩气盟乃当年八大门派围攻恶人谷时所缔结，这些年来一直匡扶正道，除恶惩奸为己任。然而善恶本就没有明确的标准，侠士便选一个喜欢的加入吧！一谷一盟数年宿怨，侠士要慎重！
34	第二步：大侠之路·江湖法规	去成都广都镇找到浩气盟战场接引人或者恶人谷战场接引人。	　　江湖中传言九宫棋谷中存有《九天兵鉴》和无数珍宝，想必浩气盟和恶人谷都得到了风声。为防谷中的珍宝落入对方之手，你这便动身赶赴九宫棋谷吧！
35	第三步：大侠之路·战场火拼	参与一次“战场”。	　　江湖中传言九珍棋谷中存有《九天兵鉴》和无数珍宝，一谷一盟必然都得到了风声。为了防止谷中的珍宝落入对方手中，双方都派出了人马汇聚九珍棋谷，谷内争斗厮杀之声不绝于耳，亦称“战场”。
36	第四步：大侠之路·威望物资	了解威望，并用其购买装备。	　　在九珍棋谷内定是一场恶战。侠士可以移步到浩气盟威望物资商七星令·别南轩处或者恶人谷军需官周简白处购买威望装备。
37	第五步：大侠之路·庄内论剑	找上官玲了解名剑大会。	　　听说那藏剑山庄每隔十年便会举办一次名剑大会，每次举办都必然震动整个武林！少侠你买了装备便去那上官玲那了解一下情况吧！要是真能得个名次，我也跟着你沾了光！
38	第六步：大侠之路·名剑大会	参加一次名剑大会。	　　藏剑山庄每隔十年便会举办一次名剑大会，并从中挑选出当时最有名望兼武功剑法最高的剑客，赠予庄内十年来精心打造的宝剑一把。所赠宝剑不但锋利无匹，而且打造之法独特，普天之下绝无相同之剑。更让人心动的是能被藏剑山庄邀来品剑的宾客。受邀之人皆为当时武林中数一数二的绝顶高手，能跟这些人过上一招半式，这辈子在武学上都已用之不尽！
39	第七步：大侠之路·名剑套装	了解名剑币，并用其购买装备。	　　参加了名剑大会，无论输赢都可以获得一些名剑币。积累足够的名剑币便可在名剑套装商人处换取藏剑山庄精心打造的上乘武器。
40	第八步：大侠之路·茫茫戈壁	上官玲让你前往黑戈壁找到莫云或者莫白。	　　浩气盟与恶人谷近日因争夺矿产厮杀激烈，浩气盟和恶人谷负责此事的莫云和莫白貌似出了什么事！我虽不是你们的人，但是早年与那莫家兄弟都颇有些渊源，虽他们现在分属不同阵营，但也不愿他二人有何损伤。你且去看看吧，莫云和莫白应该都在黑戈壁。
41	第九步：大侠之路·晶矿争夺	完成一次“戈壁晶矿引烽烟”任务。	　　恶人谷的工匠偶然间在黑戈壁的坑中发现了一种奇异的矿石，此矿石经过加工后可当重用。浩气盟与恶人谷近日因争夺此等矿产厮杀激烈，前线战火弥漫！还请侠士速速前往黑戈壁，护送矿车回本阵营的营地！
42	第十步：大侠之路·武林战阶	了解战阶的作用。	　　参加各种阵营活动或者完成阵营任务都可以获得战阶积分。战阶积分可提升战阶等级，战阶等级在阵营战阶商店中作为购买战阶装备的前提条件。侠士可以前往战阶商人处看看可以可心的物件。
43	第十一步：大侠之路·据点争夺	参与一次“据点争夺”。	　　叛军兵粮物资屡遭中原义士截击，损失惨重，徐归道上奏安禄山，开启“大燕粮仓”行动，组建狼牙军“监资部”，前赴各地专责搜罗粮草，保障叛军后勤。唐皇于灵武设奖颁旨，命建宁王李倓召集中原群侠于各地初级，在唐燕两军交战正酣之时趁机夺取各地狼牙“大燕粮仓”中的粮草还于唐人，而针对大唐武人中最大的一谷一盟两大势力，更开具极具诱惑力的赏赐。
44	第一步：大侠之路·闲情逸致	了解生活技能。	　　正所谓艺多不压身，如今江湖上血雨腥风，懂得一些生活技艺的人少之又少。扬州城的赵辉便是个精通这些技艺的人，侠士且去询问他何为生活技能。
45	第二步：大侠之路·实践真知	试着用你学的采集技能给赵辉他需要的东西。	　　当你学会了采集类技艺，便可采集一些相应的东西。为了检验你学习的成果，赵辉会让你去扬州城外采集些东西给他。采集其实很简单，但是仍然需要不断地练习来提高自己。不过注意了，越稀有的东西需要相应采集技能的等级越高，并且分布的地方也越危险。
46	第三步：大侠之路·制造之路	听赵辉给你讲解如何应用制造技能。	　　制造类技能都需要相应的工具及相应的工作台才能进行。而且，施展制造类技艺时也需要消耗一些材料，这些材料可以通过相关的采集技能得到也可以购买。有时候制造也需要一些辅助的材料，可以跟相应的商人购买，但是比较珍惜的辅料就需要自己准备了。
47	第四步：大侠之路·寻觅宝藏	完成一次“挖宝”。	　　拿好你的七巧秘宝铲，在生活技艺面板找到挖宝技艺后，使用此技艺便可打开寻宝罗盘。点击罗盘上的寻宝按钮（就是罗盘上的黄色宝箱），罗盘上便会出现箭头，箭头指向则为宝藏所在。当寻到宝藏位置时，罗盘右边的锄头按钮会显示成黄色，点击便可以挖掘宝藏。在寻宝过程中，如果发现箭头所指方位频繁变化，就说明你已接近宝藏所在了，切记注意仔细搜巡。
48	第五步：大侠之路·隐元秘鉴	查看“隐元秘鉴”。	　　行走江湖每日都会发生大大小小的事，那些个有意义的事情便被记录在了隐元秘鉴之中。你且查看下属于你的隐元秘鉴，日后若是闲来无事，便可依照上面的题目行事。（按下快捷键“Y”或者点击右下角的分类中“隐元秘鉴”即可打开查看。）

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
