Force	Generation	Name	Character	Desc
8	5	流风		<text>text="叶蒙门下，流华之风。" font=100 </text>
8	6	残雪		<text>text="叶凡门下，残冬之雪。" font=100 </text>
8	7	长生		<text>text="叶婧衣门下，长元之生。" font=100 </text>
9	1	霸下		<text>text="君山总舵弟子，重任在肩。" font=100 </text>
9	2	宪章		<text>text="江陵分舵弟子，赏善锄奸。" font=100 </text>
9	3	蒲牢		<text>text="长安分舵弟子，悬壶警世。" font=100 </text>
9	4	睚眦		<text>text="洛阳分舵弟子，除恶平怨。" font=100 </text>
9	5	囚牛		<text>text="扬州分舵弟子，精通杂艺。" font=100 </text>
9	6	螭吻		<text>text="成都分舵弟子，为民消灾。" font=100 </text>
9	7	椒图		<text>text="范阳分舵弟子，防范外敌。" font=100 </text>
9	8	嘲风		<text>text="太原分舵弟子，险中求真。" font=100 </text>
10	1	辉日		<text>text="右护法沈酱侠门下,我心恒明。" font=100 </text>
10	2	影月		<text>text="墨衫夜帝卡卢比门下，灭诸魔法。" font=100 </text>
10	3	妙火		<text>text="圣女陆烟儿门下，妙火常耀。" font=100 </text>
10	4	洪水		<text>text="冰魄寒王丁君门下，百川湛然。" font=100 </text>
10	5	琉金		<text>text="三心情王左思门下，金刚法身。" font=100 </text>
10	6	星木		<text>text="左护法何方易门下，何欢一生。" font=100 </text>
10	7	方土		<text>text="双头魔王克辛波门下,无量方土。" font=100 </text>
21	1	轻眉		<text>text="长孙忘情门下,煞染轻眉。" font=100 </text>
21	2	流缘		<text>text="风夜北门下，流缘何处。" font=100 </text>
21	3	觅雪		<text>text="宋森雪门下，谁人觅雪。" font=100 </text>
21	4	万劫		<text>text="王不空门下，万劫降秽。" font=100 </text>
21	5	星河		<text>text="申屠远门下，弓挽星河。" font=100 </text>
21	6	潋滟		<text>text="燕忆眉门下，潋滟无岸。" font=100 </text>
21	7	引月		<text>text="薛直门下，引月雕云。" font=100 </text>
22	1	流霆		<text>text="门主杨逸飞门下，静水流霆。" font=100 </text>
22	2	折仙		<text>text="门主杨逸飞门下，仙凡折腰。" font=100 </text>
22	3	道子		<text>text="道子杨青月门下，大道自然。" font=100 </text>
22	4	真幻		<text>text="幻魔心韩非池门下，往生幻梦。" font=100 </text>
22	5	遗音		<text>text="古脉弦歌赵宫商门下，大圣遗音。" font=100 </text>
22	6	载川		<text>text="前缘相知张婉玉门下，文心载川。" font=100 </text>
22	7	鸾翔		<text>text="闭目晓音康念门下，静夜听鸾。" font=100 </text>
22	8	一心		<text>text="一气倾楼凤息颜门下，一心二意。" font=100 </text>
22	9	惊雷		<text>text="九变玉徽崖牙门下，百变惊雷。" font=100 </text>
23	1	归雁		<text>text="三庄主柳静海门下，雁归何处。" font=100 </text>
23	2	命途		<text>text="三庄主柳静海门下，莫测命途。" font=100 </text>
23	3	夕容		<text>text="三庄主柳静海门下，悠悠夕颜。" font=100 </text>
23	4	惊澜		<text>text="大庄主柳惊涛门下，澜卷惊涛。" font=100 </text>
23	5	吞吴		<text>text="二庄主柳浮云门下，力吞东吴。" font=100 </text>
23	6	月痕		<text>text="柳弄痕门下，霜月秋痕。" font=100 </text>
23	7	朝容		<text>text="柳夕门下，朝发花容。" font=100 </text>

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
