ID	Image	frame	ani_loop_count(0 代表不是动，非常0代表动画，-1是循环播，正数是播的次数)
103	ui\Image\ChaptersTga\五行石精炼界面(发光层).tga		
104	ui\Image\ChaptersTga\五行石精炼界面.tga		
105	ui\Image\ChaptersTga\右下角图标(发光层).tga		
106	ui\Image\ChaptersTga\右下角图标.tga		
107	ui\Image\ChaptersTga\确定选择框.Tga		
108	ui\Image\ChaptersTga\精炼成功确认界面(发光层).tga		
109	ui\Image\ChaptersTga\精炼成功确认界面.tga		
110	ui\Image\ChaptersTga\精炼界面-有五行石(发光层).tga		
111	ui\Image\ChaptersTga\精炼界面-有五行石1.tga		
112	ui\Image\ChaptersTga\精炼界面-有五行石2.tga		
113	ui\Image\ChaptersTga\背包界面.tga		
114	ui\Image\ChaptersTga\背包被选中框.tga		
115	ui\Image\ChaptersTga\背包选定框.tga		
116	ui\Image\ChaptersTga\选中一级石头.tga		
117	ui\Image\ChaptersTga\选择窗口.tga		
118	ui\Image\ChaptersTga\鼠标.tga		
119	ui\Image\ChaptersTga\使用碎片合成萤石.tga		
120	ui\Image\ChaptersTga\1000莹石.tga		
121	ui\Image\ChaptersTga\1000萤石碎片.tga		
122	ui\Image\ChaptersTga\10莹玉.tga		
123	ui\Image\ChaptersTga\余半仙对话1.tga		
124	ui\Image\ChaptersTga\余半仙对话2.tga		
125	ui\Image\ChaptersTga\余半仙对话3.tga		
126	ui\Image\ChaptersTga\余半仙对话4.tga		
127	ui\Image\ChaptersTga\打开五行石界面.tga		
128	ui\Image\ChaptersTga\占卜并领取风水罗盘.tga		
129	ui\Image\ChaptersTga\右键萤石碎片合成萤石.tga		
130	ui\Image\ChaptersTga\杂货商道具.tga		
131	ui\Image\ChaptersTga\放入五行石.tga		
132	ui\Image\ChaptersTga\放入材料.tga		
133	ui\Image\ChaptersTga\查看风水宝地的坐标.tga		
134	ui\Image\ChaptersTga\洗炼对话.tga		
135	ui\Image\ChaptersTga\洗练面板.tga		
136	ui\Image\ChaptersTga\查看成功率、加工费.tga		
137	ui\Image\ChaptersTga\洗练面板1.tga		
138	ui\Image\ChaptersTga\洗练面板2.tga		
139	ui\Image\ChaptersTga\点击精炼并确定.tga		
140	ui\Image\ChaptersTga\洗练面板3.tga		
141	ui\Image\ChaptersTga\确认消耗，点击洗炼.tga		
142	ui\Image\ChaptersTga\精炼成功！.tga		
143	ui\Image\ChaptersTga\设定被洗属性百分比.tga		
144	ui\Image\ChaptersTga\选中 ‘五行石精炼’.tga		
145	ui\Image\ChaptersTga\选择1条目标属性.tga		
146	ui\Image\ChaptersTga\选择1条被洗属性.tga		
147	ui\Image\ChaptersTga\领取占卜用的罗盘.tga		
148	ui\Image\ChaptersTga\精炼界面-有五行石.tga		
149	ui\Image\ChaptersTga\墨迹斜角.tga		
150	ui\Image\ChaptersTga\箭头右上.tga		
151	ui\Image\ChaptersTga\箭头右下.tga		
152	ui\Image\ChaptersTga\箭头左上.tga		
153	ui\Image\ChaptersTga\箭头左下.tga		
154	ui\Image\ChaptersTga\洗练面板4.tga		
155	ui\Image\ChaptersTga\洗练面板5.tga		
156	ui\Image\ChaptersTga\洗练面板6.tga		
157	ui\Image\ChaptersTga\洗练面板7.tga		
158	ui\Image\ChaptersTga\第一步准备充足的洗炼材料.tga		
159	ui\Image\ChaptersTga\第七步放入需要洗炼的装备.tga		
160	ui\Image\ChaptersTga\第三步右键可打开风水罗盘.tga		
161	ui\Image\ChaptersTga\第二步请前往余半仙处占卜.tga		
162	ui\Image\ChaptersTga\第五步成功到达风水所在地.tga		
163	ui\Image\ChaptersTga\第八步点击洗炼并查看结果.tga		
164	ui\Image\ChaptersTga\第六步选取并点击风水宝地.tga		
165	ui\Image\ChaptersTga\第四步前往罗盘指向的地图.tga		
166	ui\Image\ChaptersTga\罗盘图标.Tga		
167	ui\Image\ChaptersTga\背包无道具.tga		
168	ui\Image\ChaptersTga\获悉风水宝地的位置.tga		
169	ui\Image\ChaptersTga\莹玉选中.tga		
170	ui\Image\ChaptersTga\莹石碎片选中.tga		
171	ui\Image\ChaptersTga\莹石选中.tga		
172	ui\Image\ChaptersTga\萤玉请前往杂货商处购买.tga		
173	ui\Image\ChaptersTga\萤石碎片通过装备拆解获得.tga		
174	ui\Image\ChaptersTga\衣服.Tga		
175	ui\Image\ChaptersTga\衣服选中.tga		
176	ui\Image\ChaptersTga\请选择装备洗炼功能.tga		
177	ui\Image\ChaptersTga\选择属性被洗百分比.tga		
178	ui\Image\ChaptersTga\选择装备的目标属性.tga		
179	ui\Image\ChaptersTga\选择装备的被洗属性.tga		
180	ui\Image\ChaptersTga\风水宝地地图.tga		
181	ui\Image\ChaptersTga\藏剑_藏剑码头.tga		
182	ui\Image\ChaptersTga\藏剑_断桥.tga		
183	ui\Image\ChaptersTga\藏剑_炼天台.tga		
184	ui\Image\ChaptersTga\藏剑_楼外楼.tga		
185	ui\Image\ChaptersTga\藏剑_天泽楼.tga		
186	ui\Image\ChaptersTga\藏剑_小颖园.tga		
187	ui\Image\ChaptersTga\藏剑_叶英.tga		
188	ui\Image\ChaptersTga\纯阳_纯阳宫.tga		
189	ui\Image\ChaptersTga\纯阳_非鱼池.tga		
190	ui\Image\ChaptersTga\纯阳_李忘生.tga		
191	ui\Image\ChaptersTga\纯阳_论剑台.tga		
192	ui\Image\ChaptersTga\纯阳_三清殿.tga		
193	ui\Image\ChaptersTga\纯阳_太极广场.tga		
194	ui\Image\ChaptersTga\纯阳_雪竹林.tga		
195	ui\Image\ChaptersTga\纯阳_镇岳宫.tga		
196	ui\Image\ChaptersTga\七秀_二十四桥.tga		
197	ui\Image\ChaptersTga\七秀_画舫.tga		
198	ui\Image\ChaptersTga\七秀_水云坊.tga		
199	ui\Image\ChaptersTga\七秀_秀坊码头.tga		
200	ui\Image\ChaptersTga\七秀_叶芷青.tga		
201	ui\Image\ChaptersTga\七秀_忆盈楼.tga		
202	ui\Image\ChaptersTga\少林_藏经阁.tga		
203	ui\Image\ChaptersTga\少林_后山竹林.tga		
204	ui\Image\ChaptersTga\少林_梅花桩.tga		
205	ui\Image\ChaptersTga\少林_少林寺后院.tga		
206	ui\Image\ChaptersTga\少林_少林寺前院.tga		
207	ui\Image\ChaptersTga\少林_少室山下.tga		
208	ui\Image\ChaptersTga\少林_塔林.tga		
209	ui\Image\ChaptersTga\少林_天王殿.tga		
210	ui\Image\ChaptersTga\少林_玄正.tga		
211	ui\Image\ChaptersTga\唐门_嘉陵江.tga		
212	ui\Image\ChaptersTga\唐门_欧治子别院.tga		
213	ui\Image\ChaptersTga\唐门_唐家堡.tga		
214	ui\Image\ChaptersTga\唐门_唐家集.tga		
215	ui\Image\ChaptersTga\唐门_唐老太太.tga		
216	ui\Image\ChaptersTga\唐门_问道坡.tga		
217	ui\Image\ChaptersTga\唐门_竹海.tga		
218	ui\Image\ChaptersTga\天策_将军冢.tga		
219	ui\Image\ChaptersTga\天策_李承恩.tga		
220	ui\Image\ChaptersTga\天策_明月圃.tga		
221	ui\Image\ChaptersTga\天策_秦王殿.tga		
222	ui\Image\ChaptersTga\天策_青骓牧场.tga		
223	ui\Image\ChaptersTga\天策_小校场.tga		
224	ui\Image\ChaptersTga\天策_演武场.tga		
225	ui\Image\ChaptersTga\万花_东方宇轩.tga		
226	ui\Image\ChaptersTga\万花_花海.tga		
227	ui\Image\ChaptersTga\万花_凌云梯.tga		
228	ui\Image\ChaptersTga\万花_三星望月.tga		
229	ui\Image\ChaptersTga\万花_万花山门.tga		
230	ui\Image\ChaptersTga\万花_仙迹岩.tga		
231	ui\Image\ChaptersTga\万花_寻仙径.tga		
232	ui\Image\ChaptersTga\万花_摘星楼.tga		
233	ui\Image\ChaptersTga\五毒_蚩尤神殿.tga		
234	ui\Image\ChaptersTga\五毒_大地祭坛.tga		
235	ui\Image\ChaptersTga\五毒_曲云.tga		
236	ui\Image\ChaptersTga\五毒_圣兽潭.tga		
237	ui\Image\ChaptersTga\五毒_树顶村.tga		
238	ui\Image\ChaptersTga\五毒_五毒圣像.tga		
239	ui\Image\ChaptersTga\五毒_五毒总坛.tga		
240	ui\Image\ChaptersTga\五毒_祝融神殿.tga		
241	ui\Image\ChaptersTga\飞檐走壁.tga		
242	ui\Image\ChaptersTga\壁虎游壁.tga		
243	ui\Image\ChaptersTga\如履平地.tga		
244	ui\Image\ChaptersTga\轻功起步.tga		
245	ui\Image\ChaptersTga\攀附悬停.tga		
246	ui\Image\ChaptersTga\右看.tga		
247	ui\Image\ChaptersTga\左瞧.tga		
248	ui\Image\ChaptersTga\左行.tga		
249	ui\Image\ChaptersTga\右行.tga		
250	ui\Image\ChaptersTga\按住.tga		
251	ui\Image\ChaptersTga\高亮W.tga		
252	ui\Image\ChaptersTga\符号（+）.tga		
253	ui\Image\ChaptersTga\轻功起步双击.tga		
254	ui\Image\ChaptersTga\一段跳（后）.tga		
255	ui\Image\ChaptersTga\二段跳（后）.tga		
256	ui\Image\ChaptersTga\三段跳（后）.tga		
257	ui\Image\ChaptersTga\安禄山.tga		
258	ui\Image\ChaptersTga\道衍.tga		
259	ui\Image\ChaptersTga\独孤问俗.tga		
260	ui\Image\ChaptersTga\风夜北.tga		
261	ui\Image\ChaptersTga\葛尔东赞.tga		
262	ui\Image\ChaptersTga\谷之岚.tga		
263	ui\Image\ChaptersTga\蒋方文.tga		
264	ui\Image\ChaptersTga\狼牙高手.tga		
265	ui\Image\ChaptersTga\李光弼.tga		
266	ui\Image\ChaptersTga\祁进.tga		
267	ui\Image\ChaptersTga\申屠笑.tga		
268	ui\Image\ChaptersTga\申屠远.tga		
269	ui\Image\ChaptersTga\史思明.tga		
270	ui\Image\ChaptersTga\宋森雪.tga		
271	ui\Image\ChaptersTga\王不空.tga		
272	ui\Image\ChaptersTga\小七.tga		
273	ui\Image\ChaptersTga\薛坚.tga		
274	ui\Image\ChaptersTga\薛直.tga		
275	ui\Image\ChaptersTga\燕眉.tga		
276	ui\Image\ChaptersTga\燕忘情.tga		
277	ui\Image\ChaptersTga\黑屏.tga		
278	ui\Image\ChaptersTga\公元757.tga		
279	ui\Image\ChaptersTga\公元756.tga		
280	ui\Image\ChaptersTga\大唐子民.tga		
281	ui\Image\ChaptersTga\银甲将军.tga		
282	ui\Image\ChaptersTga\李无衣.tga		
283	ui\Image\ChaptersTga\安庆绪.tga		
284	ui\Image\ChaptersTga\按住空格蓄力.tga		
285	ui\Image\ChaptersTga\单击空格平飞.tga		
286	ui\Image\ChaptersTga\空中shift急落.tga		
287	ui\Image\ChaptersTga\中蓄力自由滑翔.tga		
288	ui\Image\ChaptersTga\田布戈.tga		
289	ui\Image\ChaptersTga\白陶.tga		
290	ui\Image\ChaptersTga\火龙摧城.tga		
291	ui\Image\ChaptersTga\李成恩.tga		
292	ui\Image\ChaptersTga\武啸威.tga		
293	ui\Image\ChaptersTga\方乾.tga		
294	ui\Image\ChaptersTga\郭子仪.tga		
295	ui\Image\ChaptersTga\李倓.tga		
296	ui\Image\ChaptersTga\高力士.tga		
297	ui\Image\ChaptersTga\杜甫.tga		
298	ui\Image\ChaptersTga\p51.tga		
299	ui\Image\ChaptersTga\p52.tga		
300	ui\Image\ChaptersTga\p53.tga		
301	ui\Image\ChaptersTga\p54.tga		
302	ui\Image\ChaptersTga\杨宁.tga		
303	ui\Image\ChaptersTga\刘梦阳.tga		
304	ui\Image\ChaptersTga\源明雅.tga		
305	ui\Image\ChaptersTga\李白.tga		
306	ui\Image\ChaptersTga\公治菱.tga		
307	ui\Image\ChaptersTga\韩非池.tga		
308	ui\Image\ChaptersTga\回纥将军.tga		
309	ui\Image\ChaptersTga\姬别情.tga		
310	ui\Image\ChaptersTga\看舞.tga		
311	ui\Image\ChaptersTga\李璘.tga		
312	ui\Image\ChaptersTga\李守礼.tga		
313	ui\Image\ChaptersTga\李玚.tga		
314	ui\Image\ChaptersTga\李重茂.tga		
315	ui\Image\ChaptersTga\林白轩.tga		
316	ui\Image\ChaptersTga\令狐伤.tga		
317	ui\Image\ChaptersTga\柳五爷.tga		
318	ui\Image\ChaptersTga\莫蕾.tga		
319	ui\Image\ChaptersTga\赵涵雅.tga		
320	ui\Image\ChaptersTga\祁进.tga		
321	ui\Image\ChaptersTga\屈焰阳.tga		
322	ui\Image\ChaptersTga\桑原森九岚.tga		
323	ui\Image\ChaptersTga\上代无名.tga		
324	ui\Image\ChaptersTga\苏曼莎.tga		
325	ui\Image\ChaptersTga\唐简.tga		
326	ui\Image\ChaptersTga\无名.tga		
327	ui\Image\ChaptersTga\谢云流.tga		
328	ui\Image\ChaptersTga\心魔幻象.tga		
329	ui\Image\ChaptersTga\崖剑.tga		
330	ui\Image\ChaptersTga\杨青月.tga		
331	ui\Image\ChaptersTga\杨尹安.tga		
332	ui\Image\ChaptersTga\叶琦菲.tga		
333	ui\Image\ChaptersTga\伊玛目.tga		
334	ui\Image\ChaptersTga\月侍弓.tga		
335	ui\Image\ChaptersTga\越真宵.tga		
336	ui\Image\ChaptersTga\张九龄.tga		
337	ui\Image\ChaptersTga\长歌门主 杨逸飞.tga		
338	ui\Image\ChaptersTga\赵池儿.tga		
339	ui\Image\ChaptersTga\赵宫商.tga		
340	ui\Image\ChaptersTga\周墨.tga		
341	ui\Image\ChaptersTga\周宋.tga		
342	ui\Image\ChaptersTga\莫雨（幼年）.tga		
343	ui\Image\ChaptersTga\莫蕾（幼年）.tga		
344	ui\Image\ChaptersTga\毛毛.tga		
345	ui\Image\ChaptersTga\胡琳.tga		
346	ui\Image\ChaptersTga\可人.tga		
347	ui\Image\ChaptersTga\多多.tga		
348	ui\Image\ChaptersTga\姜艾.tga		
349	ui\Image\ChaptersTga\卡吕比.tga		
350	ui\Image\ChaptersTga\骆北.tga		
351	ui\Image\ChaptersTga\尹慧照.tga		
352	ui\Image\ChaptersTga\于睿.tga		
353	ui\Image\ChaptersTga\卡卢比.tga		
354	ui\Image\ChaptersTga\宫傲.tga		
355	ui\Image\ChaptersTga\红色边框右上.tga		
356	ui\Image\ChaptersTga\红色边框右下.tga		
357	ui\Image\ChaptersTga\红色边框左下.tga		
358	ui\Image\ChaptersTga\红色边框左上.tga		
359	ui\Image\ChaptersTga\水墨定版a.tga		
360	ui\Image\ChaptersTga\水墨定版b.tga		
361	ui\Image\ChaptersTga\何必执着—我本寂寥独行客.tga		
362	ui\Image\ChaptersTga\何必执着—尽沥心血渡苍生.tga		
363	ui\Image\ChaptersTga\何必执着—从此，秋叶青与李复各自殊途.tga		
364	ui\Image\ChaptersTga\何必执着—江湖上少了一个痴心相随的女子.tga		
365	ui\Image\ChaptersTga\何必执着—却又多了一位至情至性的女侠.tga		
366	ui\Image\ChaptersTga\养猪状元—大唐年间.tga		
367	ui\Image\ChaptersTga\养猪状元—一直默默无闻的稻香村.tga		
368	ui\Image\ChaptersTga\养猪状元—突然出了一位远近闻名的人物.tga		
369	ui\Image\ChaptersTga\养猪状元—此人身怀养猪秘籍.tga		
370	ui\Image\ChaptersTga\养猪状元—培养出的猪肉质十分鲜美.tga		
371	ui\Image\ChaptersTga\养猪状元—被选为皇家贡品.tga		
372	ui\Image\ChaptersTga\养猪状元—每天八百里加急远送宫中.tga		
373	ui\Image\ChaptersTga\养猪状元—此人深受皇帝赏识.tga		
374	ui\Image\ChaptersTga\养猪状元—更是获得御赐“养猪状元”之称.tga		
375	ui\Image\ChaptersTga\驭兽宗师—世间万物皆有灵.tga		
376	ui\Image\ChaptersTga\驭兽宗师—偕伴山湖亦逍遥.tga		
377	ui\Image\ChaptersTga\驭兽宗师—若能远离纷争.tga		
378	ui\Image\ChaptersTga\驭兽宗师—怡然山野之中，乐以忘忧.tga		
379	ui\Image\ChaptersTga\驭兽宗师—又何尝不是人生的一大快事呢.tga		
380	ui\Image\ChaptersTga\铁血黎明—连天的大火点亮了黎明曙光.tga		
381	ui\Image\ChaptersTga\铁血黎明—就在一日之内.tga		
382	ui\Image\ChaptersTga\铁血黎明—稻香村猖獗多年的匪患.tga		
383	ui\Image\ChaptersTga\铁血黎明—终于被一位神秘侠客荡除.tga		
384	ui\Image\ChaptersTga\铁血黎明—匪首董氏兄弟带领残部仓皇逃走.tga		
385	ui\Image\ChaptersTga\铁血黎明—稻香村自此又恢复了平静.tga		
386	ui\Image\ChaptersTga\招安悍匪—大唐开元年间.tga		
387	ui\Image\ChaptersTga\招安悍匪—江湖上势力最大的十二连环坞.tga		
388	ui\Image\ChaptersTga\招安悍匪—被一位来自稻香村的神秘侠士.tga		
389	ui\Image\ChaptersTga\招安悍匪—顺藤摸瓜、连根拔除.tga		
390	ui\Image\ChaptersTga\招安悍匪—匪寨中的悍匪大多被朝廷招安.tga		
391	ui\Image\ChaptersTga\招安悍匪—编为一支精锐军队.tga		
392	ui\Image\ChaptersTga\招安悍匪—从此保家卫国，碧血黄沙.tga		
393	ui\Image\ChaptersTga\招安悍匪—为百姓称颂.tga		
394	ui\Image\ChaptersTga\重写史篇—大唐年间.tga		
395	ui\Image\ChaptersTga\重写史篇—江湖中出现一位智谋无双、武功超群的奇人.tga		
396	ui\Image\ChaptersTga\重写史篇—独行于江湖朝堂之中.tga		
397	ui\Image\ChaptersTga\重写史篇—其人料事如神.tga		
398	ui\Image\ChaptersTga\重写史篇—每每挽救苍生于危难之中.tga		
399	ui\Image\ChaptersTga\重写史篇—大唐国泰民安.tga		
400	ui\Image\ChaptersTga\重写史篇—盛世由此绵延多年.tga		
401	ui\Image\ChaptersTga\重写史篇—但，其人踪迹不定，生平来去终不可考.tga		
402	ui\Image\ChaptersTga\一世长宁—风摇芙蕖稻香起.tga		
403	ui\Image\ChaptersTga\一世长宁—竹声潇潇入人家.tga		
404	ui\Image\ChaptersTga\一世长宁—在一位少侠的治理下.tga		
405	ui\Image\ChaptersTga\一世长宁—村中百姓忘却了世上的纷扰.tga		
406	ui\Image\ChaptersTga\一世长宁—陶然乐居.tga		
407	ui\Image\ChaptersTga\一世长宁—稻香村自此成为了桃源仙乡一般的地方.tga		
408	ui\Image\ChaptersTga\长草萋萋—等我终于从江湖再归来.tga		
409	ui\Image\ChaptersTga\长草萋萋—谁知你坟前已长草萋萋.tga		
410	ui\Image\ChaptersTga\长草萋萋—自李复不辞而别.tga		
411	ui\Image\ChaptersTga\长草萋萋—孤身为天下苍生奔走后.tga		
412	ui\Image\ChaptersTga\长草萋萋—远在稻香村的秋叶青.tga		
413	ui\Image\ChaptersTga\长草萋萋—思念成疾一病不起.tga		
414	ui\Image\ChaptersTga\长草萋萋—终还是香消玉殒.tga		
415	ui\Image\ChaptersTga\长草萋萋—只剩一座荒坟.tga		
416	ui\Image\ChaptersTga\长草萋萋—坟前花草清荣似等人来.tga		
417	ui\Image\ChaptersTga\重振药宗—大唐年间.tga		
418	ui\Image\ChaptersTga\重振药宗—江湖上消失许久的古老药宗.tga		
419	ui\Image\ChaptersTga\重振药宗—“北天”一门又悄然兴起.tga		
420	ui\Image\ChaptersTga\重振药宗—宗主陈月常常与其门派副宗主一同.tga		
421	ui\Image\ChaptersTga\重振药宗—行走于世间疮痍横生之地.tga		
422	ui\Image\ChaptersTga\重振药宗—救治疾苦，为百姓所称道.tga		
423	ui\Image\ChaptersTga\一代宗主—大唐年间.tga		
424	ui\Image\ChaptersTga\一代宗主—江湖上消失许久的古老药宗.tga		
425	ui\Image\ChaptersTga\一代宗主—北天一门又悄然兴起.tga		
426	ui\Image\ChaptersTga\一代宗主—其新任宗主是一个神秘的年轻人.tga		
427	ui\Image\ChaptersTga\一代宗主—在此人的带领下药宗逐渐壮大.tga		
428	ui\Image\ChaptersTga\一代宗主—并数次救百姓于流疫之中.tga		
429	ui\Image\ChaptersTga\一代宗主—成为武林又一侠医之门.tga		
430	ui\Image\ChaptersTga\重写史篇_图片001.tga		
431	ui\Image\ChaptersTga\重写史篇_图片002.tga		
432	ui\Image\ChaptersTga\重写史篇_图片003.tga		
433	ui\Image\ChaptersTga\重写史篇_图片004.tga		
434	ui\Image\ChaptersTga\重写史篇_图片005.tga		
435	ui\Image\ChaptersTga\重写史篇_图片006.tga		
436	ui\Image\ChaptersTga\悬壶济世—悬壶济世医者心.tga		
437	ui\Image\ChaptersTga\俪影侠踪—不知从何时起.tga		
438	ui\Image\ChaptersTga\俪影侠踪—江湖上出现了两位同行的神秘侠客.tga		
439	ui\Image\ChaptersTga\俪影侠踪—其二人踪迹不定.tga		
440	ui\Image\ChaptersTga\俪影侠踪—结伴游历名山大川之中.tga		
441	ui\Image\ChaptersTga\俪影侠踪—又常常路见不平，救人于危难.tga		
442	ui\Image\ChaptersTga\俪影侠踪—其一人有绝高武功，另一人则有回春之术.tga		
443	ui\Image\ChaptersTga\俪影侠踪—被尊为“莲心侠影”.tga		
444	ui\Image\ChaptersTga\悬壶济世—快意恩仇侠客行.tga		
445	ui\Image\ChaptersTga\白屏.tga		
446	ui\Image\ChaptersTga\李复.tga		
447	ui\Image\ChaptersTga\李承恩.tga		
448	ui\Image\ChaptersTga\曹雪阳.tga		
449	ui\Image\ChaptersTga\曹炎烈.tga		
450	ui\Image\ChaptersTga\哥舒翰.tga		
451	ui\Image\ChaptersTga\鹰扬谷.tga		
452	ui\Image\ChaptersTga\柳祠.tga		
453	ui\Image\ChaptersTga\柳琦菲.tga		
454	ui\Image\ChaptersTga\琅玉庭院.tga		
455	ui\Image\ChaptersTga\冰炎谷.tga		
456	ui\Image\ChaptersTga\多多.tga		
457	ui\Image\ChaptersTga\徐归道.tga		
458	ui\Image\ChaptersTga\长孙忘情.tga		
459	ui\Image\ChaptersTga\李俶.tga		
460	ui\Image\ChaptersTga\燕忆眉.tga		
