ID	NpcID	BossName
98	6908	餐风、饮火、吞云
99	7791	千手观音
100	6436	王海银
101	6456	朱癸
102	6431	平等
103	6454	掌火
104	6455	镇恶
105	6961	餐风、饮火、吞云
106	7602	千手观音
107	11646	千手观音
108	7356	谢云流
109	7270	提多罗吒
110	7638	谢云流
111	7521	谢云流
112	7610	提多罗吒
113	7514	提多罗吒
114	7757	水烟
115	7759	罗索斯
116	7761	提坦德亚罗
117	8126	牡丹
118	9694	水烟
119	9696	罗索斯
120	10101	罗索斯
121	9698	提坦德亚罗
122	10103	提坦德亚罗
123	9707	牡丹
124	10104	牡丹
125	6610	孟康
126	6612	沐云冲
127	5834	猿飞鬼助
128	5843	濯垢奇蛛
129	11273	胡鞑
130	9750	武逸青
131	11959	智慧
132	10809	桃叶仙
133	8184	濯尘
134	10810	多多
135	9609	塔纳刀王
136	8925	水云
137	8926	苏髓
138	11148	藏·剑邪鸠
139	11149	剑心
140	12413	剑心
141	12837	摩提耶罗
142	8656	塔丹茂伯
143	12047	鲍穆侠
144	12048	乌灵风
145	14160	胡鞑
146	14159	武逸青
147	14161	智慧
148	13912	桃叶仙
149	13872	濯尘
150	13913	多多
151	12810	塔纳刀王
152	12780	水云
153	12781	苏髓
154	13923	藏·剑邪鸠
155	13924	剑心
156	13946	剑心
157	13956	摩提耶罗
158	12885	塔丹茂伯
159	12897	鲍穆侠
160	12898	乌灵风
161	15982	柳惊涛
162	16054	机关骰子
163	16322	汉唐
164	15986	密室机关
165	12387	牡丹
166	8118	塔洛马蒂
167	12388	慕容追风
168	11683	蛮熊之力
169	11688	贪狼之牙
170	11686	飞猿之影
171	8125	卫栖梧
172	12389	阿萨辛
173	12390	卓婉清
174	8124	沙利亚
175	14655	牡丹
176	14532	塔洛马蒂
177	14656	慕容追风
178	14620	蛮熊之力
179	14623	贪狼之牙
180	14621	飞猿之影
181	14539	卫栖梧
182	14657	阿萨辛
183	14658	卓婉清
184	14538	沙利亚
185	13585	牡丹
186	13462	塔洛马蒂
187	13586	慕容追风
188	13550	蛮熊之力
189	13553	贪狼之牙
190	13551	飞猿之影
191	13469	卫栖梧
192	13587	阿萨辛
193	13588	卓婉清
194	13468	沙利亚
195	15007	牡丹
196	14884	塔洛马蒂
197	15008	慕容追风
198	14972	蛮熊之力
199	14975	贪狼之牙
200	14973	飞猿之影
201	14891	卫栖梧
202	15009	阿萨辛
203	15010	卓婉清
204	14890	沙利亚
205	13804	慕容野狐、殷青丝
206	13805	里赤梅、苏贝德哈
207	14009	慕容野狐、殷青丝
208	14010	里赤梅、苏贝德哈
209	14028	慕容野狐、殷青丝
210	14029	里赤梅、苏贝德哈
211	13970	慕容野狐、殷青丝
212	13971	里赤梅、苏贝德哈
213	14239	白眉鼠王
214	14242	牡丹
215	14241	血眼龙王
216	14243	月神祭司
217	14240	剑三少
218	15678	四头蛇迪多拉
219	16162	四头蛇迪多拉
220	15478	胡鞑、武逸青
221	15652	陆寻
222	15503	南之雷神
223	16098	醉蛛老人
224	17187	索笛尔
225	17114	千秋子
226	17849	乌蒙贵
227	17293	胡鞑、武逸青
228	17321	陆寻
229	17328	南之雷神
230	17378	醉蛛老人
231	17416	索笛尔
232	17426	千秋子
233	18423	乌蒙贵
234	16480	提多罗吒
235	16423	萧沙
236	18397	提多罗吒
237	18335	萧沙
238	16668	狼牙军阵
239	17495	汪莽
240	18065	狼牙军阵
241	18095	汪莽
242	20186	问寒松
243	20187	辛然、吴颖莲
244	20188	薛山
245	20715	小巧的宝箱
246	19675	问寒松
247	19676	辛然、吴颖莲
248	19677	薛山
249	19678	西域狮王
250	19674	枯荣大师
251	18781	阁逻鸿
252	19616	萧沙
253	17033	摩提耶罗
254	17035	阁逻凤
255	20710	带锁的宝箱
256	20709	古锁宝箱
257	20564	枯荣大师
258	20384	阁逻鸿
259	20541	萧沙
260	20278	摩提耶罗
261	20280	阁逻凤
262	20699	阁逻凤
263	21690	李倓
264	20712	带锁的宝箱
265	20711	古锁宝箱
266	24983	詹素
267	24997	第五雍容
268	24998	詹毅
269	23821	詹素
270	24094	第五雍容
271	24166	詹毅
272	23361	苏清
273	23372	宁毅
274	23391	列缺、霹雳
275	24001	尹素颜
276	23971	阿依努尔
277	23978	葛尔东赞
278	21187	苏清
279	21198	宁毅
280	21217	列缺、霹雳
281	23782	尹素颜
282	22880	阿依努尔
283	23185	葛尔东赞
284	24105	英怀珠
285	24106	高力士
286	24107	安禄山
287	21882	闻人彦范
288	21883	岳承志
289	21880	卓力格图
290	21881	澹台枯火
291	24170	萧沙
292	24868	闻人彦范
293	24869	岳承志
294	24866	卓力格图
295	24867	澹台枯火
296	24928	萧沙
297	24119	何莘涯
298	24167	耶律燕
299	23344	六道傀儡
300	24169	剑圣
301	24063	无名
302	22616	伊玛目
303	22651	安禄山
304	25540	修罗的小箱子
305	25541	仁者的小箱子
306	25413	精致的宝箱
307	25412	华丽的宝箱
308	25414	傀儡宝箱
309	24102	特殊宝箱
310	24539	隐藏的箱子
311	25289	何莘涯
312	25293	耶律燕
313	25177	六道傀儡
314	25294	剑圣
315	25278	无名
316	25105	伊玛目
317	25111	安禄山
318	25542	修罗的小箱子
319	25543	仁者的小箱子
320	25417	精致的宝箱
321	25416	华丽的宝箱
322	25415	傀儡宝箱
323	25285	特殊宝箱
324	25325	隐藏的箱子
325	26055	牛介平
326	26925	安守忠
327	26926	阿史那承庆
328	26927	恶狼
329	26755	席庶云
330	26768	关卡：固守天策府
331	26832	曹炎烈
332	27037	关卡：保护青骓牧场
333	26275	沙叱博
334	26564	阿史那从礼
335	27465	黑齿元佑
336	27453	苏曼莎
337	27452	令狐伤
338	26961	天策宝箱
339	27255	席庶云
340	27261	关卡：固守天策府
341	27293	曹炎烈
342	27399	关卡：保护青骓牧场
343	27161	沙叱博
344	27215	阿史那从礼
345	27473	黑齿元佑
346	27471	苏曼莎
347	27472	令狐伤
348	27372	天策宝箱

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
