FellowPetID	SkillID1	Level1	SkillID2	Level2	SkillID3	Level3	SkillID4	Level4	SkillID5	Level5	SkillID6	Level6	SkillID7	Level7	SkillID8	Level8	SkillID9	Level9	SkillID10	Level10	SkillID11	Level11	SkillID12	Level12	SkillID13	Level13	SkillID14	Level14	SkillID15	Level15
93	9296	88	9303	57	9385	48	9386	33																						
94	9296	89	9303	58	9385	49	9386	34																						
95	9296	90	9303	59	9385	50	9386	35																						
96	13798	1	9303	60																										
97	13798	2	9303	61	9385	51	9386	36	9387	13	9388	4																		
98	13798	3	9303	62	9385	52	9386	37	9387	14																				
99	13798	4	9303	63	9385	53	9386	38	9387	15																				
100	13798	5																												
101	13798	6																												
102	13798	7	9303	64	9385	54																								
103	13798	8	9303	65	9385	55																								
104	9385	56	13798	9	9303	66																								
105	9385	57	13798	10	9303	67																								
106	9385	58	13798	11	9303	68																								
107	13798	12	9303	69	9385	59																								
108	13798	13	9303	70	9385	60	9386	39																						
109	13798	14	9303	71																										
110	13798	15	9303	72																										
111	13798	16	9303	73	9385	61	9386	40	9387	16																				
112	13798	17																												
113	13798	18																												
114	13798	19	9303	74	9385	62	9386	41																						
115	13798	20	9303	75	9385	63																								
116	9303	76	13798	21	9385	64																								
117	9303	77	13798	22	9385	65																								
118	13798	23	9303	78																										
119	13798	24	9303	79	9385	66																								
127	13798	25	9303	80	9385	67																								
128	13798	26	9303	81	9385	68	9386	42	9387	17																				
129	13798	27	9303	82	9385	69	9386	43	9387	18	9388	5																		
130	13798	28	9303	83																										
131	13798	29	9303	84	9385	70	9386	44	9387	19																				
132	13798	30																												
133	13798	31																												
134	13798	32	9303	85	9385	71																								
135	13798	33	9303	86	9385	72																								
136	13798	34	9303	87	9385	73																								
137	13798	35	9303	88	9385	74																								
138	13798	36	9303	89	9385	75																								
139	13798	37	9303	90	9385	76																								
140	13798	38	9385	77	13799	1																								
141	13798	39	13799	2	9385	78																								
142	13798	40	13799	3	9385	79	9386	45																						
143	13798	41	13799	4	9385	80																								
144	13798	42	13799	5	9385	81	9386	46	9387	20	9388	6																		
145	13798	43	13799	6	9385	82	9386	47																						
146	13798	44	13799	7	9385	83	9386	48	9387	21																				
147	13798	45	13799	8	9385	84																								
148	13798	46	13799	9	9385	85	9386	49																						
149	13798	47	13799	10	9385	86																								
150	13798	48	13799	11	9385	87																								
151	13798	49	13799	12	9385	88																								
152	13798	50	13799	13	9385	89																								
153	13798	51	13799	14	9385	90																								
154	13798	52	13799	15	13800	1																								
155	13798	53	13799	16	13800	2																								
156	13798	54	13799	17	13800	3																								
157	13798	55	13799	18	13800	4																								
158	13798	56	13799	19	13800	5																								
159	13798	57	13799	20	13800	6																								
160	13798	58	13799	21	13800	7																								
161	13798	59	13799	22	13800	8																								
162	13798	60	13799	23	13800	9																								
163	13798	61	13799	24	13800	10																								
164	13798	62	13799	25	13800	11																								
165	13798	63	13799	26	13800	12																								
166	13798	64	13799	27	13800	13																								
167	13798	65	13799	28	13800	14																								
168	13798	66	13799	29	13800	15																								
169	13798	67	13799	30	13800	16																								
170	13798	68	13799	31	13800	17																								
171	13798	69	13799	32	13800	18																								
172	13798	70	13799	33	13800	19																								
173	13798	71	13799	34	13800	20																								
174	13798	72	13799	35	13800	21																								
175	13798	73	13799	36	13800	22																								
176	13798	74	13799	37	13800	23																								
177	13798	75	13799	38	13800	24																								
178	13798	76	13799	39	13800	25																								
179	13798	77	13799	40	13800	26																								
180	13798	78	13799	41	13800	27																								
181	13798	79	13799	42	13800	28																								
182	13798	80	13799	43	13800	29																								
183	13798	81	13799	44	13800	30																								
184	13798	82	13799	45	13800	31																								
185	13798	83	13799	46	13800	32	9386	50	9387	22	9388	7																		
186	13798	84	13799	47	13800	33	9386	51	9387	23	9388	8																		
187	13798	85	13799	48	13800	34	9386	52	9387	24	9388	9																		
188	13798	86	13799	49	13800	35	9386	53	9387	25	9388	10																		
189	13798	87	13799	50	13800	36	9386	54	9387	26	9388	11																		
190	13798	88	13799	51	13800	37																								
191	13798	89	13799	52																										
192	13798	90	13799	53	13800	38	9386	55	9387	27																				
193	16098	1	13799	54	13800	39																								
194	16098	2	13799	55	13800	40																								
195	16098	3	13799	56	13800	41																								
196	16098	4	13799	57	13800	42																								
197	16098	5	13799	58	13800	43																								
198	16098	6	13799	59	13800	44																								
199	16098	7	13799	60	13800	45																								
200	16098	8	13799	61	13800	46	9386	56																						
201	16098	9	13799	62	13800	47	9386	57																						
202	16098	10	13799	63	13800	48																								
203	16098	11	13799	64	13800	49																								
204	16098	12	13799	65	13800	50																								
205	16098	13	13799	66	13800	51	9386	58	9387	28																				
206	16098	14	13799	67	13800	52	9386	59	9387	29																				
207	16098	15	13799	68	13800	53																								
208	16098	16																												
209	16098	17	13799	69	13800	54	9386	60	9387	30																				
210	16098	18	13799	70																										
211	16098	19	13799	71																										
212	16098	20	13799	72	13800	55	9386	61	9387	31																				
213	16098	21	13799	73	13800	56	9386	62																						
214	16098	22	13799	74	13800	57																								
215	16098	23	13799	75	13800	58																								
216	16098	24	13799	76	13800	59																								
217	16098	25	13799	77	13800	60																								
218	16098	26	13799	78	13800	61																								
219	16098	27	13799	79	13800	62																								
220	16098	28	13799	80	13800	63																								
221	16098	29	13799	81	13800	64																								
222	16098	30	13799	82	13800	65																								
223	16098	31	13799	83	13800	66																								
224	16098	32	13799	84	13800	67																								
225	16098	33	13799	85	13800	68																								
226	16098	34	13799	86	13800	69																								
227	16098	35	13799	87	13800	70																								
228	16098	36	13799	88	13800	71																								
229	16098	37	13799	89																										
230	16098	38	13799	90	13800	72	9386	63	9387	32																				

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
