AdultTabIndex	Name	Desc
566	银铃	<text>text="一头水性极好的水牛。" font=68</text><text>text="\\\n" font=18</text><text>text="很灵性的一头水牛，可以驮着主人凫水过河。\\\n游水时，缰绳上的银铃会发出悦耳的叮当声，那是它最喜欢的声音。" font=135</text><text>text="\\\n" font=18</text>
567	渡情	<text>text="一只翠竹结造的竹筏子。" font=68</text><text>text="\\\n俗语有云：“百年修得同船渡”\\\n大千世界，而因一筏渡水而遇者，也是前世苦修而得的缘分。" font=18</text>
568	神机·木轮	<text>text="古传三国时期诸葛亮以“辘轳车”为参考在蜀地制“木牛流马”，当地民间传此技艺，后唐家堡以废用弩机为料加以改造，制成此物。" font=8</text>
569	白蹄乌	<text>text="“白蹄乌”是唐昭陵六骏之一。" font=164</text><text>text="\\\n白蹄乌是有四只白蹄的纯黑色战马，为唐太宗李世民与薛仁杲作战时的坐骑。太宗赞其曰：“倚天长剑，追风骏足，耸辔平陇，回鞍定蜀。”" font=18</text>
570	腾雾奔	<text>text="“腾雾奔”是东汉灵帝时期某位将军的坐骑。" font=164</text><text>text="\\\n腾雾奔是大宛宝马，行若齐云而奔，恍似神骏。" font=18</text>
571	翼翻羽	<text>text="“翼翻羽”又名“翻羽”，乃是周穆王八骏之一。" font=164</text><text>text="\\\n又名绿耳，行越飞禽，曾经载周穆王至昆仑山见西王母。\\\n" font=18</text>
572	逾辉耀	<text>text="“逾辉耀”又名“逾辉”，乃是周穆王八骏之一。" font=164</text><text>text="\\\n首高八尺，龙颅而风膺，虎脊而豹章，振鬣长鸣，万马皆喑。" font=18</text>
573	精骑足饰	
574	精骑鞍饰	
575	精骑头饰	
576	精骑胸饰	
577	银风笼套	
578	银风蹄铁	
579	银风鞍具	
580	银风障泥	
581	黑云笼套	
582	黑云蹄铁	
583	黑云鞍具	
584	黑云障泥	
585	黑炎足饰	
586	黑炎足饰	
587	黑炎足饰	
588	黑炎足饰	
589	踏血足饰	
590	踏血鞍饰	
591	踏血头饰	
592	踏血胸饰	
593	腾雾	<text>text="“腾雾”是周朝时周穆王八骏之一。" font=164</text><text>text="\\\n《穆天子传》：\\\n壬戌天子至雷首，犬戍觞天子雷首之阿，乃献良马四六。" font=18</text>
594	照夜白	<text>text="“照夜白”是唐玄宗最喜爱的御马。" font=164</text><text>text="\\\n照夜白曾跟随唐玄宗南征北战，立下无数战功，是皇帝的宠爱之马。\\\n杜甫诗曰：曾观先帝照夜白，龙池十日飞霹雳。" font=18</text>
595	望云骓	<text>text="“望云骓”是唐皇爱骥。" font=164</text><text>text="\\\n《望云骓马歌》：\\\n望云骓，尔之种类世世奇。\\\n当时项王乘尔祖，分配英豪称霸主。\\\n尔身今日逢圣人，从幸巴渝归入秦。\\\n功成事遂身退天之道，何必随群逐队到死蹋红尘。" font=18</text>
596	素月	<text>text="“素月”是回鹘进贡给唐太宗的宝马。" font=164</text><text>text="\\\n骨利干处瀚海北，其大酋俟斤遣使者献良马数十匹，太宗为之制名，因其色纯净如满月，号为素月。" font=18</text>
597	黑影足饰	
598	黑影鞍饰	
599	黑影头饰	
600	黑影胸饰	
601	西山秘宝·虚位交椅	<text>text="一顶四人抬的轿子。\\\n" font=68</text><text>text="佳人相伴，夜夜笙歌。足令旁人羡慕·嫉妒·恨。\\\n" font=18</text>
602	霜夜驹	<text>text="“霜夜驹”乃九黎族蚩尤的神驹。" font=164</text><text>text="\\\n霜夜驹以图腾布身，神似神怪，每战必骇敌，敌军弃械而逃。" font=18</text>
603	铁疾	<text>text="“铁疾”是突厥马种。" font=164</text><text>text="\\\n上好的突厥马，草原马种，四肢坚实有力，肌腱发达，耐力强劲，是一等一的军马。" font=18</text>
604	西山秘宝·虚空交椅	<text>text="一顶四人抬的轿子。\\\n" font=68</text><text>text="凤毛麟角，不拘一格。足见鄙人空虚·寂寞·冷。\\\n" font=18</text>
4036	汗血宝马	<text>text="“汗血宝马”是汉武帝时大宛国进贡的宝马。" font=164</text><text>text="\\\n宛王蝉封与汉约，岁献天马二匹。汉武帝作歌咏之，曰：“太一贡兮天马下，沾赤汗兮沫流赭。骋容与兮万里，今安匹兮龙为友。”" font=18</text>
5585	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5586	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5587	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5588	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5589	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5590	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5591	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5592	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5593	浮云	<text>text="“浮云”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《塞下曲》：\\\n结束浮云骏，翩翩出从戎。" font=18</text>
5594	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5605	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5685	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5686	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5687	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5688	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5689	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5690	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5691	赤电	<text>text="“赤电”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n君家赤骠画不得，一团旋风桃花色。\\\n红缨紫鞚珊瑚鞭，玉鞍锦鞯黄金勒。" font=18</text>
5692	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5693	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5694	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5695	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5696	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5697	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5698	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5699	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5700	绝群	<text>text="“绝群”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n汉文帝自代还，有良马九匹，皆天下骏足也。名曰浮云、赤电、绝群、逸骠、紫燕骝、绿螭骢、龙子、麟驹、绝尘，号九逸。有来宣能御。”" font=18</text>
5701	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5702	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5703	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5704	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5705	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5706	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5707	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5708	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5709	逸骠	<text>text="“逸骠”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《骢马行》：\\\n雄姿逸态何崷崒，顾影骄嘶自矜宠。\\\n隅目青荧夹镜悬，肉骏碨礌连钱动。" font=18</text>
5710	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5711	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5712	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5713	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5714	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5715	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5716	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5717	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5718	紫燕骝	<text>text="“紫燕骝”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗云：\\\n紫燕跃武，赤兔越空。" font=18</text>
5719	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5720	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5721	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5722	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5723	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5724	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5725	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5726	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5727	绿螭骢	<text>text="“绿螭骢”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n诗曰：\\\n矫矫龙性合变化，卓立天骨森开张。" font=18</text>
5728	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5729	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5730	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5731	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5732	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5733	龙子	<text>text="“龙子”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n朝进东门营， 暮上河阳桥。\\\n落日照大旗， 马鸣风萧萧。" font=18</text>
5734	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5735	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5736	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5737	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5738	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5739	麟驹	<text>text="“麟驹”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《后周明威将军梁公神道碑》所记载：\\\n於是龙媒间出，麟驹挺生。" font=18</text>
5740	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5741	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5742	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5743	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5744	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5745	绝尘	<text>text="“绝尘”是西汉名马，汉文帝九逸之一。" font=164</text><text>text="\\\n《西京杂记》卷二：\\\n文帝自代还，有良马九匹，皆天下之骏马也，一名绝尘，取自奔逸绝尘。" font=18</text>
5746	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5747	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5748	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5749	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5750	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5751	赤蛇	<text>text="“赤蛇”是晋朝名马。" font=164</text><text>text="\\\n《灵鬼志》：\\\n陈安为河间王颙给使，常乘骏马非常。后马死，双赤蛇出其鼻。" font=18</text>
5752	闪电	<text>text="“闪电”是隋朝大将长孙晟的爱骥。" font=164</text><text>text="\\\n《魏志》：\\\n突厥大畏长孙总管，见其马称为闪电。王曰：“将军威行域外，遂名其马为闪电。一何壮哉！”" font=18</text>
