ID	SubID	Name	DoodadTemplateID	CostStamina	ProfessionID	RequireLevel	ToolItemType	ToolItemIndex	EquipmentType	PrepareFrame	PlayerExp	Exp	ExtendProfessionID1	ExtendExp1	ExtendProfessionID2	ExtendExp2	CreateItemTab	CreateItemIndex	CreateItemStackNum	BuffID	BuffLevel	Train	ScriptName
9	1	剑部第一		1	8	15						15	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
9	2	剑部第二		0	8	15						15	11	10	6	15			0				
9	3	剑部第三		1	8	15					4800	15	11	10					0				
9	4	剑部第四		0	8	15						15	11	10	6	15			0				
9	5	剑部第五		0	8	15						15	11	10			5	2863	1				
9	6	剑部第六		1	8	15						15	11	10					0	355	1		
9	7	剑部第七		0	8	15						15	11	10	6	15			0				
9	8	剑部第八		1	8	15						15	11	10					0	355	1		
10	1	关雎		0	8	15						15	11	10					0				
10	2	卷耳	565	1	8	15					4800	15	11	10					0				
10	3	樛木		0	8	15						15	11	10			5	2863	1				
10	4	螽斯		1	8	15						15	11	10					0				scripts\skill\生活技能\书籍\体力回复1.lua
10	5	桃夭		0	8	15						15	11	10	5	15			0				
10	6	兔罝		0	8	15						15	11	10	4	15			0				
10	7	行露		1	8	15					4800	15	11	10					0				
11	1	归园田居		0	8	15						15	11	10					0				
11	2	归鸟	566	1	8	15					4800	15	11	10					0				
11	3	劝农		0	8	15						15	11	10			5	2863	1				
11	4	停云并序		1	8	15						15	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
11	5	荣木并序		0	8	15						15	11	10	5	15			0				
11	6	命子上		0	8	15						15	11	10	8	8			0				
11	7	命子下		1	8	15					4800	15	11	10					0				
12	1	般若波罗密多心经		0	8	15						15	9	10	9	10			0				
12	2	大藏经		0	8	15						15	9	10	9	10			0				
13	1	盂兰盆经第一章		0	8	15						15	9	10	9	10			0				
13	2	盂兰盆经第二章		0	8	15						15	9	10	9	10			0				
13	3	盂兰盆经第三章		0	8	15						15	9	10	8	8			0				
13	4	盂兰盆经第四章	550	0	8	15						15	9	10	9	10			0				
14	1	蜀鄙之僧		0	8	15						15	9	10			5	2863	1				
14	2	破戒		1	8	15					4800	15	9	10					0				
14	3	静坐		1	8	15						15	9	10					0	355	1		
14	4	化缘		1	8	15						15	9	10					0				scripts\skill\生活技能\书籍\体力回复1.lua
14	5	毒药		0	8	15						15	9	10					0				
15	1	贪引恶鬼品	564	0	8	15						15	9	10	8	8			0				
15	2	力士鹦鹉品		0	8	15						15	9	10					0				
15	3	乌枭报怨品		0	8	15						15	9	10					0				
15	4	梵志献花品		0	8	15						15	9	10			5	2863	1				
15	5	盲人点灯品		0	8	15						15	9	10	8	8			0				
15	6	回头是岸品		0	8	15						15	9	10	9	10			0				
15	7	佛珠生菇品		0	8	15						15	9	10	9	10			0				
15	8	信徒遇溺品		1	8	15					5600	15	9	10					0				
16	1	观音自拜品		2	8	20						20	9	10	9	10			0				
16	2	破杯悟禅品		2	8	20						20	9	10			5	2864	1				
16	3	作龙虎画品		2	8	20						20	9	10			5	2864	1				
16	4	老妇烧庵品		2	8	20						20	9	10	8	10			0				
16	5	童子辩禅品		2	8	20					5600	20	9	10					0				
16	6	婆罗门妻品		2	8	20						20	9	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
16	7	四马之喻品		2	8	20						20	9	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
16	8	大萨他婆品		2	8	20					5600	20	9	10					0				
17	1	道德经卷一其一		0	8	15						15	10	10	8	8			0				
17	2	道德经卷一其二	567	0	8	15						15	10	10	8	8			0				
17	3	道德经卷一其三		0	8	15						15	10	10	10	10			0				
17	4	道德经卷一其四		0	8	15						15	10	10			5	2863	1				
17	5	道德经卷一其五		0	8	15						15	10	10					0				
17	6	道德经卷一其六		0	8	15						15	10	10					0				
17	7	道德经卷一其七		0	8	15						15	10	10	10	10			0				
17	8	道德经卷一其八		0	8	15						15	10	10			5	2863	1				
18	1	论语卷一其一		0	8	15						15	11	10			5	2863	1				
18	2	论语卷一其二		0	8	15						15	11	10			5	2863	1				
18	3	论语卷一其三		0	8	15						15	11	10			5	2863	1				
18	4	论语卷一其四		0	8	15						15	11	10	8	8			0				
18	5	论语卷一其五		0	8	15						15	11	10	8	8			0				
18	6	论语卷一其六		0	8	15						15	11	10	8	8			0				
18	7	论语卷一其七		0	8	15						15	11	10	8	8			0				
18	8	论语卷一其八		1	8	15					4800	15	11	10					0				
19	1	轩辕黄帝传		0	8	15						15	10	10					0				
19	2	太上老子传		0	8	15						15	10	10					0				
19	3	文始先生传		0	8	15						15	10	10					0				
19	4	南华真人传		0	8	15						15	10	10	8	8			0				
19	5	列子真人传		0	8	15						15	10	10	10	10			0				
19	6	天师道陵传		0	8	15						15	10	10	10	10			0				
19	7	云牙真人传		0	8	15						15	10	10			5	2863	1				
19	8	仙翁葛玄传	568	1	8	15					5600	15	10	10					0				
20	1	少年行		2	8	20					5600	20	11	10					0				
20	2	渭城曲		2	8	20						20	11	10	4	16			0				
20	3	关山月		2	8	20						20	11	10	5	16			0				
20	4	荆州歌		2	8	20						20	11	10	8	10			0				
20	5	子夜吴歌之春歌		2	8	20						20	11	10					0				
20	6	子夜吴歌之夏歌	571	2	8	20						20	11	10			5	2864	1				
20	7	子夜吴歌之秋歌		2	8	20						20	11	10	8	10			0				
20	8	子夜吴歌之冬歌		2	8	20					5600	20	11	10					0				
21	1	枪部第一章		2	8	20						20	11	10					0				
21	2	枪部第二章		2	8	20						20	11	10	6	16			0				
21	3	枪部第三章		2	8	20						20	11	10					0				scripts\skill\生活技能\书籍\体力回复1.lua
21	4	枪部第四章		2	8	20						20	11	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
21	5	枪部第五章		2	8	20					5600	20	11	10					0				
21	6	枪部第六章		2	8	20						20	11	10	6	16			0				
21	7	枪部第七章		2	8	20					5600	20	11	10					0				
21	8	枪部第八章		2	8	20						20	11	10			5	2489	1				
22	1	武林志卷一第一章		2	8	25						30	11	10					0	355	1		
22	2	武林志卷一第二章		2	8	25						30	11	10					0	355	1		
22	3	武林志卷一第三章		2	8	25						30	11	10					0	355	1		
22	4	武林志卷一第四章		2	8	25						30	11	10					0	355	1		
22	5	武林志卷一第五章		2	8	25						30	11	10					0	355	1		
22	6	武林志卷一第六章		2	8	25						30	11	10					0	355	1		
22	7	武林志卷一第七章		2	8	25						30	11	10					0	355	1		
22	8	武林志卷一第八章		2	8	25						30	11	10					0	355	1		
23	1	十三棍僧救唐王上	569	2	8	20						20	9	10	9	10			0				
23	2	十三棍僧救唐王下		2	8	20						20	9	10					0				
24	1	见性偈		2	8	20						20	9	10					0				
24	2	渔家傲上		2	8	20						20	9	10					0				
24	3	渔家傲下		2	8	20						20	9	10	8	10			0				
24	4	神照本如开悟诗		2	8	20						20	9	10	9	10			0				
24	5	洞山开悟诗		2	8	20						20	9	10					0				scripts\skill\生活技能\书籍\体力回复1.lua
24	6	龙门清远开悟诗	570	2	8	20						20	9	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
24	7	何山守旬开悟诗		2	8	20						20	9	10					0	355	1		
25	1	皇帝嵩岳少林寺碑		1	8	15						20	9	10					0	355	1		
26	1	佛说老女人经上部		2	8	20						20	9	10					0	355	1		
26	2	佛说老女人经下部		2	8	20						20	9	10	5	16			0				
27	1	释迦传略		2	8	25						30	9	10					0				
27	2	第一章·梦象受孕		2	8	25						30	9	10	8	15			0				
27	3	第二章·七步莲花		2	8	25						30	9	10					0	355	1		
27	4	第三章·姨母抚育		2	8	25						30	9	10			5	2864	1				
27	5	第四章·出游感苦	574	2	8	25						30	9	10			5	4284	1				
27	6	第五章·夜别妻儿	1658	2	8	25						30	9	10					0	355	1		
27	7	第六章·夜渡凡尘		2	8	25						30	9	10					0			20	
27	8	第七章·削发更衣		2	8	25						30	9	10					0			20	
28	1	鬼谷子本经阴符七术之一		2	8	25						30	10	10					0	355	1		
28	2	鬼谷子本经阴符七术之二		2	8	25						30	10	10	8	15			0				
28	3	鬼谷子本经阴符七术之三		2	8	25					6400	30	10	10					0				
28	4	鬼谷子本经阴符七术之四	575	2	8	25						30	10	10			5	4105	1				
28	5	鬼谷子本经阴符七术之五	1659	2	8	25						30	10	10					0	355	1		
28	6	鬼谷子本经阴符七术之六		2	8	25						30	10	10					0			20	
28	7	鬼谷子本经阴符七术之七		2	8	25						30	10	10					0			20	
29	1	黄帝阴符经		2	8	20						20	10	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
30	1	道德经卷二其一		2	8	20						20	10	10					0	355	1		
30	2	道德经卷二其二		2	8	20						20	10	10	8	10			0				
30	3	道德经卷二其三	572	2	8	20						20	10	10	4	16			0				
30	4	道德经卷二其四		2	8	20						20	10	10			5	2864	1				
30	5	道德经卷二其五		2	8	20						20	10	10	10	10			0				
30	6	道德经卷二其六		2	8	20						20	10	10	10	10			0				
30	7	道德经卷二其七		2	8	20						20	10	10			5	2864	1				
31	1	纯阳立教论第一章		2	8	20						20	10	10					0	355	1		
31	2	纯阳立教论第二章		2	8	20					5600	20	10	10					0				
31	3	纯阳立教论第三章		2	8	20						20	10	10					0				scripts\skill\生活技能\书籍\体力回复1.lua
31	4	纯阳立教论第四章		2	8	20						20	10	10	10	10			0				
31	5	纯阳立教论第五章		2	8	20						20	10	10	10	10			0				
31	6	纯阳立教论第六章		2	8	20						20	10	10	10	10			0				
31	7	纯阳立教论第七章		2	8	20					4800	20	10	10					0				
32	1	药王百花谱之一		7	8	65						480	11	10			5	4416	1				
32	2	药王百花谱之二		7	8	65						480	11	10			5	4150	1				
32	3	药王百花谱之三		7	8	65						480	11	10					0			60	
32	4	药王百花谱之四		7	8	70						480	11	10					0			60	
32	5	药王百花谱之五		7	8	70						480	11	10					0			60	
32	6	药王百花谱之六		7	8	70						480	11	10			5	4424	1				
32	7	药王百花谱之七		7	8	70						480	11	10					0			60	
33	1	毒览第一章·断肠草		2	8	25						30	11	10	7	17			0				
33	2	毒览第二章·鹤顶红		2	8	25						30	11	10					0				
33	3	毒览第三章·一钩吻		2	8	25						30	11	10					0				
33	4	毒览第四章·鸩酒		2	8	25						30	11	10			5	4325	1				
33	5	毒览第五章·见血封喉		2	8	25						30	11	10			5	4429	1				
33	6	毒览第六章·乌头		2	8	25						30	11	10	7	17			0				
33	7	毒览第七章·情花		2	8	25						30	11	10	7	17			0				
34	1	三十六计第一章	594	5	8	50						160	11	10			5	4349	1				
34	2	三十六计第二章		5	8	50					10400	160	11	10					0				
34	3	三十六计第三章		5	8	50						160	11	10			5	2867	1				
34	4	三十六计第四章		5	8	50						160	11	10					0				scripts\skill\生活技能\书籍\精力回复3.lua
34	5	三十六计第五章		5	8	50						160	11	10			5	4381	1				
34	6	三十六计第六章		5	8	50						160	11	10					0	355	1		
35	1	白象狮子品		2	8	25						30	9	10					0	355	1		
35	2	五百商客品		2	8	25						30	9	10					0				scripts\skill\生活技能\书籍\精力回复2.lua
35	3	一村菊香品		2	8	25						30	9	10	9	10			0				
35	4	雁王说法品		2	8	25						30	9	10	8	15			0				
35	5	富人四妻品		2	8	25					6400	30	9	10					0				
35	6	愚友似敌品		2	8	25						30	9	10					0				scripts\skill\生活技能\书籍\精力回复2.lua
35	7	生忧死忧品		2	8	25						30	9	10					0				
36	1	金刚经卷一第一章		2	8	25						30	9	10					0	355	1		
36	2	金刚经卷一第二章		2	8	25						30	9	10	9	10			0				
36	3	金刚经卷一第三章		2	8	25						30	9	10					0				
36	4	金刚经卷一第四章		2	8	25						30	9	10					0				
36	5	金刚经卷一第五章		2	8	25						30	9	10					0				scripts\skill\生活技能\书籍\体力回复2.lua
36	6	金刚经卷一第六章		2	8	25						30	9	10	8	15			0				
36	7	金刚经卷一第七章		2	8	25						30	9	10	9	10			0				
36	8	金刚经卷一第八章		2	8	25						30	9	10					0	355	1		
37	1	金刚经卷二第一章		2	8	25						30	9	10	9	10			0				
37	2	金刚经卷二第二章		2	8	25						30	9	10					0				scripts\skill\生活技能\书籍\精力回复2.lua
37	3	金刚经卷二第三章		2	8	25						30	9	10	8	15			0				
37	4	金刚经卷二第四章		2	8	25						30	9	10	8	15			0				
38	1	论语卷二其一		2	8	25						30	11	10					0	355	1		
38	2	论语卷二其二		2	8	25						30	11	10			5	2864	1				
38	3	论语卷二其三		2	8	25						30	11	10	8	15			0				
38	4	论语卷二其四		2	8	25						30	11	10	8	15			0				
38	5	论语卷二其五		2	8	25						30	11	10					0				
38	6	论语卷二其六		2	8	25						30	11	10					0				
38	7	论语卷二其七		2	8	25						30	11	10					0				
38	8	论语卷二其八		2	8	25					6400	30	11	10					0				
39	1	吕祖百字碑文		1	8	15						30	10	10					0	355	1		
39	2	吕祖百字碑疏义其一		2	8	25						30	10	10			5	2864	1				
39	3	吕祖百字碑疏义其二		2	8	25						30	10	10	8	15			0				
39	4	吕祖百字碑疏义其三	576	2	8	25					6400	30	10	10					0				
39	5	吕祖百字碑疏义其四		2	8	25						30	10	10	8	15			0				
39	6	吕祖百字碑疏义其五	577	2	8	25						30	10	10			5	4013	1				
39	7	吕祖百字碑疏义其六		2	8	25						30	10	10	10	10			0				
39	8	吕祖百字碑疏义其七		2	8	25						30	10	10	10	10			0				
40	1	吕祖长生方		2	8	20						20	10	10					0				scripts\skill\生活技能\书籍\精力回复1.lua
41	1	鹊巢		2	8	25						30	11	10					0				
41	2	羔羊		2	8	25						30	11	10					0				
41	3	绿衣		2	8	25						30	11	10					0	355	1		
41	4	终风		2	8	25					6400	30	11	10					0				
41	5	击鼓		2	8	25						30	11	10	5	17			0				
41	6	凯风	578	2	8	25						30	11	10					0	355	1		
41	7	式微		2	8	25						30	11	10	8	15			0				
41	8	静女		2	8	25						30	11	10			5	4138	1				
42	1	琴典第一章		3	8	30						40	11	10					0	355	1		
42	2	琴典第二章		3	8	30					7200	40	11	10					0				
42	3	琴典第三章		3	8	30						40	11	10					0				scripts\skill\生活技能\书籍\精力回复2.lua
42	4	琴典第四章	579	3	8	30						40	11	10			5	2865	1				
42	5	琴典第五章		3	8	30						40	11	10	8	20			0				
42	6	琴典第六章		3	8	30						40	11	10					0				scripts\skill\生活技能\书籍\体力回复2.lua
42	7	琴典第七章		3	8	30						40	11	10					0				
42	8	琴典第八章		3	8	30						40	11	10					0				
43	1	木瓜	580	3	8	30						40	11	10	4	18			0				
43	2	君子于役		3	8	30						40	11	10					0				scripts\skill\生活技能\书籍\精力回复2.lua
43	3	君子阳阳		3	8	30						40	11	10					0	355	1		
43	4	采葛		3	8	30						40	11	10					0				scripts\skill\生活技能\书籍\体力回复2.lua
43	5	丘中有麻		3	8	30					7200	40	11	10					0				
43	6	叔于田		3	8	30						40	11	10	8	20			0				
43	7	羔裘		3	8	30						40	11	10	8	20			0				
43	8	有女同车		3	8	30						40	11	10					0				
44	1	笔章第一		3	8	35					8000	60	11	10					0				
44	2	笔章第二		3	8	35						60	11	10	6	19			0				
44	3	笔章第三		3	8	35						60	11	10			5	4467	1				
44	4	笔章第四		3	8	35						60	11	10	6	19			0				
44	5	笔章第五		3	8	35						60	11	10			5	4485	1				
44	6	笔章第六		3	8	35						60	11	10	6	19			0				
44	7	笔章第七		3	8	35						60	11	10			5	4468	1				
44	8	笔章第八		3	8	35						60	11	10	6	19			0				
45	1	徐淮行医录之一		4	8	45						120	11	10	7	17			0				
45	2	徐淮行医录之二		4	8	45						120	11	10					0				scripts\skill\生活技能\书籍\精力回复3.lua
45	3	徐淮行医录之三		5	8	50						160	11	10			5	4459	1				
45	4	徐淮行医录之四		5	8	50						160	11	10			5	4458	1				
46	1	初唐四杰	1645	5	8	50						160	11	10					0				scripts\skill\生活技能\书籍\精力回复4.lua
46	2	天下三智惟逊一秋	1646	5	8	50						160	11	10					0			60	
46	3	枫华谷之战		4	8	45						120	11	10					0				
46	4	延载惨变		7	8	70						480	11	10			5	4359	1				
47	1	秋夜长		4	8	40						80	11	10			5	4394	1				
47	2	滕王阁		4	8	40					8800	80	11	10					0				
47	3	江南弄		4	8	40						80	11	10	8	40			0				
47	4	山亭夜宴		4	8	40						80	11	10	8	40			0				
47	5	咏风	588	4	8	40						80	11	10					0			35	
47	6	怀仙		4	8	40						80	11	10			5	4124	1				
47	7	杂曲		4	8	40						80	11	10					0				
48	1	塞下曲（一）		4	8	40						80	11	10					0			35	
48	2	塞下曲（二）		4	8	40						80	11	10					0				
48	3	初日		4	8	40						80	11	10					0	355	1		
48	4	从军行（一）		4	8	40						80	11	10			5	4434	1				
48	5	从军行（二）	589	4	8	40						80	11	10			5	4441	1				
48	6	从军行（三）		4	8	40						80	11	10			5	2866	1				
48	7	出塞		4	8	40						80	11	10	8	40			0				
48	8	采莲曲二首		4	8	40						80	11	10			5	4194	1				
49	1	棋典第一章		4	8	45					9600	120	11	10					0				
49	2	棋典第二章		4	8	45					9600	120	11	10					0				
49	3	棋典第三章		4	8	45						120	11	10					0	355	1		
49	4	棋典第四章	592	4	8	45					9600	120	11	10					0				
49	5	棋典第五章		4	8	45					9600	120	11	10					0				
49	6	棋典第六章		4	8	45						120	11	10					0				
49	7	棋典第七章		4	8	45						120	11	10					0				
49	8	棋典第八章		4	8	45					9600	120	11	10					0				
50	1	君道曲		4	8	45						120	11	10					0	355	1		
50	2	久别离		4	8	45						120	11	10					0			40	
50	3	古朗月行		4	8	45						120	11	10					0			40	
50	4	独不见	593	4	8	45						120	11	10			5	4133	1				
50	5	鸣雁行		4	8	45						120	11	10	8	60			0				
50	6	妾薄命		4	8	45						120	11	10			5	4174	1				
50	7	短歌行		4	8	45						120	11	10					0				scripts\skill\生活技能\书籍\体力回复3.lua
51	1	武林志卷二第一章		4	8	45					9600	120	11	10					0				
51	2	武林志卷二第二章		4	8	45					9600	120	11	10					0				
51	3	武林志卷二第三章		4	8	45						120	11	10			5	2866	1				
51	4	武林志卷二第四章		4	8	45					9600	120	11	10					0				
51	5	武林志卷二第五章		4	8	45					9600	120	11	10					0				
51	6	武林志卷二第六章		4	8	45					9600	120	11	10					0				
51	7	武林志卷二第七章		4	8	45					9600	120	11	10					0				
51	8	武林志卷二第八章		4	8	45						120	11	10			5	2866	1				
52	1	剑章第一		5	8	50						160	11	10			5	4182	1				
52	2	剑章第二		5	8	50						160	11	10			5	4125	1				
52	3	剑章第三		5	8	50						160	11	10			5	4258	1				
52	4	剑章第四		5	8	50						160	11	10			5	4328	1				
52	5	剑章第五		5	8	50						160	11	10					0	355	1		
52	6	剑章第六		5	8	50						160	11	10			5	4175	1				
52	7	剑章第七		5	8	50						160	11	10			5	4060	1				
52	8	剑章第八		5	8	50						160	11	10			5	4430	1				
53	1	昆仑派山训		6	8	65						480	11	10			5	2868	1				
53	2	昆仑派地理志		6	8	65						480	11	10					0			60	
53	3	昆仑派风物志	1642	7	8	70						480	11	10					0				scripts\skill\生活技能\书籍\精力回复4.lua
53	4	昆仑派历代掌门弟子	1643	7	8	70						480	11	10					0	355	1		
54	1	棍章第一		5	8	55						240	11	10			5	4304	1				
54	2	棍章第二		5	8	55						240	11	10					0	355	1		
54	3	棍章第三		5	8	55						240	11	10	6	23			0				
54	4	棍章第四		5	8	55						240	11	10			5	4305	1				
54	5	棍章第五		5	8	55						240	11	10					0				
54	6	棍章第六	1660	5	8	55						240	11	10					0	355	1		
54	7	棍章第七		5	8	55						240	11	10			5	4232	1				
55	1	枪章第一		5	8	55						240	11	10					0	355	1		
55	2	枪章第二	1661	5	8	55						240	11	10					0	355	1		
55	3	枪章第三		5	8	55						240	11	10			5	4320	1				
55	4	枪章第四		5	8	55						240	11	10	6	23			0				
55	5	枪章第五		5	8	55						240	11	10					0				
55	6	枪章第六		5	8	55						240	11	10			5	4337	1				
55	7	枪章第七		5	8	55						240	11	10	6	23			0				
55	8	枪章第八		5	8	55						240	11	10			5	4404	1				
56	1	鸿雁		5	8	55						240	11	10	8	120			0				
56	2	白驹	604	5	8	55					11200	240	11	10					0				
56	3	谷风	605	5	8	55					11200	240	11	10					0				
56	4	苕之华		5	8	55						240	11	10			5	2867	1				
56	5	维天之命		5	8	60						240	11	10			5	2867	1				
56	6	我将		5	8	60						240	11	10	8	120			0				
56	7	臣工		5	8	60						240	11	10	8	120			0				
56	8	丝衣		5	8	60						240	11	10	8	120			0				
57	1	出石门	606	6	8	60						320	11	10	8	500							
57	2	至分陕		6	8	60						320	11	10					0				
57	3	从军行		6	8	60					12000	320	11	10					0				
57	4	王昭君		6	8	60						320	11	10					0				scripts\skill\生活技能\书籍\体力回复5.lua
57	5	渡瓜步江		6	8	60					12000	320	11	10					0				
57	6	秋日送别		6	8	60						320	11	10	8	160			0				
57	7	冬日宴		6	8	60						320	11	10			5	2868	1				
57	8	咏美人在天津桥	607	6	8	60					12000	320	11	10					0				
58	1	书典第一章		6	8	60						320	11	10					0				
58	2	书典第二章		6	8	60					12000	320	11	10					0				
58	3	书典第三章		6	8	60						320	11	10			5	2868	1				
58	4	书典第四章		6	8	60						320	11	10			5	2868	1				
58	5	书典第五章		6	8	60						320	11	10	8	160			0				
58	6	书典第六章		6	8	60						320	11	10	8	160			0				
58	7	书典第七章	608	6	8	60						320	11	10					0				scripts\skill\生活技能\书籍\体力回复4.lua
58	8	书典第八章		6	8	60						320	11	10					0	355	1		
59	1	剑侠人物图鉴卷一其一		7	8	70						480	11	10			5	2399	1				
59	2	剑侠人物图鉴卷一其二		7	8	70						480	11	10			5	4347	1				
59	3	剑侠人物图鉴卷一其三		7	8	70						480	11	10			5	4055	1				
59	4	剑侠人物图鉴卷一其四		7	8	70						480	11	10			5	2398	1				
59	5	剑侠人物图鉴卷一其五		7	8	70						480	11	10			5	4082	1				
59	6	剑侠人物图鉴卷一其六		7	8	70						480	11	10			5	1897	1				
59	7	剑侠人物图鉴卷一其七		7	8	70						480	11	10					0				
59	8	剑侠人物图鉴卷一其八		7	8	70						480	11	10			5						
60	1	书信辑录其一·王维林家书	618	6	8	65						480	11	10			5	4355	1				
60	2	书信辑录其二·邀药王入谷书	619	6	8	65						480	11	10			5	4466	1				
60	3	书信辑录其三·邀书圣入谷书		6	8	65						480	11	10			5	4444	1				
60	4	书信辑录其四·邀工圣入谷书		6	8	65						480	11	10			5	4477	1				
60	5	书信辑录其五·邀少林赴名剑大会书		6	8	65						480	11	10					0			60	
60	6	书信辑录其六·邀纯阳赴名剑大会书		6	8	65						480	11	10					0			60	
60	7	书信辑录其七·邀七秀赴名剑大会书		6	8	65						480	11	10			5	4192	1				
60	8	书信辑录其八·邀天策赴名剑大会书		6	8	65						480	11	10					0				
61	1	豫让刺赵襄		6	8	65						480	11	10					0			60	
61	2	专诸刺王僚		6	8	65						480	11	10					0				
61	3	要离杀庆忌		6	8	65						480	11	10					0			60	
61	4	曹沫劫桓公		6	8	65						480	11	10					0				
61	5	朱亥奉信陵		6	8	65						480	11	10	8	240			0				
61	6	鉏鸒纵赵盾		6	8	65						480	11	10					0				scripts\skill\生活技能\书籍\精力回复4.lua
61	7	朱家显侠义		6	8	65						480	11	10					0				
61	8	剧孟有侠气		6	8	65						480	11	10					0				
62	1	双兵第一		7	8	70						480	11	10			5	4104	1				
62	2	双兵第二		7	8	70						480	11	10			5	2868	1				
62	3	双兵第三		7	8	70						480	11	10			5	4275	1				
62	4	双兵第四		7	8	70						480	11	10					0				
62	5	双兵第五	628	7	8	70						480	11	10			5	4208	1				
62	6	双兵第六		7	8	70						480	11	10					0			60	
62	7	双兵第七		7	8	70						480	11	10					0			60	
62	8	双兵第八		7	8	70						480	11	10			5	4164	1				
63	1	龙纹图		5	8	50						160	11	10			5	1858	1				
63	2	鸳鸯图		5	8	50						160	11	10			5	1856	1				
63	3	双飞图		6	8	60						320	11	10			5	1860	1				
63	4	牡丹图		7	8	60						480	11	10			5	1855	1				
63	5	腾龙图		7	8	70						480	11	10			5	1854	1				
63	6	青兽图		7	8	70						480	11	10			5	1859	1				
63	7	百花图		7	8	70						480	11	10			5	1857	1				
64	1	阳宝笔录卷一第一章	627	6	8	65						480	11	10			5	4044	1				
64	2	阳宝笔录卷一第二章		6	8	65						480	11	10			5	4341	1				
64	3	阳宝笔录卷一第三章		6	8	65						480	11	10			5	4237	1				
64	4	阳宝笔录卷一第四章		6	8	65						480	11	10					0			60	
64	5	阳宝笔录卷一第五章		6	8	65						480	11	10					0			60	
65	1	少林书第一章		3	8	30						40	9	10			5	2865	1				
65	2	少林书第二章		3	8	30						40	9	10			5	2865	1				
65	3	少林书第三章		3	8	30						40	9	10					0	355	1		
65	4	少林书第四章	581	3	8	30						40	9	10									
65	5	少林书第五章		3	8	30						40	9	10	9	10			0				
65	6	少林书第六章		3	8	30						40	9	10	9	10			0				
65	7	少林书第七章		3	8	30						40	9	10	8	20			0				
65	8	少林书第八章		3	8	30						40	9	10	8	20			0				
66	1	穷人品		3	8	30						40	9	10	8	20			0				
66	2	佛像之始品		3	8	30						40	9	10					0			25	
66	3	播种真理品		3	8	30						40	9	10			5	2865	1				
66	4	金鼠品		3	8	30						40	9	10					0	355	1		
66	5	乾夷王施头品		3	8	30						40	9	10	9	10			0				
66	6	断臂求法品		3	8	30						40	9	10	9	10			0				
66	7	罪不可得品		3	8	30						40	9	10					0	355	1		
66	8	佛性南北品		3	8	30						40	9	10					0			25	
67	1	指与月		3	8	35						60	9	10			5	2865	1				
67	2	开窍		3	8	35						60	9	10	9	10			0				
67	3	女子出定		3	8	35						60	9	10	9	10			0				
