ID	Name	CostStamina	ProfessionID	RequireLevel	RecipeLevel	NeedExpertise	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	PowerfulToolItemType	PowerfulToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	ResultOnLevel	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	CreateItemType1	CreateItemIndex1	CreateItemMin1	CreateItemMax1	CreateItemProbability1	CreateItemType2	CreateItemIndex2	CreateItemMin2	CreateItemMax2	CreateItemProbability2	CreateItemType3	CreateItemIndex3	CreateItemMin3	CreateItemMax3	CreateItemProbability3	CreateItemType4	CreateItemIndex4	CreateItemMin4	CreateItemMax4	CreateItemProbability4	CreateItemType5	CreateItemIndex5	CreateItemMin5	CreateItemMax5	CreateItemProbability5	CreateItemType6	CreateItemIndex6	CreateItemMin6	CreateItemMax6	CreateItemProbability6	CreateItemType7	CreateItemIndex7	CreateItemMin7	CreateItemMax7	CreateItemProbability7	CreateItemType8	CreateItemIndex8	CreateItemMin8	CreateItemMax8	CreateItemProbability8	_Quality	ScriptName	CoolDownID
15	ÑÌ¶·	7	6	10	16			343	0	0	0	0		9		100		5	3316	10	5	3313	4	5	972	1	5	0	0													8	629	1	1	1048576																																					scripts/Craft/Include/Event.lua	
16	¹ø²ù	7	6	10	16			343	0	0	0	0		9		100		5	3316	10	5	3313	4	5	972	1	5	0	0													8	630	1	1	1048576																																					scripts/Craft/Include/Event.lua	
17	Áåîõ	7	6	10	16			343	0	0	0	0		9		100		5	3316	10	5	3313	4	5	972	1	5	0	0													8	631	1	1	1048576																																					scripts/Craft/Include/Event.lua	
19	ºìÍ­Çá¼×	7	6	10	16			343	0	0	0	0		9		70		5	3316	4	5	3251	2	5	0	0																7	1136	1	1	1048576	7	1725	1	1	419430	7	1730	1	1	314573	7	1738	1	1	104858																						scripts/Craft/Include/Event.lua	
20	Í­Í·ÁøÄ¾¹÷	7	6	10	16			343	0	0	0	0		9		20		5	3316	4	5	977	1	5	979	1																6	848	1	1	104857	6	849	1	1	157286	6	850	1	1	314572	6	851	1	1	314572	6	853	1	1	104857	6	855	1	1	52432												scripts/Craft/Include/Event.lua	
21	ÀÇºÁ±Ê	7	6	10	16			343	0	0	0	0		9		10		5	3316	1	5	3313	1	5	0	0																6	963	1	1	104857	6	964	1	1	157286	6	965	1	1	314572	6	966	1	1	314572	6	967	1	1	104857	6	969	1	1	52432												scripts/Craft/Include/Event.lua	
22	ºìÍ­»¤Ñü	7	6	10	18			343	0	0	0	0		9		80		5	3316	6	5	3257	2	5	3313	4	5	0	0													7	1603	1	1	1048576	7	1726	1	1	419430	7	1731	1	1	314573	7	1740	1	1	104858																						scripts/Craft/Include/Event.lua	
23	Îý¶§	2	6	10	20			343	0	0	0	0		2		120		5	3344	2																						5	3319	1	1	1048576																																					scripts/Craft/Include/Event.lua	
24	ÇàÍ­¶§	2	6	10	20			343	0	0	0	0		2		120		5	3319	1	5	3316	1																			5	3320	1	2	1048576																																					scripts/Craft/Include/Event.lua	
26	ÇàÍ­»¤ÊÖ	9	6	10	20			343	0	0	0	0		11		90		5	3320	1	5	3313	1	5	0	0																7	1481	1	1	104857	7	1484	1	1	157286	7	1486	1	1	314572	7	1488	1	1	314572	7	1490	1	1	104857	7	1491	1	1	52432												scripts/Craft/Include/Event.lua	
28	Á¬ÐÄËø	9	6	10	22			343	0	0	0	0		11		130		5	3320	4	5	3313	4	5	0	0	5	0	0													5	2589	1	2	1048576																																					scripts/Craft/Include/Event.lua	
29	Í­Í·ÁøÄ¾Ç¹	9	6	10	22			343	0	0	0	0		11		40		5	3320	4	5	977	1	5	3313	2																6	905	1	1	104857	6	907	1	1	157286	6	909	1	1	314572	6	911	1	1	314572	6	912	1	1	104857	6	913	1	1	52432												scripts/Craft/Include/Event.lua	
30	ÇàÍ­ÀÇº¿¹Ú	33	6	10	22			343	0	0	0	0		41		60		5	3320	8	5	972	2	5	979	2	5	0	0	5	0	0	5	0	0							7	1744	1	1	576716	7	1749	1	1	314572	7	1754	1	1	104857	7	1758	1	1	52431																						scripts/Craft/Include/Event.lua	
31	º£ÉÏÄ¥Ê¯	7	6	10	24			343	0	0	0	0		9		110		5	3318	1	5	3313	1																			5	2590	1	1	1048576																																					scripts/Craft/Include/Event.lua	
34	ºìÍ­Í·¹Ú	9	6	10	24			343	0	0	0	0		11		60		5	3316	4	5	3251	2	5	0	0	5	0	0													7	1746	1	1	1048576	7	1723	1	1	419430	7	1729	1	1	314573	7	1736	1	1	104858																						scripts/Craft/Include/Event.lua	
35	ÇàÍ­Í·ÁøÄ¾¹÷	9	6	10	22			343	0	0	0	0		11		20		5	3320	1	5	3313	1	5	0	0																6	852	1	1	104857	6	854	1	1	157286	6	856	1	1	314572	6	857	1	1	314572	6	858	1	1	104857	6	859	1	1	52432												scripts/Craft/Include/Event.lua	
36	ÇàÍ­»¢ÆË¼×	33	6	10	24			343	0	0	0	0		41		70		5	3320	5	5	977	2	5	972	2	5	985	2	5	0	0	5	0	0							7	1138	1	1	576716	7	1140	1	1	314572	7	1143	1	1	104857	7	1148	1	1	52431																						scripts/Craft/Include/Event.lua	
37	ÇàÍ­½£	9	6	10	26			343	0	0	0	0		11		30		5	3320	4	5	972	1	5	977	1	5	0	0													6	1022	1	1	104857	6	1023	1	1	157286	6	1024	1	1	314572	6	1025	1	1	314572	6	1027	1	1	104857	6	1029	1	1	52432												scripts/Craft/Include/Event.lua	
38	ÇàÍ­Ë«½£	9	6	10	26			343	0	0	0	0		11		50		5	3320	4	5	977	1	5	979	1	5	0	0													6	1084	1	1	104857	6	1085	1	1	157286	6	1086	1	1	314572	6	1087	1	1	314572	6	1088	1	1	104857	6	1089	1	1	52432												scripts/Craft/Include/Event.lua	
39	Í­¹ÜÀÇºÁ±Ê	8	6	10	26			343	0	0	0	0		10		10		5	3320	4	5	3314	2	5	979	1																6	968	1	1	104857	6	970	1	1	157286	6	971	1	1	314572	6	972	1	1	314572	6	973	1	1	104857	6	975	1	1	52432												scripts/Craft/Include/Event.lua	
40	ÎÞÉ«·¢îÎ	9	6	10	26			343	0	0	0	0		11		60		5	3320	1	5	3313	1	5	0	0																7	1738	1	1	104858	7	1742	1	1	157286	7	1745	1	1	314573	7	1753	1	1	314573	7	1757	1	1	104858	7	1763	1	1	52428												scripts/Craft/Include/Event.lua	
41	¹üÆ¤ÇàÍ­»¤Ñü	9	6	10	28			343	0	0	0	0		11		80		5	3320	4	5	3251	2	5	986	2																7	1599	1	1	104857	7	1600	1	1	157286	7	1604	1	1	314572	7	1607	1	1	314572	7	1611	1	1	104857	7	1618	1	1	52432												scripts/Craft/Include/Event.lua	
42	ÇàÊÞ»¤ÊÖ	33	6	10	28			343	0	0	0	0		41		90		5	3320	8	5	985	4	5	986	4	5	979	2	5	0	0	5	0	0							7	1494	1	1	576716	7	1497	1	1	314572	7	1501	1	1	104857	7	1505	1	1	52431																						scripts/Craft/Include/Event.lua	
43	»¢Ð¥	33	6	10	24			343	0	0	0	0		41		40		5	3320	4	5	977	1	5	3319	4	5	985	2	5	972	2	5	0	0							6	914	1	1	576716	6	916	1	1	314572	6	918	1	1	104857	6	920	1	1	52431																						scripts/Craft/Include/Event.lua	
44	Çà·æ½£	33	6	10	24			343	0	0	0	0		41		30		5	3320	4	5	3319	4	5	972	2	5	977	2	5	0	0	5	0	0							6	1026	1	1	576716	6	1028	1	1	314572	6	1030	1	1	104857	6	1032	1	1	52431																						scripts/Craft/Include/Event.lua	
45	Ç¦¶§	2	6	10	30			343	0	0	0	0		2		120		5	3345	2																						5	3324	1	1	1048576																																					scripts/Craft/Include/Event.lua	
46	ÉßÆ¤Í­Ë¿¼×	13	6	10	30			343	0	0	0	0		16		70		5	3324	1	5	3313	1	5	0	0	5	0	0													7	1137	1	1	104857	7	1139	1	1	157286	7	1141	1	1	314572	7	1147	1	1	314572	7	1151	1	1	104857	7	1157	1	1	52432												scripts/Craft/Include/Event.lua	
48	¾«ÖÂÍ­ºÐ	13	6	10	32			343	0	0	0	0		16		130		5	3320	8	5	3314	2	5	0	0	5	0	0													5	2594	1	1	1048576																																					scripts/Craft/Include/Event.lua	
50	Í©Ä¾¹÷	13	6	10	32			343	0	0	0	0		16		20		5	980	1	5	3320	4	5	972	1																6	860	1	1	104857	6	861	1	1	157286	6	862	1	1	314572	6	863	1	1	314572	6	865	1	1	104857	6	867	1	1	52432												scripts/Craft/Include/Event.lua	
51	×Ï±³»·×Ó¼×	121	6	10	32	1		343	0	0	0	0		150		70		5	3320	10	5	3323	2	5	986	4	5	979	4	5	0	0	5	0	0							7	1154	1	1	576716	7	1162	1	1	314572	7	1169	1	1	104857	7	1176	1	1	52431																						scripts/Craft/Include/Event.lua	
52	×Ï±³»·×Óµ¶	121	6	10	32	1		343	0	0	0	0		150		40		5	980	3	5	3320	10	5	3323	2	5	972	4	5	0	0	5	0	0							6	921	1	1	576716	6	923	1	1	314572	6	926	1	1	104857	6	930	1	1	52431																						scripts/Craft/Include/Event.lua	
53	´ÖÉ°Ä¥Ê¯	7	6	10	34			343	0	0	0	0		9		110		5	3318	1	5	3314	1	5	979	1																5	2596	1	1	1048576																																					scripts/Craft/Include/Event.lua	
54	»·×Ó¼×	13	6	10	34			343	0	0	0	0		16		70		5	3324	5	5	986	2	5	972	1																7	1142	1	1	104857	7	1146	1	1	157286	7	1152	1	1	314572	7	1159	1	1	314572	7	1166	1	1	104857	7	1173	1	1	52432												scripts/Craft/Include/Event.lua	
55	Í©Ä¾±Ê	13	6	10	34			343	0	0	0	0		16		10		5	980	2	5	979	1	5	3324	5																6	974	1	1	104857	6	976	1	1	157286	6	977	1	1	314572	6	979	1	1	314572	6	980	1	1	104857	6	981	1	1	52432												scripts/Craft/Include/Event.lua	
56	Í­¸ËÇ¹	13	6	10	34			343	0	0	0	0		16		40		5	3324	1	5	3313	1	5	0	0																6	915	1	1	104857	6	917	1	1	157286	6	919	1	1	314572	6	922	1	1	314572	6	924	1	1	104857	6	927	1	1	52432												scripts/Craft/Include/Event.lua	
57	»¢ÎÆÇàÍ­»¤Ñü	13	6	10	36			343	0	0	0	0		16		80		5	3324	5	5	3262	2	5	985	2	5	0	0													7	1612	1	1	104857	7	1617	1	1	157286	7	1619	1	1	314572	7	1623	1	1	314572	7	1627	1	1	104857	7	1632	1	1	52432												scripts/Craft/Include/Event.lua	
58	ÊÞÎÆ»¤ÊÖ	13	6	10	36			343	0	0	0	0		16		90		5	3324	5	5	3262	2	5	987	2	5	0	0													7	1500	1	1	104857	7	1502	1	1	157286	7	1506	1	1	314572	7	1508	1	1	314572	7	1511	1	1	104857	7	1513	1	1	52432												scripts/Craft/Include/Event.lua	
59	×Ï±³³åÌì¹Ú	49	6	10	36			343	0	0	0	0		61		60		5	3323	2	5	3324	5	5	988	2	5	0	0	5	0	0										7	1774	1	1	576716	7	1777	1	1	314572	7	1782	1	1	104857	7	1784	1	1	52431																						scripts/Craft/Include/Event.lua	
60	ÏÀÉÙ½£	13	6	10	38			343	0	0	0	0		16		30		5	3324	1	5	3313	1	5	0	0																6	1031	1	1	104857	6	1035	1	1	157286	6	1036	1	1	314572	6	1037	1	1	314572	6	1040	1	1	104857	6	1043	1	1	52432												scripts/Craft/Include/Event.lua	
61	ÁøÒ¶Ë«½£	13	6	10	38			343	0	0	0	0		16		50		5	3324	5	5	980	2	5	0	0																6	1090	1	1	104857	6	1091	1	1	157286	6	1092	1	1	314572	6	1093	1	1	314572	6	1097	1	1	104857	6	1098	1	1	52432												scripts/Craft/Include/Event.lua	
62	µãÐÇ	33	6	10	24			343	0	0	0	0		41		10		5	3320	4	5	979	2	5	977	2	5	3319	4	5	0	0	5	0	0							6	982	1	1	576716	6	984	1	1	314572	6	986	1	1	104857	6	988	1	1	52431																						scripts/Craft/Include/Event.lua	
63	º¬¹â	121	6	10	38	1		343	0	0	0	0		150		30		5	3324	10	5	7858	1	5	980	2	5	3323	2	5	0	0	5	0	0							6	1038	1	1	576716	6	1041	1	1	314572	6	1044	1	1	104857	6	1046	1	1	52431																						scripts/Craft/Include/Event.lua	
64	Ð¿¶§	2	6	10	40			343	0	0	0	0		2		120		5	3346	2																						5	3328	1	1	1048576																																					scripts/Craft/Include/Event.lua	
68	ÊìÍ­¹÷	15	6	10	40			343	0	0	0	0		19		20		5	3328	1	5	3313	1	5	0	0	5	0	0													6	866	1	1	104857	6	868	1	1	157286	6	869	1	1	314572	6	870	1	1	314572	6	871	1	1	104857	6	872	1	1	52432												scripts/Craft/Include/Event.lua	
69	»ÆÍ­»¤Ñü	15	6	10	40			343	0	0	0	0		19		80		5	3324	5	5	3275	1	5	3270	4	5	3262	2													7	1620	1	1	104857	7	1624	1	1	157286	7	1628	1	1	314572	7	1633	1	1	314572	7	1638	1	1	104857	7	1639	1	1	52432												scripts/Craft/Include/Event.lua	
71	Í­¾µ	15	6	10	42			343	0	0	0	0		19		130		5	3316	10	5	3314	2	5	972	1																5	2189	1	1	1048576																																					scripts/Craft/Include/Event.lua	
72	»ÆÍ­»¤ÐÄ¼×	15	6	10	42			343	0	0	0	0		19		70		5	3324	5	5	988	2	5	3275	1	5	3262	2													7	1167	1	1	104857	7	1174	1	1	157286	7	1177	1	1	314572	7	1183	1	1	314572	7	1187	1	1	104857	7	1193	1	1	52432												scripts/Craft/Include/Event.lua	
73	»ÆÍ­Èý¼âÇ¹	15	6	10	42			343	0	0	0	0		19		40		5	3324	5	5	980	1	5	3314	4	5	979	1													6	925	1	1	104857	6	928	1	1	157286	6	931	1	1	314572	6	932	1	1	314572	6	933	1	1	104857	6	935	1	1	52432												scripts/Craft/Include/Event.lua	
74	½ð¸ÕÄ¥Ê¯	7	6	10	44			343	0	0	0	0		9		110		5	3318	1	5	3314	1	5	972	1																5	2599	1	1	1048576																																					scripts/Craft/Include/Event.lua	
76	·É·ïË«½£	15	6	10	44			343	0	0	0	0		19		50		5	3328	1	5	3313	1	5	0	0	5	0	0													6	1094	1	1	104857	6	1096	1	1	157286	6	1099	1	1	314572	6	1100	1	1	314572	6	1101	1	1	104857	6	1102	1	1	52432												scripts/Craft/Include/Event.lua	
77	ÉËÀÇÐ¥Ìì¹Ú	141	6	10	44	1		343	0	0	0	0		174		60		5	3328	10	5	3324	10	5	3326	2	5	7849	1	5	0	0	5	0	0							7	1786	1	1	576716	7	1789	1	1	314572	7	1794	1	1	104857	7	1799	1	1	52431																						scripts/Craft/Include/Event.lua	
79	»ÆÍ­µãÑ¨±Ê	15	6	10	46			343	0	0	0	0		19		10		5	3328	1	5	3313	1	5	0	0																6	983	1	1	104857	6	985	1	1	157286	6	987	1	1	314572	6	989	1	1	314572	6	990	1	1	104857	6	993	1	1	52432												scripts/Craft/Include/Event.lua	
80	Õ¶Âí½£	15	6	10	46			343	0	0	0	0		19		30		5	3328	4	5	3314	2	5	980	1																6	1039	1	1	104857	6	1042	1	1	157286	6	1045	1	1	314572	6	1047	1	1	314572	6	1049	1	1	104857	6	1052	1	1	52432												scripts/Craft/Include/Event.lua	
81	»ÆÍ­Í·¿ø	15	6	10	46			343	0	0	0	0		19		60		5	3328	4	5	3314	2	5	3271	2																7	1781	1	1	104857	7	1783	1	1	157286	7	1785	1	1	314572	7	1788	1	1	314572	7	1791	1	1	104857	7	1796	1	1	52432												scripts/Craft/Include/Event.lua	
82	»¢ÎÆ»ÆÍ­»¤ÊÖ	15	6	10	48			343	0	0	0	0		19		90		5	3316	20	5	985	1																			7	1517	1	1	104857	7	1518	1	1	157286	7	1521	1	1	314572	7	1524	1	1	314572	7	1526	1	1	104857	7	1533	1	1	52432												scripts/Craft/Include/Event.lua	
83	ÐÐÔÆ	57	6	10	48			343	0	0	0	0		71		10		5	3328	10	5	980	1	5	3326	2	5	3275	4	5	972	2	5	0	0							6	992	1	1	576716	6	995	1	1	314572	6	997	1	1	104857	6	999	1	1	52431																						scripts/Craft/Include/Event.lua	
84	ÁúÈª	57	6	10	48			343	0	0	0	0		71		30		5	3328	10	5	980	1	5	3326	2	5	3275	4	5	972	2	5	0	0							6	1051	1	1	576716	6	1054	1	1	314572	6	1056	1	1	104857	6	1059	1	1	52431																						scripts/Craft/Include/Event.lua	
85	Ñãôá	57	6	10	48			343	0	0	0	0		71		40		5	3328	10	5	980	1	5	3275	2	5	972	2	5	3326	2	5	0	0							6	938	1	1	576716	6	940	1	1	314572	6	942	1	1	104857	6	944	1	1	52431																						scripts/Craft/Include/Event.lua	
86	»¢Î²	57	6	10	48			343	0	0	0	0		71		20		5	3328	10	5	980	1	5	3275	4	5	979	2	5	3326	2	5	0	0							6	876	1	1	576716	6	878	1	1	314572	6	880	1	1	104857	6	883	1	1	52431																						scripts/Craft/Include/Event.lua	
87	Ô§Ñì	57	6	10	48			343	0	0	0	0		71		50		5	3328	10	5	980	1	5	3326	2	5	3275	4	5	979	2	5	0	0							6	1103	1	1	576716	6	1105	1	1	314572	6	1107	1	1	104857	6	1109	1	1	52431																						scripts/Craft/Include/Event.lua	
88	ÉúÌú¶§	2	6	10	50			343	0	0	0	0		2		120		5	3347	2	5	3315	1																			5	3334	1	1	1048576																																					scripts/Craft/Include/Event.lua	
89	ÊìÌú¶§	2	6	10	50			343	0	0	0	0		2		120		5	3334	2	5	3839	1																			5	3335	1	1	1048576																																					scripts/Craft/Include/Event.lua	
91	ÌúÄ¾¹÷	19	6	10	50			343	0	0	0	0		24		20		5	3328	5	5	981	1																			6	873	1	1	104857	6	874	1	1	157286	6	875	1	1	314572	6	877	1	1	314572	6	879	1	1	104857	6	882	1	1	52432												scripts/Craft/Include/Event.lua	
92	Ì´Ä¾³¤µ¶	19	6	10	50			343	0	0	0	0		24		40		5	3334	1	5	3313	1																			6	934	1	1	104857	6	936	1	1	157286	6	937	1	1	314572	6	939	1	1	314572	6	941	1	1	104857	6	943	1	1	52432												scripts/Craft/Include/Event.lua	
93	»ÆÁú¼×	73	6	10	50			343	0	0	0	0		90		70		5	3328	10	5	3278	5	5	3277	2	5	3326	2	5	0	0	5	0	0							7	1206	1	1	576716	7	1213	1	1	314572	7	1221	1	1	104857	7	1227	1	1	52431																						scripts/Craft/Include/Event.lua	
94	½ðË¿Ìú¼×»¤ÊÖ	73	6	10	50			343	0	0	0	0		90		90		5	3316	20	5	3275	2	5	3277	1	5	985	2	5	3270	8	5	3326	2							7	1531	1	1	576716	7	1536	1	1	314572	7	1542	1	1	104857	7	1547	1	1	52431																						scripts/Craft/Include/Event.lua	
95	½ðË¿Òø¼×¹üÑü	73	6	10	50			343	0	0	0	0		90		80		5	3328	10	5	3271	2	5	3277	1	5	3326	2	5	0	0	5	0	0							7	1651	1	1	576716	7	1654	1	1	314572	7	1657	1	1	104857	7	1668	1	1	52431																						scripts/Craft/Include/Event.lua	
96	ÌúÅ¼	19	6	10	56			343	0	0	0	0		24		130		5	3334	5	5	3310	2	5	3839	2	5	0	0													5	2603	1	2	1048576																																					scripts/Craft/Include/Event.lua	
99	´ÖÄ¥Ê¯	7	6	10	52		0	343	0	0	0	0		9		110		5	3333	2	5	3314	4	5	979	2																5	2606	1	1	1048576																																					scripts/Craft/Include/Event.lua	
100	ÈóÉ«Ä¥Ê¯	7	6	10	52		0	343	0	0	0	0		9		110		5	3333	2	5	3314	4	5	972	2																5	2607	1	1	1048576																																					scripts/Craft/Include/Event.lua	
101	ÌúÎÆ¼×Æ¬	7	6	10	52		0	343	0	0	0	0		9		110		5	3334	5	5	3314	2	5	972	2	5	0	0													5	2608	1	1	1048576																																					scripts/Craft/Include/Event.lua	
102	ÒøÎÆ¼×Æ¬	7	6	10	52		0	343	0	0	0	0		9		110		5	3334	5	5	3314	2	5	979	2	5	0	0													5	2609	1	1	1048576																																					scripts/Craft/Include/Event.lua	
103	ÌúÖÆ°°¾ß	19	6	10	52		0	343	0	0	0	0		24		140		5	3334	10	5	988	4	5	3310	4	5	3277	5													5	2610	1	1	1048576																																					scripts/Craft/Include/Event.lua	
104	ÒøÎÆ¼×	19	6	10	52			343	0	0	0	0		24		70		5	3310	2	5	3335	4	5	981	2	5	3839	2													7	1194	1	1	104857	7	1196	1	1	157286	7	1201	1	1	314572	7	1209	1	1	314572	7	1217	1	1	104857	7	1226	1	1	52432												scripts/Craft/Include/Event.lua	
105	ÌúÎÆ³¤½£	19	6	10	52			343	0	0	0	0		24		30		5	3335	4	5	981	1	5	3310	2	5	3839	2													6	1048	1	1	104857	6	1050	1	1	157286	6	1053	1	1	314572	6	1055	1	1	314572	6	1057	1	1	104857	6	1060	1	1	52432												scripts/Craft/Include/Event.lua	
106	Ç§·ðìøÕÈ	201	6	10	60	1	0	343	0	0	0	0		249		20		5	3335	20	5	3341	10	5	3326	4	5	7860	1	5	0	0										6	881	1	1	576716	6	884	1	1	314572	6	885	1	1	104857	6	887	1	1	52431																						scripts/Craft/Include/Event.lua	
107	ÑªÕ½Ìú¼×	181	6	10	52	1	0	343	0	0	0	0		224		70		5	3335	10	5	3310	10	5	7858	1	5	3326	2	5	0	0	5	0	0							7	1214	1	1	576716	7	1222	1	1	314572	7	1228	1	1	104857	7	1233	1	1	52431																						scripts/Craft/Include/Event.lua	
110	ÄÚÔÆÄ¥Ê¯	7	6	10	54			343	0	0	0	0		9		110		5	3333	1	5	3315	1	5	972	1	5	979	1													5	2615	1	1	1048576																																					scripts/Craft/Include/Event.lua	
111	ÅÐ¹Ù±Ê	19	6	10	54			343	0	0	0	0		24		10		5	3839	2	5	3335	5	5	981	2	5	0	0													6	991	1	1	104857	6	994	1	1	157286	6	996	1	1	314572	6	998	1	1	314572	6	1001	1	1	104857	6	1003	1	1	52432												scripts/Craft/Include/Event.lua	
112	ÌúÎÆÑü´ø	19	6	10	54			343	0	0	0	0		24		80		5	3334	1	5	3313	1	5	0	0																7	1648	1	1	104857	7	1650	1	1	157286	7	1653	1	1	314572	7	1656	1	1	314572	7	1664	1	1	104857	7	1675	1	1	52432												scripts/Craft/Include/Event.lua	
113	²×ÀË	201	6	10	60	1	0	343	0	0	0	0		249		10		5	3341	10	5	3335	20	5	3326	4	5	7859	1	5	0	0	5	0	0							6	1000	1	1	576716	6	1002	1	1	314572	6	1005	1	1	104857	6	1007	1	1	52431																						scripts/Craft/Include/Event.lua	
114	ÑªÕ½¹üÑü	181	6	10	54	1	0	343	0	0	0	0		224		80		5	3335	20	5	7849	1	5	3839	5	5	3326	3	5	3323	2	5	0	0							7	1663	1	1	576716	7	1674	1	1	314572	7	1685	1	1	104857	7	1695	1	1	52431																						scripts/Craft/Include/Event.lua	
115	»ù´¡Ä¥Ê¯	7	6	10	56		0	343	0	0	0	0		9		110		5	3333	2	5	973	4	5	974	4	5	3839	2													5	2618	1	1	1048576																																					scripts/Craft/Include/Event.lua	
116	°ÙÁ¶¼×Æ¬	7	6	10	56		0	343	0	0	0	0		9		110		5	3335	10	5	3310	2	5	974	4	5	3839	2													5	2619	1	1	1048576																																					scripts/Craft/Include/Event.lua	
117	ÌúÎÆÊÞÆ¤ÁýÌ×	19	6	10	56		0	343	0	0	0	0		24		140		5	3334	10	5	985	4	5	3310	4	5	3277	5													5	2620	1	1	1048576																																					scripts/Craft/Include/Event.lua	
118	ÌúÎÆ»¤ÊÖ	19	6	10	56			343	0	0	0	0		24		90		5	3335	5	5	974	2	5	3278	4	5	3839	2													7	1527	1	1	104857	7	1532	1	1	157286	7	1538	1	1	314572	7	1543	1	1	314572	7	1548	1	1	104857	7	1557	1	1	52432												scripts/Craft/Include/Event.lua	
