RoleType	FilePath	Icon	Name	Des	IsDefault	CanUseInCreate
6	Data\public\Face\F1\F1_032.ini	6914	圆嘟嘟by慢慢的粉条君（三等奖）	寄语： 这是一个小圆脸的萝莉，乖巧可爱，很有特色。虽然脸超圆，但谁让她是圆嘟嘟呢！	0	0
6	Data\public\Face\F1\F1_033.ini	6915	雪见by三次元才不绝望呢（三等奖) 	寄语：雪见是十一月的别称，到了这时候天地间会突然变的寂静，有种在等待一场大雪的感觉。	0	0
6	Data\public\Face\F1\F1_002.ini	5426			0	1
6	Data\public\Face\F1\F1_003.ini	5427			0	0
6	Data\public\Face\F1\F1_004.ini	5428			0	1
6	Data\public\Face\F1\F1_005.ini	5429			0	1
6	Data\public\Face\F1\F1_006.ini	5430			0	1
6	Data\public\Face\F1\F1_007.ini	5431			0	1
6	Data\public\Face\F1\F1_008.ini	5432			0	1
6	Data\public\Face\F1\F1_009.ini	5433			0	0
6	Data\public\Face\F1\F1_010.ini	5434			0	0
6	Data\public\Face\F1\F1_011.ini	5435			0	0
6	Data\public\Face\F1\F1_012.ini	5436			0	1
6	Data\public\Face\F1\F1_013.ini	5437			0	1
6	Data\public\Face\F1\F1_014.ini	5438			0	1
6	Data\public\Face\F1\F1_015.ini	5439			0	1
6	Data\public\Face\F1\F1_016.ini	5440			0	1
6	Data\public\Face\F1\F1_017.ini	5441			0	0
6	Data\public\Face\F1\F1_018.ini	5442			0	1
6	Data\public\Face\F1\F1_019.ini	5443			0	1
6	Data\public\Face\F1\F1_020.ini	5444			0	1
6	Data\public\Face\F1\F1_021.ini	5445			0	1
6	Data\public\Face\F1\F1_022.ini	5446			0	1
6	Data\public\Face\F1\F1_023.ini	5447			0	0
6	Data\public\Face\F1\F1_024.ini	5448			0	1
6	Data\public\Face\F1\F1_025.ini	5449			0	0
6	Data\public\Face\F1\F1_026.ini	5450			0	1
6	Data\public\Face\F1\F1_027.ini	5451			0	1
6	Data\public\Face\F1\F1_028.ini	5452			0	1
6	Data\public\Face\F1\F1_029.ini	5453			0	1
6	Data\public\Face\F1\F1_030.ini	5454			0	1

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
