Name(此项不读)	ID	IsLoop	Range	AnimationID	ScriptFuncName
主角收伞动作_D001003c	11320	0	0	11320	
主角开伞动作_D001003d	11321	0	0	11321	
主角收伞动作_D001003d	11322	0	0	11322	
主角拉弓动作	11338	0	0	11338	
主角射箭动作	11339	0	0	11339	
主角点燃草堆动作资源	11340	0	0	11340	
主角开伞动作_D001013	11343	0	0	11343	
主角收伞动作_D001013	11344	0	0	11344	
主角开伞动作_D001014	11345	0	0	11345	
主角收伞动作_D001014	11346	0	0	11346	
主角开伞动作_戏鱼渊	11347	0	0	11347	
主角收伞动作_戏鱼渊	11348	0	0	11348	
龙王抓起动作	11351	0	0	11351	
主角钓鱼动作资源	11354	0	0	11354	
主角抛竿动作资源	11355	0	0	11355	
主角上钩动作资源	11356	0	0	11356	
主角收竿动作资源	11357	0	0	11357	
主角浇水动作资源	11358	0	0	11358	
主角抓虫动作资源	11359	0	0	11359	
主角扫地动作资源	11360	0	0	11360	
主角施肥动作资源	11361	0	0	11361	
主角祝福动作资源	11362	0	0	11362	
主角播种动作资源	11363	0	0	11363	
主角收空竿动作资源	11364	0	0	11364	
主角读书动作资源	11365	0	0	11365	
主角宣讲动作资源	11367	0	0	11367	
主角看信动作资源	11368	0	0	11368	
主角蛮族舞蹈	11369	0	0	11369	
主角芭蕉扇开伞	11371	0	0	11371	
主角芭蕉扇收伞	11372	0	0	11372	
主角赶猪动作	11373	0	0	11373	
金蛇伞开	11385	0	0	11385	
金蛇伞关	11386	0	0	11386	
吹完整曲目的笛子	11387	0	0	11387	
春哥伞开	11388	0	0	11388	
春哥伞关	11389	0	0	11389	
寒月耀	11404	0	0	11404	
生死劫月	11412	0	0	11412	
明教轻功	11461	0	0	11461	
明教轻功	11468	0	0	11468	
青竹白玉索（套马杆）	11469	0	0	11469	
明教带兜帽动作	11470	0	0	11470	
明教摘兜帽动作	11471	0	0	11471	
屠杀模式开启	11475	0	0	11475	
屠杀模式关闭	11476	0	0	11476	
木马	11479	0	0	11479	
开伞_紫	11480	0	0	11480	
收伞_紫	11481	0	0	11481	
开伞_白	11482	0	0	11482	
收伞_白	11483	0	0	11483	
拉二胡	11484	0	0	11484	
主角读书动作资源_循环	11485	0	0	11485	
南诏镜头_战斗待机	12100	0	0	12100	
南诏镜头_攻击动作	12101	0	0	12101	
南诏皇宫_侧闪	12102	0	0	12102	
南诏皇宫_下落缓冲	12103	0	0	12103	
南诏皇宫_被抓挣扎	12104	0	0	12104	
南诏皇宫_释放绳索	12105	0	0	12105	
南诏皇宫_格挡缓冲	12106	0	0	12106	
南诏皇宫_被抓准备	12107	0	0	12107	
南诏皇宫_被击	12108	0	0	12108	
南诏皇宫_刺杀1	12109	0	0	12109	
南诏皇宫_刺杀2	12110	0	0	12110	
南诏皇宫_刺杀3	12111	0	0	12111	
被炸飞	12112	0	0	12112	
美女轿子摇篮动作	12113	0	0	12113	
老太轿子摇篮动作	12114	0	0	12114	
丐帮_拔狗朝天	12122	0	0	12122	
丐帮_天下无狗	12123	0	0	12123	
面君入门_跪拜	13026	0	0	13026	
打坐释放	13029	0	0	13029	
吹萧	13030	0	0	13030	
半身眩晕动作	13031	0	0	13031	
半身敬酒动作	13032	0	0	13032	
砍树	13040	0	0	13040	
开伞_月溶	13041	0	0	13041	
收伞_月溶	13042	0	0	13042	
开伞_舒翎	13065	0	0	13065	
收伞_舒翎	13066	0	0	13066	
血战天策令狐伤QTE	13100	0	0	13100	
血战天策令狐伤QTE	13101	0	0	13101	
血战天策令狐伤QTE	13102	0	0	13102	
血战天策令狐伤QTE	13103	0	0	13103	
血战天策令狐伤QTE	13104	0	0	13104	
血战天策令狐伤QTE	13105	0	0	13105	
血战天策令狐伤QTE	13106	0	0	13106	
血战天策令狐伤QTE	13107	0	0	13107	
血战天策令狐伤QTE	13108	0	0	13108	
血战天策令狐伤QTE	13109	0	0	13109	
抛掷	13200	0	0	13200	
被击下马	13207	0	0	13207	
主角演奏设定集琴	13212	0	0	13212	
主角吃萝卜	13217	0	0	13217	
主角演奏五周年琴	13228	0	0	13228	
b12cy盾墙01b盾防御	13233	0	0	13233	
持续対掌	13234	0	0	13234	
対掌后出掌	13235	0	0	13235	
b12cy盾墙01b盾防御衔接	13243	0	0	13243	
苍云任务击鼓	13244	0	0	13244	
演奏马头琴	13265	0	0	13265	
开伞_夜幕星河	13276	0	0	13276	
关伞_夜幕星河	13277	0	0	13277	
纱伞用_画画	13278	0	0	13278	
纱伞用_调戏	13279	0	0	13279	
纱伞用_演奏男笛女琴	13280	0	0	13280	
刺客装	13288	0	0	13288	
鬼王面具	13291	0	0	13291	
金璐凰音	13297	0	0	13297	
开伞_鹤梅	13298	0	0	13298	
关伞_鹤梅	13299	0	0	13299	
鹤梅用_喝酒	13300	0	0	13300	
鹤梅用_弹奏	13301	0	0	13301	
情人节烟花_示爱	13305	0	0	13305	
春节烟花_舞烟花棒	13306	0	0	13306	
春节烟花_敲锣	13307	0	0	13307	
面挂_紧箍咒	13308	0	0	13308	
熊猫背挂_吃面	13309	0	0	13309	
寒琼_开伞	13331	0	0	13331	
寒琼_收伞	13332	0	0	13332	
开伞_鹤影	13359	0	0	13359	
关伞_鹤影	13360	0	0	13360	
主角倒地站起	13957	0	0	13957	
主角扇无无的折扇	13958	0	0	13958	
吹笛子-长相忆	13959	0	0	13959	
主角灭火	13960	0	0	13960	
行礼	13961	0	0	13961	
刷马	13962	0	0	13962	
纯阳攻击动作1	13963	0	0	13963	
纯阳攻击动作2	13964	0	0	13964	
纯阳攻击动作3	13965	0	0	13965	
纯阳攻击动作4	13966	0	0	13966	
纯阳攻击动作13	13967	0	0	13967	
纯阳攻击动作20	13968	0	0	13968	
吃饭动作1	13969	0	0	13969	
吃饭动作2	13970	0	0	13970	
听课	13971	0	0	13971	
长歌预热弹琴1	13972	0	0	13972	
长歌预热弹琴2	13973	0	0	13973	
长歌预热弹琴3	13974	0	0	13974	
苍云刀盾攻击1	13975	0	0	13975	
苍云刀盾攻击2	13976	0	0	13976	
长歌技能动作1	13977	0	0	13977	
长歌技能动作2	13978	0	0	13978	
整理衣冠	13979	0	0	13979	
书生行礼	13980	0	0	13980	
美人靠	13981	0	0	13981	
吃鱼骨头	13982	0	0	13982	
七秀飞花	13983	0	0	13983	
儿童节七彩风车	13984	0	0	13984	
中秋背挂用_喝酒	13985	0	0	13985	
中秋背挂用_吹笛	13986	0	0	13986	
春节场景_龟兹舞蹈	13987	0	0	13987	
春节场景_送礼物	13988	0	0	13988	
琴坐	14094	0	0	14094	
琴坐1	14095	0	0	14095	
标女切琴	14096	0	0	14096	
标女弹琴	14097	0	0	14097	
萝莉女切琴	14098	0	0	14098	
萝莉女弹琴	14099	0	0	14099	
正太男切琴	14100	0	0	14100	
正太男弹琴	14101	0	0	14101	
丐帮特殊武器起跳	15151	0	0	15151	
主角站立引导b	20102	0	0	20102	
循环表情动作1	20150	0	0	20150	
循环坐凳子	20164	0	0	20164	
主角循环拾取	20200	0	0	20200	
主角打坐	20207	0	0	20207	
骑马嘶叫动作	20470	0	0	20470	
主角采药	20901	0	0	20901	
主角铸造动作	20903	0	0	20903	
主角缝纫动作	20904	0	0	20904	
主角蹲下搜索	20909	0	0	20909	
主角挖矿	20913	0	0	20913	
主角猜拳准备动作-循环	20922	0	0	20922	
主角敲棍子动作-循环	20926	0	0	20926	
表情动作_画画	20961	0	0	20961	
表情动作_画画02	20982	0	0	20982	
没有声音的主角演奏动作	20967	0	0	20967	
咸鱼呕吐	20970	0	0	20970	
表情动作_空手演武	21002	0	0	21002	
表情动作_喷火	21308	0	0	21308	
结束特殊动作	30150	0	0	30150	
猎户召唤01a	31177	0	0	31177	
猎户召唤01b	31178	0	0	31178	
猎户召唤01c	31179	0	0	31179	
表情序列动作_跪下	40001	0	0	40001	
表情序列动作_睡觉	40002	0	0	40002	
表情序列动作_画圈圈	40003	0	0	40003	
表现_传功	40004	0	0	40004	
表现_倒地	40005	0	0	40005	
表现_下跪	40006	0	0	40006	
表现_下跪	40007	0	0	40007	
表情序列动作_被推倒	40008	0	0	40008	
情人节烟花系列动作_躺地	40009	0	0	40009	
技能释放	50310	0	0	50310	
技能释放	50311	0	0	50311	
技能释放	50312	0	0	50312	
技能释放	50313	0	0	50313	
技能释放	50314	0	0	50314	
技能释放	50315	0	0	50315	
蓄力吟唱	50320	0	0	50320	
蓄力吟唱	50321	0	0	50321	
蓄力吟唱	50322	0	0	50322	
蓄力吟唱	50323	0	0	50323	
蓄力吟唱	50324	0	0	50324	
蓄力吟唱	50325	0	0	50325	
蓄力吟唱	50326	0	0	50326	
蓄力吟唱	50327	0	0	50327	
蓄力吟唱	50328	0	0	50328	
蓄力吟唱	50329	0	0	50329	
蓄力吟唱	50330	0	0	50330	
蓄力吟唱	50331	0	0	50331	
蓄力吟唱	50332	0	0	50332	
蓄力吟唱	50333	0	0	50333	
蓄力吟唱	50334	0	0	50334	
蓄力吟唱	50335	0	0	50335	
神机车收起	55044	0	0	55044	
神机车解体	55071	0	0	55071	
神机台上车	55138	0	0	55138	
神机台下车	55139	0	0	55139	
摧城车收起	55156	0	0	55156	
摧城车上车	55160	0	0	55160	
摧城车下车	55161	0	0	55161	
苍云默认收盾	55162	0	0	55162	
苍云击倒目标后起身	55163	0	0	55163	
发红包1	55164	0	0	55164	
发红包2	55165	0	0	55165	
发红包3	55166	0	0	55166	
献花	55167	0	0	55167	
面具舞蹈	55168	0	0	55168	
自拍动作1	55170	0	0	55170	
搬重物行走	60025	0	0	60025	
放下重物	60028	0	0	60028	
倾注剑气	60029	0	0	60029	
精血祭剑A	60030	0	0	60030	
精血祭剑B	60031	0	0	60031	
精血祭剑C	60032	0	0	60032	
搬起重物	60033	0	0	60033	
锻造打铁	60034	0	0	60034	
凝神聚气	60044	0	0	60044	
上八相连弩	60047	0	0	60047	
召唤八相连弩	60048	0	0	60048	
方士_入定	60059	0	0	60059	
方士_入定持续	60060	0	0	60060	
方士_还魂	60061	0	0	60061	
方士_招魂起手	60062	0	0	60062	
方士_招魂持续	60063	0	0	60063	
方士_招魂结束	60064	0	0	60064	
绿林_陷阱制作中	60068	0	0	60068	
艺人_献花	60071	0	0	60071	
寻首击山a	60120	0	0	60120	
寻首击山b	60121	0	0	60121	
寻首击山c	60122	0	0	60122	
争神焱舞	60123	0	0	60123	
收盾	60124	0	0	60124	
炎帝反击	60125	0	0	60125	
跪坐待机	60132	0	0	60132	
跪坐到站立	60133	0	0	60133	
坐地喝酒	60134	0	0	60134	
坐地喝酒待机	60135	0	0	60135	
祭拜开始	60136	0	0	60136	
祭拜待机	60137	0	0	60137	
祭拜磕头	60138	0	0	60138	
祭拜结束	60139	0	0	60139	
大力锻造	60140	0	0	60140	
喷嚏	60141	0	0	60141	
浇水	60142	0	0	60142	
浇水待机	60143	0	0	60143	
扇子1	60178	0	0	60178	
扇子2	60179	0	0	60179	
扇子3	60180	0	0	60180	
扇子4	60181	0	0	60181	
吹埙	60182	0	0	60182	
倚身壶饮酒	60183	0	0	60183	
M2H龙舟_普通待机01.ani	60196	0	0	60196	
M2H龙舟_前进01.ani	60197	0	0	60197	
M2H龙舟_后退01.ani	60198	0	0	60198	
M2H龙舟_左转01.ani	60199	0	0	60199	
M2H龙舟_钓鱼-甩杆	60200	0	0	60200	
M2H龙舟_钓鱼-维持	60201	0	0	60201	
M2H龙舟_钓鱼-维持有鱼	60202	0	0	60202	
M2H龙舟_钓鱼-收杆有鱼	60203	0	0	60203	
M2H龙舟_钓鱼-收杆没鱼	60204	0	0	60204	
M2H龙舟_普通待机01.ani	60205	0	0	60205	
M2H龙舟_普通待机01.ani	60206	0	0	60206	
M2H龙舟_普通待机01.ani	60207	0	0	60207	
熊猫背挂_吃竹子切入	110030	0	0	110030	
熊猫背挂_吃竹子切出	110031	0	0	110031	
小熊猫背挂特殊动作切入	110032	0	0	110032	
小熊猫背挂特殊动作切出	110033	0	0	110033	
鎏金火凰披风测试用切入	110034	0	0	110034	
鎏金火凰披风测试用切出	110035	0	0	110035	
栩栩蝶翼披风测试用切入	110036	0	0	110036	
栩栩蝶翼披风测试用切出	110037	0	0	110037	

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
