ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	MaxFarmerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap
12	枫华谷	枫华谷	100	1	2	1	1	0	1		1	1024			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\枫华谷\枫华谷.map	0	0	0	388	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
13	金水镇	金水镇	100	1	2	1	1	0	1		1	1800			10	0	0	0	1	1	0	0	0	0	0	0	data\source\maps\金水镇\金水镇.map	0	0	0	389	4	0	0		1	1	0	1	0	1	1		0	0	0	1			1	0	0	0	0	2	0	
14	灵霄峡	灵霄峡	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\灵霄峡\灵霄峡.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
15	长安	长安	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\长安\长安.map	0	0	0	383	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0	
16	七秀	七秀	100	1	2	1	1	0	1		1	1200	1000		10	0	0	0	6	1	0	0	0	0	0	0	data\source\maps\七秀\七秀.map	0	0	0	379	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
17	天工坊	天工坊	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\天工坊\天工坊.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
18	无盐岛	无盐岛	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\无盐岛\无盐岛.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
19	空雾峰	空雾峰	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\空雾峰\空雾峰.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
20	天地三才阵	天地三才阵	100	2	4	0	0	1	1024		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\天地三才阵\天地三才阵.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
21	巴陵县	巴陵县	100	1	2	1	1	0	1		1	1024			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\巴陵县\巴陵县.map	0	0	0	393	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
22	南屏山	南屏山	100	1	2	1	1	0	1		1	800			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\南屏山\南屏山.map	0	0	0	392	5	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
23	龙门荒漠	龙门荒漠	100	1	2	1	1	0	1		1	1800			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\龙门荒漠\龙门荒漠.map	0	0	0	390	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
25	浩气盟	浩气盟	100	2	2	0	1	0	1		1	1200			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\浩气盟\浩气盟.map	0	0	0	781	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
26	荻花宫前山	荻花宫前山	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\荻花宫前山\荻花宫前山.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
27	恶人谷	恶人谷	100	2	2	0	1	0	1		1	1200			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\恶人谷\恶人谷.map	0	0	0	406	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
28	日轮山城	日轮山城	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\日轮山城\日轮山城.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
29	五十级云湖天池	五十级云湖天池	100	4	5	0	0	2	512		1	24			10	0	0	0		0	1	0	256	2	160	0	data\source\maps\五十级云湖天池\五十级云湖天池.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
30	昆仑	昆仑	100	1	2	1	1	0	1		1	800			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\昆仑\昆仑.map	0	0	0	391	5	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
31	特殊光照地图1	特殊光照地图2	100	1	2	0	0	0	1		1	64			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\特殊光照地图1\特殊光照地图1.map	0	0	0		1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
32	战宝迦兰	战宝迦兰	100	2	6	0	0	1	256		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\战宝迦兰\战宝迦兰.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
33	天子峰	天子峰	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	131	0	0	0	data\source\maps\天子峰\天子峰.map	0	0	0		1	0	0		0	0	0	0	0	0	0	75	131	0	0	0			1	0	0	0	0	1	1	
34	风雨稻香村	风雨稻香村	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\风雨稻香村\风雨稻香村.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
35	瞿塘峡	瞿塘峡	100	1	2	1	1	0	1		1	1024			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\瞿塘峡\瞿塘峡.map	0	0	0	789	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
36	英雄天地三才阵	英雄天地三才阵	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄天地三才阵\英雄天地三才阵.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
37	英雄天工坊	英雄天工坊	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄天工坊\英雄天工坊.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
38	神农洇	神农洇	100	4	5	0	0	2	512		1	34			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\神农洇\神农洇.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
39	四十级云湖天池	四十级云湖天池	100	4	5	0	0	2	512		1	24			2	0	0	0		0	1	0	256	2	160	0	data\source\maps\四十级云湖天池\四十级云湖天池.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
40	英雄荻花宫前山	英雄荻花宫前山	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄荻花宫前山\英雄荻花宫前山.map	0	0	0		1	0	0		0	0	0	0	0	0	0	75	131	0	0	0			1	0	0	0	0	1	1	
41	英雄无盐岛	英雄无盐岛	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄无盐岛\英雄无盐岛.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
42	英雄天子峰	英雄天子峰	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄天子峰\英雄天子峰.map	0	0	0		1	0	0		0	0	0	0	0	0	0	95	131	0	0	0			1	0	0	0	0	1	1	
43	英雄空雾峰	英雄空雾峰	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄空雾峰\英雄空雾峰.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
44	英雄日轮山城	英雄日轮山城	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄日轮山城\英雄日轮山城.map	0	0	0		1	0	0		0	0	0	0	0	0	0	75	131	0	0	0			1	0	0	0	0	1	1	
45	英雄灵霄峡	英雄灵霄峡	100	2	4	0	0	1	256		1	5			2	1	1440	420	2	0	1	0	131	0	0	0	data\source\maps\英雄灵霄峡\英雄灵霄峡.map	0	0	0		1	0	0		0	0	0	0	0	0	0	65	131	0	0	0			1	0	0	0	0	1	1	
46	英雄战宝迦兰	英雄战宝迦兰	100	2	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\英雄战宝迦兰\英雄战宝迦兰.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
47	英雄风雨稻香村	英雄风雨稻香村	100	2	4	0	0	1	100		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄风雨稻香村\英雄风雨稻香村.map	0	0	0		1	0	0		0	0	0	0	0	0	0	75	131	0	0	0			1	0	0	0	0	1	1	
48	珍珑棋谷	珍珑棋谷	100	4	5	0	0	2	512		1	54			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\珍珑棋谷\珍珑棋谷.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
49	藏剑山庄	藏剑山庄	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	4	1	0	0	0	0	0	0	data\source\maps\藏剑山庄\藏剑山庄.map	0	0	0	1337	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
50	丝绸之路	丝绸之路	100	4	5	0	0	2	512		1	54			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\丝绸之路\丝绸之路.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
51	剑冢	剑冢	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	131	0	0	0	data\source\maps\剑冢\剑冢.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
52	七十级云湖天池	七十级云湖天池	100	4	5	0	0	2	512		1	24			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\七十级云湖天池\七十级云湖天池.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0	
53	邀星坪_夜射天狼	邀星坪_夜射天狼	100	4	4	0	0	1	128		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\邀星坪_夜射天狼\邀星坪_夜射天狼.map	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0	
55	守株围场_打猎	守株围场_打猎	100	2	4	0	0	1	64		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\守株围场_打猎\守株围场_打猎.map	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0	
56	困龙岭_梅花桩	困龙岭_梅花桩	100	2	4	0	0	1	64		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\困龙岭_梅花桩\困龙岭_梅花桩.map	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0	
57	陷空坳_宇文宝藏	陷空坳_宇文宝藏	100	2	4	0	0	1	128		1	2			2	1	0	0		0	1	0	131	0	0	0	data\source\maps\陷空坳_宇文宝藏\陷空坳_宇文宝藏.map	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0	
58	百草园	百草园	100	2	4	0	0	4	512		1	50			10	0	0	0		1	1	0	6	0	0	0	data\source\maps\百草园\百草园.map	0	0	0		1	0	0		0	0	0	0	0	0	0		6	0	0	1			1	0	0	0	0	1	0	
60	持国天王殿	持国天王殿	100	3	6	0	0	1	256		1	10			10	0	4320	420		0	1	0	131	0	0	0	data\source\maps\持国天王殿\持国天王殿.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
61	宫中神武遗迹	宫中神武遗迹	100	3	6	0	0	1	256		1	10			10	0	4320	420		0	1	0	131	0	0	0	data\source\maps\宫中神武遗迹\宫中神武遗迹.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
62	英雄剑冢	英雄剑冢	100	2	4	0	0	1	256		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄剑冢\英雄剑冢.map	0	0	0		1	0	0		0	0	0	0	0	0	0	105	131	0	0	0			1	0	0	0	0	1	1	
63	英雄宫中神武遗迹	英雄宫中神武遗迹	100	3	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\英雄宫中神武遗迹\英雄宫中神武遗迹.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
64	25人普通宫中神武遗迹	25人普通宫中神武遗迹	100	3	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\25人普通宫中神武遗迹\25人普通宫中神武遗迹.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
65	25人普通持国天王殿	25人普通持国天王殿	100	3	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\25人普通持国天王殿\25人普通持国天王殿.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
66	英雄持国天王殿	英雄持国天王殿	100	3	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\英雄持国天王殿\英雄持国天王殿.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
67	荻花宫后山	荻花宫后山	100	3	6	0	0	1	256		1	10			2	0	4320	6180		0	1	0	131	0	0	0	data\source\maps\荻花宫后山\荻花宫后山.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
68	荻花圣殿	荻花圣殿	100	3	6	0	0	1	256		1	10			2	0	4320	420		1	1	0	131	0	0	0	data\source\maps\荻花圣殿\荻花圣殿.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
69	10人英雄荻花圣殿	10人英雄荻花圣殿	100	3	6	0	0	1	256		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\10人英雄荻花圣殿\10人英雄荻花圣殿.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
70	25人普通荻花圣殿	25人普通荻花圣殿	100	3	6	0	0	1	256		1	25			2	0	10080	6180		1	1	0	131	0	0	0	data\source\maps\25人普通荻花圣殿\25人普通荻花圣殿.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
71	仙踪林	仙踪林	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\仙踪林\仙踪林.map	0	0	0		1	1	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
72	25人英雄荻花圣殿	25人英雄荻花圣殿	100	3	6	0	0	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\25人英雄荻花圣殿\25人英雄荻花圣殿.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
73	英雄荻花宫后山	英雄荻花宫后山	100	3	6	0	0	1	256		1	10			2	0	4320	6180		0	1	0	131	0	0	0	data\source\maps\英雄荻花宫后山\英雄荻花宫后山.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
74	帮会领地	帮会领地	100	1	4	0	1	4	640	540	1	200			1	0	0	0		1	1	0	6	0	0	0	data\source\maps\帮会领地\帮会领地.map	0	0	0		1	0	0		0	0	0	0	0	0	1		6	0	0	1			1	0	0	0	0	1	0	
75	毒神殿	毒神殿	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\毒神殿\毒神殿.map	0	0	0		1	1	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
100	白龙口	白龙口	100	1	2	1	1	0	1		1	1500			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\白龙口\白龙口.map	0	0	0	1854	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
101	无量山	无量山	100	1	2	1	1	0	1		1	1500			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\无量山\无量山.map	0	0	0	1861	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
102	五毒	五毒	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	11	1	0	0	0	0	0	0	data\source\maps\五毒\五毒.map	0	0	0	1876	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
103	融天岭	融天岭	100	1	2	1	1	0	1		1	1250			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\融天岭\融天岭.map	0	0	0	1817	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
104	黑龙沼	黑龙沼	100	1	2	1	1	0	1		1	1250			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\黑龙沼\黑龙沼.map	0	0	0	1832	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
105	苍山洱海	苍山洱海	100	1	2	1	1	0	1		1	1024			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\苍山洱海\苍山洱海.map	0	0	0		5	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0	
106	法王窟	法王窟	100	2	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	131	0	0	0	data\source\maps\法王窟\法王窟.map	0	0	0		1	1	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
107	无量宫	无量宫	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\无量宫\无量宫.map	0	0	0		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
108	成都	成都	100	1	2	0	1	0	1		1	1200			10	0	0	0		1	0	0	16	0	0	0	data\source\maps\成都\成都.map	0	0	0	1807	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0	
109	龙渊泽	龙渊泽	100	3	6	0	1	1	320		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\龙渊泽\龙渊泽.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
110	寂灭厅	寂灭厅	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\寂灭厅\寂灭厅.map	0	0	1		1	0	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
111	英雄仙踪林	英雄仙踪林	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄仙踪林\英雄仙踪林.map	0	0	0		1	1	0		0	0	0	0	0	0	0	80	131	0	0	0			1	0	0	0	0	1	1	
112	英雄毒神殿	英雄毒神殿	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄毒神殿\英雄毒神殿.map	0	0	0		1	1	0		0	0	0	0	0	0	0	80	131	0	0	0			1	0	0	0	0	1	1	
113	英雄寂灭厅	英雄寂灭厅	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄寂灭厅\英雄寂灭厅.map	0	0	1		1	0	0		0	0	0	0	0	0	0	80	131	0	0	0			1	0	0	0	0	1	1	
114	英雄无量宫	英雄无量宫	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄无量宫\英雄无量宫.map	0	0	0		1	0	0		0	0	0	0	0	0	0	80	131	0	0	0			1	0	0	0	0	1	1	
115	英雄法王窟	英雄法王窟	100	2	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄法王窟\英雄法王窟.map	0	0	0		1	1	0		0	0	0	0	0	0	0	80	131	0	0	0			1	0	0	0	0	1	1	
116	低级仙踪林	低级仙踪林	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\低级仙踪林\低级仙踪林.map	0	0	0		1	1	0		0	0	0	0	0	0	0	40	131	0	0	0			1	0	0	0	0	1	1	
117	25人英雄龙渊泽	25人英雄龙渊泽	100	3	6	0	1	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\25人英雄龙渊泽\25人英雄龙渊泽.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
118	25人普通龙渊泽	25人普通龙渊泽	100	3	6	0	1	1	256		1	25			2	0	10080	6180		0	1	0	131	0	0	0	data\source\maps\25人普通龙渊泽\25人普通龙渊泽.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
119	10人英雄龙渊泽	10人英雄龙渊泽	100	3	6	0	1	1	256		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\10人英雄龙渊泽\10人英雄龙渊泽.map	0	0	0		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
120	荻花洞窟	荻花洞窟	100	3	6	0	0	1	256		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\荻花洞窟\荻花洞窟.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1	
121	英雄神农洇	英雄神农洇	100	4	5	0	0	2	512		1	34			2	0	0	0		0	1	0	256	2	160	0	data\source\maps\英雄神农洇\英雄神农洇.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	0			1	0	0	0	0	2	0	
122	唐门	唐门	100	1	2	1	1	0	1		1	1800	1500		10	0	0	0	8	1	0	0	0	0	0	0	data\source\maps\唐门\唐门.map	0	0	0	2705	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0	
123	低级唐门密室	低级唐门密室	100	3	4	0	0	1	128		1	5			10	1	1440	420		0	1	0	131	0	0	0	data\source\maps\低级唐门密室\低级唐门密室.map	0	0	0		1	1	0		0	0	0	0	0	0	0	50	131	0	0	0			1	0	0	0	0	1	1	
125	唐门密室	唐门密室	100	3	4	0	0	1	320		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\唐门密室\唐门密室.map	0	0	1		1	0	0		0	0	0	0	0	0	0	90	131	0	0	0			1	0	0	0	0	1	1	
126	神剑冢	神剑冢	100	3	6	0	0	1	256		1	25			10	0	1440	420		0	1	0	131	0	0	0	data\source\maps\神剑冢\神剑冢.map	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	0	
