ID	Activity	ParentID1	ParentID2	ParentID3	ParentID4	ParentID5	StartTimeRule	Cycle	Duration	ShowUI	ServerScript	CenterScript	IsSyncState
76	战场-丝绸之路	75					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
77	战场-丝绸之路	75					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
82	科举-生成题库	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:0;Minute:0;		604799	0		center_scripts\Exam.lua	
88	阵营战性能统计	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12,18;Minute:0;	0	14400	0	scripts\Activity\CampFightStat.lua		
89	中秋·烟花表演	42	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:11,13,19,21,23;Minute:50;	0	900		scripts/Activity/中秋活动/中秋活动·烟花表演.lua	center_scripts\Activity\中秋活动·烟花表演.lua	
90	中秋·天狗抢月饼	42	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:11,13,15,17,19;Minute:0;	0	900		scripts/Activity/中秋活动/中秋活动·天狗抢月饼.lua	center_scripts\Activity\中秋活动·天狗抢月饼.lua	
92	中秋·金秋共团圆	42	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:20;Minute:0;	0	14400		scripts/Activity/中秋活动/中秋活动·爷爷做月饼.lua	center_scripts\Activity\中秋活动·金秋共团圆.lua	
93	中秋活动·小饼的委托	42	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:20;Minute:0;	0	86340		scripts/Activity/中秋活动/中秋活动·刷小饼.lua	center_scripts\Activity\中秋活动·小饼的委托.lua	
94	美人图	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:3,5,6,7;Hour:7;Minute:0;		86399	1	scripts/Activity/宫敖美人图/美人图.lua		
97	攻防期间南屏昆仑场景处理	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;		68340	0	scripts\Activity\阵营攻防战\南屏昆仑任务NPC创建.lua		
103	阵营战BOSS击杀个数重置	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6;Hour:0;Minute:0;	0	28800	0		center_scripts\Activity\Camp\CampBossCountReset.lua	
104	游历江湖寻秘宝	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86399	1	scripts/Activity/系统活动_隐元追缉令/隐元追缉令开始结束处理.lua		
105	南屏昆仑之役·筹备	0	0	0	0	0	Calendar:Solar;Year:2001;Month:*;MDay:*;WDay:*;Hour:*;Minute:*;		43140	1	scripts/Activity/可人和莫雨的突袭/突袭活动开始结束处理.lua		
106	南屏昆仑之役·进攻	0	0	0	0	0	Calendar:Solar;Year:2001;Month:*;MDay:*;WDay:*;Hour:*;Minute:*;	0	3600	1		center_scripts\Activity\南屏昆仑之战.lua	
110	美人图·潜行	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:3,5,6,7;Hour:7;Minute:0;	0	86399	1			
111	主城茶馆	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340		scripts/Activity/主城茶馆/主城茶馆.lua		
113	帮会食堂	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:8,12,18;Minute:0;	0	7200	1		center_scripts\Activity\TongCanteen\TongCanteen.lua	
114	元旦活动						Calendar:Solar;Year:2016;Month:12;MDay:29;WDay:*;Hour:7;Minute:0;		1209599	1	scripts/Activity/Yuandanhuodong.lua		
116	春节活动·重奖年后迎归客						Calendar:Solar;Year:2016;Month:2;MDay:15;WDay:*;Hour:7;Minute:0;	0	1209599				
117	花朝节·相伴江湖						Calendar:Solar;Year:2017;Month:3;MDay:9;WDay:*;Hour:7;Minute:0;		604799	1	scripts\Activity\qingrenjiehuodong.lua		
118	南屏昆仑之役·创建任务npc	0	0	0	0	0	Calendar:Solar;Year:2001;Month:*;MDay:*;WDay:*;Hour:*;Minute:*;		75540	1	scripts/Activity/可人和莫雨的突袭/突袭结束后任务npc处理.lua		
119	勤修不辍·打坐	125	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:12,18,23;Minute:0;		7200	1	scripts/Activity/门派归属活动/门派打坐开始结束处理.lua		
120	游历瞿塘采仙草	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:3,5,6,7;Hour:7;Minute:0;	0	86340	1	scripts/Activity/瞿塘峡轻功活动/瞿塘峡轻功活动开关.lua		
121	战场日-三国古战场						Calendar:Solar;Year:2001;Month:1;MDay:5;WDay:*;Hour:7;Minute:0;	518400	86400	1			
124	勤修不辍·演武	125	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:*;Minute:0,30;	0	900	1	scripts/Activity/门派归属活动/门派大师兄演武.lua		
125	勤修不辍·师门·父活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340	0			
127	赛马·报名	138	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:7;Minute:1;		240		scripts\Activity\SaiMaBaoMing.lua		
128	赛马·比赛	138	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:7;Minute:5;		300	1	scripts\Activity\SaiMaBiSai.lua		
129	驯马1号	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:7;Minute:0;	600	120	0	scripts/Map/驯养系统/event/1号马匹刷新脚本.lua		
130	驯马2号	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:7;Minute:0;	1800	120	0	scripts\Map\驯养系统\event\2号马匹刷新脚本.lua		
131	驯马3号	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:7;Minute:0;	14400	120	0	scripts\Map\驯养系统\event\3号马匹刷新脚本.lua		
132	勤修不辍	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340	1			
133	驯马4号	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:21;Minute:0;	43200	120	0	scripts\Map\驯养系统\event\4号马匹刷新脚本.lua		
134	驯马5号	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:8;Minute:0;	86400	120	0	scripts\Map\驯养系统\event\5号马匹刷新脚本.lua		
135	试炼之地	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	604740	1	scripts/Activity/试炼之地/试炼之地开始结束处理.lua		
136	三国古战场	121					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1-5;Hour:12;Minute:0;	0	46740	1			
137	三国古战场	121					Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6,7;Hour:12;Minute:0;	0	46740	1			
138	赛马总开关	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:11;WDay:*;Hour:7;Minute:0;		604740	0			
139	套马开关	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:10;WDay:*;Hour:7;Minute:0;	604800	604740	0			
142	隐元追缉令发奖活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:0,2,4,8,10,12,14,16,18,20,22;Minute:0;		7200	0	scripts/Activity/系统活动_隐元追缉令/隐元追缉令发奖活动.lua		
143	洱海夺马	0	0	0	0	0	Calendar:Solar;Year:2001;Month:1;MDay:*;WDay:5,6,7;Hour:21;Minute:0;	0	3600	1	scripts/Activity/集群刷马/集群刷马开始结束处理.lua		
144	宠物龟蛋刷新	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:6;WDay:*;Hour:8;Minute:0;	600	120	0	scripts\Map\跟宠系统\evevt\龟蛋刷新控制.lua		
145	涅槃分支控制活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:5;Hour:4;Minute:0;		604740	0			
149	流寇入侵	0	0	0	0	0	Calendar:Solar;Year:2012;Month:9;MDay:18;WDay:*;Hour:7;Minute:0;	0	1209600	0	scripts/Activity/Act_流寇入侵/流寇入侵开始结束处理.lua		
151	藏剑-叶凡迎亲	255					Calendar:Solar;Year:2014;Month:12;MDay:17;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\藏剑\藏剑门派事件开始结束处理.lua		
152	七秀-比武大会	253					Calendar:Solar;Year:2014;Month:12;MDay:15;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\七秀\七秀门派事件开始结束处理.lua		
153	天策-狩猎围场	252					Calendar:Solar;Year:2014;Month:12;MDay:14;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\天策\天策门派事件开始结束处理.lua		
154	纯阳-一刀流骚扰	251					Calendar:Solar;Year:2014;Month:12;MDay:13;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\纯阳\纯阳门派事件开始结束处理.lua		
155	唐门-唐家送亲	256					Calendar:Solar;Year:2014;Month:12;MDay:18;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\唐门\门派事件唐门开始结束处理.lua		
156	万花-机甲大战	254					Calendar:Solar;Year:2014;Month:12;MDay:16;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\万花\万花门派事件开始结束处理.lua		
157	明教-守卫陆烟儿	259					Calendar:Solar;Year:2014;Month:12;MDay:12;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\明教\明教门派事件开始结束处理.lua		
158	少林-竞技大会	258	0	0	0	0	Calendar:Solar;Year:2014;Month:12;MDay:10;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\少林\少林门派事件开始结束处理.lua		
159	五毒-曲云解毒	257	0	0	0	0	Calendar:Solar;Year:2014;Month:12;MDay:19;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\五毒\五毒门派事件开始结束处理.lua		
160	控制黑市交易开始	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1,4;Hour:7;Minute:0;	0	226800	0		center_scripts\Activity\BlackMarketSell.lua	
161	钓鱼活动	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:21;Minute:*;	0	7200	1	scripts\Activity\帮会钓鱼活动\钓鱼活动.lua		
162	钓鱼活动-第二阶段	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:22;Minute:*;	0	3600	0	scripts\Activity\帮会钓鱼活动\钓鱼活动.lua		
163	钓鱼活动-第三阶段	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:23;Minute:*;	0	3600	0	scripts\Activity\帮会钓鱼活动\钓鱼活动.lua		
164	捕快排行奖励发放	0	0	0	0	0	Calendar:Solar;Year:2012;Month:12;MDay:24;WDay:*;Hour:7;Minute:0;	604800	432000	0	scripts/Activity/捕快每周发奖活动/捕快每周发奖server.lua		
168	充值翻牌功能开关	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340	0			
170	阵营押镖	0	0	0	0	0	Calendar:Solar;Year:2001;Month:*;MDay:*;WDay:*;Hour:*;Minute:*;	0	21600			center_scripts/Activity/押镖活动center.lua	
171	战阶排名奖励发放	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:8;Minute:0;	0	604740	0	scripts\Activity\战阶排名奖励\战阶排名奖励发放.lua		
172	逼婚·主城表现	0	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:14;WDay:*;Hour:9;Minute:0;	0	604800	0	scripts\Map\逼婚GWW\include\逼婚活动表.lua		
173	逼婚·创建假剑心	175	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:18;WDay:*;Hour:20;Minute:30;	300	290	0	scripts\Map\逼婚GWW\include\逼婚活动表.lua		
174	逼婚·玄晶公告	176	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:18;WDay:*;Hour:21;Minute:0;	3600	300	0		center_scripts\Activity\BiHunXuanJing.lua	
175	逼婚·创建假剑心父活动	0	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:18;WDay:*;Hour:20;Minute:20;	0	3600	0			
176	逼婚·总父活动	0	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:14;WDay:*;Hour:9;Minute:0;	0	1555260	0			
177	逼婚·正式活动	0	0	0	0	0	Calendar:Solar;Year:2013;Month:3;MDay:18;WDay:*;Hour:21;Minute:30;	0	1800	0			
180	安史之乱预热	0	0	0	0	0	Calendar:Solar;Year:2013;Month:5;MDay:23;WDay:*;Hour:7;Minute:0;	0	1382340	1	scripts\Activity\Act_安史之乱预热\安史之乱预热开始结束处理.lua		
181	祈福雅安	0	0	0	0	0	Calendar:Solar;Year:2013;Month:4;MDay:22;WDay:*;Hour:7;Minute:0;	0	604800		scripts/Activity/ACT_祈福雅安/祈福雅安.lua	center_scripts/Activity/祈福雅安center.lua	
182	祈福雅安公告	181	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:*;Minute:0,30;	0	120	0		center_scripts/Activity/祈福雅安公告活动center.lua	
183	洛道野外BOSS	0	0	0	0	0	Calendar:Solar;Year:2004;Month:8;MDay:6;WDay:*;Hour:22;Minute:0;	777600	3600	0	scripts\Activity\野外首领\洛道野外BOSS.lua		
184	寇岛野外BOSS	0	0	0	0	0	Calendar:Solar;Year:2004;Month:8;MDay:9;WDay:*;Hour:22;Minute:0;	777600	3600	0	scripts\Activity\野外首领\寇岛野外BOSS.lua		
185	金水镇野外BOSS	0	0	0	0	0	Calendar:Solar;Year:2004;Month:8;MDay:12;WDay:*;Hour:22;Minute:0;	777600	3600	0	scripts\Activity\野外首领\金水镇野外BOSS.lua		
186	丐帮-十二连环坞挑衅	260	0	0	0	0	Calendar:Solar;Year:2014;Month:12;MDay:20;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\丐帮\丐帮门派事件开始结束处理.lua		
187	狼牙首领·洛阳	0	0	0	0	0	Calendar:Solar;Year:2001;Month:5;MDay:15;WDay:*;Hour:20;Minute:0;		3600	0			
188	世界首领						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:3;Hour:20;Minute:0;		14400	1	scripts\Activity\野外首领\新版世界BOSS.lua		
189	令狐伤的进击	0	0	0	0	0	Calendar:Solar;Year:2013;Month:8;MDay:28;WDay:*;Hour:7;Minute:0;	0	486000	0	scripts/Activity/ACT_令狐伤的进击/令狐伤的进击.lua	center_scripts/Activity/令狐伤的进击center.lua	
190	乱世天策-抵御狼牙	261	0	0	0	0	Calendar:Solar;Year:2014;Month:12;MDay:14;WDay:*;Hour:19;Minute:0;	1036800	3600	1	scripts\Activity\Act_门派事件\乱世天策\乱世天策门派事件开始结束处理.lua		
191	令狐伤的进击·当晚刷怪	189	0	0	0	0	Calendar:Solar;Year:2013;Month:9;MDay:2;WDay:*;Hour:20;Minute:30;	300	240	0	scripts/Activity/ACT_令狐伤的进击/令狐伤的进击`当晚刷怪191.lua	center_scripts/Activity/令狐伤的进击刷怪center.lua	
192	茶馆·战乱	0	0	0	0	0	Calendar:Solar;Year:2001;Month:*;MDay:*;WDay:*;Hour:7;Minute:0;	0	86340	1			
193	世界首领						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:5;Hour:20;Minute:0;		14400	1	scripts\Activity\野外首领\新版世界BOSS.lua		
195	更新薪火值重置时间	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:1-7;WDay:1;Hour:14;Minute:0;	0	604800	0			
196	科举-省试						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:0;Minute:0;		604799	1	scripts/Activity/科举/省考.lua		
197	科举-会试						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:6;Hour:20;Minute:0;	0	100799	1	scripts/Activity/科举/会考通知.lua	center_scripts/Activity/科举排行榜清除.lua	
198	科举-放榜						Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;	0	61200	1	scripts/Activity/科举/放皇榜.lua		
200	安史乱天下，豪侠仗剑归		0	0	0	0	Calendar:Solar;Year:2013;Month:7;MDay:1;WDay:*;Hour:7;Minute:0;		2419200	0	scripts\Activity\安史之乱回归活动\安史乱天下，豪侠仗剑归.lua		
201	试炼之地bug处理·清排行榜	0	0	0	0	0	Calendar:Solar;Year:2013;Month:7;MDay:29;WDay:*;Hour:7;Minute:0;	0	86460	0	scripts/Activity/试炼之地清除排行榜活动.lua		
202	长安内城-劫法场	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:12,13,18,19,22,23;Minute:20;		3540	1	scripts\Activity\ACT_劫法场\劫法场.lua		
203	战阶结算日	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;		3600	1			
205	齐物阁		0	0	0	0	Calendar:Solar;Year:2001;Month:1;MDay:1;WDay:1;Hour:15,21;Minute:0;		14399				
209	拳市父活动	0	0	0	0	0	Calendar:Solar;Year:2013;Month:9;MDay:13;WDay:*;Hour:7;Minute:0;	86400	86340	0			
210	拳市子活动	209	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:0-23;Minute:0;			0	scripts\Activity\长安内城拳市\拳市.lua		
211	齐物阁-周排行奖励发放	0	0	0	0	0	Calendar:Solar;Year:2013;Month:9;MDay:23;WDay:*;Hour:3;Minute:0;	604800	432000	0	scripts/Activity/齐物阁/周排行榜奖励发放.lua		
212	齐物阁-周排行榜重置	0	0	0	0	0	Calendar:Solar;Year:2013;Month:9;MDay:28;WDay:*;Hour:0;Minute:0;	604800	432000	0	scripts/Activity/齐物阁/周排行榜数据重置.lua		
213	洗炼开关	0	0	0	0	0	Calendar:Solar;Year:2012;Month:7;MDay:10;WDay:*;Hour:7;Minute:0;	604800	604740	0			
214	奇宝之争	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;	0	604800	0			
219	世界首领						Calendar:Solar;Year:2016;Month:5;MDay:9;WDay:*;Hour:20;Minute:0;		14400	1	scripts\Activity\野外首领\新版世界BOSS.lua		
222	春节活动年兽二点	33	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:*;Minute:0;		3000	0	scripts\Activity\节日春节\春节年兽二点.lua		
224	元宵节	0	0	0	0	0	Calendar:Solar;Year:2017;Month:2;MDay:9;WDay:*;Hour:7;Minute:0;	0	1209599	1	scripts\Activity\Act_元宵节\元宵节.lua		
225	逐鹿中原	236	237	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:2,4;Hour:20;Minute:0;	0	7200	1	scripts\Map\逐鹿中原\include\据点争夺_活动表.lua	center_scripts\Activity\Camp\据点争夺_活动表.lua	
226	新服阵法	0	0	0	0	0	Calendar:Solar;Year:2014;Month:2;MDay:24;WDay:1;Hour:7;Minute:0;	0	2419200	0	scripts\Map\Act_新服福利\include\新服福利.lua		
227	2014年3月预热帮会发奖父活动	0	0	0	0	0	Calendar:Solar;Year:2014;Month:3;MDay:24;WDay:*;Hour:7;Minute:0;		3024060	0			
228	2014年3月预热帮会发奖子活动	227	0	0	0	0	Calendar:Solar;Year:2014;Month:3;MDay:24;WDay:*;Hour:7;Minute:0;	604800	432000	0	scripts/Activity/2014年3月预热/2014年3月阵营第一帮会发奖.lua		
229	幽陵劫潮	0	0	0	0	0	Calendar:Solar;Year:2014;Month:3;MDay:17;WDay:*;Hour:7;Minute:*;	0	3024060	0	scripts\Activity\2014年3月预热\幽陵劫潮.lua		
230	逐鹿中原赛季结算	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:1;Hour:7;Minute:0;		86400	0	scripts\Map\逐鹿中原\include\赛季重置_活动表.lua		
231	逐鹿中原预热同步浩气盟排行榜到官网	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:*;Minute:59;		3540	0		center_scripts\逐鹿中原预热同步浩气盟排行榜到官网.lua	
232	逐鹿中原预热同步恶人谷排行榜到官网	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:*;Minute:1;		3540	0		center_scripts\逐鹿中原预热同步恶人谷排行榜到官网.lua	
233	狼牙BOSS彩蛋	0	0	0	0	0	Calendar:Solar;Year:*;Month:*;MDay:*;WDay:*;Hour:13,14,15,16,9,10,11,12,17,18,19,20,21,22,23,0,1;Minute:0;		3540	0	scripts\Map\逐鹿中原\surprise_boss\狼牙boss活动表.lua		
