FellowPetIndex	NpcTemplateID	ItemTabType	ItemTabIndex	Type	Score
151	51087	8	16882	2	45
152	51088	8	16883	2	45
153	51089	8	16884	2	45
154	51090	8	16885	2	45
155	51091	8	16886	3	45
156	51092	8	16887	3	45
157	51093	8	16888	3	45
158	51094	8	16889	3	45
159	51095	8	16890	3	45
160	51107	8	16891	3	45
161	51108	8	16892	3	45
162	51109	8	16893	3	45
163	51110	8	17259	3	45
164	51111	8	17260	3	45
165	51112	8	17261	3	45
166	51113	8	17262	3	45
167	51114	8	17263	3	45
168	51115	8	17264	3	45
169	51116	8	17265	3	45
170	51117	8	17266	3	45
171	51118	8	17267	3	45
172	51119	8	17268	3	45
173	51120	8	17269	3	45
174	51121	8	17270	3	45
175	51122	8	17271	2	45
176	51123	8	17272	2	45
177	51124	8	17273	2	45
178	51125	8	17274	2	45
179	51126	8	17275	2	45
180	51127	8	17276	3	45
181	51128	8	17277	3	45
182	51129	8	17278	3	45
183	51130	8	17279	3	45
184	51131	8	17280	3	45
185	51234	8	17499	3	0
186	51235	8	17500	3	0
187	51236	8	17501	3	0
188	51237	8	17502	3	0
189	51238	8	17503	3	0
190	51553	8	18262	3	50
191	51546	8	18263	1	50
192	51576	8	18264	2	43
193	51571	8	18265	3	45
194	51567	8	18266	3	45
195	51572	8	18267	3	45
196	51573	8	18268	3	45
197	51566	8	18269	2	45
198	51561	8	18270	2	45
199	51574	8	18271	3	45
200	51562	8	18272	3	45
201	51563	8	18273	3	45
202	51568	8	18274	3	45
203	51569	8	18275	3	45
204	51575	8	18276	3	45
205	51564	8	18277	4	45
206	51565	8	18278	4	45
207	51570	8	18279	2	45
208	51727	8	18280	4	0
209	51973	8	18281	2	0
210	52304	8	18282	3	60
211	52305	8	18283	3	60
212	53393	8	18284	1	43
213	53401	8	18285	3	50
214	53402	8	18286	3	60
215	53403	8	18287	3	45
216	53404	8	18288	3	45
217	53405	8	18289	3	45
218	53406	8	18290	3	45
219	53407	8	18291	3	45
220	53408	8	18292	3	45
221	53409	8	18293	3	0
222	53559	8	18294	3	43
223	55629	8	19236	3	0
224	55646	8	19266	4	0
225	55576	8	18295	2	50
226	55575	8	18296	2	60
227	55866	8	18297	3	0
228	56666	8	18300	3	60
229	56660	8	18298	1	50
230	56664	8	18299	1	43

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
