ID	AnnounceType	CoolDownID	OwnDuration	BuffID	BuffLevel	Type	TitleID
280	0					1	
281	0					1	
282	0					1	
283	0					1	
284	0					1	
285	0					1	
286	0					1	
287	1					1	
288	1					1	
289	1					1	
290	1					1	
291	1					1	
292	1					1	
293	1					1	
294	1					1	
295	1					1	
296	1					1	
297	1					1	
298	1						
299	1					1	
300	1					1	
301	3	380				1	
302	3	380				1	
303	3	380				1	
304	3	380				1	
305	3	380				1	
306	3	380				1	
307	0						
308	0						
309	0						
310	0						
311	1						
312	1						
313	1						
314	1						
315	1						
316	1						
317	1						
318	1						
319	1						
320	1						
321	1					1	
322	1						
323	1					1	
324	1						
325	3						
326	3						
327	3						
328	3						
329	3					1	
330	3					1	
331	3					1	
332	3					1	
333	1						
335	3		604800			1	27
336	3		604800			1	28
337	3		604800			1	29
338	3		604800			1	30
339	3		604800			1	31
340	3		604800			1	32
341	3		604800			1	33
342	3		604800			1	34
343	3		604800			1	35
344	3		604800			1	36
345	3		604800			1	37
346	3		604800			1	38
347	3		604800			1	39
348	3		604800			1	40
349	3		604800			1	41
350	3					1	
351	3					1	
352	3					1	
353	3					1	
354	3					1	
355	1						
356	1					1	
357	1						
358	1						
359	1						
360	1					1	

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
