ID	Name	MapName	Kind	Level	ClassID	CraftID	CanOperateEach	IsSelectable	RemoveDelay	ReviveDelay	OpenPrepareFrame	Drop1	Count1	Drop2	Count2	Drop3	Count3	Drop4	Count4	Drop5	Count5	Drop6	Count6	Drop7	Count7	Drop8	Count8	Drop9	Count9	Drop10	Count10	RepresentID	SprintRepresentID	MoneyMin	MoneyMax	MoneyDropRate	CanPick	BarText	Script	OverLootFrame	DynamicObstacle	ProgressID	IndependentDrop	IndependentDropCount	IndependentDropType	AreaBroadcast	IdentityVisiableID
173	粉黛	扬州	3	1	1		0		2880	60	80																					173					1	拾取									
174	龟蛋	扬州	3	1	1		0		16	60	32																					174					1	摧毁									
175	观音草	扬州	3	1	1		0		2880	60	80																					175					1	挖掘									
176	被夺的药材	扬州	3	1	1		0		2880	60	80																					176					1	拿取									
177	被夺的衣物	扬州	3	1	1		0		2880	60	80																					177					1	拿取									
178	农时鼎	扬州	6	1	1		0		2880	1	80																					178					1	充水									
180	失落的龙珠	扬州	3	1	1		0		2880	60	80																					174					1	拾取									
182	松动的石头	扬州	3	1	1		0		16	60	80																					180					1	移动									
183	炉灶	生活技能工具台	1	0	0	0	0	1	0	0	0		0		0		0		0													143		0	0	1048576	1				0						
184	千青的玉佩	扬州	6	1	0	0	0	1	2880	60	1		0		0		0		0													30		0	0	1048576	1	拾取									
185	素英花	万花	3	1	1		0		2880	60	80																					108					1	采集									
186	残碑·贰	万花	3	1	1		0		2880	1	80	万花\canbei2.tab	1																			1106					1	查看									
187	残碑·叁	万花	3	1	1		0		2880	1	80	万花\canbei3.tab	1																			1106					1	查看									
188	残碑·肆	万花	3	1	1		0		2880	1	80	万花\canbei4.tab	1																			1106					1	查看									
189	易晖的箱子	万花	3	1	1		0		2880	1	80																					31					1	打开									
190	10~20级江南人形遗体	生活技能遗体	2	10		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
191	10~20级中原人形遗体	生活技能遗体	2	10		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
192	20~30级江南人形遗体	生活技能遗体	2	20		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
193	20~30级中原人形遗体	生活技能遗体	2	20		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
194	30~40级江南人形遗体	生活技能遗体	2	30		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
195	30~40级中原人形遗体	生活技能遗体	2	30		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
196	40~50级江南人形遗体	生活技能遗体	2	40		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
197	40~50级中原人形遗体	生活技能遗体	2	40		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
198	50~60级江南人形遗体	生活技能遗体	2	50		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
199	50~60级中原人形遗体	生活技能遗体	2	50		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
200	50~60级西北人形遗体	生活技能遗体	2	50		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
201	60~70级江南人形遗体	生活技能遗体	2	60		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
202	60~70级中原人形遗体	生活技能遗体	2	60		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
203	60~70级西北人形遗体	生活技能遗体	2	60		3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1										
204	毛娃娃	新手村	6	1	1		1				80	稻香村\maowawa.tab	1																			13023					1	拾取									
206	饭菜	少林	8	1	1			0	2880		60																					291					0										
207	画像配件	少林	8	1	1				2880		60																					292					0										
208	和谐鼓	少林	8	1	1			0	2880		60																					293					0	击鼓									
209	标识特效	扬州	8					0	4800	1	5																					121					1										
212	扬州大火	扬州	8	1	1		0	0	2880	0	0																					122					0										
213	蛇笼	扬州		1	0	0	0		2880		80		0		0		0		0													123		0	0	1048576	1	打开									
214	药炉	万花	8	0	0	0	0	0	2880	2880	0		0		0		0		0													124		0	0	1048576	0	使用									
215	杂货商配件	少林	3	1	1				2880		60																					294					1										
216	丢失的货物	寇岛	3	1	1				2880	60	80																					304					1	拾取									
217	蔓荆	寇岛	3	1	1				2880	60	80																					305					1	采集									
218	无瓣桑	寇岛	3	1	1				2880	1	80																					306					1	采集									
219	石块	寇岛	3	1	1				2880	60	80																					307					1	拾取									
220	野菜	寇岛	3	1	1				2880	20	80																					308					1	采集									
221	不知名的草药	寇岛	3	1	1				2880	60	80																					309					1	采集									
222	野花	寇岛	3	1	1				2880	60	80																					310					1	采集									
223	海星	寇岛	3	1	1				2880	60	80																					311					1	拾取									
224	蚌壳	寇岛	3	1	1				2880	60	80																					312					1	打开									
225	长矛	寇岛	3	1	1				2880	1	80																					313					1	拾取									
226	宝藏	寇岛	6	1	1				2880	60	80																					314					1	打开宝藏									
227	进贡的货物	寇岛	3	1	1				2880	60	80																					315					1	摧毁	scripts\Map\寇岛\doodad\进贡的货物.lua								
228	无血花	洛道	3	1	1		0		2880	60	80																					11					1	采取									
229	红衣姑娘的遗体	洛道	3	1	1		0		2880	60	80																					296						点燃	scripts\Map\洛道\doodad\被烧的红衣尸体.lua								
230	红衣信徒的遗体	洛道	3	1	1		0		2880	1	80																					297					1	点燃									
233	火箭车	寇岛	3	1	1				2880	60	80																					317					1	点燃	scripts\Map\寇岛\doodad\火箭车.lua								
234	胡德的遗体	洛道	2	1	1		0		960		80																					300					1										
235	火蛇果	寇岛	3	1	1				2880	5	80																					318					1	采集	scripts\Map\寇岛\doodad\火蛇果.lua								
236	稀奇的草药	寇岛	3	1	1				2880	20	80																					319					1	采集									
237	测试餐桌	生活技能大餐	6	1	0	0	1	1	2880	0	80		0		0		0		0													125		0	0	1048576	0										
239	复生毒人的遗体	洛道	2	1	1		0		960		80																					300					1										
240	被啃过的鱼干	寇岛	3	1	1				2880	1	80																					327					1	拾取									
241	神策军帐篷	洛道	3	1	0	0	0	1	2880	60	80		0		0		0		0													129		0	0	1048576	1	烧毁									
243	树枝干柴	少林	3	1	1				2880	60	80	少林\ganchai.tab	1																			222					1	拾取	scripts\Map\少林\doodad\枯枝柴.lua								
244	白菜	少林	3	1	1				2880	60	80																					223					1	摘菜									
245	聚龙草	少林	3	1	1				2880	60	80																					224					1	采集									
246	丢失的玉佩	少林	3	1	1				2880	1	80																					225					1	拾取									
247	醒世钟	少林	3	1	1				2880		80																					226					1	敲钟	scripts\Map\少林\doodad\大笨钟.lua								
248	饭灶台	少林	3	1	1				2880		80																					227					1	盛饭	scripts\Map\少林\doodad\饭灶台.lua								
249	菜灶台	少林	3	1	1				2880		80																					228					1	盛菜	scripts\Map\少林\doodad\菜灶台.lua								
250	水缸	少林	3	1	1		0		2880		80																					1230					1	倒水	scripts\Map\少林\doodad\水缸.lua								
251	大水缸	少林	3	1	1				2880		80																					230					1	倒水									
252	塔林的石碑	少林	4	1	1				2880	1	80																					231					1	抄录	Scripts\Map\少林\doodad\塔林碑文1.lua								
253	太宗碑	少林	4	1	1				2880		80																					509					1	查看碑文	scripts\Map\少林\doodad\太宗碑.lua								
254	山灵芝	少林	3	1	1				2880	60	80																					233					1	采集									
255	道决的遗体	少林	6	1	1				2880	1	80																					234					1	检查	scripts\Map\少林\doodad\道决的尸体.lua								
256	落叶	少林	3	1	1				16	60	80																					235					1	打扫	scripts\Map\少林\doodad\落叶.lua								
257	粮食袋	少林	3	1	1				2880	60	80																					236					1	拾取									
258	衰败的青菜	洛道	3		1		0		2880	60	80																					823					1	采集									
259	金刚经	少林	8	1	1				2880		80																					238					1	打开经书盒									
260	血书	少林	4	1	1				2880		80																					1240					1	拾取	scripts\Map\少林\doodad\断臂.lua								
261	发钗	少林	7	1	1		1		2880	1	80		1																			240					1	拾取	scripts/Map/少林/doodad/发钗.lua								
262	碑林的石碑	少林	4	1	1				2880		80																					241					1	查看碑文	scripts\Map\少林\doodad\碑林石碑.lua								
263	木头人机括	少林	3	1	1				2880	60	80	少林\jikuo.tab	1																			242					1	拾取	scripts\Map\少林\doodad\机括.lua								
264	明教令牌	少林	6	1	1				2880		80																					243					1	拾取									
265	大藏经	少林	4	1	1				2880		80	少林\dazangjing.tab	1																			239					1	拾取									
266	洗髓经	少林	4	1	1				2880		80																					245					1	打开经书盒									
267	汤灶台	少林	3	1	1				2880		80																					246					1	盛汤	scripts\Map\少林\doodad\汤灶台.lua								
268	东瀛包裹	少林	4	1	1				960	1	80	少林\dongyinglaixin.tab	1																			247					1	打开									
269	昆仑道士的篓	纯阳	3	1	1		1		2880	1	80																					248					1	点火									
270	南华真经	纯阳	3	1	1		1		2880	1	80																					249					1	拾取									
271	怪石	纯阳	3	1	1		1		2880	60	80																					250					1	拾取									
272	砖石	纯阳	3	1	1		1		2880	60	80																					251					1	拾取									
273	巨大的龙骨	纯阳	7	1	1		1		2880	60	80	纯阳\judadelonggu.tab	1																			252					1	拾取									
274	止血莲 	纯阳	3	1	1		1		2880	60	80																					253					1	采集									
275	同心锁	纯阳	3	1	1		1		2880	1	80																					254					1	拾取									
276	胭脂盒	纯阳		1	1		1		2880	1	80																					255					1	拾取	scripts\Map\门派随机日常\doodad\纯阳-胭脂盒.lua								
277	大石头	纯阳	3	1	1				30	15	48																					256					1	劈开									
278	被劈开的石头	纯阳	8	1	1				2880	150	80																					257					1										
279	老君炉	纯阳	7	1	1		1		90	1	80																					258					1	使用	scripts\Map\纯阳\doodad\老君炉.lua								
280	雪珠草	纯阳	3	1	1		1		2880	60	80																					259					1	拾取									
281	未开的花苞	纯阳	8	1	1		0		2880	1	80																					260					1										
282	绝情花	纯阳	8	1	1		0		2880	1	80																					261					1	拾取									
283	道符架	纯阳	3	1	1		1		2880	1	80	纯阳\daofujia.tab	1																			262					1	拾取									
284	玄武之精	纯阳	3	1	1				2880	1	48																					263					1	拾取	scripts\Map\纯阳\doodad\玄武之精.lua								
285	壁刻	纯阳	4	1	1		1		2880	1	80																					264					1	查看									
286	赤火尊	纯阳	3	1	1		1		2880	1	80																					2264					1	点燃									
287	嫩枝	纯阳	8	1	1		0		2880		80																					3264					1										
288	喷香的猪肉	纯阳	8	1	1		0		2880		80																					4264					1	使用									
289	返魂草	洛道	3	1	1				2880	60	80																					224					1	采摘									
290	雨花石	洛道	3	1	1		0		2880	60	80																					301					1	拾取									
291	丁香	洛道	3	1	1		0		2880	1	80		1		1																	127					1	采摘									
292	锈刀	洛道	3	1	1		0		2880	60	80		1		1		1															128					1	拾取									
293	王小花的坟墓	洛道	3	1	1		0		80	25	80																					302					1	挖掘	scripts\Map\洛道\doodad\僵尸坟堆.lua								
294	燃烧的遗体	洛道	2	1	1		0	0	2880		80																					303					1										
295	毒狼菇	洛道	3	1	1		0		2880	60	80		1		1																	130					1	采摘									
296	毒波斯菊	洛道	3	1	1		0		16	60	48		1		1																	131					0	灌溉	scripts\Map\洛道\doodad\灌溉.lua								
297	田边的草堆	洛道	3	1	0	0	0	1	1920	60	80		0		0		0		0													132		0	0	1048576	1	寻找									
300	被夺的镖	洛道	3	1	1		0		2880	960	80																					320					1	拾取									
302	灯油	洛道	3	1	1		0		2880	1	80																					267					1	拾取									
305	粮草	洛道	3	1	1		0		2880	1	80																					270					1										
308	断剑	洛道	3	1	1		0		2880	60	80																					273					1	拾取									
309	小花的遗体	洛道	3	1	1		0		2880	1	80																					274					1										
310	林河的遗体	洛道	3	1	1		0		2880	1	80																					275					1										
311	少芳花	洛道	3	1	1		0		2880	60	80																					276					1	采集									
315	火种	洛道	3	1	1		0		2880	1	80																					280					1										
317	陈旧的画卷	洛道	3	1	1		0		2880	1	80																					282					1	拾取									
318	镶有珍珠的牛角梳子	洛道	3	1	1		0		2880	1	80																					283					1	拾取									
319	镖局弟子遗体	洛道	3	1	1	0	0	1	2880	60	80		0		0		0		0													133		0	0	1048576	1	翻找									
320	破旧的玩具	洛道	3	1	1		0		2880	60	80																					285					1	拾取									
322	传奇残卷	洛道	3	1	1		0		2880	60	80																					287					1	拾取									
323	雨花石	洛道	3	1	1		0		2880	1	80																					288					1	拾取									
324	陷阱	洛道	3	1	1		0		2880	1	80																					289					1										
326	新掩埋的土堆	洛道	3	0	0	0	0	1	16	150	5		0		0		0		0													134		0	0	1048576	1	挖掘									
327	奇怪的香盒	洛道	3	1	1		0		2880	60	80																					135					1	打开									
328	镖货	洛道	0	0	0	0	0	1	0	0	0		0		0		0		0													136		0	0	1048576	0	拾取									
329	洛水菱角	洛道	3	1	1		0		2880	60	80																					137					1	采集									
330	孤坟	洛道	0	0	1	0	0	1	0	25	0		0		0		0		0													138		10	40	1048576	1										
331	孤坟替代	洛道	0	0	0	0	0	1	0	150	0		0		0		0		0													0		0	0	1048576	1										
332	新坟	洛道	3	0	0	0	0	0	0	150	0		0		0		0		0													139		0	0	1048576	1	挖掘									
333	虎跃石	纯阳	14	1					1	1																						326					0				1						
334	沸腾的锅	洛道	3	1	0	0	0	1	2880	1	80		0		0		0		0													140		0	0	1048576	1										
335	铁血石	洛道	3	1	0	0	0	1	2880	60	80		0		0		0		0													141		0	0	1048576	1	采集									
336	油鼎	洛道	3	1					2880	60	80																					321					0	采取									
337	后院的土堆	洛道	6	1	1					60	80																					322					0	挖掘	scripts\Map\洛道\doodad\后院的土堆.lua								
338	红衣药箱	洛道	3	1	1		0		2880	1	80																					323					1	打开									
339	被挖开的坟堆	洛道	3	1			0		2880	60	80																					324					1	翻找									
340	六星灯	洛道	3	1					2880	1	80																					325						提取灯油									
341	毒波斯菊新	洛道	8	1	0	0	0	0		0	0		0		0		0		0													142		0	0	1048576	1	灌溉									
342	印染工作台	生活技能工具台	1	0	0	0	0	1	0	0	0		0		0		0		0													144		0	0	1048576	1				0						
343	铸造工具台	生活技能工具台	1	0	0	0	0	1	0	0	0		0		0		0		0													145		0	0	1048576	1				0						
344	大药臼	生活技能工具台	1	0	0	0	0	1	0	0	0		0		0		0		0													146		0	0	1048576	1				0						
345	信徒的遗体	洛道	3	1	1		0		2880	1	80																					11					1	点燃									
346	锁栏	纯阳	7	1	1		1		2880	1	80																					330					1	悬挂	scripts\Map\纯阳\doodad\锁栏.lua								
347	挂锁栏杆	纯阳	8	1	1		1		2880	1	80																					330					1	使用									
348	1~20级老虎遗体	生活技能遗体	2	10	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
349	20~30级老虎遗体	生活技能遗体	2	20	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
350	30~40级老虎遗体	生活技能遗体	2	30	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
351	40~50级老虎遗体	生活技能遗体	2	40	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
352	50~60级老虎遗体	生活技能遗体	2	50	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
353	60~70级老虎遗体	生活技能遗体	2	60	7	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
354	1~20级猪遗体	生活技能遗体	2	10	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
355	20~30级猪遗体	生活技能遗体	2	20	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
356	30~40级猪遗体	生活技能遗体	2	30	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
357	40~50级猪遗体	生活技能遗体	2	40	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
358	50~60级猪遗体	生活技能遗体	2	50	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
359	60~70级猪遗体	生活技能遗体	2	60	8	3	0	1	2880	0	0		0		0		0		0													1		0	0	1048576	1		scripts\Craft\通用尸体.lua								
