ID	Duration	MinDuration	note	Usage	MaxCount	MaxDuration	CanBackup	MaxOverDraftCount	CanAccelerate	NeedSyncOB
79	120	120	天赋技能	11	1	120		0	1	0
80	15	15	纯阳-九转归真	3	1	15	1	0	1	1
81	25	25	纯阳_八卦洞玄	3	1	25	1	0	1	1
82	8	8	纯阳_天地无极	3	1	8	1	0	1	0
83	15	15	纯阳_万剑归宗	3	1	15	1	0	1	0
84	90	90	纯阳_抱元守缺	3	1	90	1	0	1	0
85	15	15	纯阳_致虚极	3	1	15	1	0	1	0
86	20	20	纯阳_剑飞惊天	3	1	20	1	0	1	1
87	86400	86400	密聊加好感度专用CD	13	1	86400		0	0	0
88	4	4	轻功	11	1	4	1	0	1	0
89	86400	86400	切磋加好感度专用CD	13	1	86400		0	0	0
90	1800	1800	寇岛宝藏机甲人	21	1	1800		0	0	0
91	2	0	天策-穿云	1	1	4	1	0	1	0
92	3	0	天策-破风	1	1	6	1	0	1	0
93	8	8	天策-定军	1	1	8	1	0	1	0
94	1.5	1.5	天策-撼如雷	1	1	1.5	1	0	1	0
96	120	120	天策-徐如林	1	1	120	1	0	1	0
97	1.5	0	天策-龙牙	1	1	3	1	0	1	0
98	20	20	天策-突	1	1	20	1	0	1	1
99	10	10	天策-乱	1	1	10	1	0	1	0
100	120	120	天策-啸如虎	1	1	120	1	0	1	0
101	8	8	天策-灭	1	1	8	1	0	1	1
102	180	180	天策-御奔突	1	1	180	1	0	1	1
103	15	15	天策-破坚阵	1	1	15	1	0	1	0
104	1	1	天策-战八方	1	1	1	1	0	1	0
105	25	25	天策-断魂刺	1	1	25	1	0	1	0
106	90	90	天策-掠如火	1	1	90	1	0	1	0
107	90	90	天策-疾如风	1	1	90	1	0	1	1
108	40	40	天策-任驰骋	1	1	40	1	0	1	1
109	3	3	枫华谷任务_毒龙镖	29	1	3		0	0	0
110	120	120	七秀_剑气浑脱_满堂势	4	1	120	1	0	1	1
111	1800	1800	七秀_剑气浑脱_心鼓弦	4	1	1800	1	0	1	0
112	600	600	七秀_剑气浑脱_邻里曲	4	1	600	1	0	1	0
113	1200	1200	剑器浑脱_心鼓弦	4	1	1200	1	0	1	0
114	90	90	七秀_剑气浑脱_鹊踏枝	4	1	90	1	0	1	1
115	120	120	七秀_西河剑器_羿射九日	4	1	120	1	0	1	0
116	10	10	七秀_猿公剑法_剑影留痕	4	1	10	1	0	1	0
117	90	90	七秀_西河剑器_雷霆震怒	4	1	90	1	0	1	1
118	90	90	七秀_西河剑器_月华倾泻	4	1	90	1	0	1	0
119	120	120	七秀_西河剑器_天地低昂	4	1	120	1	0	1	1
120	75	75	七秀_剑气浑脱_蝶弄足	4	1	75	1	0	1	1
121	30	30	七秀_剑气浑脱_龙池乐	4	1	30	1	0	1	0
122	43	43	七秀_西河剑器_绛唇珠袖	4	1	43	1	0	1	0
123	8	8	七秀_猿公剑法_剑气长江	4	1	8	1	0	1	0
124	40	40	七秀_西河剑器_帝骖龙翔	4	1	40	1	0	1	1
125	30	30	七秀_猿公剑法_剑心通明	4	1	30	1	0	1	0
126	12	12	江湖_新手技能AOE	11	1	12		0	1	0
127	120	120	江湖_新手技能回复	11	1	120		0	1	0
128	45	45	江湖_新手技能狂暴	11	1	45		0	1	0
129	0.1	0.1	普通配方	0	1	0.1		0	0	0
130	10	10	精力体力	13	1	10		0	0	0
131	3600	3600	大餐	14	1	3600		0	0	0
132	1	1	烹饪公共CD	14	1	1		0	0	0
133	120	120	回复品	24	1	120		0	0	0
134	120	120	特殊品1_2分钟	0	1	120		0	0	0
135	60	60	特殊品2_1分钟	0	1	60		0	0	0
136	120	120	特殊品2_2分钟	0	1	120		0	0	0
137	300	300	特殊品2_5分钟	0	1	300		0	0	0
138	1800	1800	特殊品2_30分钟	0	1	1800		0	0	0
139	120	120	特殊品3_2分钟	0	1	120		0	0	0
140	180	180	特殊品3_3分钟	0	1	180		0	0	0
141	120	120	特殊品4_2分钟	0	1	120		0	0	0
142	180	180	特殊品4_3分钟	0	1	180		0	0	0
143	6	6	寇岛火炬任务	21	1	6		0	0	0
144	1	1	道具CD_1秒	13	1	1		0	0	0
145	2	2	道具CD_2秒	13	1	2		0	0	0
146	5	5	道具CD_5秒	13	1	5		0	0	0
147	10	10	道具CD_10秒	13	1	10		0	0	0
148	20	20	天策_御	1	1	20	1	0	1	0
149	300	300	天策-守如山	1	1	300	1	0	1	1
150	8	8	天策-龙吟	1	1	8	1	0	1	0
151	6	6	天策-穿	1	1	6	1	0	1	0
152	1200	1200	门派间CD	11	1	1200		0	1	0
153	300	300	天策-门派内CD	1	1	300	1	0	1	0
154	300	300	纯阳-门派内CD	3	1	300	1	0	1	0
155	300	300	万花-门派内CD	2	1	300	1	0	1	0
156	300	300	少林-门派内CD	5	1	300	1	0	1	0
157	300	300	七秀-门派内CD	4	1	300	1	0	1	0
160	60	60	纯阳-凭虚御风	3	1	60	1	0	1	1
161	30	30	扶摇直上	11	1	30	1	0	1	0
162	1	1	纯阳-凝神聚气	3	1	1	1	0	1	0
163	30	30	纯阳-坐望无我	3	1	30	1	0	1	0
164	150	150	纯阳-韬光养晦	3	1	150	1	0	1	1
165	30	30	轻功前冲	11	1	30	1	0	1	0
166	30	30	轻功疾退	11	1	30	1	0	1	0
167	30	30	轻功左闪	11	1	30	1	0	1	0
168	30	30	轻功右闪	11	1	30	1	0	1	0
169	15	15	纯阳-五方行尽	3	1	15	1	0	1	1
170	6	6	纯阳-气场CD	3	1	6	1	0	1	0
171	120	120	纯阳-转乾坤	3	1	120	1	0	1	1
172	20	20	纯阳-大道无术	3	1	20	1	0	1	1
173	2	0	纯阳-三环套月	3	1	4	1	0	1	0
174	300	300	纯阳_镇山河	3	1	300	1	0	1	1
175	6	6	万花_点穴截脉_少明指	2	1	6	1	0	1	0
176	17	17	万花_点穴截脉_太阴指	2	1	17	1	0	1	1
177	10	10	万花_点穴截脉_厥阴指	2	1	10	1	0	1	0
178	20	20	万花_百花拂穴手_芙蓉并蒂	2	1	20	1	0	1	0
179	30	30	万花_百花拂穴手_傍花随柳	2	1	30	1	0	1	0
180	5	5	万花_百花拂穴手_钟林毓秀	2	1	5	1	0	1	0
181	6	6	万花_百花拂穴手_兰摧玉折	2	1	6	1	0	1	0
182	20	20	纯阳_三才化生	3	1	20	1	0	1	0
183	1	1	任务道具_七毒蝎尾针	0	1	1		0	0	0
184	20	20	七秀_猿公剑法_剑灵寰宇	4	1	20	1	0	1	0
185	40	40	七秀_霓裳羽衣_风袖低昂	4	1	40	1	0	1	1
186	6	6	七秀_霓裳羽衣_上元点鬟	4	1	6	1	0	1	0
187	120	120	七秀_霓裳羽衣_繁音急节	4	1	120	1	0	1	1
188	15	15	七秀_霓裳羽衣_王母挥袂	4	1	15	1	0	1	1
189	20	20	天策-裂苍穹	1	1	20	1	0	1	0
190	15	15	天策-崩	1	1	15	1	0	1	0
191	6	6	七秀_猿公剑法_剑主天地	4	1	6	1	0	1	0
192	1.5	1.5	江湖_打坐	11	1	1.5		0	1	0
193	25	25	少林_千斤坠	5	1	25	1	0	1	1
194	1	1	七毒蝎尾针	0	1	1		0	0	0
195	120	120	万花_花语酥心	2	1	120	1	0	1	0
196	20	20	纯阳_人剑合一	3	1	20	1	0	1	0
197	20	20	天策-沧月	1	1	20	1	0	1	0
198	3	3	七秀_云裳心经_跳珠憾玉	4	1	3	1	0	1	0
199	1.5	1.5	七秀_西河剑器_名动四方	4	1	1.5	1	0	1	0
200	3600	3600	礼品道具CD	0	1	3600		0	0	0
201	20	20	万花_毫针	2	1	20	1	0	1	1
202	5	5	稻香村赶猪棒	15	1	5		0	0	0
203	3600	3600	自绝经脉60分钟	0	1	3600		0	0	0
204	30	30	轻功扶摇直上	11	1	30	1	0	1	0
205	1.5	1.5	纯阳_聚气凝元	3	1	1.5	1	0	1	0
207	15	15	洛道任务——赶走军马CD	20	1	15		0	0	0
208	60	60	万花_大针	2	1	60	1	0	1	0
209	5	5	江湖_暗器攻击	11	1	5		0	1	0
210	3600	3600	技艺-阅读绿色CD	25	1	3600		0	0	0
211	21600	21600	技艺-阅读蓝色CD	25	1	21600		0	0	0
212	86400	86400	技艺-阅读紫色CD	25	1	86400		0	0	0
213	20	20	扬州捉萤火虫	16	1	20		0	0	0
214	3	3	少林_技能事件_增加反击点CD	5	1	3	1	0	1	0
215	6	6	少林_韦陀献杵_秘笈_增加反击点	5	1	6	1	0	1	0
216	180	180	送礼加好友度专用CD	13	1	180		0	0	0
217	3	3	纯阳-气宗阵法第四重	3	1	3	1	0	1	0
218	3	3	纯阳剑宗阵法第四重3秒CD	3	1	3	1	0	1	0
219	1	1	七秀_冰心诀_闪避后还击	4	1	1	1	0	1	0
220	1800	1800	辅助系_脑户_高血高防	31	1	1800		0	0	0
221	120	120	辅助系_后顶_吸收伤害	31	1	120		0	0	0
222	600	600	辅助系_百合_回血	31	1	600		0	0	0
223	600	600	辅助系_风府_自由行动	31	1	600		0	0	0
224	300	300	外功系_外丘_外功会心	31	1	300		0	0	0
225	300	300	外功系_悬钟_沉默	31	1	300		0	0	0
226	600	600	外功系_光明_重置CD	31	1	600		0	0	0
227	300	300	内功系_关门_内功会心	31	1	300		0	0	0
228	300	300	内功系_太乙_减速	31	1	300		0	0	0
229	600	600	内功系_幽门_重置CD	31	1	600		0	0	0
230	30	30	火毒	38	1	30		0	0	0
231	5	5	木毒	38	1	5		0	0	0
232	5	5	水毒	38	1	5		0	0	0
233	5	5	金毒	38	1	5		0	0	0
234	5	5	土毒	38	1	5		0	0	0
235	7200	7200	技艺-抄录碑文CD	25	1	7200		0	0	0
236	10	10	聊天CD	13	1	10		0	0	0
237	25	25	纯阳_冲阴阳	3	1	25	1	0	1	0
238	10	10	纯阳_破苍穹	3	1	10	1	0	1	0
239	10	10	纯阳_化三清	3	1	10	1	0	1	0
240	10	10	纯阳_生太极	3	1	10	1	0	1	0
241	10	10	纯阳_吞日月	3	1	10	1	0	1	0
242	10	10	纯阳_凌太虚	3	1	10	1	0	1	0
243	10	10	纯阳_碎星辰	3	1	10	1	0	1	0
244	1800	1800	基础系_龈交_传送	31	1	1800		0	0	0
245	1.5	1.5	纯阳-吐故纳新	3	1	1.5	1	0	1	0
246	7200	7200	基础系_兑瑞_重置传送cd	31	1	7200		0	0	0
247	72000	72000	基础系_上脘_传功准备	31	1	72000		0	0	0
248	30	30	草上飞	11	1	30		0	1	0
249	20	20	聊天频道1	13	1	20		0	0	0
250	30	30	聊天频道2	13	1	30		0	0	0
251	60	60	聊天频道3	13	1	60		0	0	0
252	5	5	七秀_云裳_躲闪	4	1	5	1	0	1	0
253	20	20	万花_花间游_被暴击回血	2	1	20	1	0	1	0
254	300	300	天尊赤火	42	1	300		0	0	0
255	600	600	武尊玄冰	42	1	600		0	0	0
256	1440	1440	修为药品一天冷却	24	1	1440		0	0	0
257	600	600	特殊品5_10分钟	0	1	600		0	0	0
258	120	120	蹴鞠CD	0	1	120		0	0	0
259	1.5	1.5	崩、定军和龙吟的公共CD	1	1	1.5	1	0	1	0
260	0.5	0.5	刷新频率0.5秒	13	1	0.5		0	0	0
261	43200	43200	碑铭-棍章第六	25	1	43200		0	0	0
262	43200	43200	碑铭-枪章第二	25	1	43200		0	0	0
263	86400	86400	碑铭-易筋经第五章	25	1	86400		0	0	0
264	86400	86400	碑铭-白驹	25	1	86400		0	0	0
265	86400	86400	碑铭-谷风	25	1	86400		0	0	0
266	86400	86400	碑铭-咏美人在天津桥	25	1	86400		0	0	0
267	86400	86400	碑铭-书典第七章	25	1	86400		0	0	0
268	86400	86400	碑铭-纯阳秘录第四章	25	1	86400		0	0	0
269	43200	43200	碑铭-十四难上篇	25	1	43200		0	0	0
270	43200	43200	碑铭-子非鱼	25	1	43200		0	0	0
271	86400	86400	碑铭-鹿王本生·下	25	1	86400		0	0	0
272	86400	86400	碑铭-昆仑派风物志	25	1	86400		0	0	0
273	86400	86400	碑铭-昆仑派历代掌门弟子	25	1	86400		0	0	0
274	86400	86400	碑铭-初唐四杰	25	1	86400		0	0	0
276	259200	259200	碑铭-第四章·出游感苦	25	1	259200		0	0	0
277	259200	259200	碑铭-鬼谷子本经阴符七术之四	25	1	259200		0	0	0
278	259200	259200	碑铭-吕祖百字碑疏义其五	25	1	259200		0	0	0
279	259200	259200	碑铭-少林书第四章	25	1	259200		0	0	0
280	259200	259200	碑铭-紫骝马	25	1	259200		0	0	0
281	259200	259200	碑铭-青龙·氐宿第三	25	1	259200		0	0	0
282	259200	259200	碑铭-咏风	25	1	259200		0	0	0
283	259200	259200	碑铭-从军行（二）	25	1	259200		0	0	0
284	259200	259200	碑铭-道德经卷三其八	25	1	259200		0	0	0
285	259200	259200	碑铭-玄武·壁宿第七	25	1	259200		0	0	0
286	259200	259200	碑铭-独不见	25	1	259200		0	0	0
287	259200	259200	碑铭-三十六计第一章	25	1	259200		0	0	0
288	259200	259200	碑铭-四象生八卦上	25	1	259200		0	0	0
289	259200	259200	碑铭-易筋经第一章	25	1	259200		0	0	0
290	259200	259200	碑铭-易筋经第二章	25	1	259200		0	0	0
291	259200	259200	碑铭-庐山东林寺杂诗	25	1	259200		0	0	0
292	259200	259200	碑铭-道德经卷五其三	25	1	259200		0	0	0
293	259200	259200	碑铭-剑侠山河图鉴其二	25	1	259200		0	0	0
294	259200	259200	碑铭-剑侠山河图鉴其八	25	1	259200		0	0	0
295	259200	259200	碑铭-风动心	25	1	259200		0	0	0
296	259200	259200	碑铭-黑白鼠上篇	25	1	259200		0	0	0
297	259200	259200	碑铭-少林高僧录其八	25	1	259200		0	0	0
298	259200	259200	碑铭-书信辑录其一·王维林家书	25	1	259200		0	0	0
299	259200	259200	碑铭-书信辑录其二·邀药王入谷书	25	1	259200		0	0	0
300	259200	259200	碑铭-朱雀·柳宿第三	25	1	259200		0	0	0
301	259200	259200	碑铭-盗亦有道	25	1	259200		0	0	0
302	259200	259200	碑铭-八仙传之一	25	1	259200		0	0	0
303	259200	259200	碑铭-禅武之争上	25	1	259200		0	0	0
304	259200	259200	碑铭-禅武之争下	25	1	259200		0	0	0
305	259200	259200	碑铭-少林风物论其一	25	1	259200		0	0	0
306	259200	259200	碑铭-少林风物论其二	25	1	259200		0	0	0
307	259200	259200	碑铭-阳宝笔录卷一第一章	25	1	259200		0	0	0
308	259200	259200	碑铭-鹿王本生·中	25	1	259200		0	0	0
309	259200	259200	碑铭-天下三智惟逊一秋	25	1	259200		0	0	0
310	259200	259200	碑铭-双兵第五	25	1	259200		0	0	0
311	1200	1200	道具CD_20分钟	13	1	1200		0	0	0
312	30	30	道具_30秒	13	1	30		0	0	0
314	0.5	0.5	新建装备	42	1	0.5		0	0	0
315	180	180	御厨七宝链	42	1	180		0	0	0
316	60	60	御厨勾涎戒	42	1	60		0	0	0
317	14400	14400	五彩球·赤	44	1	14400		0	0	0
318	14400	14400	五彩球·蓝	44	1	14400		0	0	0
319	1800	1800	元旦节日_经验	14	1	1800		0	0	0
320	60	60	元旦活动_掌门送礼	46	1	60		0	0	0
321	30	30	元旦活动_五彩球	46	1	30		0	0	0
322	10	10	好友频道10秒	13	1	10		0	0	0
323	5	5	师徒频道5秒	13	1	5		0	0	0
324	86400	86400	天工皮革	44	1	86400		0	0	0
325	180	180	戒指_观冥_提高内功AP	42	1	180		0	0	0
326	180	180	腰坠_聚力坠_提高外功AP	42	1	180		0	0	0
327	180	180	腰坠_忍风链_提高内功抗性	42	1	180		0	0	0
328	180	180	腰坠_圣士腰坠_提高内功会心	42	1	180		0	0	0
329	180	180	腰坠_东海珠坠_提高治疗AP	42	1	180		0	0	0
330	72000	72000	天工锦缎	44	1	72000		0	0	0
331	30	30	商店购买CD	13	1	30		0	0	0
332	15	15	藏剑_秀水剑法_玉虹贯日	6	1	15	1	0	1	0
333	1.5	1.5	藏剑_秀水剑法_九溪弥烟	6	1	1.5	1	0	1	0
334	30	30	藏剑_秀水剑法_玉泉鱼跃	6	1	30	1	0	1	0
335	8	8	藏剑_秀水剑法_黄龙吐翠	6	1	8	1	0	1	0
336	28	28	藏剑_秀水剑法_梦泉虎跑	6	1	28	1	0	1	1
337	20	20	藏剑_灵峰剑式_鹤归孤山	6	1	20	1	0	1	1
339	300	300	藏剑内功CD	6	1	300	1	0	1	0
340	10	10	藏剑_灵峰剑式_霞流宝石	6	1	10	1	0	1	0
341	15	15	藏剑_灵峰剑式_峰插云景	6	1	15	1	0	1	0
342	1800	1800	清除神行道具CD	13	1	1800		0	0	0
343	120	120	藏剑_灵峰剑式_风来吴山	6	1	120	1	0	1	1
344	3	3	藏剑_君子风_听雷	6	1	3	1	0	1	0
345	15	15	藏剑_君子风_醉月	6	1	15	1	0	1	1
346	20	20	藏剑_君子风_探梅	6	1	20	1	0	1	0
347	12	12	藏剑_君子风_啸日	6	1	12	1	0	1	1
348	120	120	藏剑_西子情_莺鸣柳	6	1	120	1	0	1	1
349	100	100	藏剑_西子情_雪断桥	6	1	100	1	0	1	0
350	25	25	藏剑_西子情_风吹荷	6	1	25	1	0	1	0
351	40	40	藏剑_西子情_泉凝月	6	1	40	1	0	1	0
352	120	120	藏剑_西子情_云栖松	6	1	120	1	0	1	1
353	30	30	战宝装备	42	1	30		0	0	0
354	72000	72000	玉钢锭	锻造	1	72000		0	0	0
355	8	8	藏剑_秀水剑法_平湖断月	6	1	8	1	0	1	0
356	900	900	战宝道具cd15分钟	42	1	900		0	0	0
357	14400	14400	消除传功Debuff_4小时	46	1	14400		0	0	0
358	14400	14400	消除被传功Debuff_4小时	46	1	14400		0	0	0
359	15	15	绷带类使用公共CD	24	1	15		0	0	0
360	14400	14400	消除经脉错乱Debuff_4小时	46	1	14400		0	0	0
361	120	120	橙色武器_2分钟CD	42	1	120		0	0	0
362	12	12	藏剑_君子风_惊涛	6	1	12	1	0	1	0
363	4	4	藏剑_灵峰剑式_云飞玉皇	6	1	4	1	0	1	0
364	120	120	降低仇恨类药品CD	24	1	120		0	0	0
365	30	30	饰品装备CD	42	1	30		0	0	0
366	120	120	武器装备CD	42	1	120		0	0	0
367	10	10	2人副本_夜射天狼_瞄准射击CD	0	1	10		0	0	0
368	72000	72000	经验粽子_20小时	46	1	72000		0	0	0
369	120	120	海纳百川_2分钟	46	1	120		0	0	0
370	120	120	抽射_2分钟	46	1	120		0	0	0
371	72000	72000	修为粽子_20小时	46	1	72000		0	0	0
372	1800	1800	玫瑰_30分钟	46	1	1800		0	0	0
373	1800	1800	牡丹_30分钟	46	1	1800		0	0	0
374	20	20	藏剑_君子风_摘星	6	1	20	1	0	1	0
375	600	600	基础系_神阙_重置CD	31	1	600		0	0	0
376	3600	3600	传功	31	1	3600		0	0	0
377	600	600	基础系_巨阙_重置门派CD	31	1	600		0	0	0
378	14400	14400	基础系_下脘_满蓝满剑气	31	1	14400		0	0	0
379	14400	14400	基础系_中脘_满血	31	1	14400		0	0	0
380	3600	3600	CD1小时	49	1	3600		0	0	0
381	3600	3600	CD1小时	49	1	3600		0	0	0
382	180	180	PVP_腰坠_3分钟	42	1	180		0	0	0
383	8	8	藏剑_君子风_断潮	6	1	8	1	0	1	0
384	30	30	纯阳-剑冲阴阳	3	1	30	1	0	1	1
385	12	12	五毒_五仙图录_蟾啸	9	1	12	1	0	1	0
386	120	120	大厨武器	46	1	120		0	0	0
387	30	30	宠物公共CD	9	1	30	1	0	1	0
388	30	30	圣蝎引	9	1	30	1	0	1	0
389	30	30	玉蟾引	9	1	30	1	0	1	0
390	30	30	灵蛇引	9	1	30	1	0	1	0
391	30	30	风蜈引	9	1	30	1	0	1	0
392	30	30	天蛛引	9	1	30	1	0	1	0
393	1	1	宠物攻击指令	9	1	1	1	0	1	0
394	1	1	宠物主动指令	9	1	1	1	0	1	0
395	1	1	宠物防守指令	9	1	1	1	0	1	0
396	1	1	宠物被动指令	9	1	1	1	0	1	0
397	1	1	宠物跟随指令	9	1	1	1	0	1	0
398	1	1	宠物停留指令	9	1	1	1	0	1	0
399	20	20	五毒_补天心经_蛊惑众生	9	1	20	1	0	1	0
400	18	18	五毒_五仙图录_百足	9	1	18	1	0	1	1
401	8	8	五毒_五仙图录_千丝	9	1	8	1	0	1	0
402	12	12	五毒_万蛊真解_三种蛊GCD	9	1	12	1	0	1	1
403	60	60	五毒_补天心经_女娲补天	9	1	60	1	0	1	1
404	35	35	五毒_大荒驭龙_蛊虫献祭	9	1	35	1	0	1	1
405	120	120	五毒_补天心经_仙王蛊鼎	9	1	120	1	0	1	0
406	120	120	五毒_补天心经_金蟾吐瑞	9	1	120	1	0	1	1
407	1800	1800	五毒_万蛊真解_凤凰蛊	9	1	1800	1	0	1	0
408	25	25	圣蝎_减速	9	1	25	1	0	1	0
409	20	20	玉蟾_嘲讽	9	1	20	1	0	1	0
410	12	12	灵蛇_伤害	9	1	12	1	0	1	0
411	25	25	风蜈_加速	9	1	25	1	0	1	0
412	20	20	天蛛_拉人	9	1	20	1	0	1	0
413	1	1	宠物仇恨开关	9	1	1	1	0	1	0
414	600	600	帮会匾额_10分钟	13	1	600		0	0	0
415	600	600	帮会旗帜_10分钟	13	1	600		0	0	0
416	600	600	帮会战旗_10分钟	13	1	600		0	0	0
417	7200	7200	帮会召唤帮众_2小时	13	1	7200		0	0	0
418	7200	7200	帮会召唤NPC_2小时	13	1	7200		0	0	0
419	59	59	CD59秒	49	1	59		0	0	0
420	120	120	少林_达摩武诀_金刚诀	5	1	120	1	0	1	0
421	10	10	少林_龙爪手_涅槃式	5	1	10	1	0	1	0
422	3	3	藏剑_秀水剑法_踏雪寻梅	6	1	3	1	0	1	0
423	120	120	藏剑_西子情_东逝水	6	1	120	1	0	1	0
424	8	8	藏剑_灵锋剑式_雪满天山	6	1	8	1	0	1	0
425	90	90	藏剑_西子情_小天下	6	1	90	1	0	1	0
426	60	60	少林_袈裟伏魔功_三世诸佛	5	1	60	1	0	1	0
427	30	30	少林_罗汉棍法_归去来棍	5	1	30	1	0	1	0
428	90	90	万花_养心诀_乱洒青荷	2	1	90	1	0	1	1
429	6	6	万花_少阳指	2	1	6	1	0	1	0
430	3	3	万花_清风垂露	2	1	3	1	0	1	0
431	1	1	太极四象子技能CD	3	1	1	1	0	1	0
432	10	10	两仪雨集CD	3	1	10	1	0	1	0
433	120	120	纯阳-紫气东来	3	1	120	1	0	1	1
434	4	4	天策-灭对自身伤害	1	1	4	1	0	1	0
435	4	4	天策_灭对目标伤害	1	1	4	1	0	1	0
436	10	10	天策_骑射	1	1	10	1	0	1	0
437	20	20	天策_霹雳	1	1	20	1	0	1	0
438	15	15	纯阳_风雨如晦	3	1	15	1	0	1	0
439	300	300	擂台鲜花CD_5分钟	13	1	300		0	0	0
440	60	60	五毒_幻蛊	9	1	60	1	0	1	1
441	10	10	七秀_霓裳羽衣_王母挥袂_子技能	4	1	10	1	0	1	0
442	120	120	五毒_大荒御龙_蛊虫狂暴	9	1	120	1	0	1	1
443	10	10	五毒阵法10秒CD	9	1	10	1	0	1	0
444	2.5	2.5	后跳CD2.5秒	13	1	2.5		0	0	0
445	180	180	五毒_补天心经_真凰浴火	9	1	180	1	0	1	0
