ID	Name	TurnToFight_Text_1	TurnToFight_Type_1	TurnToFight_Rate_1	TurnToFight_Text_2	TurnToFight_Type_2	TurnToFight_Rate_2	TurnToFight_Text_3	TurnToFight_Type_3	TurnToFight_Rate_3	Death_Text_1	Death_Type_1	Death_Rate_1	Death_Text_2	Death_Type_2	Death_Rate_2	Death_Text_3	Death_Type_3	Death_Rate_3	TeammateDeath_Text_1	TeammateDeath_Type_1	TeammateDeath_Rate_1	TeammateDeath_Text_2	TeammateDeath_Type_2	TeammateDeath_Rate_2	TeammateDeath_Text_3	TeammateDeath_Type_3	TeammateDeath_Rate_3	Idle_Text_1	Idle_Type_1	Idle_Rate_1	Idle_Text_2	Idle_Type_2	Idle_Rate_2	Idle_Text_3	Idle_Type_3	Idle_Rate_3	Custom_Text_1	Custom_Type_1	Custom_Rate_1	Custom_Text_2	Custom_Type_2	Custom_Rate_2	Custom_Text_3	Custom_Type_3	Custom_Rate_3	TurnToIdle_Text_1	TurnToIdle_Type_1	TurnToIdle_Rate_1	TurnToIdle_Text_2	TurnToIdle_Type_2	TurnToIdle_Rate_2	TurnToIdle_Text_3	TurnToIdle_Type_3	TurnToIdle_Rate_3	KillEnemy_Text_1	KillEnemy_Type_1	KillEnemy_Rate_1	KillEnemy_Text_2	KillEnemy_Type_2	KillEnemy_Rate_2	KillEnemy_Text_3	KillEnemy_Type_3	KillEnemy_Rate_3	Escape_Text_1	Escape_Type_1	Escape_Rate_1	Escape_Text_2	Escape_Type_2	Escape_Rate_2	Escape_Text_3	Escape_Type_3	Escape_Rate_3
29		见我者，死！		100																																																																					
30		本姑娘要你求生不得，求死不能！		100																																																																					
31		无知鼠辈，看姑奶奶的剑！		100																																																																					
32																													这地方风景倒也不错，和万花比起来别有一番风味。	1	100	那些山贼？要不是出来时白师父严禁参与这些事……我都告诉他我可以的啦，真是的！	1	50																																							
33																																																																									
34																													少来烦我，真是的，气死我了，为什么我是哥哥还要听弟弟的命令？																																												
35																													养猪好好的，要我扎什么稻草人！	1	300																																										
36																													红尘多冤孽，切不可让徒儿迷途难返。	1	100																																										
37																														1	500																																										
38		呜呜!		200	好痛！娘！	50		100																																																																	
39		唔！		50																																																																					
40		别小瞧人，我们不是只会钻洞！		50	你死了，你死了！得罪地鼠门，睡着时留意床下！	1	50																																																																		
41		你们这些蠢货，有外人跑进来了！		200																																																																					
42		蝙蝠帮！蝙蝠帮！		200	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！	1	200																																																																		
43		随处可见的落叶让我想起了老家，在这个时候打扰我要付出性命的代价！																																																																							
44		嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷嗷！！！																																																																							
45		留下买路钱，可以饶你一死！		200	人也要！钱也要！	1	200																																																																		
46		五百两！今天胡某已经进账五百两！嗯？你是送银子的么？																																																																							
47		这荒山野岭的也能碰上活人呀！		200																																																																					
48		坟墓里都有着千奇百怪的故事，你这样的人是不会明白的！																																																																							
49		莫看叫杨不言，其实姐姐很好说话的。																																																																							
50		什么？你能听懂蜈蚣语？这是缘分啊！看来有些事咱要和你好好研究一下了。																																																																							
51				50																																																																					
52																																																																									
53		什么人？		200	神策军封道，闲杂人等速速退避！	1	200																																																																		
54		又有送过路费的来了！		100																																																																					
55		口令！		100	什么人！	1	100																																																																		
56																																																																									
57		安心上路吧！		100							还没赚够啊！	1	100																																																												
58		你走错地方了!		200																																																																					
59		你将成为我手下新鲜的尸人士兵。									啊，回不了家了！	1000																																																													
60		这里是军事禁区！		100	放箭！	1	200																																																																		
61		冲啊！		200																																																																					
62		我在这里呆得太久，是该活动一下了！																																																																							
63		你已经死了！		200																																																																					
64		小心，有人杀进来了！		300																																																																					
65		这城里也不安宁了！		200																																																																					
66		给我冲！		400																																																																					
67		行迹败露，只好杀人灭口了。		200																																																																					
68		是谁！									啊，娘！	1	1000																																																												
69		地鼠门弟子，冲上去！		100																																																																					
70		你走路的声音太大了！		200																																																																					
71		拿钱出来！		200																																																																					
72		我要报仇。																																																																							
73		为了实现复国的梦想!									做鬼也……饶不了你啊！	1	1000																																																												
74		伙食这么差，我都没力气砍杀了！		100																																																																					
75																																																																									
76		圣教主在看着我！		200																																																																					
77		大神在上！		100																																																																					
78		死吧！异教徒！		100																																																																					
79		有人闯入！		100																																																																					
80		我右手持剑，左手有盾，既然来了，就留在飞仙山上吧！																																																																							
81		没想到红衣教会找教外人帮忙，上当了！																																																																							
82		美貌的小姑娘哪里去了！		100																																																																					
83		你的身上会插满箭！死的就像个刺猬！		200																																																																					
84		是谁出卖我们！		300																																																																					
85		擅闯军营者死！									我还有事要做！	1	1000																																																												
86		你是要向我挑战么，那些失败者都变成了我收藏的头骨！																																																																							
87		公孙家不是只有个老头子和几个侍女书童么，你是谁？																																																																							
88		哈哈，没有高超武功却身怀神兵，这已是死罪了！																																																																							
89		休想通过！		100																																																																					
90		护卫大人！		200																																																																					
91																																																																									
92	余半仙																												月晕而风，础润而雨，看来要变天了。	1	30	十五年一劫，谁也逃不掉。	1	30																																							
93		快过去，我看到又有人闯进来了！	1	1000							呃，不可能！	1000																																																													
94		别妄想阻止我！									我制毒的大业！	1000																																																													
95		两天没吃的了！	1	1000							不用……再……挨饿了吧……	1000																																																													
96		你死定了！	1	1000																																																																					
97		死吧死吧！	1	100																																																																					
98			1	1000																									丘秋那孩子真可怜，看着她一天比一天憔悴。哎……如今却还没打听到任何消息。	1	50	父亲，如果您还在世该多好，便可以告诉孩儿什么叫做爱了。那样子，多少也能为丘秋分担点吧。	1	50	问世间情为何物，直教人生死相许？	1	50																																				
99		为了实现复国的梦想，尝尝我的快刀吧。																																																																							
100	王知味																												早知道少林没好东西就不来了。	1	30	不过这个盒子还不错，挺精致的。	1	30																																							
101				50																																																																					
102			1	1000																									平外必先安内，一定要把洛风那群叛徒赶出纯阳！	1	300	祁师叔说的对，谁知道洛风那群叛徒狼子野心，会对纯阳做出什么事情？不如先下手为强。	1	300																																							
103			1	1000																									师兄，大家都是同门一脉，相煎何太急呢？	1	300	洛风他们已经够可怜了，不要再逼他们了。	1	300																																							
104		你死定了！	1	600	这一刀下去一定很痛快！	1	400																																																																		
105		你如何知晓当年之事？！	1			1	0																																																																		
106		巴哈！你的鼻子最近不太灵便了！	1	500																																																																					
107		看来我被人发现了！	1	100																																																																					
108		你找错对手了！我是专门干这行的！	1	1000																																																																					
109		你是怎么找到这里来的？是谁给了你消息！	1	1000																																																																					
110		来，试试我的箭术有没有进步！	1	100																																																																					
111			1	1000																																																																					
112		别靠近营帐！！	1	100																																																																					
113		我们是精锐中的精锐！	1	100																																																																					
114	李东流	来吧！成败是非，只在转念之间，此役若成，万某岂非功在千秋！																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
115		有贼人！	1	100																																																																					
116		我好似未曾见过你！哪里来的小贼？	1	1000																																																																					
117		有敌来犯!	1	200																																																																					
118		有人闯营！	1	100																																																																					
119		你看不见我，你看不见我！	1	2	你没有机会！	1	210																																																																		
120		你喜欢被埋葬在哪里？	1	100																																																																					
121		我要杀了你！！	1	100							娘，孩儿对不住您！您保重	1	100							娘！娘！你不能丢下孩儿！我要杀了你！	1	100																																																			
122		孩儿快走，娘亲在这挡他！	1	100							孩子……莫要再报仇了！	1	100	孩子，放过那些和尚吧！不要再报仇了。	1	100				孩儿，我的孩儿。你，你为什么要杀死他！	1	100							听娘的话，不要再杀和尚了，和娘回恶人谷，咱们娘俩在谷里平平淡淡地过日子。	20																																											
123			1	1000																																																																					
124		有人来挑衅我们了！	1	1000																																																																					
125			1	1000																																																																					
126		何人如此大胆？	1	1000																																																																					
127		是谁要杀我？	1	1000																																																																					
128			1	1000								1	1000																																												1	1000															
129			1	1000								1	1000																																												1	1000															
130			1	1000								1	1000																																												1	1000															
131		来者必死！	1	1000							飞雪！我不能保护你了！你要活下去！	1	1000																																																												
132			1	1000																									不知是何门派？	1	40	好功夫！打得好！哈哈！	1	40																																							
133			1	1000																									好！好！真是好功夫！	1	40	中原兄真是有本事，如此别出心裁的比武，真让人大开眼界！	1	40																																							
134			1	1000																									好！好！耍得好！	1	35																																										
135		这位仁兄，小弟得罪了！	1	1000							阁下果然好功夫！	1	1000																	1	0																承让！	1	1000																								
136		看招！	1	100							哈哈！你赢了！	1	100																	0																	看来阁下有所保留啊！	1	100																								
137			1	1000																									哇~~武功好好噢！	1	40																																										
138			1	1000																									大哥哥大姐姐，买点菜吧！新鲜的蔬菜！	1	40	新鲜的蔬菜，买点吧！可便宜了！	1	40																																							
139			1	1000																									子曰：学而不思则罔，思而不学则殆！温故而知新，可以为师矣！	1	25	子曰：由！诲女知之乎！知之为知之，不知为不知，是知也。	1	25																																							
140			1	1000																									炎炎夏日，匆匆赶路的你，不妨停下尝尝我们茶铺新推出的冰红茶。冰冰凉凉，清清爽爽！二姑冰红茶，好喝你就喝！	1	80	客官路过歇歇脚！二姑新制冰红茶，冰力十足，能量无穷！	1	80																																							
141			1	1000																									哇哈哈！你追不到我，追不到我！	1	35	嘻嘻，追上我就给你了。快跑呀！	1	25																																							
142			1	1000																									不要跑那么快嘛！等等我！	1	25	你是坏人！我要告诉妈妈！	1	25	你作弊！作弊！	1	25																																				
143			1	1000																									阿弥陀佛！佛曰：种如是因，收如是果，一切唯心造。	1	40	佛曰：命由己造，相由心生，世间万物皆是化相。	1	40	佛曰：心不动，万物皆不动。心不变，万物皆不变。	1	40																																				
144			1	1000																									两个笨蛋，跑来跑去的有什么好玩的！	1	35	唉！没人陪我玩儿……只有打球球的时候，大家才在一起玩了。	1	35																																							
145		0	1	0							哼！我还会再回来的！你这阴险的小人！	1	70	啊哈！果然就是你偷了我昆仑的《寒冰诀》！我还会夺回来的！	1	70																																																									
146		哈！又一个自己送上门的小子！	1	50							我与你有何相干！为何无缘无故来搞我！	1	1000																																																												
147		我恨你！我恨你们！	1	1000							孟康，你在哪里？	1	1000																																																												
148	1~5级山贼杂兵	让你见识见识爷的厉害。		300		1	0				小子，功夫不错……	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							回去好好练练！	5	300							风紧，扯乎！	5	80						
149	1~5级山贼杂兵	不知死活的东西！		300	爷正有气没处撒呢！	1	300				等着吧，总会有人来收拾你的。	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							回去好好练练！	5	80							风紧，扯乎！	5	80						
150	1~5级山贼杂兵	好久没拿人出气了，让军爷我开心开心。		300		1	0				原来你不是软柿子……	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							回去好好练练！	5	80							风紧，扯乎！	5	80						
151	1~5级山贼杂兵	咱不但会打洞，还会打人！		300	刚偷学了几招，嘿嘿，咱们试试！	1	300	地鼠地鼠，神威勇武！冲啊！	1	300	哎……大意了……	1	300	我……我不想死……	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							回去好好练练！	5	80							风紧，扯乎！	5	80						
152	1~5级山贼杂兵	让爷来好好搜搜！哈哈哈！		300	把银子都拿出来！	1	300	冲啊！抢啊！	1	300	死可以，别拿我银子！	1	300	要是拿了我银子，我做鬼也不会放过你的……	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							哈哈哈哈哈！	5	80							风紧，扯乎！	5	80						
153			1	1000																										1	35		1	35		1	35																																				
154		凭什么赶我们走！	1	100	有人来赶我们了！我打死你这坏人！	1	100																																																																		
155			1	1000																									老秃驴！总有一天，我反过来欺负你！等着吧！哼！我要把你那些勾当告诉方丈！	1	35																																										
156		太宗院不经方丈同意任何人都不准入内！闲杂人等速速离开！	1	100	好大胆子！谁许你擅闯太宗院了！	1	100																																																																		
157		你们是什么人?竟敢来到这里！	1	1000							秋儿……我的命运就到这里了吗……	1	1000																																											蝼蚁尚且贪生，你们这是何苦？	1	1000															
158		不知死活的家伙们，就让爷爷我来送你们上路吧！	1	1000							……大哥！华大哥快走！他们是来找你的！	1	1000																																											哈哈哈哈，比捏死蚂蚁还简单。	1	1000															
159		来人！来人啊！	1	1000							熊……熊熊圣火……唯我……光明……	1	1000																																											哈哈哈哈，谁也不能妨碍我的计划。	1	1000															
160		来吧！成败是非，只在转念之间，此役若成，万某岂非功在千秋！	1	1000																																																																					
161			1	1000																									哈哈，这可是高难度的游戏，只有聪明人可以过关！	1	50	我是个可爱的小方士，嘻嘻	1	50																																							
162		来啊！你们这些不知死活的家伙！	1	1000							大哥！华大哥快走！他们是来找你的！	1	1000																																		哈哈哈哈，比捏死蚂蚁还简单。	1	1000							躲开躲开！大爷我来了！	1	500	这么快就干掉了一个！	1	500												
163		来人！来人啊！	1	500	让你们见识一下邪恶的力量！	1	500				熊……熊圣火……唯我……光明……	1	1000																																		哈哈哈哈，谁也不能妨碍我的计划！	1	1000							就凭这点本事也敢来阻挠我！	1	500	哈哈！看我把你们碾成门口的灰尘！	1	500												
164		你们是什么人?竟敢来到这里！	1	500	卤莽的行为将会让你们万劫不复！	1	500				秋儿……就到这里了吗……	1	1000																																		蝼蚁尚且贪生，你们这是何苦？	1	1000							这是必然的结果！	1	1000															
165		哈哈！小心了！	1	1000							好功夫啊！咱们再来，我定要赢你！	1	100																																		唔？我看你未使出十分力气来跟我打吧！	1	100																								
166		得罪了！	1	1000							果然好功夫！我小看你了。	1	100																																		不小心赢了你，不好意思！	1	1000																								
167		那小娘子还想把酒要回去？	1	1000																																																																					
168		谁也别想夺走碧落杯！	1	1000																																																																					
169		谁在那里！	1	1000																																																																					
170	1~5级山贼杂兵	哼！既看到我，就留你不得！		300		1	0		0	0	看样子我没法完成自己的使命了……	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							哈哈哈哈哈！	5	80							风紧，扯乎！	5	80						
171	1~5级山贼杂兵	军爷我闷的慌，就陪你这小兔崽子玩玩！		300	嘿嘿，你跑不掉了！	1	300		0	0	啊呀呀，你……你个小兔崽子……	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													果然是兔崽子，跑的这么快！	1	300							哈哈哈哈哈！	5	80							风紧，扯乎！	5	80						
172	1~5级山贼杂兵	你知道的太多，就让我送你一程吧。		300		1	0		0	0	不可能！我怎么可能败在一个无名小卒手里？	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							安心的去吧，哈哈哈哈哈！	5	300							风紧，扯乎！	5	80						
173	1~5级山贼杂兵	别搅了爷们儿的好事！看刀！		300	不好，被发现了，看样子不能留你做活口了。	1	300		0	0	哎呦……好疼啊……	1	300	今天栽在你手里，活该是我倒霉。	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，跑的比我还快！	1	300							哈哈哈哈哈！	5	80							风紧，扯乎！	5	80						
174	1~5级山贼杂兵	好小子，敢惹咱们先锋卫，看我不打死你！		300	乖乖给我站住！	1	300	来呀！领教领教爷的神威！	1	300	我……我可是神策的……你竟敢……	1	300	你胆子不小，等人来收拾你吧！	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							哈哈哈哈哈！	5	80							风紧，扯乎！	5	80						
175	1~5级山贼杂兵		0	0	看爷的利斧把你剁成八块！	1	300	有消遣的玩意来了，哈哈！	1	300	啊！想我一世英名！	1	300	算你狠……哎呦……	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													胆小鬼！	1	80							来啊，再来打爷啊！	5	300							风紧，扯乎！	5	80						
176	1~5级山贼杂兵	呵呵，正愁闷的慌呢，来，陪老娘玩玩。		300	让老娘的刀在你的细皮嫩肉上比划比划。	1	300	想死？容易，老娘成全你！	1	300	果然有两下子……	1	300	可怜老娘如花似玉的美貌……	1	300				竟敢偷袭我们！	1	80							0	0	0		0	0													老娘跑不过你，滚吧！	1	80							啧啧啧，真可怜啊！	5	80							风紧，扯乎！	5	80						
177	1~5级山贼杂兵	小兔崽子，看你往哪跑！		300	让大爷我赏你一刀！	1	300		0	0	啊！我堂堂骠骑卫居然死在你个小犊子手里。	1	300							竟敢偷袭我们！	1	80							0	0	0		0	0													小犊子，下次碰见爷可饶不了你！	1	300							哈哈哈哈，小犊子，谁让你顶撞爷！	5	300							风紧，扯乎！	5	80						
178			1	1000																									只要一息尚存，我便不会放弃。作为天策军人，战场就是我的归宿。	1	300																																										
179			1	1000																									这几天风和日丽，真想出去散散心。	1	300																																										
180			1	1000																									想当好兵，光凭气力是不够的。战场瞬息万变，不长脑子的迟早没命。	1	300																																										
181			1	1000																									无忌营的兴衰，全在那些新兵身上了。	1	300																																										
182			1	1000																									咱们河间营连胜三年，今年也要赢，弟兄们要再接再厉！	1	300																																										
183			1	1000																																																																					
184			1	1000																									每年围猎上陵苑都热闹无比，听说今年新丁不少，看样子更热闹了。	1	300																																										
185			1	1000																									无忌营的弟兄们加油！让河间营的弟兄们看看咱们的厉害。	1	100																																										
186			1	1000																									无忌营的弟兄们，你们可要发威呀，不然老虎病三年就真成猫了！	1	100																																										
187		哈哈！我来了！	1	100	我是猪！	1	100																																																																		
188		你知道的太多了！	1	500	你得死在这里！	1	500																																																																		
189			1	1000																																																																					
190			1	1000																																																																					
191			1	1000																																																																					
192			1	1000																																																																					
193			1	1000																																																																					
194			1	1000																																																																					
195			1	1000																																																																					
196		什么人如此大胆？！敢来卢老爷府上撒野！！	1	100	哈哈，又来了个不要命的！		100																																																																		
197		多管闲事的东西！让老子来调教调教你！	1																																																																						
198	1~5级山贼杂兵	爷教教你什么是听话！		100	误了爷爷挣钱的大事！	1	100		0	0	你……够狠！	1	100							竟敢偷袭我们！	1	80							0	0	0		0	0													好家伙，给我等着！	1	80							哈哈哈哈哈！	5	80							风紧，扯乎！	5	100						
199			1	1000																									......	1	50	原本无一物，何处染尘埃。	1	50																																							
200		爷玩的正开心呢！	1			1	0																																																																		
201		爷刚当兵的时候，你还不知道在哪儿呢！！	1	100	惹了我家爷还想活的安稳吗？！		100																																																																		
202		111	1	1000																																																																					
203		是时候显显我的身手了！	1	900			0																																																																		
204		正好拿你试试手！	1	100	我最近武艺可是大长！		100																																																																		
205	李东流	你可知道我是神策军的人！																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
206		老子杀人比杀猪还熟！	1	1000																																																																					
207	李东流	耽误老子赢钱！老子爹娘都砍了还怕你不成！																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
208	李东流	胡仁之子体弱不济而死，与我何干？																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
209		是谁胆大包天来打扰我们君子？	1	200																																																																					
210	1~5级山贼杂兵	少废话，蒋幼男在哪？！		100		1	0		0	0	你……够狠！	1	0							竟敢偷袭我们！	1	0							0	0	0		0	0													好家伙，给我等着！	1	80								5	80								5	80						
211			1	100																																																																					
212	李东流	那蒋幼男不是什么好货色，公子我也是代民教训教训他。																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
213		那个弱书生嘴巴还挺硬的，敢出言奚落我等，不打他打谁？！		200	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！	1	100																																																																		
214		好，你若想代谷家那丫头受死，我成全你！	1	1000																																																																					
215		我周鹤飞今日若是死于此也无恨，毕竟我背叛师门，当诛！	1	1000							只求阁下帮我救出小女……		1000																																																												
216		为我大明教重振江湖而战！	1	100																																																																					
217		休想拿到解药！	1	1000																																																																					
218	李东流	何必为了自己本素不相识的人卖命呢？																											万花仙谷，与世隔绝，进出都靠这凌云梯。			凌云悬梯，天下奇绝，万花之门户也			工圣奇技，天下一绝																																						
219		谷家给你的好处，我明教同样给得，放弃吧！	1	1000																																																																					
220		一起上一起上！快呀！	1	1000																																																																					
221	1~5级山贼杂兵	宝物给了我们，我们自然会撤走！不然就等死吧！		100		1	0		0	0	你……够狠！	1	0							竟敢偷袭我们！	1	0							0	0	0		0	0													好家伙，给我等着！	1	80								5	80								5	80						
222		看箭吧！	1	100	用箭雨！我就不信射不死这不要命的！！		100																																																																		
223		别杀我别杀我！大侠饶命啊！	1	1000																																																																					
224		哈哈，你运气不好！这可是刚磨好的刀！	1	100																																																																					
225		我可是前朝皇亲！！尔等胆敢冒犯！！	1	1000																																																																					
226		想来救那废物的女儿？门儿都没有！	1	200																																																																					
227		大胆贼人，敢来劫本教罪人！！	1	100																																																																					
228		让你见识下蝙蝠帮副坛主的厉害！！		100	闹事闹到本副坛主的头上了！让你知道什么是厉害！	1	100																																																																		
229		蝙蝠帮！蝙蝠帮！		100	在白天，我们眼神不太好，不过在夜晚才是我们发威的时侯！	1	100																																																																		
230		蝙蝠帮！蝙蝠帮！		200	在白天，我们眼神不太好，在夜晚才是我们发威的时侯！	1	100																																																																		
231		什么人？！	1	100	来人啊！有人闯营！！		100																																																																		
232		这里都是皇上钦点的钦犯，何人敢放肆！！	1	100																																																																					
233		使不得使不得！他可是钦犯啊！！	1	100	钦犯跑了，我等也不能活啊！		100																																																																		
234	1~5级山贼杂兵	是想再送几个竹蜻蜓来么？！啊哈哈哈！		100	大爷玩会儿，如此小气！我代你爹娘教教你！	1	100		0	0	你……够狠！	1	0							竟敢偷袭我们！	1	0							0	0	0		0	0													好家伙，给我等着！	1	80								5	80								5	80						
235		我也就是看下，又没怎么。	1	100	没钱连看都看不得吗？		100																																																																		
236		好大的胆子！敢来凤翔捣乱！	1	100	这地头就是凤翔的！你这小泼皮不要命了吧！	1	100																																																																		
237		干什么，干什么？老子正赢钱呐！！	1	100																																																																					
238		竟敢来行刺！不要命了么？我干爹可是高公公！！	1	1000																																																																					
239		我们公子打个喷嚏，整个皇城都会抖三抖！	1	100	你这傻子当真是活腻味了！		100																																																																		
240		何监军说了不放过任何一人！！	1	100																																																																					
241		誓死效忠大明教！！	1	100																																																																					
242	1~5级山贼杂兵	呵呸！我一个人宰了这厮足矣！		100		1	0		0	0	你……够狠！	1	0							竟敢偷袭我们！	1	0							0	0	0		0	0													好家伙，给我等着！	1	80								5	80								5	80						
243	1~5级山贼杂兵	呵呸！我一个人宰了这厮足矣！		100		1	0		0	0	你……够狠！	1	0							竟敢偷袭我们！	1	0							0	0	0		0	0													好家伙，给我等着！	1	80								5	80								5	80						
244		一个破镯子，我看上是赏他的脸！	1	1000																																																																					
245		哈哈，又来了个多管闲事儿的！！	1	100	大黑！狠狠咬！！		100																																																																		
246		天堂有路你不走，地狱无门你闯进来！	1	100	来的正好，好久没拿活人练过手了！		100																																																																		
247		好大的胆子！宋府也是你这种低等人来的地方？！	1	100	没看见爷正玩儿呐！真扫爷的兴！！		100																																																																		
248		打得过贫道再拿剑回去！	1	1000																																																																					
