RecipeName	BelongSchool	DesignLevel	RecipeExplain	RecipeID	RecipeLevel	Type	IsSystemRecipe	IsEquipmentRecipe	SkillRecipeType	SkillType	SkillID	SkillLevel	PrepareFramesAdd	PrepareFramesPercent	CoolDownAdd1	CoolDownAdd2	CoolDownAdd3	MinRadiusAdd	MaxRadiusAdd	CostLifeAddPercent	CostManaAddPercent	CostRageAdd	CostEnergyAdd	CostStaminaAdd	CostTrainAdd	DamageAddPercent	ScriptFile
《坐忘经·返本归元》人偶图绝章	纯阳	3	增加效果	18	1	0					356																纯阳\秘笈\纯阳_返本归元_增加回血.lua
《北冥剑气·两仪化形》秘诀残页	纯阳	1	增加会心	19	1	0			301		301																秘笈\增加会心2分.lua
《北冥剑气·两仪化形》秘诀断篇	纯阳	2	增加会心	20	1	0			301		301																秘笈\增加会心3分.lua
《北冥剑气·两仪化形》秘诀绝章	纯阳	3	增加会心	21	1	0			301		301																秘笈\增加会心4分.lua
《北冥剑气·两仪化形》详解残页	纯阳	1	增加命中	22	1	0			301		301																秘笈\增加命中1分.lua
《北冥剑气·两仪化形》详解断篇	纯阳	2	增加命中	23	1	0			301		301																秘笈\增加命中2分.lua
《北冥剑气·两仪化形》参悟残页	纯阳	1	增加伤害	24	1	0			301		301															31	
《北冥剑气·两仪化形》参悟断篇	纯阳	2	增加伤害	25	1	0			301		301															41	
《北冥剑气·两仪化形》参悟绝章	纯阳	3	增加伤害	26	1	0			301		301															51	
《北冥剑气·两仪化形》人偶图残页	纯阳	1	增加效果	27	1	0			301		301																纯阳\秘笈\纯阳_两仪化形_命中后回复气.lua
《纯阳诀·凌太虚》经脉图残页	纯阳	1	减少聚气时间	28	1	0					361		-2														
《纯阳诀·凌太虚》经脉图断篇	纯阳	2	减少聚气时间	29	1	0					361		-2														
《纯阳诀·凌太虚》经脉图绝章	纯阳	3	减少聚气时间	30	1	0					361		-2														
《纯阳诀·凌太虚》注解残页	纯阳	1	减少消耗	31	1	0					361										-205						
《纯阳诀·凌太虚》注解断篇	纯阳	2	减少消耗	32	1	0					361			1024							-307						
《纯阳诀·凌太虚》注解绝章	纯阳	3	减少消耗	33	1	0					361			1024							-410						
《纯阳诀·凌太虚》真传残页	纯阳	1	增加技能距离	34	1	0			361		361								64								纯阳\秘笈\纯阳_凌太虚_增加AOE距离.lua
《纯阳诀·凌太虚》真传断篇	纯阳	2	增加技能距离	35	1	0			361		361								64								纯阳\秘笈\纯阳_凌太虚_增加AOE距离.lua
《纯阳诀·凌太虚》真传绝章	纯阳	3	增加技能距离	36	1	0			361		361								64								纯阳\秘笈\纯阳_凌太虚_增加AOE距离.lua
《坐忘经·凭虚御风》穴位图残页	纯阳	1	减少调息时间	37	1	0					355				-240												
《坐忘经·凭虚御风》穴位图断篇	纯阳	2	减少调息时间	38	1	0					355				-240												
《坐忘经·凭虚御风》注解绝章	纯阳	3	减少消耗	39	1	0					355										-307						
《坐忘经·凭虚御风》注解残页	纯阳	1	减少消耗	40	1	0					355										-205						
《坐忘经·凭虚御风》注解断篇	纯阳	2	减少消耗	41	1	0					355										-307						
《坐忘经·凭虚御风》人偶图绝章	纯阳	3	减少消耗	42	1	0					355										0						
《坐忘经·凭虚御风》手抄断篇	纯阳	2	增加持续时间	43	1	0					355																纯阳\秘笈\纯阳_凭虚御风_增加持续时间.lua
《坐忘经·凭虚御风》人偶图残页	纯阳	1	增加效果	44	1	0					355																纯阳\秘笈\纯阳_凭虚御风_增加加速buff.lua
《坐忘经·凭虚御风》人偶图断篇	纯阳	2	增加效果	45	1	0					355																纯阳\秘笈\纯阳_凭虚御风_驱散点穴.lua
《纯阳诀·破苍穹》经脉图残页	纯阳	1	减少聚气时间	46	1	0					359		-2														
《纯阳诀·破苍穹》经脉图断篇	纯阳	2	减少聚气时间	47	1	0					359		-2														
《纯阳诀·破苍穹》经脉图绝章	纯阳	3	减少聚气时间	48	1	0					359		-2														
《纯阳诀·破苍穹》注解残页	纯阳	1	减少消耗	49	1	0					359										-205						
《纯阳诀·破苍穹》注解断篇	纯阳	2	减少消耗	50	1	0					359										-307						
《纯阳诀·破苍穹》注解绝章	纯阳	3	减少消耗	51	1	0					359										-410						
《纯阳诀·破苍穹》真传残页	纯阳	1	增加技能距离	52	1	0			359		359								64								纯阳\秘笈\纯阳_破苍穹_增加AOE范围.lua
《纯阳诀·破苍穹》真传断篇	纯阳	2	增加技能距离	53	1	0			359		359								64								纯阳\秘笈\纯阳_破苍穹_增加AOE范围.lua
《纯阳诀·破苍穹》真传绝章	纯阳	3	增加技能距离	54	1	0			359		359								64								纯阳\秘笈\纯阳_破苍穹_增加AOE范围.lua
《天道剑势·人剑合一》穴位图残页	纯阳	1	减少调息时间	55	1	0			588		588				-32												
《天道剑势·人剑合一》穴位图断篇	纯阳	2	减少调息时间	56	1	0			588		588				-48												
《天道剑势·人剑合一》真传残页	纯阳	1	增加技能距离	57	1	0			588		588								64								纯阳\秘笈\纯阳_人剑合一_增加AOE距离.lua
《天道剑势·人剑合一》真传断篇	纯阳	2	增加技能距离	58	1	0			588		588								64								纯阳\秘笈\纯阳_人剑合一_增加AOE距离.lua
《天道剑势·人剑合一》真传绝章	纯阳	3	增加技能距离	59	1	0			588		588								64								纯阳\秘笈\纯阳_人剑合一_增加AOE距离.lua
《天道剑势·人剑合一》参悟残页	纯阳	1	增加伤害	60	1	0			588		588															410	
《天道剑势·人剑合一》参悟断篇	纯阳	2	增加伤害	61	1	0			588		588															614	
《天道剑势·人剑合一》人偶图残页	纯阳	1	增加效果	62	1	0			588		588																纯阳\秘笈\纯阳_人剑合一_增加Dot.lua
《天道剑势·人剑合一》人偶图断篇	纯阳	2	增加效果	63	1	0			905		905															1024	
《天道剑势·三环套月》穴位图残页	纯阳	1	减少调息时间	64	1	0					364				-8												
《天道剑势·三环套月》秘诀残页	纯阳	1	增加会心	65	1	0					364																秘笈\增加会心2分.lua
《天道剑势·三环套月》秘诀断篇	纯阳	2	增加会心	66	1	0					364																秘笈\增加会心3分.lua
《天道剑势·三环套月》秘诀绝章	纯阳	3	增加会心	67	1	0					364																秘笈\增加会心4分.lua
《天道剑势·三环套月》详解残页	纯阳	1	增加命中	68	1	0					364																秘笈\增加命中1分.lua
《天道剑势·三环套月》详解断篇	纯阳	2	增加命中	69	1	0					364																秘笈\增加命中2分.lua
《天道剑势·三环套月》参悟残页	纯阳	1	增加伤害	70	1	0					364															31	
《天道剑势·三环套月》参悟断篇	纯阳	2	增加伤害	71	1	0					364															41	
《天道剑势·三环套月》参悟绝章	纯阳	3	增加伤害	72	1	0					364															51	
《纯阳诀·生太极》经脉图残页	纯阳	1	减少聚气时间	73	1	0					358		-2														
《纯阳诀·生太极》经脉图断篇	纯阳	2	减少聚气时间	74	1	0					358		-2														
《纯阳诀·生太极》经脉图绝章	纯阳	3	减少聚气时间	75	1	0					358		-2														
《纯阳诀·生太极》注解残页	纯阳	1	减少消耗	76	1	0					358										-205						
《纯阳诀·生太极》注解断篇	纯阳	2	减少消耗	77	1	0					358										-307						
《纯阳诀·生太极》注解绝章	纯阳	3	减少消耗	78	1	0					358										-410						
《纯阳诀·生太极》真传残页	纯阳	1	增加技能距离	79	1	0			358		358								64								纯阳\秘笈\纯阳_生太极_增加AOE范围.lua
《纯阳诀·生太极》真传断篇	纯阳	2	增加技能距离	80	1	0			358		358								64								纯阳\秘笈\纯阳_生太极_增加AOE范围.lua
《纯阳诀·生太极》真传绝章	纯阳	3	增加技能距离	81	1	0			358		358								64								纯阳\秘笈\纯阳_生太极_增加AOE范围.lua
《北冥剑气·四象轮回》经脉图残页	纯阳	1	减少聚气时间	82	1	0					367		-4														
《北冥剑气·四象轮回》经脉图断篇	纯阳	2	减少聚气时间	83	1	0					367		-4														
《北冥剑气·四象轮回》秘诀残页	纯阳	1	增加会心	84	1	0			367		367																秘笈\增加会心2分.lua
《北冥剑气·四象轮回》秘诀断篇	纯阳	2	增加会心	85	1	0			367		367																秘笈\增加会心3分.lua
《北冥剑气·四象轮回》秘诀绝章	纯阳	3	增加会心	86	1	0			367		367																秘笈\增加会心4分.lua
《北冥剑气·四象轮回》真传残页	纯阳	1	增加技能距离	87	1	0			367		367								64								
《北冥剑气·四象轮回》真传断篇	纯阳	2	增加技能距离	88	1	0			367		367								64								
《北冥剑气·四象轮回》真传绝章	纯阳	3	增加技能距离	89	1	0			367		367								64								
《北冥剑气·四象轮回》人偶图残页	纯阳	1	增加效果	90	1	0			367		367																
《北冥剑气·太极无极》注解残页	纯阳	1	减少消耗	91	1	0					306										-307						
《北冥剑气·太极无极》秘诀残页	纯阳	1	增加会心	92	1	0			306		306																秘笈\增加会心2分.lua
《北冥剑气·太极无极》秘诀断篇	纯阳	2	增加会心	93	1	0			306		306																秘笈\增加会心3分.lua
《北冥剑气·太极无极》秘诀绝章	纯阳	3	增加会心	94	1	0			306		306																秘笈\增加会心4分.lua
《北冥剑气·太极无极》详解残页	纯阳	1	增加命中	95	1	0			306		306																秘笈\增加命中1分.lua
《北冥剑气·太极无极》详解断篇	纯阳	2	增加命中	96	1	0			306		306																秘笈\增加命中2分.lua
《北冥剑气·太极无极》参悟残页	纯阳	1	增加伤害	97	1	0			306		306															154	
《北冥剑气·太极无极》参悟断篇	纯阳	2	增加伤害	98	1	0			306		306															154	
《北冥剑气·太极无极》参悟绝章	纯阳	3	增加伤害	99	1	0			306		306															205	
《天道剑势·无我无剑》秘诀残页	纯阳	1	增加会心	100	1	0			365		365																秘笈\增加会心2分.lua
《天道剑势·无我无剑》秘诀断篇	纯阳	2	增加会心	101	1	0			365		365																秘笈\增加会心3分.lua
《天道剑势·无我无剑》秘诀绝章	纯阳	3	增加会心	102	1	0			365		365																秘笈\增加会心4分.lua
《天道剑势·无我无剑》详解残页	纯阳	1	增加命中	103	1	0			365		365																秘笈\增加命中1分.lua
《天道剑势·无我无剑》详解断篇	纯阳	2	增加命中	104	1	0			365		365																秘笈\增加命中2分.lua
《天道剑势·无我无剑》参悟残页	纯阳	1	增加伤害	105	1	0			365		365															31	
《天道剑势·无我无剑》参悟断篇	纯阳	2	增加伤害	106	1	0			365		365															41	
《天道剑势·无我无剑》参悟绝章	纯阳	3	增加伤害	107	1	0			365		365															51	
《天道剑势·无我无剑》人偶图残页	纯阳	1	增加效果	108	1	0			365		365																纯阳\秘笈\纯阳_无我无剑_命中后回复气.lua
《坐忘经·坐忘无我》穴位图残页	纯阳	1	减少调息时间	109	1	0					312				-32												
《坐忘经·坐忘无我》穴位图断篇	纯阳	2	减少调息时间	110	1	0					312				-64												
《坐忘经·坐忘无我》注解残页	纯阳	1	减少消耗	111	1	0					312										-205						
《坐忘经·坐忘无我》注解断篇	纯阳	2	减少消耗	112	1	0					312										-256						
《坐忘经·坐忘无我》注解绝章	纯阳	3	减少消耗	113	1	0					312										-307						
《坐忘经·坐忘无我》穴位图绝章	纯阳	1	减少调息时间	114	1	0					312				-96												
《坐忘经·坐忘无我》人偶图残页	纯阳	1	增加效果	115	1	0			312		312																纯阳\秘笈\纯阳_坐望无我_增加化解伤害.lua
《坐忘经·坐忘无我》人偶图断篇	纯阳	2	增加效果	116	1	0					312																纯阳\秘笈\纯阳_坐望无我_增加回内.lua
《坐忘经·坐忘无我》人偶图绝章	纯阳	3	增加效果	117	1	0					312																纯阳\秘笈\纯阳_坐望无我_增加回血.lua
《扫叶腿法·回风扫叶》穴位图残页	江湖	1	减少调息时间	118	1	0					49				-8												
《扫叶腿法·回风扫叶》穴位图断篇	江湖	2	减少调息时间	119	1	0					49				-11												
《扫叶腿法·回风扫叶》穴位图绝章	江湖	3	减少调息时间	120	1	0					49				-13												
《扫叶腿法·回风扫叶》注解残页	江湖	1	减少消耗	121	1	0					49										-410						
《扫叶腿法·回风扫叶》注解断篇	江湖	2	减少消耗	122	1	0					49										-512						
《扫叶腿法·回风扫叶》参悟残页	江湖	1	增加伤害	123	1	0					49															1024	
《扫叶腿法·回风扫叶》参悟断篇	江湖	2	增加伤害	124	1	0					49															1024	
《混元气·猛虎下山》穴位图残页	江湖	1	减少调息时间	125	1	0					58				-80												
《混元气·猛虎下山》穴位图断篇	江湖	2	减少调息时间	126	1	0					58				-160												
《混元气·猛虎下山》注解残页	江湖	1	减少消耗	127	1	0					58										-102						
《混元气·猛虎下山》人偶图残页	江湖	1	增加效果	128	1	0					58																江湖\秘笈\江湖_猛虎下山_回血1级.lua
《混元气·猛虎下山》人偶图断篇	江湖	2	增加效果	129	1	0					58																江湖\秘笈\江湖_猛虎下山_回血2级.lua
《混元气·猛虎下山》人偶图绝章	江湖	3	增加效果	130	1	0					58																江湖\秘笈\江湖_猛虎下山_回血3级.lua
《猿公剑法·剑灵寰宇》穴位图残页	七秀	1	减少调息时间	131	1	0					564				-32												
《猿公剑法·剑灵寰宇》穴位图断篇	七秀	2	减少调息时间	132	1	0					564				-48												
《猿公剑法·剑灵寰宇》注解残页	七秀	1	减少消耗	133	1	0					564										-205						
《猿公剑法·剑灵寰宇》注解断篇	七秀	2	减少消耗	134	1	0					564										-205						
《猿公剑法·剑灵寰宇》真传残页	七秀	1	增加技能距离	135	1	0					564								128								七秀\秘笈\剑灵寰宇_增加AOE距离.lua
《猿公剑法·剑灵寰宇》参悟残页	七秀	1	增加伤害	136	1	0					564															154	
《猿公剑法·剑灵寰宇》参悟断篇	七秀	2	增加伤害	137	1	0					564															154	
《猿公剑法·剑灵寰宇》参悟绝章	七秀	3	增加伤害	138	1	0					564															205	
《猿公剑法·剑气长江》穴位图残页	七秀	1	减少调息时间	139	1	0					561				-16												
《猿公剑法·剑气长江》穴位图断篇	七秀	2	减少调息时间	140	1	0					561				-16												
《猿公剑法·剑气长江》注解残页	七秀	1	减少消耗	141	1	0					561										-102						
《猿公剑法·剑气长江》注解断篇	七秀	2	减少消耗	142	1	0					561										-102						
《猿公剑法·剑气长江》秘诀残页	七秀	1	增加会心	143	1	0					561																秘笈\增加会心2分.lua
《猿公剑法·剑气长江》秘诀断篇	七秀	2	增加会心	144	1	0					561																秘笈\增加会心3分.lua
《猿公剑法·剑气长江》参悟残页	七秀	1	增加伤害	145	1	0					561															41	
《猿公剑法·剑气长江》参悟断篇	七秀	2	增加伤害	146	1	0					561															61	
《猿公剑法·剑主天地》注解残页	七秀	1	减少消耗	147	1	0					562										-102						
《猿公剑法·剑主天地》注解断篇	七秀	2	减少消耗	148	1	0					562										-102						
《猿公剑法·剑主天地》真传残页	七秀	1	增加技能距离	149	1	0					562								64								
《猿公剑法·剑主天地》真传断篇	七秀	2	增加技能距离	150	1	0					562								64								
《猿公剑法·剑主天地》参悟残页	七秀	1	增加伤害	151	1	0					562															31	
《猿公剑法·剑主天地》参悟断篇	七秀	2	增加伤害	152	1	0					562															41	
《猿公剑法·剑主天地》人偶图残页	七秀	1	增加效果	153	1	0					562																七秀\秘笈\《猿公剑法·剑主天地》人偶图残页.lua
《西河剑器·江海凝光》注解残页	七秀	1	减少消耗	154	1	0			553		553										-102						
《西河剑器·江海凝光》秘诀残页	七秀	1	增加会心	155	1	0			553		553																秘笈\增加会心2分.lua
《西河剑器·江海凝光》秘诀断篇	七秀	2	增加会心	156	1	0			553		553																秘笈\增加会心3分.lua
《西河剑器·江海凝光》真传残页	七秀	1	增加技能距离	157	1	0			553		553								128								
《西河剑器·江海凝光》真传断篇	七秀	2	增加技能距离	158	1	0			553		553								128								
《西河剑器·江海凝光》真传绝章	七秀	3	增加技能距离	159	1	0			553		553								128								
《西河剑器·江海凝光》参悟残页	七秀	1	增加伤害	160	1	0			553		553															154	
《西河剑器·江海凝光》参悟断篇	七秀	2	增加伤害	161	1	0			553		553															154	
《剑器浑脱·邻里曲》穴位图残页	七秀	1	减少调息时间	162	1	0					552				-1600												
《剑器浑脱·邻里曲》穴位图断篇	七秀	2	减少调息时间	163	1	0					552				-1600												
《剑器浑脱·邻里曲》穴位图绝章	七秀	3	减少调息时间	164	1	0					552				-1600												
《剑器浑脱·邻里曲》注解残页	七秀	1	减少消耗	165	1	0					552										-205						
《剑器浑脱·邻里曲》注解断篇	七秀	2	减少消耗	166	1	0					552										-307						
《剑器浑脱·邻里曲》人偶图残页	七秀	1	增加效果	167	1	0					552																七秀\秘笈\《剑器浑脱·邻里曲》人偶图残页.lua
《剑器浑脱·邻里曲》人偶图断篇	七秀	2	增加效果	168	1	0					552																七秀\秘笈\《剑器浑脱·邻里曲》人偶图断章.lua
《剑器浑脱·满堂势》穴位图残页	七秀	1	减少调息时间	169	1	0					573				-240												
《剑器浑脱·满堂势》穴位图断篇	七秀	2	减少调息时间	170	1	0					573				-320												
《剑器浑脱·满堂势》穴位图绝章	七秀	3	减少调息时间	171	1	0					573				-400												
《剑器浑脱·满堂势》注解残页	七秀	1	减少消耗	172	1	0					573										-205						
《剑器浑脱·满堂势》注解断篇	七秀	2	减少消耗	173	1	0					573										-307						
《剑器浑脱·满堂势》人偶图残页	七秀	1	增加效果	174	1	0					573																七秀\秘笈\《剑器浑脱·满堂势》人偶图残页.lua
《剑器浑脱·满堂势》人偶图断篇	七秀	2	增加效果	175	1	0					573																七秀\秘笈\《剑器浑脱·满堂势》人偶图断章.lua
《霓裳羽衣·上元点鬟》注解残页	七秀	1	减少消耗	176	1	0					556										-51						
《霓裳羽衣·上元点鬟》注解断篇	七秀	2	减少消耗	177	1	0					556										-102						
《霓裳羽衣·上元点鬟》注解绝章	七秀	3	减少消耗	178	1	0					556										-102						
《霓裳羽衣·上元点鬟》真传残页	七秀	1	增加技能距离	179	1	0					556								128								
《霓裳羽衣·上元点鬟》真传断篇	七秀	2	增加技能距离	180	1	0					556								128								
《霓裳羽衣·上元点鬟》真传绝章	七秀	3	增加技能距离	181	1	0					556								128								
《霓裳羽衣·上元点鬟》人偶图断篇	七秀	2	增加效果	182	1	0			556		556															0	七秀\秘笈\《霓裳羽衣·上元点鬟》人偶图断篇.lua
《西河剑器·天地低昂》穴位图残页	七秀	1	减少调息时间	183	1	0					557				-240												
《西河剑器·天地低昂》穴位图断篇	七秀	2	减少调息时间	184	1	0					557				-240												
《西河剑器·天地低昂》注解残页	七秀	1	减少消耗	185	1	0					557										-205						
《西河剑器·天地低昂》注解断篇	七秀	2	减少消耗	186	1	0					557										-307						
《西河剑器·天地低昂》手抄残页	七秀	1	增加持续时间	187	1	0					557																七秀\秘笈\《西河剑器·天地低昂》手抄残页.lua
《西河剑器·天地低昂》人偶图断篇	七秀	2	增加持续时间	188	1	0					557																七秀\秘笈\《西河剑器·天地低昂》人偶图断篇.lua
《西河剑器·天地低昂》人偶图残页	七秀	1	增加效果	189	1	0					557																七秀\秘笈\《西河剑器·天地低昂》人偶图残页.lua
《霓裳羽衣·翔鸾舞柳》注解残页	七秀	1	减少消耗	190	1	0					554										-51						
《霓裳羽衣·翔鸾舞柳》注解断篇	七秀	2	减少消耗	191	1	0					554										-102						
《霓裳羽衣·翔鸾舞柳》真传残页	七秀	1	增加技能距离	192	1	0					554								128								
《霓裳羽衣·翔鸾舞柳》真传断篇	七秀	2	增加技能距离	193	1	0					554								128								
《霓裳羽衣·翔鸾舞柳》真传绝章	七秀	3	增加技能距离	194	1	0					554								128								
《霓裳羽衣·翔鸾舞柳》人偶图残页	七秀	1	增加效果	195	1	0					554															0	七秀\秘笈\《霓裳羽衣·翔鸾舞柳》人偶图残页.lua
《霓裳羽衣·翔鸾舞柳》人偶图断篇	七秀	2	增加效果	196	1	0					554															0	七秀\秘笈\《霓裳羽衣·翔鸾舞柳》人偶图绝章.lua
《剑器浑脱·心鼓弦》穴位图残页	七秀	1	减少调息时间	197	1	0					551				-1920												
《剑器浑脱·心鼓弦》穴位图断篇	七秀	2	减少调息时间	198	1	0					551				-2880												
《剑器浑脱·心鼓弦》穴位图绝章	七秀	3	减少调息时间	199	1	0					551				-3840												
《剑器浑脱·心鼓弦》经脉图残页	七秀	1	减少聚气时间	200	1	0					551		-4														
《剑器浑脱·心鼓弦》经脉图断篇	七秀	2	减少聚气时间	201	1	0					551		-4														
《剑器浑脱·心鼓弦》经脉图绝章	七秀	3	减少聚气时间	202	1	0					551		-4														
《剑器浑脱·心鼓弦》真传残页	七秀	1	增加技能距离	203	1	0					551								256								
《西河剑器·月华倾泻》穴位图残页	七秀	1	减少调息时间	204	1	0					570				-80												
《西河剑器·月华倾泻》穴位图断篇	七秀	2	减少调息时间	205	1	0					570				-160												
《西河剑器·月华倾泻》穴位图绝章	七秀	3	减少调息时间	206	1	0		0			570				-240												
《西河剑器·月华倾泻》注解残页	七秀	1	减少消耗	207	1	0					570										0						七秀\秘笈\《西河剑器·月华倾泻》注解残页.lua
《西河剑器·月华倾泻》注解断篇	七秀	2	减少消耗	208	1	0					570										0						七秀\秘笈\《西河剑器·月华倾泻》注解断篇.lua
《西河剑器·月华倾泻》真传残页	七秀	1	增加技能距离	209	1	0					570								256								
《西河剑器·月华倾泻》人偶图残页	七秀	1	增加效果	210	1	0					570																七秀\秘笈\《西河剑器·月华倾泻》人偶图残页.lua
《霓裳羽衣·左旋右转》注解残页	七秀	1	减少消耗	211	1	0					567										-102						
《霓裳羽衣·左旋右转》注解断篇	七秀	2	减少消耗	212	1	0					567										-154						
《霓裳羽衣·左旋右转》真传残页	七秀	1	增加技能距离	213	1	0					567								0								七秀\秘笈\左旋右转_增加AOE距离.lua
《霓裳羽衣·左旋右转》真传断篇	七秀	2	增加技能距离	214	1	0					567								0								七秀\秘笈\左旋右转_增加AOE距离.lua
《霓裳羽衣·左旋右转》真传绝章	七秀	3	增加技能距离	215	1	0					567								0								七秀\秘笈\左旋右转_增加AOE距离.lua
《霓裳羽衣·左旋右转》人偶图残页	七秀	1	增加效果	216	1	0			567		567															30	
《霓裳羽衣·左旋右转》人偶图断篇	七秀	2	增加效果	217	1	0			567		567															51	
《龙爪功·抱残式》注解残页	少林	1	减少消耗	218	1	0					239										-102						
《龙爪功·抱残式》注解断篇	少林	2	减少消耗	219	1	0					239										-154						
《龙爪功·抱残式》注解绝章	少林	3	减少消耗	220	1	0					239										-205						
《龙爪功·抱残式》手抄残页	少林	1	增加持续时间	221	1	0					239																少林\秘笈\少林_抱残式_增加持续时间1级.lua
《龙爪功·抱残式》穴位图残页	少林	1	减少调息时间	222	1	0					239				-16												
《龙爪功·抱残式》真传残页	少林	1	增加技能距离	223	1	0					239								64								
《龙爪功·抱残式》真传断篇	少林	2	增加技能距离	224	1	0					239								64								
《龙爪功·抱残式》真传绝章	少林	3	增加技能距离	225	1	0					239								64								
《龙爪功·抱残式》人偶图断篇	少林	2	增加效果	226	1	0					239																少林\秘笈\少林_抱残式_提高减速效果.lua
《龙爪功·捕风式》穴位图残页	少林	1	减少调息时间	227	1	0					238				-8												
《龙爪功·捕风式》穴位图断篇	少林	2	减少调息时间	228	1	0					238				-8												
《龙爪功·捕风式》真传残页	少林	1	增加技能距离	229	1	0					238								128								
《龙爪功·捕风式》真传断篇	少林	2	增加技能距离	230	1	0					238								128								
《龙爪功·捕风式》详解残页	少林	1	增加命中	231	1	0			238		238										0						秘笈\增加命中1分.lua
《龙爪功·捕风式》详解断篇	少林	2	增加命中	232	1	0			238		238										0						秘笈\增加命中2分.lua
《龙爪功·捕风式》参悟残页	少林	1	增加伤害	233	1	0			238		238															102	
《龙爪功·捕风式》参悟断篇	少林	2	增加伤害	234	1	0			238		238															102	
《龙爪功·捕风式》参悟绝章	少林	3	增加伤害	235	1	0			238		238															150	
《袈裟伏魔功·大狮子吼》穴位图残页	少林	1	减少调息时间	236	1	0					252				-80												
《袈裟伏魔功·大狮子吼》穴位图断篇	少林	2	减少调息时间	237	1	0					252				-160												
《袈裟伏魔功·大狮子吼》穴位图绝章	少林	3	减少调息时间	238	1	0					252				-160												
《袈裟伏魔功·大狮子吼》注解残页	少林	1	减少消耗	239	1	0					252										-205						
《袈裟伏魔功·大狮子吼》注解断篇	少林	2	减少消耗	240	1	0					252										-307						
《袈裟伏魔功·大狮子吼》真传残页	少林	1	增加技能距离	241	1	0			252		252								64								少林\秘笈\大狮子吼_增加AOE距离.lua
《袈裟伏魔功·大狮子吼》真传断篇	少林	2	增加技能距离	242	1	0			252		252								64								少林\秘笈\大狮子吼_增加AOE距离.lua
《袈裟伏魔功·大狮子吼》真传绝章	少林	3	增加技能距离	243	1	0			252		252								64								少林\秘笈\大狮子吼_增加AOE距离.lua
《袈裟伏魔功·大狮子吼》人偶图残页	少林	1	增加效果	244	1	0			252		252																少林\秘笈\少林_大狮子吼_命中后回满气.lua
《达摩武诀·锻骨诀》穴位图残页	少林	1	减少调息时间	245	1	0					257				-80												
《达摩武诀·锻骨诀》穴位图断篇	少林	2	减少调息时间	246	1	0					257				-160												
《达摩武诀·锻骨诀》穴位图绝章	少林	3	减少调息时间	247	1	0					257				-160												
《达摩武诀·锻骨诀》注解残页	少林	1	减少消耗	248	1	0					257										-205						
《达摩武诀·锻骨诀》注解断篇	少林	2	减少消耗	249	1	0					257										-205						
