ID	Name	CostStamina	ProfessionID	RequireLevel	RequireBranchID	RequireDoodad	ToolItemType	ToolItemIndex	EquipmentType	Exp	PrepareFrame	Belong	EnchantID	RequireItemType1	RequireItemIndex1	RequireItemCount1	RequireItemType2	RequireItemIndex2	RequireItemCount2	RequireItemType3	RequireItemIndex3	RequireItemCount3	RequireItemType4	RequireItemIndex4	RequireItemCount4	RequireItemType5	RequireItemIndex5	RequireItemCount5	RequireItemType6	RequireItemIndex6	RequireItemCount6	RequireItemType7	RequireItemIndex7	RequireItemCount7	RequireItemType8	RequireItemIndex8	RequireItemCount8	_Quality	ScriptName
159	莹白染（腰带）	10	5	64	2	342				25	80	110	23	5	3300	4	5	3552	1	5	3284	2	5	3296	5	5	5006	1											
160	靛蓝染（腰带）	10	5	64	2	342				25	80	110	28	5	3300	4	5	3283	1	5	3284	2	5	3296	5	5	5006	1											
161	橘红染（腰带）	10	5	64	2	342				25	80	110	12	5	3300	4	5	3549	1	5	3284	2	5	3296	5	5	5006	1											
162	铁黑染（腰带）	10	5	64	2	342				25	80	110	17	5	3300	4	5	3550	1	5	3284	2	5	3296	5	5	5006	1											
173	橘红绣（头部）	40	5	68	1		5	195		25	80	120	29	5	1828	4	5	3550	2	5	3551	2	5	3277	4	5	5007	1											
175	橘红染（下装）	40	5	68	2	342				25	80	110	30	5	3300	4	5	3551	2	5	3550	2	5	3284	4	5	5006	1											
197	橙红绣（头部）	80	5	70	1		5	195		25	80	120	31	5	1828	4	5	3550	2	5	3551	2	5	3277	4	5	5007	1											
199	橙红染（下装）	80	5	70	2	342				25	80	110	32	5	3326	10	5	3551	2	5	3550	2	5	3284	4	5	5006	1											
201	吉黄绣（鞋子）	80	5	70	1		5	195		25	80	120	39	5	1828	4	5	3551	2	5	3549	2	5	3282	4	5	3295	5	5	5007	2								
202	吉黄染（鞋子）	80	5	70	2	342				25	80	110	40	5	3300	4	5	3551	2	5	3549	2	5	3284	4	5	3296	5	5	5006	2								
203	藏青绣（头部）	80	5	70	1		5	195		25	80	120	33	5	3299	2	5	3551	2	5	3283	2	5	3277	4	5	5007	1											
204	藏青染（下装）	80	5	70	2	342				25	80	110	34	5	3300	4	5	3551	2	5	3283	2	5	3284	4	5	5006	1											
220	海棠绣（头部）	100	5	70	1		5	195		25	80	120	35	5	1828	4	5	3551	2	5	3283	4	5	3283	1	5	3282	1	5	1855	1								
221	海棠染（下装）	100	5	70	2	342				25	80	110	36	5	3300	4	5	3551	2	5	3283	4	5	3283	1	5	3284	1	5	1855	1								

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
