typeindex	mapid	mapindex	typename	typeiconpath	typeiconframe	typetxt	valuelist
18	15	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	87;88;89;90;91;92;93;296;
19	15	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	75;95;
20	15	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	74;76;77;82;398;
21	15	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	76;77;79;80;
22	15	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	80;81;82;
23	15	1	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	此处是红衣教营地，有什么事情你就说吧。	97;98;
24	15	1	门派接引	ui\Image\UICommon\NPCGuidlines.UITex	0	闯荡江湖第一事，就是要拜入门派。拜入各派，研习高深武学，才能确保在江湖安身立命，扬名立万！	100;101;102;103;104;105;106;107;108;109;
25	15	1	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	这些人物会在你闯荡江湖的时候，给你帮助或者引导，让你迅速融入这个江湖。	110;111;113;
26	15	1	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	96;99;
27	15	1	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？	100;101;102;103;104;105;106;107;108;109;98;
28	15	1	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	多读书，是很好的。	112;
29	8	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	大事小事，只要是洛阳城的事情，我们这些守卫兵士，是最了解不过的了。	114;115;
30	8	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	119;123;124;125;126;134;
31	8	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	127;128;129;130;131;132;133;298;
32	8	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	116;135;
33	8	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	115;117;118;122;399;
34	8	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	117;118;119;120;
35	8	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	120;121;122;
36	8	1	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	风雨镇，风雨镇,这个小镇当真是经历了很多风雨啊	137;138;
37	8	1	门派接引	ui\Image\UICommon\NPCGuidlines.UITex	0	闯荡江湖第一事，就是要拜入门派。拜入各派，研习高深武学，才能确保在江湖安身立命，扬名立万！	140;141;142;143;144;145;146;147;148;149;
38	8	1	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	2	这些人物会在你闯荡江湖的时候，给你帮助或者引导，让你迅速融入这个江湖。	150;153;154;
39	8	1	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	136;139;
40	8	1	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	138;140;141;142;143;144;145;146;147;148;149;
41	8	1	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	152;
42	108	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	广都镇里的事情，问我们卫兵就对了！常年驻守在这里，哪怕城里多只老鼠，我们都能发觉了。	50;51;
43	108	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	56;60;61;62;63;64;
44	108	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	66;67;68;69;70;71;72;295;
45	108	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	52;65;
46	108	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	51;53;54;59;397;
47	108	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	53;54;56;57;
48	108	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	57;58;59;
49	7	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	纯阳宫里的事情，若有需要，可以找我们问询。	162;165;29;
50	7	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	我纯阳宫道家的人物，一个个在江湖上都是声名显赫的。	162;164;
51	7	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	155;156;157;158;159;160;161;163;
52	7	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	165;
54	7	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	283;284;
55	159	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	帮中的事务，若有想知道，均可以找我们打听。	166;215;218;
56	159	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	丐帮五十万帮众，英雄人物可是层出不穷！	215;217;
57	159	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	208;209;210;211;212;213;214;216;
58	159	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的船夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	218;
59	159	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	292;
60	16	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	坊内的大小事情，都可以找我们打听。	170;204;207;
61	16	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	七秀坊的姐妹们中，有很多在江湖上都有很响亮的名头！	204;206;
62	16	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	197;198;199;200;201;202;203;205;
63	16	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的船夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	207;
64	16	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	287;
65	5	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	寺中的事务，无论大小，均可找我们询问。	167;259;262;
66	5	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	少林寺从来都是高手如云，藏龙卧虎之地！	259;261;274;
67	5	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	252;253;254;256;257;258;
68	5	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	252;262;
69	5	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	279;280;
70	102	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	五圣教中的大小事情，你都可以找我们打听。	171;270;273;
71	102	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	五圣教在中原的盛名，都是教中豪杰们一点点打下来的！	270;272;275;
72	102	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	263;264;265;266;267;268;269;271;
73	102	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	273;
74	102	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	293;
75	11	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	天策府中大小事务，均可找我们问询，当然军机秘密除外。	174;248;251;
76	11	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	天策府众人，均有着保家卫国，沙场扬名的血性！	248;250;
77	11	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	241;242;243;244;245;247;249;
78	11	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方车夫船夫之外，的我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	251;
79	11	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	285;286;
80	49	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	要在山庄里边问什么事情的话，找我们就对了。	172;182;185;
81	49	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	正是因为我们藏剑山庄人才辈出，才有了当今的江湖地位！	182;184;276;
82	49	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	175;176;177;178;179;180;181;183;
83	49	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的船夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	185;
84	49	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	277;278;
85	150	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	教中事务，若是可以告诉你的，我们会知无不言。	168;226;229;
86	150	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	我明教中声名显赫的人物，可是数不胜数。	226;228;
87	150	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	219;220;221;222;223;224;225;227;
88	150	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	229;
89	150	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	290;291;
90	122	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	在唐家堡中的事情，均可找守卫们打听。	169;237;240;
91	122	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	唐门的人物字号，意味着奸佞之辈的闻风丧胆，夹尾而逃！	237;239;
92	122	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	230;231;232;233;234;235;236;238;
93	122	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	240;
94	122	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	288;289;
95	2	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	若在谷内有什么事情，可以找我们问询。	173;193;196;
96	2	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	万花谷虽然隐秘，但谷中的人物在江湖上可是响当当的！	193;195;294;
97	2	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	买卖交易什么的，是生活中必不可少的。	186;187;188;189;190;191;192;194;
98	2	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	除了往来去其他地方的车夫之外，我们有很多短途驿夫，负责在门派各个区域往来，很容易就能遇到。	196;
99	2	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	熟练掌握一两种生活技艺，是走江湖必需的！	281;282;
100	193	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	身为苍云军，当严守军纪。你有什么不懂的可以向我请教。	300;304;311
101	193	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	我们应时刻谨记我们肩负的重任。	310;312
102	193	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	请问有什么我可以帮到你？	302;301;299;303;305;309;
103	193	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	要离开雁门关可以找我们的驿夫！	308;
104	193	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	如果有什么需要可以取广武镇转转，那里有许多商货买卖。	306;307;
105	194	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	大事小事，只要是太原城的事情，我们这些守卫兵士，是最了解不过的了。	333;317;
106	194	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	317;318;320;321;326;327;331;336;337;
107	194	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	316;319;323;324;325;330;315;335;
108	194	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	328;318;
109	194	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	333;314;332;322;338;400;
110	194	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	329;332;322;334;
111	194	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	313;314;334;
112	25	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	不知大侠有何见教？	339;341;
113	25	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	343;344;345;354;355;356;
114	25	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	342;346;347;348;349;350;351;
116	25	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子。	341;
117	25	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	355;356;
118	25	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	352;353;354;
119	25	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	我浩气盟中声名显赫的人物，可是数不胜数。	357;
120	27	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	不知大侠有何见教？	358;362;
121	27	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	359;367;371;373;375;376;
122	27	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	360;361;364;365;366;368;369;
123	27	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子。	358;
124	27	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	371;372;373;
125	27	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	363;374;375;
126	27	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	我恶人谷中声名显赫的人物，可是数不胜数。	378;
127	213	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	身为长歌门下弟子，当须谨言慎行，你入门不久，若有难处，可来寻我。	379;381;
128	213	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	儒有忠信以为甲胄，礼义以为干橹；戴仁而行，抱义而处，自立有如此，方为儒者之行。	385;382;
129	213	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	请问有什么我可以帮到你？	386;383;380;
130	213	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	要离开这长歌可以找我们的驿夫！	387;
131	243	0	重要人物	ui\Image\UICommon\NPCGuidlines.UITex	12	霸刀山庄虎踞太行山下逾百年，扬刀大会天下闻名，乃是北武林之魁首。	389;
132	243	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	请问有什么可帮到你？	390;391;393;395;392;
133	243	0	交通指引	ui\Image\UICommon\NPCGuidlines.UITex	4	若要去别处，可找我们的驿夫！	394;
134	243	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	身为霸刀山庄门下弟子，当须谨言慎行，你入门不久，若有难处，可来寻我。	388;
135	13	0	常用功能	ui\Image\UICommon\NPCGuidlines.UITex	1	大事小事，只要是金水镇的事情，我们这些守卫兵士，是最了解不过的了。	406;415
136	13	0	兑换买卖	ui\Image\UICommon\NPCGuidlines.UITex	3	虽说“无商不奸”，但很多东西，若没有商贾往来沟通，日子还真是不好过的啊。	408;415;418
137	13	0	生活技艺	ui\Image\UICommon\NPCGuidlines.UITex	6	自己动手，丰衣足食。想要壮大自己的实力填充自己的钱囊，不妨学习一种生活技艺吧。	404;405;409;411;412;413;417;422
138	13	0	书籍会试	ui\Image\UICommon\NPCGuidlines.UITex	7	书中自有黄金屋，书中自有颜如玉。哎，后悔当初未曾好好读书，不然也不会再这里常年站岗了。	416;407
139	13	0	交通接引	ui\Image\UICommon\NPCGuidlines.UITex	4	你想去哪里？无论江湖哪个角落，都可以去，都可以抵达。只要你有一双好鞋子或者……足够的车马费。	420
140	13	0	对抗阵营	ui\Image\UICommon\NPCGuidlines.UITex	2	有人的地方就有江湖，有江湖的地方，就有竞争，就有冲突。	410;414;419;421
141	13	0	帮会相关	ui\Image\UICommon\NPCGuidlines.UITex	5	若想要在江湖上扬名立万，单打独斗绝对是不行的。由江湖侠士创建和组成的帮会，将是这个江湖最重要的部分。	402;403

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
