id	npcid	kindname	tiptest	position	kindiconpath	kindiconframe	mapid	mapindex	sortindex
23	2286	神农训练师·费砂		55773,56746,1051753;			6	0	931
24	0	庖丁技艺训练师					6	0	1043
24	2284	庖丁训练师·王小石		55433,57504,1051831;			6	0	922
25	0	烹饪技艺训练师					6	0	1045
25	2260	烹饪酒水商·刁元举		57525,56028,1051870;			6	0	924
25	2280	烹饪训练师·邵语秋		58566,56602,1051831;			6	0	925
25	2282	烹饪菜蔬商·刘盼儿		57882,56360,1051836;			6	0	926
25	2283	烹饪调料商·李三爷		57413,56392,1051845;			6	0	927
26	0	裁缝技艺训练师					6	0	1017
26	2275	裁缝训练师·杜小红		55576,58411,1052059;			6	0	893
26	2278	缝纫材料商·牛千针		55605,58841,1052059;			6	0	894
27	0	铸造技艺训练师					6	0	1087
27	2266	铸造训练师·铁头		53859,58391,1051810;			6	0	969
27	2269	铸造材料商·陆燃冰		54511,57654,1051886;			6	0	970
28	0	医术技艺训练师					6	0	1072
28	2263	医术训练师·松若云		57416,61153,1051790;			6	0	953
28	2265	医术材料商·侯天屏		57784,59996,1051845;			6	0	954
29	0	仓储·信使					7	0	1090
29	709	信使·金昀		22278,16103,1159088;			7	0	186
29	710	仓库管理员·高剑		25769,15749,1159080;			7	0	187
30	0	远程武器·暗器子弹					6	0	1075
30	2289	远程武器商·桑怀云		67893,64297,1051957;			6	0	956
31	0	仓储·信使					6	1	1090
31	2586	仓库管理员·杨澄		49773,29820,1052718;			6	1	972
31	3669	扬州信使		45860, 28570, 1049216;			6	1	973
32	0	短途车夫					6	1	1097
32	1	短途驿夫		48981, 32771, 1049216;			6	1	979
33	0	食品·药品·杂货商人					6	1	1118
33	276	郎中·冯德		48776,27441,1049537;			6	1	1000
33	390	小吃商·罗掌柜		42631,24980,1049601;			6	1	1001
33	407	杂货商·王老虎		47199,31108,1048815;			6	1	1002
34	0	少林寺接引人					6	1	1116
34	5439	少林寺接引·澄实		44709,32117,1048969;			6	1	1117
35	0	万花谷接引人					6	1	1126
35	5427	万花谷接引·僧一行		43623,33655,1049365;			6	1	1127
36	0	天策府接引人					6	1	1124
36	5435	天策府接引·曹雪阳		44299,34366,1048989;			6	1	1125
37	0	纯阳宫接引人					6	1	1095
37	5433	纯阳宫接引·卓凤鸣		44286,29804,1049030;			6	1	1096
38	0	七秀坊接引人					6	1	1112
38	5437	七秀坊接引·萧白胭		44065,29241,1049115;			6	1	1113
39	0	五毒教接引人					6	1	1128
39	13800	五毒教接引·五毒长老		43826,32443,1049574;			6	1	1129
40	0	唐门接引人					6	1	1122
40	15903	唐门接引·唐间竹		45002, 34238, 1049152;			6	1	1123
41	0	明教接引人					6	1	1110
41	20001	明教接引·陆烟儿		43398, 29227, 1049728;			6	1	1111
42	0	藏剑山庄接引人					6	1	1093
42	7279	藏剑山庄接引·藏剑老者		44896, 30940, 1049024;			6	1	1094
43	0	丐帮接引人					6	1	1099
43	23814	丐帮接引·马天忌		43693,35080,1049749;			6	1	1100
44	0	老江湖·张六爷					6	1	1108
44	5991	张六爷		48480,32096,1049029;			6	1	1109
45	0	任务起始·许楷龙					6	1	995
45	191	许楷龙		48594,32100,1049043;			6	1	996
46	0	武学训练·枚成才					6	1	1011
46	1247	枚成才		46221,31580,1048977;			6	1	1012
47	0	教书先生					6	1	1133
47	1148	教书先生·沈绿衣		44442,22287,1049845;			6	1	986
48	0	抄书材料供应商					6	0	1028
48	3387	抄书材料商·欧文		53157,59428,1051855;			6	0	906
49	0	敬师堂·纪天下					6	1	1106
49	6514	纪天下		42057,37353,1049074;			6	1	1107
50	0	仓储·信使·交易师					108	0	1022
50	9872	交易师·金易施		65893,71765,1075772;			108	0	401
50	9890	信使·仓库区		64572, 71775, 1072704;			108	0	467
50	9900	仓库管理员·于双海		66230,71084,1076019;			108	0	402
50	9902	信使·驿站		73958, 66590, 1070400;			108	0	115
51	0	长途车夫·短途车夫					108	0	1080
51	9897	长途·轩辕社车夫		73939,64805,1070303;			108	0	175
51	14208	短途·广都镇车夫		73911,64651,1070318;			108	0	176
52	0	收书人					108	0	1060
52	494	杂集收书人·赵山河		61563,64466,1074290;			108	0	1061
52	495	道学收书人·武文墨		61557,64310,1074290;			108	0	1062
52	496	佛学收书人·谢断笔		61574,64166,1074290;			108	0	1063
52	5926	高级杂集收书·地字玖玖		62062,63237,1072653;			108	0	1064
53	0	战场接引人					108	0	1077
53	6551	浩气盟战场接引人		69399,62463,1074067;			108	0	1079
53	6552	恶人谷战场接引人		67537,59645,1074067;			108	0	1078
54	0	名剑大会接引人					108	0	1041
54	16113	名剑大会报名·上官玲		69484,61105,1074061;			108	0	134
55	0	齐物阁接引人					108	0	928
55	26527	齐物阁接引人·孔媛		68538, 59689, 1074112;			108	0	143
56	0	威望·战阶·名剑大会相关商人					108	0	1065
56	1053	浩气盟威望商·别南轩		69436,62768,1074060;			108	0	1066
56	3037	恶人谷威望商·周简白		66769,59489,1074060;			108	0	1067
56	8131	浩气盟战阶商·王雨瑶		69563,62960,1074061;			108	0	1068
56	8132	恶人谷战阶商·董海健		66947,59397,1074060;			108	0	1069
56	16250	阵营名剑套装·许相迎		69466,60783,1074061;			108	0	1070
56	16251	中立名剑套装·王陵		68680,61345,1074061;			108	0	1071
57	0	阵营与装备转换使					108	0	1083
57	1349	帮会阵营总管·玄字伍叁		70460,71306,1074468;			108	0	1084
57	7821	黑市商人·李守财		69788,69897,1074468;			108	0	1086
58	0	帮会登记人 					108	0	455
58	5745	帮会登记人·玄字贰壹		69886,71202,1074481;			108	0	1014
59	0	帮会领地接引人					108	0	1015
59	4714	帮会家园执事·玄字玖贰		71065,70267,1074862;			108	0	1016
60	0	食物·药品·杂货·五行石商人					108	0	1054
60	8808	五行石商人·曾鑫		65074,72981,1073864;			108	0	1055
60	9868	杂货商·郭五津		64515,64203,1072653;			108	0	720
60	14113	药品商·药昊圭		65409,66471,1072653;			108	0	723
61	0	马匹·鞍具·饲料·马厩·兽医					108	0	1036
61	9870	马商·葛突律		73731,66297,1070375;			108	0	128
61	18693	兽医·段方北		73830, 66486, 1070400			108	0	129
62	0	声望相关兑换商人					108	0	1052
62	1	各势力声望商聚集区		56877, 62321, 1074048;			108	0	1053
63	0	江湖贡献·侠义值兑换商人					108	0	1033
63	1348	侠义值商人·玄字叁玖		71039,70105,1074862;			108	0	1034
63	1495	江湖贡献商·玄字柒肆		70559,71127,1074474;			108	0	1035
64	0	远程武器·暗器子弹					108	0	1075
64	14114	远程武器商·常七彪		61584,65870,1072653;			108	0	745
65	0	抄书材料供应商					108	0	1028
65	9854	阅读材料商·黎书彦		60472,63052,1075662;			108	0	120
66	0	采金技艺训练师					108	0	1020
66	9869	高级采金训练师·宗百镐		61630,66583,1072653;			108	0	679
67	0	神农技艺训练师					108	0	1050
67	9879	高级神农训练师·蒙烈行		63328,70009,1072653;			108	0	716
68	0	庖丁技艺训练师					108	0	1043
68	9876	高级庖丁训练师·廉尤志		65216,68721,1072653;			108	0	706
69	0	烹饪技艺训练师					108	0	1045
69	9769	高级烹饪训练师·李虬髯		65382,68140,1072653;			108	0	709
69	9866	烹饪调料商·常伊畅		65318,65767,1072653;			108	0	138
69	14111	烹饪蔬菜商·蔡夜青		63672,71317,1072659;			108	0	139
69	14112	烹饪酒水商·杜不慷		63918,64520,1072653;			108	0	140
70	0	裁缝技艺训练师					108	0	1017
70	9873	高级裁缝训练师·素怀绣		63330,63063,1073733;			108	0	108
70	9874	高级印染训练师·卓桂莲		63135,63425,1072653;			108	0	109
70	9880	高级刺绣训练师·素焕秀		63441,63854,1073770;			108	0	110
70	14364	针线商·阿狸婆婆		63453,64026,1073770;			108	0	677
71	0	铸造技艺训练师					108	0	1087
71	9855	高级武器铸造师·乌壮离		65161,69120,1072653;			108	0	181
71	9875	高级铸造训练师·欧无邪		61644,66370,1072653;			108	0	754
71	9878	高级盔甲铸造师·崔千铠		64351,69251,1072653;			108	0	182
71	14365	炭火商·谭奇山		64172,69099,1072653;			108	0	755
72	0	医术技艺训练师					108	0	1072
72	9775	高级万花医术·甄悦星		61380,68127,1072653;			108	0	165
72	9865	医术材料商·杜离亨		62119,69072,1072653;			108	0	166
72	9877	高级医术训练师·白首翰		61403,68269,1072653;			108	0	743
72	14153	高级江湖医术师·海天鹤		61377,68431,1072656;			108	0	167
73	0	仓储·信使·交易师					15	0	1022
73	850	交易师·张 骞		48244,102266,1062504;			15	0	1024
73	3707	仓库管理员·胡晋		39618,100663,1064708;			15	0	1025
73	3708	信使·储物区		40119, 100225, 1063616;			15	0	1026
73	3709	信使·交易区		49377, 101010, 1061760;			15	0	1023
73	3710	信使·驿站区		41007, 91697, 1061696;			15	0	1027
74	0	长途车夫·短途车夫					15	0	1080
74	3635	长途车夫·包通行		40486,92321,1061683;			15	0	1081
74	17591	短途·驿站车夫		40691, 92233, 1061696			15	0	1098
75	0	收书人					15	0	1060
75	494	杂集收书人·赵山河		42281,100373,1074909;			15	0	1061
75	495	道学收书人·武文墨		42281,100024,1075016;			15	0	1062
75	496	佛学收书人·谢断笔		42281,100099,1075016;			15	0	1063
75	5926	高级杂集收书·地字玖玖		42013,98652,1074909;			15	0	1064
76	0	战场接引人					15	0	1077
76	6891	浩气盟战场接引人		56900, 97382, 1063616			15	0	1079
76	6892	恶人谷战场接引人		57315, 98917, 1063616			15	0	1078
77	0	名剑大会接引人					15	0	1041
77	16114	名剑大会报名人·梅乐		48396,98567,1061738;			15	0	1042
79	0	威望·战阶·名剑大会相关商人					15	0	1065
79	1053	浩气盟威望商·别南轩		57210,98077,1063766;			15	0	1066
79	3037	恶人谷威望商·周简白		57214,98409,1063766;			15	0	1067
79	8131	浩气盟战阶商·王雨瑶		57299,97788,1063766;			15	0	1068
79	8132	恶人谷战阶商·董海健		57292,98670,1063766;			15	0	1069
79	16250	阵营名剑套装·许相迎		48059,98561,1061738;			15	0	1070
79	16251	中立名剑套装·王陵		47999,98792,1061738;			15	0	1071
80	0	阵营与装备转换使					15	0	1083
80	1349	帮会阵营总管·玄字伍叁		56690,99585,1063876;			15	0	1084
80	7820	阵营大使·玄字陆捌		56564,99611,1063851;			15	0	1085
80	7821	黑市商人·李守财		56811,99614,1063826;			15	0	1086
81	0	帮会登记人					15	0	1013
81	5745	帮会登记人·玄字贰壹		57043,100221,1063826;			15	0	1014
82	0	帮会领地接引人					15	0	1015
82	4714	帮会家园执事·玄字玖贰		57050,100661,1063628;			15	0	1016
83	0	食物·药品·杂货·五行石商人					15	0	1054
83	698	杂货商·风临净		53875,100902,1074866;			15	0	1056
83	3710	小吃商·余寅		39815,98518,1063550;			15	0	1057
83	3717	郎中·鲁银海		39408,97329,1065782;			15	0	1058
83	3728	杂货商·姚婕		40156,97299,1063554;			15	0	1059
83	8808	五行石商人·曾鑫		41578,102735,1063664;			15	0	1055
84	0	马匹·鞍具·饲料·马厩·兽医					15	0	1036
84	3790	马商·张春		39798,92237,1061634;			15	0	1037
84	18690	兽医·段小小		39582, 92201, 1061696;			15	0	1038
85	0	声望相关兑换商人					15	0	1052
85	1	各势力声望商聚集区		55660, 103218, 1063552;			15	0	1053
86	0	江湖贡献·侠义值兑换商人					15	0	1033
86	1348	侠义值商人·玄字叁玖		57312,99873,1063628;			15	0	1034
86	1495	江湖贡献商·玄字柒肆		56134,100182,1063647;			15	0	1035
87	0	采金技艺训练师					15	0	1020
87	3772	采金训练师·赵犟		40249,103837,1063565;			15	0	1021
88	0	神农技艺训练师					15	0	1050
88	3775	神农训练师·郑盈		42173,100834,1074919;			15	0	1051
89	0	庖丁技艺训练师					15	0	1043
89	3778	庖丁训练师·吴进旭		41946,102535,1074919;			15	0	1044
90	0	烹饪技艺训练师					15	0	1045
90	3705	烹饪调料商·孔伯堂		40552,98823,1063552;			15	0	1046
90	3708	烹饪蔬菜商·莴笋先生		39895,97756,1063604;			15	0	1047
90	3715	烹饪酒水商·曾少爷		39812,98012,1063550;			15	0	1048
90	3759	烹饪训练师·杨立德		40573,97696,1063568;			15	0	1049
91	0	裁缝技艺训练师					15	0	1017
91	3697	针线商·曹申		39775,102769,1064611;			15	0	1018
91	3757	缝纫训练师·谢文莉		39623,103687,1064591;			15	0	1019
92	0	铸造技艺训练师					15	0	1087
92	3699	炭火商·杨梓呈		40617,103820,1063607;			15	0	1088
92	3755	铸造训练师·金锤		40711,102711,1063579;			15	0	1089
93	0	医术技艺训练师					15	0	1072
93	3704	医术材料商·辛飞燕		39545,97313,1065848;			15	0	1073
93	3751	医术训练师·邱星彩		39334,98200,1065749;			15	0	1074
94	0	远程武器·暗器子弹					15	0	1075
94	3741	远程武器商·何离别		54599,101966,1075067;			15	0	1076
95	0	抄书材料供应商					15	0	1028
95	3696	教书先生·钱公子		41800,99616,1075205;			15	0	1029
96	0	基础武器·基础衣甲					15	1	1101
96	3113	服装商·白天华		27755,47770,1064185;			15	1	1102
96	3339	武器商·秦汉		33226,46760,1060864;			15	1	1103
97	0	仓储·信使					15	1	1090
97	3785	仓库管理员·杨清		28808,47211,1064190;			15	1	1092
97	3786	信使		28536, 45438, 1063872;			15	1	1091
98	0	短途车夫					15	1	1097
98	1	短途·驿站车夫		28642, 44824, 1063680;			15	1	1098
99	0	食品·药品·杂货商人					15	1	1118
99	3108	郎中·孙二		25144,45603,1063917;			15	1	1119
99	3112	小吃商·陶雪		33116,47648,1060864;			15	1	1120
99	3117	杂货商·冒汉生		27100,47611,1064063;			15	1	1121
100	0	少林寺接引人					15	1	1116
100	5439	少林寺接引·澄实		32539,45432,1060864;			15	1	1117
101	0	万花谷接引人					15	1	1126
101	5427	万花谷接引·僧一行		33961,45516,1060864;			15	1	1127
102	0	天策府接引人					15	1	1124
102	5435	天策府接引·曹雪阳		32065,46030,1060864;			15	1	1125
103	0	纯阳宫接引人					15	1	1095
103	5433	纯阳宫接引·卓凤鸣		31926,48056,1060864;			15	1	1096
104	0	七秀坊接引人					15	1	1112
104	5437	七秀坊接引·萧白胭		32562,43889,1063549;			15	1	1113
105	0	五毒教接引人					15	1	1128
105	13800	五毒教接引·五毒长老		35346,44614,1061879;			15	1	1129
106	0	唐门接引人					15	1	1122
106	15903	唐门接引·唐间竹		32952, 44564, 1060864			15	1	1123
107	0	明教接引人					15	1	1110
107	20001	明教接引·陆烟儿		34058, 43928, 1061184			15	1	1111
108	0	藏剑山庄接引人					15	1	1093
108	7279	藏剑山庄接引·藏剑老者		33527, 43914, 1061056;			15	1	1094
109	0	丐帮接引人					15	1	1099
109	23814	丐帮接引·马天忌		31803,49137,1060864;			15	1	1100
110	0	老江湖·张六爷					15	1	1108
110	5991	张六爷		29002,44644,1063622;			15	1	1109
111	0	任务起始·王博					15	1	1114
111	2427	王博		28971,44785,1063682;			15	1	1115
112	0	教书先生					15	1	1133
112	3118	娄磨云		26546,44282,1063160;			15	1	1105
113	0	敬师堂·纪天下					15	1	1106
113	6514	纪天下		35689,50154,1065520;			15	1	1107
114	0	仓储·信使·交易师					8	0	1022
114	1	信使·仓库区		27860, 84844, 1056576;			8	0	467
114	849	交易师·沈万		27466,86001,1056526;			8	0	465
114	3582	仓库管理员·温晋浩		27002,87042,1057576;			8	0	466
114	3583	信使·技艺区		36813, 84909, 1057216;			8	0	685
114	3585	信使·交易区		17514, 87743, 1060160;			8	0	1023
115	0	长途车夫·短途车夫					8	0	1080
115	3636	长途车夫·谢云秋		33952,68033,1052075;			8	0	523
115	17591	短途·驿站车夫		34067, 68038, 1052096;			8	0	1098
116	0	收书人					8	0	1060
116	494	杂集收书人·赵山河		21882,87949,1060110;			8	0	1061
116	495	道学收书人·武文墨		22155,88353,1060202;			8	0	1062
116	496	佛学收书人·谢断笔		22069,88341,1060201;			8	0	1063
116	5926	高级杂集收书·地字玖玖		22531,88382,1060205;			8	0	1064
117	0	战场接引人					8	0	1077
117	6891	浩气盟战场接引人		17971, 82098, 1062784			8	0	1079
117	6892	恶人谷战场接引人		13639, 82688, 1062784			8	0	1078
118	0	名剑大会接引人					8	0	1041
118	16112	名剑大会报名·司马穆云		16275,82688,1063579;			8	0	485
119	0	威望·战阶·名剑大会相关商人					8	0	1065
119	1053	浩气盟威望商·别南轩		17706,82482,1062703;			8	0	1066
119	3037	恶人谷威望商·周简白		14655,82450,1062703;			8	0	1067
119	8131	浩气盟战阶商·王雨瑶		17818,82680,1062744;			8	0	1068
119	8132	恶人谷战阶商·董海健		13916,82164,1062729;			8	0	1069
119	16250	阵营名剑套装·许相迎		15886,82800,1063579;			8	0	1070
119	16251	中立名剑套装·王陵		15891,82272,1063579;			8	0	1071
120	0	阵营与装备转换使					8	0	1083
120	1349	帮会阵营总管·玄字伍叁		13566,86110,1064851;			8	0	1084
120	7820	阵营大使·玄字陆捌		13721,85986,1064851;			8	0	1085
120	7821	黑市商人·李守财		13416,85990,1064851;			8	0	1086
121	0	帮会登记人 					8	0	455
121	5745	帮会登记人·玄字贰壹		12590,87548,1065144;			8	0	1014
122	0	帮会领地接引人					8	0	1015
122	4714	帮会家园执事·玄字玖贰		12554,86990,1064837;			8	0	1016
123	0	食物·药品·杂货·五行石商人					8	0	1054
123	3522	郎中·傅道祥		27168,81076,1054419;			8	0	498
123	3523	小吃商·周红雷		30893,79807,1054990;			8	0	499
123	3537	行脚商·秋灵仙		30280,84566,1053454;			8	0	500
123	8808	五行石商人·曾鑫		35704,85106,1057166;			8	0	1055
124	0	马匹·鞍具·饲料·马厩·兽医					8	0	1036
124	3792	马商·谢全		37066,78250,1057166;			8	0	479
124	18691	兽医·段方西		37617,78300,1057166;			8	0	480
125	0	声望相关兑换商人					8	0	1052
125	1	各势力声望商聚集区		31051, 86868, 1060288;			8	0	1053
126	0	江湖贡献·侠义值兑换商人					8	0	1033
126	1348	侠义值商人·玄字叁玖		14077,87882,1064837;			8	0	1034
126	1495	江湖物资商·玄字柒肆		13563,87787,1064851;			8	0	911
127	0	采金技艺训练师					8	0	1020
127	3502	采金训练师·李铁心		34597,85240,1057181;			8	0	463
128	0	神农技艺训练师					8	0	1050
128	3505	神农训练师·谢禾		35289,83532,1057576;			8	0	494
129	0	庖丁技艺训练师					8	0	1043
129	3506	庖丁训练师·尹洪大立		32130,85039,1053459;			8	0	487
130	0	烹饪技艺训练师					8	0	1045
130	3464	烹饪蔬菜商·何小飞		31619,85085,1053454;			8	0	489
130	3504	烹饪训练师·苏小伦		30988,85189,1053454;			8	0	490
130	3519	烹饪调料商·杜波儿		31299,85125,1053454;			8	0	491
130	3535	烹饪酒水商·香济世		31442,85015,1053454;			8	0	492
131	0	裁缝技艺训练师					8	0	1017
131	3503	裁缝训练师·邹榆		36065,86224,1058044;			8	0	460
131	3529	针线商·韩复康		35995,85905,1057933;			8	0	461
132	0	铸造技艺训练师					8	0	1087
132	3508	铸造训练师·高振伟		34741,85396,1057166;			8	0	530
132	3528	炭火商·陈鼎云		35700,86322,1058384;			8	0	531
133	0	医术技艺训练师					8	0	1072
133	3507	医术训练师·赵婷婷		36048,83958,1057365;			8	0	515
133	3520	医术材料商·郑佳成		36162,83964,1057365;			8	0	516
134	0	远程武器·暗器子弹					8	0	1075
134	3536	远程武器商·百里南风		37264,87188,1060108;			8	0	518
135	0	抄书材料供应商					8	0	1028
135	3527	教书先生·刘云英		22612,88161,1060110;			8	0	471
136	0	基础武器·基础衣甲					8	1	1101
136	2410	武器商·卓不凡		57630,21206,1083558;			8	1	544
136	2411	服装商·白春永		59180,25467,1083805;			8	1	545
137	0	仓储·信使					8	1	1090
137	1	信使		61559, 24779, 1083776;			8	1	1091
137	2585	仓库管理员·罗甫		61550,25643,1083838;			8	1	533
138	0	短途车夫					8	1	1097
138	1	驿站车夫		53868, 23984, 1079936;			8	1	540
139	0	食品·药品·杂货商人					8	1	1118
139	2413	小吃商·崔无过		56065,22151,1081627;			8	1	561
139	2414	杂货商·裘不同		55902,24076,1081745;			8	1	562
140	0	少林寺接引人					8	1	1116
140	5439	少林寺接引·澄实		55489,21782,1080711;			8	1	1117
141	0	万花谷接引人					8	1	1126
141	5427	万花谷接引·僧一行		52418,23863,1079769;			8	1	1127
142	0	天策府接引人					8	1	1124
142	5435	天策府接引·曹雪阳		53867,21664,1081252;			8	1	1125
143	0	纯阳宫接引人					8	1	1095
143	5433	纯阳宫接引·卓凤鸣		54230,24184,1080232;			8	1	1096
144	0	七秀坊接引人					8	1	1112
144	5437	七秀坊接引·萧白胭		55114,23961,1081480;			8	1	1113
145	0	五毒教接引人					8	1	1128
145	13800	五毒教接引·五毒长老		54914,21089,1080709;			8	1	1129
146	0	唐门接引人					8	1	1122
146	15903	唐门接引·唐间竹		52202, 23287, 1079488			8	1	1123
147	0	明教接引人					8	1	1110
147	20001	明教接引·陆烟儿		56766, 22205, 1082304			8	1	1111
148	0	藏剑山庄接引人					8	1	1093
148	7279	藏剑接引·藏剑老者		55788, 22427, 1080768			8	1	536
149	0	丐帮接引人					8	1	1099
149	23814	丐帮接引·马天忌		54546,23599,1080347;			8	1	1100
150	0	老江湖·张六爷					8	1	1108
150	5991	张六爷		53428,24001,1079924;			8	1	1109
152	0	教书先生					8	1	1133
152	2416	教书先生·杨卷益		59820,20381,1083606;			8	1	547
153	0	敬师堂·纪天下					8	1	1106
153	6514	敬师堂·纪天下		55818,27535,1081778;			8	1	1106
154	0	任务起始·王强					8	1	556
154	4943	王强		53637,24005,1079974;			8	1	557
155	0	马匹·鞍具·饲料·马厩					7	0	1135
155	763	马商·燕小霞		45253,29567,1147361;			7	0	194
156	0	基础武器·基础衣甲					7	0	1101
156	725	武器商·吴坤		26839,21882,1160250;			7	0	189
156	1606	服装商·姚卦		25086,22340,1160406;			7	0	190
157	0	食物·药品·杂货商					7	0	845
157	724	郎中·丁乾		26788,25890,1160194;			7	0	207
157	1150	杂货商·韩震		28668,29172,1160194;			7	0	208
157	1151	食品商·杨坎		27397,25174,1160194;			7	0	209
158	0	门派套装商					7	0	869
158	5932	门派套装商·李玄霄		31384,16948,1157696;			7	0	199
159	0	远程武器·暗器子弹					7	0	1075
159	727	远程武器商·潘离		29790,27753,1160242;			7	0	213
160	0	教书先生					7	0	1133
160	726	教书先生·颜巽		27263,27845,1160194;			7	0	192
161	0	门派声望商					7	0	1139
161	1637	甲字声望商·张珞山		31435,17023,1157704;			7	0	196
161	4753	乙字声望商·张博		31377,17080,1157736;			7	0	197
162	0	门派掌门					7	0	1142
162	715	卓凤鸣		8074,11787,1174080;			7	0	201
163	0	侠义值商人					7	0	875
163	7696	套装物资官·李灵霄					7	0	211
164	0	装备洗练师					7	0	216
164	737	装备洗炼师·陆剑平		11416,7960,1171423;			7	0	217
165	0	长途车夫					7	0	1151
165	3742	长途车夫·张洋		43348,3926,1119308;			7	0	215
166	0	仓储·信使					159	0	1090
166	22766	信使·曲达		90157,105042,1102842;			159	0	299
166	24618	仓库管理员·黎颖		64560,66610,1079116;			159	0	300
166	24980	信使·李祥银		64367,66304,1079103;			159	0	301
167	0	仓储·信使					5	0	1090
