Level	Experience	Strength	Agility	Vigor	Spirit	Spunk	MaxLife	MaxMana	MaxStamina	MaxThew	MaxAssistExp	MaxAssistTimes	RunSpeed	JumpSpeed	Height	LifeReplenish	LifeReplenishPercent	LifeReplenishExt	ManaReplenish	ManaReplenishPercent	ManaReplenishExt	HitBase	ParryBaseRate	PhysicsCriticalStrike	SolarCriticalStrike	NeutralCriticalStrike	LunarCriticalStrike	PoisonCriticalStrike	NoneWeaponAttackSpeedBase	MaxPhysicsDefence	WorldChannelDailyLimit	ForceChannelDailyLimit	CampChannelDailyLimit	MaxContribution	WhisperDailyLimit	IdentityChannelDailyLimit	SprintPowerMax	SprintPowerCost	SprintPowerRevive	SprintPowerCostOnWall	SprintPowerCostStandOnWall	SprintPowerCostRunOnWallExtra	HorseSprintPowerMax	HorseSprintPowerCost	HorseSprintPowerRevive	SceneChannelDailyLimit	NearbyChannelDailyLimit	WorldChannelDailyLimitByVIP	WorldChannelDailyLimitBySuperVIP
10	5000	4	4	5	4	4	215	106	600	600	100	12											300								0	20	0	30000	70	20	78000	185	45	128	128	200	54000	200	33	20	200	60	90
11	7500	4	5	5	5	4	225	110	610	610	100	12											300								0	20	0	30000	80	20	78600	185	45	128	128	200	54600	200	33	20	200	60	90
12	12000	5	5	5	5	5	236	114	610	610	100	12											300								0	20	0	30000	80	20	79200	185	45	128	128	200	55200	200	33	20	200	60	90
13	15000	5	5	6	5	5	247	117	620	620	100	12											300								0	20	0	30000	80	20	79800	185	45	128	128	200	55800	200	33	20	200	60	90
14	21600	5	6	6	6	5	258	121	630	620	100	12											300								0	20	0	30000	80	20	80400	185	45	128	128	200	56400	200	33	20	200	60	90
15	23000	6	6	6	6	6	268	125	630	630	100	12											300								3	20	0	30000	80	20	81000	185	45	128	128	200	57000	200	33	20	200	60	90
16	27500	6	6	7	6	6	290	128	640	630	100	12											300								3	30	0	30000	80	30	81600	185	45	128	128	200	57600	200	33	20	200	60	90
17	33000	6	7	7	7	6	311	132	650	640	100	13											300								3	30	0	30000	80	30	82200	185	45	128	128	200	58200	200	33	20	200	60	90
18	38000	7	7	7	7	7	333	136	650	640	100	13											300								3	30	0	30000	80	30	82800	185	45	128	128	200	58800	200	33	20	200	60	90
19	44300	7	7	8	7	7	354	140	660	650	100	13											300								3	30	0	30000	-1	30	83400	185	45	128	128	200	59400	200	33	500	5000	60	90
20	47300	7	8	8	8	7	376	143	670	650	100	13											300								10	30	0	30000	-1	30	84000	185	45	128	128	200	60000	200	33	500	5000	60	90
21	50500	8	8	8	8	8	397	147	670	660	100	13											300								10	30	0	30000	-1	30	84600	185	45	128	128	200	60600	200	33	500	5000	60	90
22	53800	8	8	9	8	8	419	151	680	660	100	13											300								10	30	0	30000	-1	30	85200	185	45	128	128	200	61200	200	33	500	5000	60	90
23	57000	8	9	9	9	8	440	154	720	670	100	13											300								10	30	0	30000	-1	30	85800	185	45	128	128	200	61800	200	33	500	5000	60	90
24	58500	9	9	9	9	9	462	158	760	670	100	13											300								10	30	0	30000	-1	30	86400	185	45	128	128	200	62400	200	33	500	5000	60	90
25	60500	9	9	10	9	9	483	162	800	680	100	13											300								10	30	0	30000	-1	30	87000	185	45	128	128	200	63000	200	33	500	5000	60	90
26	62200	9	10	10	10	9	505	165	840	680	100	14											300								10	30	0	30000	-1	30	87600	185	45	128	128	200	63600	200	33	500	5000	60	90
27	63700	10	10	10	10	10	526	169	880	690	100	14											300								10	30	0	30000	-1	30	88200	185	45	128	128	200	64200	200	33	500	5000	60	90
28	63900	10	10	11	10	10	547	173	920	720	100	14											300								10	30	0	30000	-1	30	88800	185	45	128	128	200	64800	200	33	500	5000	60	90
29	64100	10	11	11	11	10	569	176	960	760	100	14											300								10	30	0	30000	-1	30	89400	185	45	128	128	200	65400	200	33	500	5000	60	90
30	64300	11	11	11	11	11	590	180	1000	800	100	14											300								10	30	20	30000	-1	30	90000	185	45	128	128	200	66000	200	33	500	5000	60	90
31	64500	11	11	12	11	11	612	187	1040	840	100	14											300								10	30	20	30000	-1	30	90600	185	45	128	128	200	66600	200	33	500	5000	60	90
32	64700	11	12	12	12	11	633	191	1080	880	100	14											300								10	30	20	30000	-1	30	91200	185	45	128	128	200	67200	200	33	500	5000	60	90
33	64900	12	12	12	12	12	655	198	1120	920	100	14											300								10	30	20	30000	-1	30	91800	185	45	128	128	200	67800	200	33	500	5000	60	90
34	65100	12	12	13	12	12	676	206	1160	960	100	14											300								10	30	20	30000	-1	30	92400	185	45	128	128	200	68400	200	33	500	5000	60	90
35	65300	12	13	13	13	12	698	210	1200	1000	100	15											300								10	30	20	30000	-1	30	93000	185	45	128	128	200	69000	200	33	500	5000	60	90
36	65500	13	13	13	13	13	719	217	1240	1040	100	15											300								10	30	20	30000	-1	30	93600	185	45	128	128	200	69600	200	33	500	5000	60	90
37	65700	13	13	14	13	13	741	221	1280	1080	100	15											300								10	30	20	30000	-1	30	94200	185	45	128	128	200	70200	200	33	500	5000	60	90
38	65900	13	14	14	14	13	762	228	1320	1120	100	15											300								20	50	30	30000	-1	50	94800	185	45	128	128	200	70800	200	33	500	5000	60	90
39	66100	14	14	14	14	14	784	235	1360	1160	100	15											300								20	50	30	30000	-1	50	95400	185	45	128	128	200	71400	200	33	500	5000	60	90
40	66300	14	14	15	14	14	805	239	1400	1200	100	15											300								20	50	30	30000	-1	50	96000	185	45	128	128	200	72000	200	33	500	5000	60	90
41	66500	14	15	15	15	14	827	246	1440	1240	100	15											300								20	50	30	30000	-1	50	96600	185	45	128	128	200	72600	200	33	500	5000	60	90
42	66700	15	15	15	15	15	848	250	1480	1280	100	15											300								20	50	30	30000	-1	50	97200	185	45	128	128	200	73200	200	33	500	5000	60	90
43	66900	15	15	16	15	15	869	257	1520	1320	100	16											300								20	50	30	30000	-1	50	97800	185	45	128	128	200	73800	200	33	500	5000	60	90
44	67100	15	16	16	16	15	891	265	1560	1360	100	16											300								20	50	30	30000	-1	50	98400	185	45	128	128	200	74400	200	33	500	5000	60	90
45	67300	16	16	16	16	16	912	268	1600	1400	100	16											300								20	50	30	30000	-1	50	99000	185	45	128	128	200	75000	200	33	500	5000	60	90
46	67500	16	16	17	16	16	934	276	1640	1440	100	16											300								20	50	30	30000	-1	50	99600	185	45	128	128	200	75600	200	33	500	5000	60	90
47	67700	16	17	17	17	16	955	283	1680	1480	100	16											300								20	50	30	30000	-1	50	100200	185	45	128	128	200	76200	200	33	500	5000	60	90
48	67900	17	17	17	17	17	977	287	1720	1520	100	16											300								30	100	50	30000	-1	100	100800	185	45	128	128	200	76800	200	33	500	5000	60	90
49	68100	17	17	18	17	17	998	294	1760	1560	100	16											300								30	100	50	30000	-1	100	101400	185	45	128	128	200	77400	200	33	500	5000	60	90
50	68300	17	18	18	18	17	1020	298	1800	1600	100	16											300								30	100	50	50000	-1	100	102000	185	45	128	128	200	78000	200	33	500	5000	60	90
51	125200	18	18	18	18	18	1041	305	1840	1640	100	16											300								30	100	50	50000	-1	100	102600	185	45	128	128	200	78600	200	33	500	5000	60	90
52	129400	18	18	19	18	18	1063	313	1880	1680	100	17											300								30	100	50	50000	-1	100	103200	185	45	128	128	200	79200	200	33	500	5000	60	90
53	133700	18	19	19	19	18	1084	316	1920	1720	100	17											300								30	100	50	50000	-1	100	103800	185	45	128	128	200	79800	200	33	500	5000	60	90
54	137900	19	19	19	19	19	1106	324	1960	1760	100	17											300								30	100	50	50000	-1	100	104400	185	45	128	128	200	80400	200	33	500	5000	60	90
55	142200	19	19	20	19	19	1127	331	2000	1800	100	17											300								30	100	50	50000	-1	100	105000	185	45	128	128	200	81000	200	33	500	5000	60	90
56	146500	19	20	20	20	19	1149	335	2040	1840	100	17											300								30	100	50	50000	-1	100	105600	185	45	128	128	200	81600	200	33	500	5000	60	90
57	150900	20	20	20	20	20	1170	342	2080	1880	100	17											300								30	100	50	50000	-1	100	106200	185	45	128	128	200	82200	200	33	500	5000	60	90
58	155200	20	20	21	20	20	1191	346	2120	1920	100	17											300								30	100	50	50000	-1	100	106800	185	45	128	128	200	82800	200	33	500	5000	60	90
59	159700	20	21	21	21	20	1213	353	2160	1960	100	17											300								30	100	50	50000	-1	100	107400	185	45	128	128	200	83400	200	33	500	5000	60	90
60	164100	21	21	21	21	21	1234	361	2200	2000	100	17											300								30	100	50	100000	-1	100	108000	185	45	128	128	200	84000	200	33	500	5000	60	90
61	168400	21	21	22	21	21	1256	364	2240	2040	100	18											300								30	100	50	100000	-1	100	108600	185	45	128	128	200	84600	200	33	500	5000	60	90
62	172900	21	22	22	22	21	1277	372	2280	2080	100	18											300								30	100	50	100000	-1	100	109200	185	45	128	128	200	85200	200	33	500	5000	60	90
63	177300	22	22	22	22	22	1299	375	2320	2120	100	18											300								30	100	50	100000	-1	100	109800	185	45	128	128	200	85800	200	33	500	5000	60	90
64	181800	22	22	23	22	22	1320	383	2360	2160	100	18											300								30	100	50	100000	-1	100	110400	185	45	128	128	200	86400	200	33	500	5000	60	90
65	186200	22	23	23	23	22	1342	390	2400	2200	100	18											300								30	100	50	100000	-1	100	111000	185	45	128	128	200	87000	200	33	500	5000	60	90
66	190700	23	23	23	23	23	1363	394	2440	2240	100	18											300								30	100	50	100000	-1	100	111600	185	45	128	128	200	87600	200	33	500	5000	60	90
67	195100	23	23	24	23	23	1385	401	2480	2280	100	18											300								30	100	50	100000	-1	100	112200	185	45	128	128	200	88200	200	33	500	5000	60	90
68	199500	23	24	24	24	23	1406	408	2520	2320	100	18											300								30	100	50	100000	-1	100	112800	185	45	128	128	200	88800	200	33	500	5000	60	90
69	204000	24	24	24	24	24	1428	412	2560	2360	100	18											300								30	100	50	100000	-1	100	113400	185	45	128	128	200	89400	200	33	500	5000	60	90
70	219300	24	24	25	24	24	1449	420	2600	2400	100	18											300								30	100	50	150000	-1	100	114000	185	45	128	128	200	90000	200	33	500	5000	60	90
71	222900	24	25	25	25	24	1471	456	2640	2440	100	18											300								30	100	50	155000		100	114600	185	45	128	128	200	90600	200	33	500	5000	60	90
72	226500	25	25	25	25	25	1492	501	2680	2480	100	18											300								30	100	50	160000		100	115200	185	45	128	128	200	91200	200	33	500	5000	60	90
73	230200	25	25	26	25	25	1514	537	2720	2520	100	18											300								30	100	50	165000		100	115800	185	45	128	128	200	91800	200	33	500	5000	60	90
74	233900	25	26	26	26	25	1535	582	2760	2560	100	18											300								30	100	50	170000		100	116400	185	45	128	128	200	92400	200	33	500	5000	60	90
75	239600	26	26	26	26	26	1556	618	2800	2600	100	18											300								30	100	50	175000		100	117000	185	45	128	128	200	93000	200	33	500	5000	60	90
76	243300	26	26	27	26	26	1578	663	2840	2640	100	18											300								30	100	50	180000		100	117600	185	45	128	128	200	93600	200	33	500	5000	60	90
77	247100	26	27	27	27	26	1599	700	2880	2680	100	18											300								30	100	50	185000		100	118200	185	45	128	128	200	94200	200	33	500	5000	60	90
78	251000	27	27	27	27	27	1621	736	2920	2720	100	18											300								30	100	50	190000		100	118800	185	45	128	128	200	94800	200	33	500	5000	60	90
79	254800	27	27	28	27	27	1642	781	2960	2760	100	18											300								30	100	50	195000		100	119400	185	45	128	128	200	95400	200	33	500	5000	60	90
80	289800	27	28	28	28	27	1664	817	3000	2800	100	18											300								30	100	50	200000		100	120000	185	45	128	128	200	96000	200	33	500	5000	60	90
81	293400	28	28	28	28	28	1685	876	3020	2820	100	18											300								30	100	50	200000		100	120600	185	45	128	128	200	96600	200	33	500	5000	60	90
82	296900	28	28	29	28	28	1707	935	3040	2840	100	18											300								30	100	50	200000		100	121200	185	45	128	128	200	97200	200	33	500	5000	60	90
83	300600	28	29	29	29	28	1728	994	3060	2860	100	18											300								30	100	50	200000		100	121800	185	45	128	128	200	97800	200	33	500	5000	60	90
84	304200	29	29	29	29	29	1750	1053	3080	2880	100	18											300								30	100	50	200000		100	122400	185	45	128	128	200	98400	200	33	500	5000	60	90
85	310400	29	29	30	29	29	1771	1112	3100	2900	100	18											300								30	100	50	200000		100	123000	185	45	128	128	200	99000	200	33	500	5000	60	90
86	314000	29	30	30	30	29	1793	1171	3120	2920	100	18											300								30	100	50	200000		100	123600	185	45	128	128	200	99600	200	33	500	5000	60	90
87	317700	30	30	30	30	30	1814	1223	3140	2940	100	18											300								30	100	50	200000		100	124200	185	45	128	128	200	100200	200	33	500	5000	60	90
88	321400	30	30	31	30	30	1836	1282	3160	2960	100	18											300								30	100	50	200000		100	124800	185	45	128	128	200	100800	200	33	500	5000	60	90
89	325100	30	31	31	31	30	1857	1341	3180	2980	100	18											300								30	100	50	200000		100	125400	185	45	128	128	200	101400	200	33	500	5000	60	90
90	1625500	31	31	31	31	31	1878	1400	3200	3000	100	18											300								30	100	50	200000		100	126000	185	45	128	128	200	102000	200	33	500	5000	60	90
91	1634700	31	31	32	31	31	2335	1500	3220	3020	100	18											300								30	100	50	220000		100	126600	185	45	128	128	200	102600	200	33	500	5000	60	90
92	1644000	31	32	32	32	31	2791	1600	3240	3040	100	18											300								30	100	50	240000		100	127200	185	45	128	128	200	103200	200	33	500	5000	60	90
93	1653400	32	32	32	32	32	3247	1700	3260	3060	100	18											300								30	100	50	260000		100	127800	185	45	128	128	200	103800	200	33	500	5000	60	90
94	1662900	32	32	33	32	32	3703	1800	3280	3080	100	18											300								30	100	50	280000		100	128400	185	45	128	128	200	104400	200	33	500	5000	60	90
95	1672500	32	33	33	33	32	4159	1900	3300	3100	100	18											300								30	100	50	300000		100	129000	185	45	128	128	200	105000	200	33	500	5000	60	90
96	1682200	33	33	33	33	33	4616	2000	3320	3120	100	18											300								30	100	50	300000		100	129600	185	45	128	128	200	105600	200	33	500	5000	60	90
97	1692000	33	33	34	33	33	5072	2100	3340	3140	100	18											300								30	100	50	300000		100	130200	185	45	128	128	200	106200	200	33	500	5000	60	90
98	1701900	33	34	34	34	33	5528	2200	3360	3160	100	18											300								30	100	50	300000		100	130800	185	45	128	128	200	106800	200	33	500	5000	60	90
99	1711900	34	34	34	34	34	5984	2300	3380	3180	100	18											300								30	100	50	300000		100	131400	185	45	128	128	200	107400	200	33	500	5000	60	90
100	1722000	34	34	35	34	34	6440	2400	3400	3200	100	18											300								30	100	50	300000		100	132000	185	45	128	128	200	108000	200	33	500	5000	60	90

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
